Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s79a9ca11 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;8663.441490463;8666.958754485;-100
BM(file): files/file_10M;8663.441490463;8666.958754485;3.517264022000745
BM(file): files/file_10M;8667.974615193;8671.189576317;3.214961124000183
BM(file): files/file_10M;8672.203960258;8674.99158049;2.787620231998517
BM(file): files/file_10M;8676.004103993;8678.854267783;2.8501637899989873
BM(file): files/file_10M;8679.875898635;8682.839156243;2.9632576080002764
BM(file): files/file_10M;8683.868148091;8686.770192527;2.9020444359994144
BM(file): files/file_10M;8687.787351619;8690.517811799;2.730460180000591
BM(file): files/file_10M;8691.52778702;8694.547637989;3.01985096899989
BM(file): files/file_10M;8695.561588045;8698.670785072;3.109197026999027
BM(file): files/file_10M;8699.688965256;8702.519629691;2.830664434999562
BM(file): files/file_10M;8703.542880346;8706.392095148;2.849214801999551
BM(file): files/file_10M;8707.406835251;8710.153329009;2.7464937579989055
BM(file): files/file_10M;8711.163241309;8713.916781392;2.753540083000189
BM(file): files/file_10M;8714.928076038;8718.050904117;3.122828079000101
BM(file): files/file_10M;8719.074361854;8721.949764182;2.8754023279998364
BM(file): files/file_10M;8722.970873226;8725.753919499;2.7830462729998544
BM(file): files/file_10M;8726.772792768;8729.510176289;2.7373835210000834
BM(file): files/file_10M;8730.520891968;8733.589646153;3.0687541849983972
BM(file): files/file_10M;8734.610706527;8737.605222772;2.994516244998522
BM(file): files/file_10M;8738.624851921;8742.267963671;3.6431117499996617
BM(file): files/file_10M;8743.294179766;8746.130187314;2.836007547999543
BM(file): files/file_10M;8747.150796139;8749.894966097;2.7441699579994747
BM(file): files/file_10M;8750.916071343;8753.657502644;2.7414313010012847
BM(file): files/file_10M;8754.66730614;8757.844495327;3.177189186999385
BM(file): files/file_10M;8758.859835633;8762.270895331;3.4110596979990078
BM(file): files/file_10M;8763.287755861;8766.029492992;2.7417371310002636
BM(file): files/file_10M;8767.042160809;8769.753027891;2.7108670819998224
BM(file): files/file_10M;8770.761673538;8774.131254691;3.3695811529996718
BM(file): files/file_10M;8775.14212032;8778.192088311;3.0499679909989936
BM(file): files/file_10M;8779.217562974;8781.948666437;2.7311034630001814
BM(file): files/file_10M;8782.964246824;8785.932711795;2.9684649709997757
BM(file): files/file_10M;8786.957443198;8789.702294265;2.744851067000127
BM(file): files/file_10M;8790.716633762;8793.57023214;2.8535983780002425
BM(file): files/file_10M;8794.588847558;8797.340540988;2.7516934300001594
BM(file): files/file_10M;8798.359160863;8801.345823982;2.986663118999786
BM(file): files/file_10M;8802.360274103;8805.088103101;2.7278289979985857
BM(file): files/file_10M;8806.105808715;8808.855775786;2.7499670710003556
BM(file): files/file_10M;8809.869504897;8812.536766355;2.667261458000212
BM(file): files/file_10M;8813.553717667;8816.300160988;2.7464433209988783
BM(file): files/file_10M;8817.314960234;8821.193494996;3.8785347619996173
BM(file): files/file_10M;8822.21492673;8825.468440165;3.253513435000059
BM(file): files/file_10M;8826.49130179;8829.560399084;3.0690972940010397
BM(file): files/file_10M;8830.572362922;8833.355371799;2.7830088770006114
BM(file): files/file_10M;8834.372524193;8837.14222834;2.769704147000084
BM(file): files/file_10M;8838.152332615;8841.329832835;3.177500219999274
BM(file): files/file_10M;8842.342087508;8845.184376568;2.842289060001349
BM(file): files/file_10M;8846.208790747;8848.972201653;2.76341090599999
BM(file): files/file_10M;8849.988762162;8852.724386096;2.735623934000614
BM(file): files/file_10M;8853.734343325;8857.08781479;3.3534714649995294
BM(file): files/file_10M;8858.109685731;8860.909046564;2.7993608329998096
BM(file): files/file_10M;8861.918718246;8865.520385373;3.6016671270008374
BM(file): files/file_10M;8866.541633389;8869.356740807;2.815107417998661
BM(file): files/file_10M;8870.366241569;8873.113113574;2.746872005000114
BM(file): files/file_10M;8874.1468971;8876.881152008;2.7342549080003664
BM(file): files/file_10M;8877.891155524;8880.668846154;2.7776906300005066
BM(file): files/file_10M;8881.690598881;8884.669562037;2.978963155999736
BM(file): files/file_10M;8885.69164635;8888.476240051;2.784593701000631
BM(file): files/file_10M;8889.491817418;8892.186564638;2.6947472199990443
BM(file): files/file_10M;8893.19838888;8895.988344511;2.789955631000339
BM(file): files/file_10M;8897.004496424;8899.784420569;2.7799241449993133
BM(file): files/file_10M;8900.799335677;8903.59329764;2.793961962999674
BM(file): files/file_10M;8904.603073357;8907.967323703;3.364250345999608
BM(file): files/file_10M;8908.986943652;8911.733901849;2.7469581969999126
BM(file): files/file_10M;8912.754777436;8915.771654907;3.0168774710000434
BM(file): files/file_10M;8916.790300053;8919.697498702;2.907198648999838
BM(file): files/file_10M;8920.715331338;8923.548609304;2.833277965999514
BM(file): files/file_10M;8924.571635746;8927.526237699;2.954601952998928
BM(file): files/file_10M;8928.539158739;8931.238980831;2.699822091999522
BM(file): files/file_10M;8932.24765599;8935.056896064;2.809240073998808
BM(file): files/file_10M;8936.080765931;8938.881750746;2.8009848150013568
BM(file): files/file_10M;8939.908945356;8943.122565292;3.2136199360011233
BM(file): files/file_10M;8944.148160134;8947.044675779;2.896515644999454
BM(file): files/file_10M;8948.064349223;8950.894467809;2.830118586000026
BM(file): files/file_10M;8951.912521026;8954.647054445;2.73453341899949
BM(file): files/file_10M;8955.656820113;8958.732617789;3.075797676001457
BM(file): files/file_10M;8959.750309876;8962.819472562;3.06916268599889
BM(file): files/file_10M;8963.836651643;8966.598325686;2.761674043000312
BM(file): files/file_10M;8967.609759203;8970.372158211;2.7623990079991927
BM(file): files/file_10M;8971.39751863;8974.0954666;2.697947970000314
BM(file): files/file_10M;8975.110814243;8977.836347554;2.7255333110006177
BM(file): files/file_10M;8978.844832663;8981.827349939;2.982517275999271
BM(file): files/file_10M;8982.838102072;8985.552946347;2.7148442749985406
BM(file): files/file_10M;8986.571890152;8989.271603178;2.699713026000609
BM(file): files/file_10M;8990.282218267;8993.369866933;3.08764866599995
BM(file): files/file_10M;8994.384526315;8997.246335895;2.861809580001136
BM(file): files/file_10M;8998.27029942;9000.998708587;2.728409166998972
BM(file): files/file_10M;9002.016998008;9004.737732715;2.7207347069997923
BM(file): files/file_10M;9005.747457042;9008.669377814;2.921920771999794
BM(file): files/file_10M;9009.69057164;9012.701339294;3.010767654001029
BM(file): files/file_10M;9013.722767081;9016.609731386;2.8869643049984006
BM(file): files/file_10M;9017.629400194;9020.433792265;2.8043920709988015
BM(file): files/file_10M;9021.44719438;9024.187955132;2.7407607519999146
BM(file): files/file_10M;9025.198535466;9028.141863463;2.9433279970016883
BM(file): files/file_10M;9029.161385436;9032.287953759;3.1265683229994465
BM(file): files/file_10M;9033.314232929;9036.085748928;2.7715159990002576
