Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sf46e3c44 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;10196.165285039;10200.079093495;-100
BM(file): files/file_10M;10196.165285039;10200.079093495;3.9138084559999697
BM(file): files/file_10M;10201.102337556;10204.443153457;3.340815900999587
BM(file): files/file_10M;10205.450884519;10208.666891261;3.2160067420009
BM(file): files/file_10M;10209.67746423;10213.631155829;3.953691598999285
BM(file): files/file_10M;10214.641948051;10217.997515742;3.355567691000033
BM(file): files/file_10M;10219.008058754;10222.26178828;3.253729526000825
BM(file): files/file_10M;10223.269263093;10227.65957481;4.390311717001168
BM(file): files/file_10M;10228.692386393;10231.463231656;2.770845262999501
BM(file): files/file_10M;10232.473622752;10236.391792446;3.9181696939995163
BM(file): files/file_10M;10237.405468911;10240.586647341;3.1811784300007275
BM(file): files/file_10M;10241.597803905;10244.767917177;3.170113271999071
BM(file): files/file_10M;10245.77969554;10249.367377764;3.587682223998854
BM(file): files/file_10M;10250.383815135;10253.841994606;3.458179471001131
BM(file): files/file_10M;10254.852984962;10258.310818432;3.4578334699999687
BM(file): files/file_10M;10259.33254482;10263.061167762;3.728622942000584
BM(file): files/file_10M;10264.072271162;10267.775722463;3.703451301000314
BM(file): files/file_10M;10268.788650425;10272.707793361;3.9191429359998438
BM(file): files/file_10M;10273.716394778;10277.705320211;3.9889254329991672
BM(file): files/file_10M;10278.712527488;10282.187826866;3.4752993780002726
BM(file): files/file_10M;10283.198771434;10286.717935282;3.5191638480009715
BM(file): files/file_10M;10287.724993017;10290.689420078;2.964427061000606
BM(file): files/file_10M;10291.699167468;10295.405534483;3.706367015000069
BM(file): files/file_10M;10296.423140124;10300.718070792;4.294930668000234
BM(file): files/file_10M;10301.730261626;10304.6781686;2.9479069739991246
BM(file): files/file_10M;10305.700955131;10308.777787149;3.07683201799955
BM(file): files/file_10M;10309.794616784;10312.746999518;2.9523827339999116
BM(file): files/file_10M;10313.758462429;10317.274535676;3.516073247001259
BM(file): files/file_10M;10318.284338529;10321.413233108;3.128894579000189
BM(file): files/file_10M;10322.431514176;10325.621322073;3.189807897000719
BM(file): files/file_10M;10326.641315369;10330.091644463;3.450329094001063
BM(file): files/file_10M;10331.112957107;10334.376422293;3.263465186000758
BM(file): files/file_10M;10335.397651937;10338.720167797;3.3225158599998394
BM(file): files/file_10M;10339.732340678;10343.214996581;3.4826559030007047
BM(file): files/file_10M;10344.224118055;10348.511260044;4.287141988999792
BM(file): files/file_10M;10349.535229344;10353.004810196;3.469580852000945
BM(file): files/file_10M;10354.020764577;10357.500277912;3.479513334999865
BM(file): files/file_10M;10358.517748019;10362.955339788;4.437591769001301
BM(file): files/file_10M;10363.971534132;10367.304983496;3.3334493639995344
BM(file): files/file_10M;10368.321234007;10371.245628675;2.924394667999877
BM(file): files/file_10M;10372.259372993;10375.111154679;2.8517816860003222
BM(file): files/file_10M;10376.127791446;10379.603690918;3.4758994719995826
BM(file): files/file_10M;10380.616688064;10384.414165013;3.797476949001066
BM(file): files/file_10M;10385.431205202;10388.519891087;3.088685885000814
BM(file): files/file_10M;10389.536291312;10392.645082705;3.1087913929986826
BM(file): files/file_10M;10393.670542943;10397.052314252;3.381771308999305
BM(file): files/file_10M;10398.071714968;10401.844429952;3.7727149839993217
BM(file): files/file_10M;10402.86046855;10406.138554339;3.278085789001125
BM(file): files/file_10M;10407.145856301;10410.438218495;3.292362193998997
BM(file): files/file_10M;10411.449633502;10414.921535322;3.4719018200012215
BM(file): files/file_10M;10415.930281426;10419.018875697;3.088594270999238
BM(file): files/file_10M;10420.033339696;10423.467082529;3.4337428329999966
BM(file): files/file_10M;10424.474660997;10428.636272188;4.161611190998883
BM(file): files/file_10M;10429.644979043;10433.340350299;3.695371256000726
BM(file): files/file_10M;10434.349864164;10437.55273162;3.202867456000604
BM(file): files/file_10M;10438.573431813;10441.544396793;2.9709649800006446
BM(file): files/file_10M;10442.560478604;10446.087379983;3.5269013790002646
BM(file): files/file_10M;10447.099309208;10450.145484828;3.046175619998394
BM(file): files/file_10M;10451.167776331;10454.802659741;3.634883410000839
BM(file): files/file_10M;10455.815619062;10458.756563186;2.9409441240004526
BM(file): files/file_10M;10459.770917771;10463.481487452;3.7105696809994697
BM(file): files/file_10M;10464.490575607;10468.211916446;3.721340838999822
BM(file): files/file_10M;10469.228810018;10472.372453562;3.143643544000952
BM(file): files/file_10M;10473.389309218;10477.709965047;4.320655829000316
BM(file): files/file_10M;10478.719788003;10482.105274301;3.3854862980006146
BM(file): files/file_10M;10483.124225772;10486.028976184;2.9047504119989753
BM(file): files/file_10M;10487.040656078;10489.925117566;2.8844614879999426
BM(file): files/file_10M;10490.939749658;10495.027085252;4.087335594000251
BM(file): files/file_10M;10496.038407434;10500.371584657;4.3331772229994385
BM(file): files/file_10M;10501.396975115;10504.363307066;2.966331951000029
BM(file): files/file_10M;10505.379906264;10508.307704763;2.927798499000346
BM(file): files/file_10M;10509.316199249;10512.294422455;2.978223205998802
BM(file): files/file_10M;10513.31817823;10516.327345975;3.0091677450000134
BM(file): files/file_10M;10517.346883081;10520.390252693;3.0433696119998785
BM(file): files/file_10M;10521.405510962;10525.060730282;3.6552193200004695
BM(file): files/file_10M;10526.077968572;10529.34267147;3.2647028979990864
BM(file): files/file_10M;10530.350787162;10534.152348092;3.8015609300000506
BM(file): files/file_10M;10535.168778583;10538.368703665;3.1999250820008456
BM(file): files/file_10M;10539.387357513;10542.67918883;3.291831316999378
BM(file): files/file_10M;10543.687543943;10547.612553156;3.9250092129987024
BM(file): files/file_10M;10548.61871133;10551.786706658;3.167995327999961
BM(file): files/file_10M;10552.801872595;10556.178150819;3.3762782239991793
BM(file): files/file_10M;10557.18698848;10561.365665451;4.178676970999732
BM(file): files/file_10M;10562.385266937;10566.41309563;4.02782869299881
BM(file): files/file_10M;10567.435707065;10571.006441955;3.570734889999585
BM(file): files/file_10M;10572.017137638;10576.372436461;4.355298823000339
BM(file): files/file_10M;10577.407860367;10580.927351379;3.51949101199898
BM(file): files/file_10M;10581.939333035;10584.988849481;3.04951644600078
BM(file): files/file_10M;10586.003459582;10589.044376811;3.040917229000115
BM(file): files/file_10M;10590.062337115;10593.115847981;3.053510866000579
BM(file): files/file_10M;10594.13146601;10597.846857247;3.715391236999494
BM(file): files/file_10M;10598.862956323;10602.027886716;3.16493039299894
BM(file): files/file_10M;10603.044340505;10606.35511725;3.310776745000112
BM(file): files/file_10M;10607.362998864;10610.701352573;3.3383537089994206
BM(file): files/file_10M;10611.709637608;10615.63172577;3.922088161998545
BM(file): files/file_10M;10616.65254819;10620.024691387;3.372143196998877
