Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sa814035f --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Error during POST /didexchange/create-request?their_public_did=PhbGmg1H53KupchWiZSyk1&protocol=didexchange%2F1.1&use_public_did=true: Cannot connect to host 127.0.0.1:8021 ssl:default [Connect call failed ('127.0.0.1', 8021)]
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;11580.006397614;11584.18263285;-100
BM(file): files/file_10M;11580.006397614;11584.18263285;4.17623523599832
BM(file): files/file_10M;11585.194475373;11589.318706396;4.1242310229990835
BM(file): files/file_10M;11590.328624562;11594.406852848;4.078228286000012
BM(file): files/file_10M;11595.426984713;11598.84087005;3.4138853370004654
BM(file): files/file_10M;11599.863234903;11603.282274345;3.419039442000212
BM(file): files/file_10M;11604.291366086;11608.033992003;3.7426259170006233
BM(file): files/file_10M;11609.053213315;11612.862357709;3.809144393999304
BM(file): files/file_10M;11613.875891781;11616.932698079;3.056806298000083
BM(file): files/file_10M;11617.949800515;11621.441250803;3.4914502880001237
BM(file): files/file_10M;11622.454081959;11626.699728555;4.24564659600037
BM(file): files/file_10M;11627.748719275;11631.781944505;4.033225230001335
BM(file): files/file_10M;11632.800080901;11636.995079912;4.194999011000618
BM(file): files/file_10M;11638.00467984;11641.932400129;3.9277202890007175
BM(file): files/file_10M;11642.943260782;11647.559343344;4.616082562000884
BM(file): files/file_10M;11648.584291607;11651.924730105;3.340438498000367
BM(file): files/file_10M;11652.937091081;11656.308704882;3.3716138010004215
BM(file): files/file_10M;11657.332755846;11660.727547023;3.394791176999206
BM(file): files/file_10M;11661.739795398;11665.524614461;3.784819062999304
BM(file): files/file_10M;11666.535528187;11670.924605255;4.3890770680009155
BM(file): files/file_10M;11671.936112273;11674.994893583;3.0587813099991763
BM(file): files/file_10M;11676.014659105;11679.808224069;3.793564964000325
BM(file): files/file_10M;11680.818804586;11684.646350952;3.8275463659992965
BM(file): files/file_10M;11685.658419987;11689.545764601;3.88734461400054
BM(file): files/file_10M;11690.555513108;11694.259321281;3.7038081730006525
BM(file): files/file_10M;11695.26889619;11700.27536654;5.00647034999929
BM(file): files/file_10M;11701.296669578;11705.081551898;3.784882320000179
BM(file): files/file_10M;11706.115876474;11710.055336431;3.9394599570005084
BM(file): files/file_10M;11711.064822085;11714.881336814;3.8165147290001187
BM(file): files/file_10M;11715.893437925;11719.634325802;3.7408878770002048
BM(file): files/file_10M;11720.642855606;11724.457594394;3.814738787999886
BM(file): files/file_10M;11725.468920153;11728.810912061;3.3419919080006366
BM(file): files/file_10M;11729.825675086;11733.735549753;3.909874667000622
BM(file): files/file_10M;11734.745494963;11738.644609841;3.899114878000546
BM(file): files/file_10M;11739.654966771;11743.576505961;3.9215391899997485
BM(file): files/file_10M;11744.59834206;11748.982932919;4.384590858999218
BM(file): files/file_10M;11749.992932858;11753.333615834;3.3406829760006076
BM(file): files/file_10M;11754.352227872;11758.753439537;4.4012116650010285
BM(file): files/file_10M;11759.765912168;11763.947989155;4.182076986999164
BM(file): files/file_10M;11764.958091604;11768.994208212;4.036116608000157
BM(file): files/file_10M;11770.005788618;11773.859559348;3.8537707300001784
BM(file): files/file_10M;11774.866504341;11778.646759781;3.7802554400004738
BM(file): files/file_10M;11779.655866666;11782.84976928;3.1939026139989437
BM(file): files/file_10M;11783.871412952;11787.548640724;3.6772277720010607
BM(file): files/file_10M;11788.559715622;11791.743454174;3.1837385520011594
BM(file): files/file_10M;11792.766515563;11798.315159436;5.548643873000401
BM(file): files/file_10M;11799.336347401;11803.186080595;3.849733193999782
BM(file): files/file_10M;11804.194840599;11807.388122383;3.1932817839988274
BM(file): files/file_10M;11808.408113163;11812.121465706;3.713352543001747
BM(file): files/file_10M;11813.133516756;11817.067392081;3.9338753250012815
BM(file): files/file_10M;11818.076368924;11822.741070885;4.664701961000901
BM(file): files/file_10M;11823.761457248;11827.123221077;3.361763828999756
BM(file): files/file_10M;11828.142251303;11832.005334366;3.863083063000886
BM(file): files/file_10M;11833.019815705;11836.822578598;3.8027628929994535
BM(file): files/file_10M;11837.833729775;11841.751399815;3.917670040000303
BM(file): files/file_10M;11842.761668196;11847.145230941;4.383562744998926
BM(file): files/file_10M;11848.162596294;11851.558725654;3.3961293600004865
BM(file): files/file_10M;11852.576852946;11856.399434138;3.8225811920001433
BM(file): files/file_10M;11857.417239105;11861.703816455;4.286577349999789
BM(file): files/file_10M;11862.715918817;11866.936335565;4.220416747999479
BM(file): files/file_10M;11867.946958794;11871.293205703;3.346246908999092
BM(file): files/file_10M;11872.303451153;11876.037456413;3.7340052599993214
BM(file): files/file_10M;11877.048544349;11880.881192977;3.8326486280002428
BM(file): files/file_10M;11881.889895607;11885.621588156;3.73169254899949
BM(file): files/file_10M;11886.63014997;11889.890219261;3.260069291000036
BM(file): files/file_10M;11890.905647099;11894.340178904;3.434531805000006
BM(file): files/file_10M;11895.348293837;11899.385692088;4.037398251000923
BM(file): files/file_10M;11900.393872875;11904.332121832;3.9382489569998143
BM(file): files/file_10M;11905.344361191;11909.235090928;3.8907297369987646
BM(file): files/file_10M;11910.24520349;11913.802409134;3.557205643999623
BM(file): files/file_10M;11914.811767251;11918.464385362;3.6526181110002653
BM(file): files/file_10M;11919.476167408;11923.519415341;4.043247932999293
BM(file): files/file_10M;11924.527350904;11928.868780863;4.341429959000379
BM(file): files/file_10M;11929.889801278;11933.343357626;3.4535563480003475
BM(file): files/file_10M;11934.358409118;11939.328334969;4.969925850999061
BM(file): files/file_10M;11940.345447426;11943.735873871;3.3904264450011397
BM(file): files/file_10M;11944.752896605;11948.737683265;3.984786660001191
BM(file): files/file_10M;11949.761603735;11953.770580595;4.008976860000985
BM(file): files/file_10M;11954.784758805;11959.091961472;4.3072026669997285
BM(file): files/file_10M;11960.104327519;11963.529403451;3.4250759320002544
BM(file): files/file_10M;11964.545572325;11967.901051647;3.355479322000974
BM(file): files/file_10M;11968.926574834;11972.09498914;3.1684143059992493
BM(file): files/file_10M;11973.109770184;11976.454278841;3.3445086569990963
BM(file): files/file_10M;11977.471227109;11981.417679951;3.9464528420012357
BM(file): files/file_10M;11982.428801636;11986.87943515;4.450633513999492
BM(file): files/file_10M;11987.893898988;11991.269467499;3.3755685109990736
BM(file): files/file_10M;11992.27912131;11996.251055922;3.971934612000041
BM(file): files/file_10M;11997.26738218;12001.33508818;4.067705999999816
BM(file): files/file_10M;12002.344232922;12006.296184501;3.9519515789997968
BM(file): files/file_10M;12007.307536178;12010.92631717;3.6187809920011205
BM(file): files/file_10M;12011.938989438;12016.022728523;4.083739084999252
BM(file): files/file_10M;12017.033285881;12020.79546607;3.7621801889999915
BM(file): files/file_10M;12021.806349757;12024.840653161;3.034303403999729
BM(file): files/file_10M;12025.861503256;12029.218700929;3.3571976729999733
BM(file): files/file_10M;12030.247283486;12034.333625938;4.086342451999371
BM(file): files/file_10M;12035.344477311;12039.67456963;4.330092318999959
BM(file): files/file_10M;12040.683167968;12044.293695956;3.610527987999376
BM(file): files/file_10M;12045.309831213;12048.722476176;3.4126449630002753
BM(file): files/file_10M;12049.735942728;12053.148657713;3.412714984999184
