Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2se167b5e4 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;14725.696546211;14729.988762892;-100
BM(file): files/file_10M;14725.696546211;14729.988762892;4.292216681000355
BM(file): files/file_10M;14730.99871029;14740.373754928;9.375044637999963
BM(file): files/file_10M;14741.396395278;14747.608421774;6.212026496001272
BM(file): files/file_10M;14748.627717181;14752.629547549;4.00183036800081
BM(file): files/file_10M;14753.642910688;14757.628176023;3.985265334998985
BM(file): files/file_10M;14758.635233347;14763.497322854;4.862089506999837
BM(file): files/file_10M;14764.51150031;14770.888720778;6.377220468000814
BM(file): files/file_10M;14771.896310628;14775.662137237;3.7658266089983954
BM(file): files/file_10M;14776.682716242;14780.494550777;3.8118345350012532
BM(file): files/file_10M;14781.511924711;14785.423945914;3.9120212030011317
BM(file): files/file_10M;14786.430835986;14790.212280601;3.7814446149986907
BM(file): files/file_10M;14791.232479832;14795.616449813;4.383969980999609
BM(file): files/file_10M;14796.630486481;14800.950518598;4.320032116998846
BM(file): files/file_10M;14801.964617148;14807.596930933;5.632313784999496
BM(file): files/file_10M;14808.61479416;14812.620703794;4.005909634001
BM(file): files/file_10M;14813.633365303;14818.422763895;4.789398591999998
BM(file): files/file_10M;14819.435227785;14823.944329077;4.509101292000196
BM(file): files/file_10M;14824.965288821;14828.71312329;3.747834468998917
BM(file): files/file_10M;14829.734393835;14833.54354824;3.8091544050002994
BM(file): files/file_10M;14834.551845518;14838.615180448;4.063334929998746
BM(file): files/file_10M;14839.624799372;14843.652197541;4.027398168998843
BM(file): files/file_10M;14844.665156718;14848.681937457;4.016780739000751
BM(file): files/file_10M;14849.697324877;14854.657122527;4.959797650000837
BM(file): files/file_10M;14855.678857904;14860.765351007;5.086493102999157
BM(file): files/file_10M;14861.782999927;14866.230324458;4.447324531000049
BM(file): files/file_10M;14867.240722593;14870.853975919;3.613253326000631
BM(file): files/file_10M;14871.866318248;14876.038541246;4.172222998000507
BM(file): files/file_10M;14877.044639176;14880.953987209;3.9093480330011516
BM(file): files/file_10M;14881.961685539;14885.969425563;4.007740024000668
BM(file): files/file_10M;14886.979892931;14891.838586094;4.858693162999771
BM(file): files/file_10M;14892.847854913;14896.835924135;3.988069222001286
BM(file): files/file_10M;14897.855539496;14901.698366604;3.8428271079992555
BM(file): files/file_10M;14902.720854838;14906.636474767;3.915619928999149
BM(file): files/file_10M;14907.644442463;14911.461282896;3.8168404329990153
BM(file): files/file_10M;14912.48356793;14916.711114512;4.227546582000286
BM(file): files/file_10M;14917.727831403;14923.969126495;6.241295091998836
BM(file): files/file_10M;14924.987881668;14931.596232937;6.608351269000195
BM(file): files/file_10M;14932.61042144;14936.654854407;4.044432966999011
BM(file): files/file_10M;14937.664795409;14941.941237464;4.276442054999279
BM(file): files/file_10M;14942.952729406;14947.721441406;4.768711999999141
BM(file): files/file_10M;14948.732603225;14953.378302825;4.645699599999716
BM(file): files/file_10M;14954.385571355;14958.498574418;4.113003062999269
BM(file): files/file_10M;14959.50647846;14963.636502201;4.130023740999604
BM(file): files/file_10M;14964.646777526;14971.780709677;7.133932150998589
BM(file): files/file_10M;14972.79223165;14976.829464366;4.037232715998471
BM(file): files/file_10M;14977.839798455;14982.47168932;4.631890865000969
BM(file): files/file_10M;14983.488237112;14987.844145789;4.355908677000116
BM(file): files/file_10M;14988.85515123;14993.358860025;4.503708795000421
BM(file): files/file_10M;14994.371655368;14998.486738032;4.115082663998692
BM(file): files/file_10M;14999.495939087;15003.59703015;4.1010910629993305
BM(file): files/file_10M;15004.608915033;15010.145379901;5.536464867998802
BM(file): files/file_10M;15011.162509935;15016.285207715;5.122697779999726
BM(file): files/file_10M;15017.306189132;15021.317822467;4.011633334999715
BM(file): files/file_10M;15022.343902657;15026.256547854;3.912645197000529
BM(file): files/file_10M;15027.264942633;15031.519255256;4.25431262299935
BM(file): files/file_10M;15032.534961209;15036.828187306;4.293226097001025
BM(file): files/file_10M;15037.842851043;15042.970670296;5.127819252998961
BM(file): files/file_10M;15043.999491287;15050.459591573;6.460100285999943
BM(file): files/file_10M;15051.475204708;15056.726889554;5.251684845999989
BM(file): files/file_10M;15057.74341558;15066.282561669;8.539146089000496
BM(file): files/file_10M;15067.290780564;15071.968153039;4.677372475000084
BM(file): files/file_10M;15072.981226621;15078.216489616;5.235262995000085
BM(file): files/file_10M;15079.231928772;15085.088120703;5.856191930999557
BM(file): files/file_10M;15086.103425863;15090.160981926;4.0575560629986285
BM(file): files/file_10M;15091.16872296;15095.096573892;3.9278509320010926
BM(file): files/file_10M;15096.110491544;15100.687498072;4.57700652800122
BM(file): files/file_10M;15101.69452598;15105.999795502;4.305269522001254
BM(file): files/file_10M;15107.015731728;15112.324675936;5.308944207999957
BM(file): files/file_10M;15113.344909925;15117.945814086;4.600904161001381
BM(file): files/file_10M;15118.954823114;15125.617292579;6.662469464999958
BM(file): files/file_10M;15126.635359094;15130.933783449;4.298424354999952
BM(file): files/file_10M;15131.944761676;15137.081355953;5.136594276998949
BM(file): files/file_10M;15138.098613509;15141.694357127;3.5957436179996876
BM(file): files/file_10M;15142.705419238;15146.311736325;3.606317087000207
BM(file): files/file_10M;15147.342726924;15151.113103789;3.7703768650007987
BM(file): files/file_10M;15152.121176913;15156.186512974;4.065336060999471
BM(file): files/file_10M;15157.195414195;15161.182221136;3.9868069410003955
BM(file): files/file_10M;15162.198272361;15166.150389449;3.9521170879997953
BM(file): files/file_10M;15167.16647947;15172.017723507;4.851244037001379
BM(file): files/file_10M;15173.029535814;15177.46329732;4.433761506001247
BM(file): files/file_10M;15178.473035107;15184.933822758;6.460787650999919
BM(file): files/file_10M;15185.949547038;15190.616165996;4.666618957999162
BM(file): files/file_10M;15191.624218897;15196.372366503;4.748147605998383
BM(file): files/file_10M;15197.392323464;15206.161355006;8.769031541998629
BM(file): files/file_10M;15207.175829992;15210.718103684;3.542273691999071
BM(file): files/file_10M;15211.735600376;15215.907339144;4.171738768000068
BM(file): files/file_10M;15216.920307452;15220.935755052;4.015447600000698
BM(file): files/file_10M;15221.945876912;15225.790705381;3.8448284690002765
BM(file): files/file_10M;15226.798358674;15230.856745014;4.058386340000652
BM(file): files/file_10M;15231.865209111;15236.796395333;4.9311862220001785
BM(file): files/file_10M;15237.811279218;15241.616789258;3.8055100399997173
BM(file): files/file_10M;15242.62795406;15248.820609291;6.192655230999662
BM(file): files/file_10M;15249.835198179;15253.94944036;4.114242181000009
BM(file): files/file_10M;15254.960584586;15259.510559316;4.549974730000031
BM(file): files/file_10M;15260.530376064;15265.692624272;5.162248208000165
