Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2safe72297 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;15386.67918746;15387.65196561;-100
BM(file): files/file_1M;15386.67918746;15387.65196561;0.9727781500005221
BM(file): files/file_1M;15391.64788902;15392.607391204;0.9595021839995752
BM(file): files/file_1M;15393.624321134;15394.728242518;1.1039213839994773
BM(file): files/file_1M;15395.747919814;15396.707767229;0.959847414998876
BM(file): files/file_1M;15397.724857719;15398.723512025;0.9986543060003896
BM(file): files/file_1M;15399.738298015;15400.711598595;0.9733005800007959
BM(file): files/file_1M;15401.72414046;15402.724422338;1.0002818779994413
BM(file): files/file_1M;15403.742094178;15404.713415999;0.9713218209999468
BM(file): files/file_1M;15405.730522139;15406.734128662;1.0036065229996893
BM(file): files/file_1M;15407.751249403;15408.722407129;0.971157726000456
BM(file): files/file_1M;15409.737464563;15410.696616921;0.9591523580002104
BM(file): files/file_1M;15411.71187857;15412.954334673;1.2424561030002224
BM(file): files/file_1M;15413.974516727;15414.956109464;0.9815927370000281
BM(file): files/file_1M;15415.968210535;15416.939703163;0.9714926279993961
BM(file): files/file_1M;15417.957346227;15418.930675886;0.9733296590002283
BM(file): files/file_1M;15419.947322911;15420.91145227;0.9641293589993438
BM(file): files/file_1M;15421.9294273;15422.913985808;0.9845585080001911
BM(file): files/file_1M;15423.928575475;15424.994403057;1.0658275820005656
BM(file): files/file_1M;15426.007637917;15426.977714578;0.9700766610003484
BM(file): files/file_1M;15427.998265187;15428.999451509;1.001186322000649
BM(file): files/file_1M;15430.013137268;15431.013348917;1.0002116489995387
BM(file): files/file_1M;15432.025381705;15433.139169222;1.1137875170006737
BM(file): files/file_1M;15434.15370804;15435.127205346;0.973497306000354
BM(file): files/file_1M;15436.140597543;15437.122554678;0.9819571349999023
BM(file): files/file_1M;15438.138673427;15439.11546057;0.9767871429994557
BM(file): files/file_1M;15440.132228767;15441.102921798;0.9706930310003372
BM(file): files/file_1M;15442.121187808;15443.108347477;0.9871596690009028
BM(file): files/file_1M;15444.131992672;15445.105697003;0.9737043309996807
BM(file): files/file_1M;15446.116923422;15447.102118409;0.9851949870007957
BM(file): files/file_1M;15448.117970072;15449.083635986;0.9656659140000556
BM(file): files/file_1M;15450.107590463;15451.276944119;1.1693536559996573
BM(file): files/file_1M;15452.29349789;15453.280576292;0.9870784020004066
BM(file): files/file_1M;15454.297363351;15455.279750344;0.9823869930005458
BM(file): files/file_1M;15456.303493311;15457.281214491;0.9777211800010264
BM(file): files/file_1M;15458.303838619;15459.288910108;0.9850714889998926
BM(file): files/file_1M;15460.305108154;15461.276769959;0.9716618050006218
BM(file): files/file_1M;15462.291915604;15463.278202892;0.9862872879984934
BM(file): files/file_1M;15464.298388447;15465.248879385;0.9504909380011668
BM(file): files/file_1M;15466.264726838;15467.242745683;0.9780188449985872
BM(file): files/file_1M;15468.263097678;15469.234714362;0.9716166840007645
BM(file): files/file_1M;15470.250239052;15471.426585632;1.1763465799995174
BM(file): files/file_1M;15472.44559606;15473.41639945;0.970803389998764
BM(file): files/file_1M;15474.445559108;15475.565380063;1.1198209550002503
BM(file): files/file_1M;15476.593784157;15477.582455815;0.9886716580003849
BM(file): files/file_1M;15478.601287224;15479.70645419;1.1051669659991603
BM(file): files/file_1M;15480.727768973;15481.728307157;1.0005381840001064
BM(file): files/file_1M;15482.746174149;15483.714677536;0.9685033869991457
BM(file): files/file_1M;15484.734604535;15485.864535308;1.129930772998705
BM(file): files/file_1M;15486.880184635;15487.868365649;0.988181013999565
BM(file): files/file_1M;15488.886311744;15490.012441035;1.1261292910003249
BM(file): files/file_1M;15491.029187137;15492.022418157;0.9932310200001666
BM(file): files/file_1M;15493.037886189;15494.01125616;0.9733699709995562
BM(file): files/file_1M;15495.033821123;15495.995384836;0.9615637130009418
BM(file): files/file_1M;15497.009257919;15497.98545968;0.9762017609991744
BM(file): files/file_1M;15498.996859685;15499.963582185;0.9667225000011967
BM(file): files/file_1M;15500.975183071;15501.949595689;0.9744126180012245
BM(file): files/file_1M;15502.959739099;15503.934992654;0.9752535549996537
BM(file): files/file_1M;15504.958932813;15506.098382167;1.1394493539992254
BM(file): files/file_1M;15507.131730843;15508.267304894;1.1355740509989118
BM(file): files/file_1M;15509.283500956;15510.389976302;1.10647534599957
BM(file): files/file_1M;15511.403634381;15512.379660613;0.97602623199964
BM(file): files/file_1M;15513.391296678;15514.481625316;1.0903286379998463
BM(file): files/file_1M;15515.494796627;15516.545770717;1.0509740900015458
BM(file): files/file_1M;15517.559229466;15518.629576891;1.0703474250003637
BM(file): files/file_1M;15519.649195872;15520.693160106;1.0439642340006685
BM(file): files/file_1M;15521.701387695;15522.64040883;0.9390211350000754
BM(file): files/file_1M;15523.654409399;15524.720578451;1.066169052000987
BM(file): files/file_1M;15525.737782963;15526.839262123;1.101479159999144
BM(file): files/file_1M;15527.859487768;15529.068309842;1.2088220739988174
BM(file): files/file_1M;15530.07739419;15531.034989996;0.9575958059995173
BM(file): files/file_1M;15532.047408881;15533.013450438;0.9660415569996985
BM(file): files/file_1M;15534.026200762;15535.008928955;0.982728192999275
BM(file): files/file_1M;15536.018903034;15537.092089123;1.0731860889991367
BM(file): files/file_1M;15538.099218669;15539.129574886;1.0303562169992802
BM(file): files/file_1M;15540.141808767;15541.13066759;0.9888588229987363
BM(file): files/file_1M;15542.144200566;15543.130611456;0.9864108900001156
BM(file): files/file_1M;15544.145156092;15545.111098448;0.9659423560005962
BM(file): files/file_1M;15546.119723451;15547.251831587;1.13210813600017
BM(file): files/file_1M;15548.267172373;15549.254566032;0.9873936589992809
BM(file): files/file_1M;15550.266827745;15551.361908843;1.0950810980011738
BM(file): files/file_1M;15552.374872714;15553.3459675;0.9710947860003216
BM(file): files/file_1M;15554.354832548;15555.308984769;0.9541522210001858
BM(file): files/file_1M;15556.328275626;15557.301694698;0.9734190720009792
BM(file): files/file_1M;15558.315735499;15559.299869517;0.9841340180009865
BM(file): files/file_1M;15560.317281986;15561.299875594;0.9825936080014799
BM(file): files/file_1M;15562.307623239;15563.239769297;0.9321460580013081
BM(file): files/file_1M;15564.257603705;15565.24653572;0.988932014999591
BM(file): files/file_1M;15566.262551821;15567.34864733;1.0860955089992785
BM(file): files/file_1M;15568.368549733;15569.33579686;0.9672471269987
BM(file): files/file_1M;15570.345898777;15571.294820364;0.9489215870016778
BM(file): files/file_1M;15572.314647594;15573.293044798;0.9783972040004301
BM(file): files/file_1M;15574.311649825;15575.301526822;0.989876997000465
BM(file): files/file_1M;15576.314526933;15577.285275845;0.9707489120009996
BM(file): files/file_1M;15578.31051433;15579.294425973;0.9839116429993737
