Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s409b145b --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2772.594474372;2772.742472155;0.14799778299993704
BM(file): files/file_500K;2777.008412847;2777.185103034;0.17669018700007655
BM(file): files/file_500K;2778.193579869;2778.339695521;0.14611565199993493
BM(file): files/file_500K;2779.34974773;2779.549658831;0.19991110099999787
BM(file): files/file_500K;2780.555605554;2780.68541347;0.12980791600011798
BM(file): files/file_500K;2781.695601057;2781.922343495;0.22674243799974647
BM(file): files/file_500K;2782.935631392;2783.066909959;0.13127856700020857
BM(file): files/file_500K;2784.075635029;2784.265958448;0.19032341900037864
BM(file): files/file_500K;2785.27369507;2785.400472419;0.12677734899989446
BM(file): files/file_500K;2786.408789943;2786.563941352;0.15515140899969992
BM(file): files/file_500K;2787.57826143;2787.729926007;0.1516645769997922
BM(file): files/file_500K;2788.737137851;2788.928714468;0.19157661700000972
BM(file): files/file_500K;2789.938656992;2790.062410107;0.12375311499999953
BM(file): files/file_500K;2791.077908846;2791.285556919;0.20764807300020038
BM(file): files/file_500K;2792.292552824;2792.420443037;0.12789021300022796
BM(file): files/file_500K;2793.435158433;2793.593406942;0.15824850899980447
BM(file): files/file_500K;2794.607366808;2794.754896394;0.14752958600001875
BM(file): files/file_500K;2795.762839997;2795.958934569;0.19609457200022007
BM(file): files/file_500K;2796.965402926;2797.108105876;0.14270295000005717
BM(file): files/file_500K;2798.124427835;2798.353876332;0.22944849699979386
BM(file): files/file_500K;2799.362765636;2799.490572946;0.1278073100002075
BM(file): files/file_500K;2800.502353848;2800.666050777;0.16369692899979782
BM(file): files/file_500K;2801.679836808;2801.836232317;0.15639550900004906
BM(file): files/file_500K;2802.85091913;2803.05445132;0.20353219000026002
BM(file): files/file_500K;2804.065528526;2804.192876758;0.12734823199980383
BM(file): files/file_500K;2805.206386348;2805.400284923;0.19389857500027574
BM(file): files/file_500K;2806.406618235;2806.532620537;0.12600230199996076
BM(file): files/file_500K;2807.544984945;2807.703954501;0.15896955600010187
BM(file): files/file_500K;2808.715946799;2808.873373507;0.1574267080000027
BM(file): files/file_500K;2809.883292716;2810.07996176;0.19666904399991836
BM(file): files/file_500K;2811.086319027;2811.219348347;0.13302931999987777
BM(file): files/file_500K;2812.237453784;2812.44026058;0.2028067960000044
BM(file): files/file_500K;2813.447626817;2813.574649607;0.12702278999995542
BM(file): files/file_500K;2814.586216959;2814.735911249;0.14969428999984302
BM(file): files/file_500K;2815.74741462;2815.890412662;0.14299804199981736
BM(file): files/file_500K;2816.900928165;2817.060803052;0.15987488700011454
BM(file): files/file_500K;2818.075982218;2818.31393482;0.23795260200040502
BM(file): files/file_500K;2819.324184569;2819.540727024;0.21654245499985336
BM(file): files/file_500K;2820.548644265;2820.678986695;0.13034242999992784
BM(file): files/file_500K;2821.686696743;2821.857605451;0.1709087079998426
BM(file): files/file_500K;2822.864257755;2822.993281592;0.12902383700020437
BM(file): files/file_500K;2824.011388064;2824.178571272;0.16718320800009678
BM(file): files/file_500K;2825.191222735;2825.328616185;0.13739345000021785
BM(file): files/file_500K;2826.333696235;2826.491533869;0.15783763399986128
BM(file): files/file_500K;2827.501338542;2827.631738447;0.13039990499964915
BM(file): files/file_500K;2828.644306967;2828.85136629;0.2070593230000668
BM(file): files/file_500K;2829.862900191;2829.994173281;0.13127308999992238
BM(file): files/file_500K;2831.008492571;2831.180282609;0.17179003800038117
BM(file): files/file_500K;2832.191394418;2832.338301008;0.14690659000007145
BM(file): files/file_500K;2833.349867801;2833.556271798;0.2064039970000522
BM(file): files/file_500K;2834.565945462;2834.697224893;0.13127943100016637
BM(file): files/file_500K;2835.713417285;2835.951921964;0.23850467900001604
BM(file): files/file_500K;2836.959766726;2837.087776495;0.128009769000073
BM(file): files/file_500K;2838.100162502;2838.269017229;0.16885472700005266
BM(file): files/file_500K;2839.281670967;2839.531227721;0.24955675399996835
BM(file): files/file_500K;2840.5573652;2840.731429584;0.1740643840003031
BM(file): files/file_500K;2841.745159377;2841.900369725;0.155210347999855
BM(file): files/file_500K;2842.910221901;2843.105123863;0.19490196199967613
BM(file): files/file_500K;2844.112735613;2844.238554534;0.12581892099979086
BM(file): files/file_500K;2845.246859853;2845.439779877;0.19292002400015917
BM(file): files/file_500K;2846.446137523;2846.571699112;0.12556158899997172
BM(file): files/file_500K;2847.585243871;2847.743403063;0.15815919200031203
BM(file): files/file_500K;2848.753418628;2848.910729146;0.15731051800003115
BM(file): files/file_500K;2849.924763825;2850.140874384;0.21611055900029896
BM(file): files/file_500K;2851.150152769;2851.279340499;0.12918773000001238
BM(file): files/file_500K;2852.313221524;2852.521697028;0.20847550400003456
BM(file): files/file_500K;2853.531556875;2853.658486413;0.12692953799978568
BM(file): files/file_500K;2854.679977684;2854.831346261;0.15136857700008477
BM(file): files/file_500K;2855.844641275;2855.99277052;0.14812924499983637
BM(file): files/file_500K;2857.004679908;2857.157749682;0.15306977399995958
BM(file): files/file_500K;2858.174232566;2858.323532791;0.1493002250003883
BM(file): files/file_500K;2859.332771555;2859.51398338;0.18121182499999122
BM(file): files/file_500K;2860.521282552;2860.652731665;0.13144911300014428
BM(file): files/file_500K;2861.665519763;2862.000265844;0.33474608100004843
BM(file): files/file_500K;2863.01013584;2863.139511348;0.12937550799961173
BM(file): files/file_500K;2864.1589507;2864.353559721;0.19460902099990562
BM(file): files/file_500K;2865.369386418;2865.523506641;0.15412022300006356
BM(file): files/file_500K;2866.542554109;2866.703998642;0.16144453300012174
BM(file): files/file_500K;2867.721768069;2867.882206093;0.16043802400008644
BM(file): files/file_500K;2868.89280369;2869.104808006;0.2120043159998204
BM(file): files/file_500K;2870.113168133;2870.243949965;0.13078183200013882
BM(file): files/file_500K;2871.264822072;2871.489322107;0.22450003500034654
BM(file): files/file_500K;2872.497691812;2872.629363869;0.13167205699983242
BM(file): files/file_500K;2873.64273916;2873.800387992;0.1576488320001772
BM(file): files/file_500K;2874.808235392;2874.952905425;0.14467003300023862
BM(file): files/file_500K;2875.959650994;2876.142567973;0.18291697899985593
BM(file): files/file_500K;2877.151427256;2877.280348951;0.12892169500037198
BM(file): files/file_500K;2878.312955495;2878.518312165;0.20535667000012836
BM(file): files/file_500K;2879.528239623;2879.667583632;0.1393440090000695
BM(file): files/file_500K;2880.678279452;2880.815526977;0.1372475250000207
BM(file): files/file_500K;2881.823229814;2881.953895668;0.13066585399974429
BM(file): files/file_500K;2882.964439269;2883.26603329;0.3015940209998007
BM(file): files/file_500K;2884.272907111;2884.404901987;0.13199487599968052
BM(file): files/file_500K;2885.414161691;2885.59748145;0.18331975899991448
