Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sa167e7dc --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2919.123193719;2919.278889544;0.1556958249998388
BM(file): files/file_500K;2924.232164075;2924.436681326;0.20451725099974283
BM(file): files/file_500K;2925.444709585;2925.5792842;0.13457461500001955
BM(file): files/file_500K;2926.587624521;2926.763890659;0.17626613799984625
BM(file): files/file_500K;2927.773911938;2927.905666809;0.13175487100033934
BM(file): files/file_500K;2928.914767923;2929.112951012;0.19818308899994008
BM(file): files/file_500K;2930.122684069;2930.25649014;0.13380607099998088
BM(file): files/file_500K;2931.273263398;2931.482584863;0.20932146499990267
BM(file): files/file_500K;2932.489618287;2932.718172118;0.2285538309997719
BM(file): files/file_500K;2933.737995204;2933.912093496;0.17409829200005333
BM(file): files/file_500K;2934.924141526;2935.077232347;0.15309082100020532
BM(file): files/file_500K;2936.087129653;2936.274607854;0.18747820099997625
BM(file): files/file_500K;2937.280331199;2937.40958605;0.12925485100004153
BM(file): files/file_500K;2938.440603572;2938.671775127;0.23117155499994624
BM(file): files/file_500K;2939.681499271;2939.823090223;0.14159095199966032
BM(file): files/file_500K;2940.843876711;2941.089727949;0.2458512379998865
BM(file): files/file_500K;2942.098822325;2942.229873252;0.13105092699970555
BM(file): files/file_500K;2943.246151832;2943.420217853;0.17406602099981683
BM(file): files/file_500K;2944.433295401;2944.592215992;0.15892059099996914
BM(file): files/file_500K;2945.600895616;2945.789528898;0.18863328199995522
BM(file): files/file_500K;2946.796506721;2946.928609923;0.132103202000053
BM(file): files/file_500K;2947.941162885;2948.143310374;0.2021474890002537
BM(file): files/file_500K;2949.150383188;2949.291959325;0.1415761369999018
BM(file): files/file_500K;2950.300746387;2950.483599304;0.18285291700021844
BM(file): files/file_500K;2951.493867571;2951.63893668;0.14506910899990544
BM(file): files/file_500K;2952.652281382;2952.822223238;0.1699418559996957
BM(file): files/file_500K;2953.835872585;2953.990852972;0.15498038700025063
BM(file): files/file_500K;2955.002393137;2955.194545788;0.19215265100001488
BM(file): files/file_500K;2956.202848045;2956.440553209;0.23770516400009
BM(file): files/file_500K;2957.446659408;2957.650368069;0.20370866099983687
BM(file): files/file_500K;2958.661590026;2958.797374927;0.13578490100007912
BM(file): files/file_500K;2959.809817792;2960.008708348;0.19889055599969652
BM(file): files/file_500K;2961.016627078;2961.150663207;0.13403612899992368
BM(file): files/file_500K;2962.169338571;2962.340512883;0.17117431199994826
BM(file): files/file_500K;2963.359180304;2963.519637708;0.16045740400022623
BM(file): files/file_500K;2964.52784782;2964.708150857;0.18030303700015793
BM(file): files/file_500K;2965.71893294;2965.856691591;0.1377586510002402
BM(file): files/file_500K;2966.869223007;2967.086497648;0.21727464100013094
BM(file): files/file_500K;2968.096723877;2968.234270322;0.1375464450002255
BM(file): files/file_500K;2969.248742963;2969.423475469;0.17473250600005485
BM(file): files/file_500K;2970.434596783;2970.601806803;0.16721001999985674
BM(file): files/file_500K;2971.617985167;2971.818616443;0.20063127599996733
BM(file): files/file_500K;2972.826773743;2972.966821984;0.1400482409999313
BM(file): files/file_500K;2973.981907778;2974.185609482;0.2037017040001956
BM(file): files/file_500K;2975.194300487;2975.33374343;0.13944294300017646
BM(file): files/file_500K;2976.361995328;2976.585759966;0.22376463799992052
BM(file): files/file_500K;2977.594335124;2977.726298915;0.13196379100008926
BM(file): files/file_500K;2978.739752828;2978.90895052;0.16919769200012524
BM(file): files/file_500K;2979.922371572;2980.210410573;0.28803900100001556
BM(file): files/file_500K;2981.21910911;2981.419492657;0.20038354700000127
BM(file): files/file_500K;2982.427717452;2982.561153857;0.1334364050003387
BM(file): files/file_500K;2983.573688691;2983.777202498;0.20351380700003574
BM(file): files/file_500K;2984.78469727;2984.91858802;0.13389074999986406
BM(file): files/file_500K;2985.933652796;2986.160869014;0.2272162180001942
BM(file): files/file_500K;2987.168991033;2987.305312324;0.1363212910000584
BM(file): files/file_500K;2988.320640175;2988.485672573;0.1650323980002213
BM(file): files/file_500K;2989.50123565;2989.655849932;0.154614281999784
BM(file): files/file_500K;2990.663784782;2990.878641323;0.21485654099979
BM(file): files/file_500K;2991.888061585;2992.021884179;0.13382259400032126
BM(file): files/file_500K;2993.030462317;2993.208357465;0.17789514800006145
BM(file): files/file_500K;2994.214828793;2994.348583098;0.13375430499991126
BM(file): files/file_500K;2995.366348655;2995.557108796;0.1907601410002826
BM(file): files/file_500K;2996.565490473;2996.699853582;0.13436310899987802
BM(file): files/file_500K;2997.711746119;2997.888632718;0.1768865989997721
BM(file): files/file_500K;2998.902314506;2999.107877842;0.20556333600006838
BM(file): files/file_500K;3000.116614901;3000.358657928;0.24204302699990876
BM(file): files/file_500K;3001.365409637;3001.500177844;0.13476820699997916
BM(file): files/file_500K;3002.516275753;3002.748873181;0.23259742799973537
BM(file): files/file_500K;3003.758726383;3004.050373647;0.29164726399994834
BM(file): files/file_500K;3005.064229344;3005.283862371;0.21963302699987253
BM(file): files/file_500K;3006.29222058;3006.439487363;0.14726678299984997
BM(file): files/file_500K;3007.445900931;3007.644805058;0.19890412700033266
BM(file): files/file_500K;3008.654314854;3008.790182714;0.1358678599999621
BM(file): files/file_500K;3009.812424471;3009.984375478;0.1719510069997341
BM(file): files/file_500K;3010.993056664;3011.208599851;0.2155431870000939
BM(file): files/file_500K;3012.216761127;3012.404327214;0.18756608700005017
BM(file): files/file_500K;3013.41377919;3013.551161164;0.1373819740001636
BM(file): files/file_500K;3014.562362097;3014.784129097;0.22176699999999983
BM(file): files/file_500K;3015.789971419;3015.927245021;0.1372736020002776
BM(file): files/file_500K;3016.936793748;3017.174620507;0.23782675899974492
BM(file): files/file_500K;3018.182922436;3018.337933152;0.15501071600010619
BM(file): files/file_500K;3019.356928638;3019.58367027;0.22674163199963004
BM(file): files/file_500K;3020.59686547;3020.860784688;0.26391921799995544
BM(file): files/file_500K;3021.869715336;3022.09576934;0.2260540040001615
BM(file): files/file_500K;3023.101546912;3023.255773291;0.15422637900019254
BM(file): files/file_500K;3024.273697274;3024.500109622;0.2264123479999398
BM(file): files/file_500K;3025.514317395;3025.659596679;0.14527928400002565
BM(file): files/file_500K;3026.674512892;3027.035224152;0.36071125999978904
BM(file): files/file_500K;3028.042339675;3028.200442374;0.15810269899975538
BM(file): files/file_500K;3029.209406981;3029.426214732;0.21680775100003302
BM(file): files/file_500K;3030.434580343;3030.588778734;0.15419839099968158
BM(file): files/file_500K;3031.598173124;3031.897906899;0.2997337750002771
BM(file): files/file_500K;3032.909063749;3033.054910721;0.14584697200007213
BM(file): files/file_500K;3034.07071699;3034.311692927;0.2409759369998028
BM(file): files/file_500K;3035.323725693;3035.459975808;0.1362501149997115
