Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4ef1e839 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2438.547826327;2438.765318731;0.21749240400004055
BM(file): files/file_500K;2442.542555302;2442.761577408;0.21902210600001126
BM(file): files/file_500K;2443.767533991;2443.963295028;0.19576103700001113
BM(file): files/file_500K;2444.971540954;2445.218945019;0.24740406499995515
BM(file): files/file_500K;2446.225652567;2446.41870215;0.1930495830001746
BM(file): files/file_500K;2447.427630956;2447.666260465;0.23862950900002033
BM(file): files/file_500K;2448.677255739;2448.876700904;0.19944516499981546
BM(file): files/file_500K;2449.884170749;2450.130770896;0.24660014699975363
BM(file): files/file_500K;2451.139190413;2451.343497531;0.20430711800008794
BM(file): files/file_500K;2452.350896086;2452.598568796;0.2476727100001881
BM(file): files/file_500K;2453.605854894;2453.803769501;0.19791460699980234
BM(file): files/file_500K;2454.812367397;2455.094613603;0.28224620600030903
BM(file): files/file_500K;2456.106475555;2456.302171882;0.19569632699995054
BM(file): files/file_500K;2457.314363795;2457.579555326;0.2651915309998003
BM(file): files/file_500K;2458.589815649;2458.78732108;0.19750543100008144
BM(file): files/file_500K;2459.799183868;2460.089587115;0.2904032470000857
BM(file): files/file_500K;2461.099786149;2461.302335954;0.20254980499976227
BM(file): files/file_500K;2462.312726072;2462.581916332;0.2691902600004141
BM(file): files/file_500K;2463.590357026;2463.785338813;0.1949817869999606
BM(file): files/file_500K;2464.801125789;2465.170532383;0.3694065940003384
BM(file): files/file_500K;2466.180557548;2466.377350404;0.19679285600022922
BM(file): files/file_500K;2467.3853331;2467.657295792;0.27196269199976086
BM(file): files/file_500K;2468.670195553;2468.865711919;0.19551636599999256
BM(file): files/file_500K;2469.874396369;2470.108738669;0.23434230000020762
BM(file): files/file_500K;2471.120701884;2471.319671074;0.19896918999984337
BM(file): files/file_500K;2472.32979707;2472.5744956;0.24469852999982322
BM(file): files/file_500K;2473.585097349;2473.78213521;0.19703786099989884
BM(file): files/file_500K;2474.802766379;2475.082863598;0.28009721900025397
BM(file): files/file_500K;2476.091559713;2476.286310875;0.1947511619996476
BM(file): files/file_500K;2477.300725765;2477.569752241;0.26902647599990814
BM(file): files/file_500K;2478.580322322;2478.781106234;0.20078391200013357
BM(file): files/file_500K;2479.815953638;2480.077609897;0.26165625900011946
BM(file): files/file_500K;2481.086654804;2481.286310896;0.19965609200016843
BM(file): files/file_500K;2482.305623517;2482.574369661;0.2687461440000334
BM(file): files/file_500K;2483.581096179;2483.775176632;0.19408045299996957
BM(file): files/file_500K;2484.796621762;2485.065079264;0.2684575019998192
BM(file): files/file_500K;2486.076792972;2486.275646717;0.1988537450001786
BM(file): files/file_500K;2487.289929019;2487.622571153;0.33264213400025255
BM(file): files/file_500K;2488.631947182;2488.917117132;0.28516994999972667
BM(file): files/file_500K;2489.926770995;2490.169087239;0.24231624399999419
BM(file): files/file_500K;2491.177652638;2491.371880141;0.19422750300009284
BM(file): files/file_500K;2492.379832908;2492.645105246;0.2652723380001589
BM(file): files/file_500K;2493.655263732;2493.860097638;0.20483390599974882
BM(file): files/file_500K;2494.875791068;2495.135332275;0.25954120699998384
BM(file): files/file_500K;2496.145132339;2496.342553598;0.19742125899983876
BM(file): files/file_500K;2497.363824137;2497.641390124;0.277565986999889
BM(file): files/file_500K;2498.653093444;2498.856836836;0.20374339199997848
BM(file): files/file_500K;2499.872592759;2500.115242498;0.2426497390001714
BM(file): files/file_500K;2501.125215596;2501.319679703;0.19446410699993066
BM(file): files/file_500K;2502.333874571;2502.612639649;0.27876507800010586
BM(file): files/file_500K;2503.623738998;2503.821363178;0.19762417999982063
BM(file): files/file_500K;2504.833368029;2505.138210655;0.3048426259997541
BM(file): files/file_500K;2506.147250614;2506.362193075;0.21494246100019154
BM(file): files/file_500K;2507.376372976;2507.64140477;0.2650317940001514
BM(file): files/file_500K;2508.651419854;2508.847748974;0.19632911999997305
BM(file): files/file_500K;2509.872499014;2510.141856607;0.26935759300022255
BM(file): files/file_500K;2511.151944478;2511.353354061;0.20140958299998601
BM(file): files/file_500K;2512.379773772;2512.658362352;0.27858857999990505
BM(file): files/file_500K;2513.666061744;2513.961955856;0.29589411199958704
BM(file): files/file_500K;2514.97561649;2515.25514931;0.2795328199999858
BM(file): files/file_500K;2516.263150742;2516.461438754;0.19828801199992085
BM(file): files/file_500K;2517.467671254;2517.712779801;0.2451085470001999
BM(file): files/file_500K;2518.722184192;2518.921980687;0.19979649500010055
BM(file): files/file_500K;2519.930295358;2520.209941845;0.279646486999809
BM(file): files/file_500K;2521.222694582;2521.423650848;0.20095626600004834
BM(file): files/file_500K;2522.431802469;2522.684266849;0.2524643799997648
BM(file): files/file_500K;2523.694323019;2523.890807398;0.1964843790001396
BM(file): files/file_500K;2524.90387054;2525.571225437;0.667354897000223
BM(file): files/file_500K;2526.585877681;2526.806437517;0.2205598360001204
BM(file): files/file_500K;2527.814112463;2528.064899502;0.250787038999988
BM(file): files/file_500K;2529.071209811;2529.265057497;0.19384768600002644
BM(file): files/file_500K;2530.288182198;2530.567218932;0.27903673399987383
BM(file): files/file_500K;2531.578907266;2531.781871313;0.20296404700002313
BM(file): files/file_500K;2532.800784396;2533.059092437;0.25830804099996385
BM(file): files/file_500K;2534.06552677;2534.260172323;0.19464555300010034
BM(file): files/file_500K;2535.275875251;2535.571692259;0.2958170080000855
BM(file): files/file_500K;2536.583194574;2536.787494576;0.20430000199985443
BM(file): files/file_500K;2537.795088693;2538.094934295;0.2998456020000049
BM(file): files/file_500K;2539.115206992;2539.331993887;0.2167868950000411
BM(file): files/file_500K;2540.343260811;2540.611460928;0.2682001169996511
BM(file): files/file_500K;2541.621854717;2541.817521025;0.19566630799999984
BM(file): files/file_500K;2542.830618826;2543.128951545;0.2983327189999727
BM(file): files/file_500K;2544.137627145;2544.339565762;0.20193861699999616
BM(file): files/file_500K;2545.353523517;2545.619678492;0.2661549749996084
BM(file): files/file_500K;2546.629792674;2546.831874305;0.2020816310000555
BM(file): files/file_500K;2547.847324892;2548.17485523;0.3275303380000878
BM(file): files/file_500K;2549.18511282;2549.386265002;0.20115218199998708
BM(file): files/file_500K;2550.402465627;2550.674285638;0.27182001100027264
BM(file): files/file_500K;2551.684967886;2551.879229576;0.19426169000007576
BM(file): files/file_500K;2552.897490453;2553.163595698;0.2661052449998351
BM(file): files/file_500K;2554.171137495;2554.36750038;0.1963628849998713
BM(file): files/file_500K;2555.374130663;2555.582815057;0.20868439400010175
BM(file): files/file_500K;2556.596499258;2556.823209579;0.22671032099970034
BM(file): files/file_500K;2557.834801592;2558.085723723;0.2509221309996974
BM(file): files/file_500K;2559.096396599;2559.292105923;0.19570932399983576
