Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s28e9e686 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2614.591487628;2614.875226;0.28373837200024354
BM(file): files/file_500K;2618.25737244;2618.491804907;0.23443246700026066
BM(file): files/file_500K;2619.498445188;2619.696131755;0.1976865669998915
BM(file): files/file_500K;2620.70421862;2620.957235892;0.2530172719998518
BM(file): files/file_500K;2621.965583083;2622.165806187;0.20022310399963317
BM(file): files/file_500K;2623.174511744;2623.419522251;0.24501050700018823
BM(file): files/file_500K;2624.429662227;2624.635698518;0.20603629100014587
BM(file): files/file_500K;2625.641787946;2625.903972829;0.26218488299991805
BM(file): files/file_500K;2626.915931216;2627.112293477;0.1963622610001039
BM(file): files/file_500K;2628.122384544;2628.408992164;0.28660762000026807
BM(file): files/file_500K;2629.417734209;2629.616910796;0.19917658699978347
BM(file): files/file_500K;2630.630595374;2630.904375685;0.2737803109998822
BM(file): files/file_500K;2631.912847164;2632.109987706;0.1971405419999428
BM(file): files/file_500K;2633.119419473;2633.3683762;0.24895672699994975
BM(file): files/file_500K;2634.376212233;2634.666451052;0.2902388190000238
BM(file): files/file_500K;2635.67489858;2635.92213689;0.24723830999982965
BM(file): files/file_500K;2636.932362757;2637.139794709;0.20743195199975162
BM(file): files/file_500K;2638.147967669;2638.407946862;0.2599791929997082
BM(file): files/file_500K;2639.417979953;2639.6156452;0.19766524699980437
BM(file): files/file_500K;2640.624486476;2640.874724884;0.2502384079998592
BM(file): files/file_500K;2641.882713516;2642.081477996;0.19876448000013625
BM(file): files/file_500K;2643.088781525;2643.343423948;0.2546424229999502
BM(file): files/file_500K;2644.349539622;2644.545403208;0.1958635860000868
BM(file): files/file_500K;2645.55376939;2645.81249203;0.25872264000008727
BM(file): files/file_500K;2646.822885969;2647.019173782;0.19628781300025366
BM(file): files/file_500K;2648.03572235;2648.303850681;0.26812833099984346
BM(file): files/file_500K;2649.314178053;2649.518582993;0.20440494000013132
BM(file): files/file_500K;2650.530807496;2650.784545661;0.2537381649999588
BM(file): files/file_500K;2651.795679266;2652.001638486;0.20595921999984057
BM(file): files/file_500K;2653.019966105;2653.288651973;0.26868586799992045
BM(file): files/file_500K;2654.296465938;2654.502702337;0.206236398999863
BM(file): files/file_500K;2655.522610906;2655.776847688;0.25423678200013455
BM(file): files/file_500K;2656.787531281;2656.99423799;0.2067067089997181
BM(file): files/file_500K;2658.013863073;2658.391629988;0.37776691500039306
BM(file): files/file_500K;2659.399896077;2659.602965052;0.20306897499995102
BM(file): files/file_500K;2660.614748161;2660.886254434;0.2715062729998863
BM(file): files/file_500K;2661.896851603;2662.111197494;0.21434589099999357
BM(file): files/file_500K;2663.117576483;2663.369851168;0.25227468499997485
BM(file): files/file_500K;2664.377947036;2664.584695571;0.20674853499986057
BM(file): files/file_500K;2665.593475307;2665.858299545;0.2648242380000738
BM(file): files/file_500K;2666.867347771;2667.068612932;0.20126516100026492
BM(file): files/file_500K;2668.081162345;2668.341628973;0.2604666279999037
BM(file): files/file_500K;2669.352927903;2669.55422174;0.20129383699986647
BM(file): files/file_500K;2670.570389079;2670.811360233;0.24097115399990798
BM(file): files/file_500K;2671.81961648;2672.014802645;0.19518616499999553
BM(file): files/file_500K;2673.029067063;2673.288117164;0.25905010099995707
BM(file): files/file_500K;2674.295564292;2674.500466105;0.2049018130001059
BM(file): files/file_500K;2675.510737663;2675.749349195;0.23861153200004992
BM(file): files/file_500K;2676.757673137;2676.962658547;0.20498541000006298
BM(file): files/file_500K;2677.976180527;2678.232450712;0.25627018500017584
BM(file): files/file_500K;2679.241052796;2679.439084894;0.19803209800011246
BM(file): files/file_500K;2680.454459157;2680.72782607;0.27336691299979066
BM(file): files/file_500K;2681.737628846;2682.025602336;0.28797348999978567
BM(file): files/file_500K;2683.04342114;2683.255588734;0.2121675939997658
BM(file): files/file_500K;2684.265920864;2684.474488801;0.20856793700022536
BM(file): files/file_500K;2685.494643141;2685.708165592;0.21352245100024447
BM(file): files/file_500K;2686.717518641;2686.93129506;0.21377641900016897
BM(file): files/file_500K;2687.954207484;2688.169893304;0.21568582000008973
BM(file): files/file_500K;2689.179316408;2689.422151223;0.24283481500015114
BM(file): files/file_500K;2690.430439717;2690.624658323;0.19421860600004948
BM(file): files/file_500K;2691.635762914;2691.903838297;0.2680753829999958
BM(file): files/file_500K;2692.912570141;2693.110296755;0.19772661400020297
BM(file): files/file_500K;2694.12143115;2694.380853666;0.25942251600008603
BM(file): files/file_500K;2695.387864128;2695.590165007;0.2023008790001768
BM(file): files/file_500K;2696.596922784;2696.848693857;0.25177107299987256
BM(file): files/file_500K;2697.859195535;2698.061789679;0.20259414400015885
BM(file): files/file_500K;2699.084707223;2699.385682874;0.3009756510000443
BM(file): files/file_500K;2700.394300961;2700.602935762;0.20863480099978915
BM(file): files/file_500K;2701.61797636;2701.87516585;0.25718949000020075
BM(file): files/file_500K;2702.881793927;2703.086557742;0.20476381499975105
BM(file): files/file_500K;2704.102731738;2704.375315659;0.272583921000205
BM(file): files/file_500K;2705.383736683;2705.67713629;0.29339960700008305
BM(file): files/file_500K;2706.693888765;2706.922856522;0.22896775700019134
BM(file): files/file_500K;2707.931109431;2708.138200709;0.20709127800000715
BM(file): files/file_500K;2709.14642281;2709.409998537;0.26357572699998855
BM(file): files/file_500K;2710.417922036;2710.624450358;0.2065283219999401
BM(file): files/file_500K;2711.636856224;2711.888093912;0.2512376879999465
BM(file): files/file_500K;2712.895632835;2713.097323991;0.20169115599992438
BM(file): files/file_500K;2714.108233892;2714.371498101;0.26326420899977165
BM(file): files/file_500K;2715.380394965;2715.575827311;0.1954323459999614
BM(file): files/file_500K;2716.587560731;2716.86721509;0.27965435900023294
BM(file): files/file_500K;2717.876039713;2718.074390937;0.19835122399990723
BM(file): files/file_500K;2719.101994167;2719.36862819;0.2666340229998241
BM(file): files/file_500K;2720.378539876;2720.574821669;0.1962817929997982
BM(file): files/file_500K;2721.593837606;2721.859622214;0.2657846080001036
BM(file): files/file_500K;2722.871225138;2723.079637827;0.20841268899994247
BM(file): files/file_500K;2724.085886965;2724.333305551;0.24741858600009436
BM(file): files/file_500K;2725.346049038;2725.544704377;0.19865533900019727
BM(file): files/file_500K;2726.562510278;2726.833389636;0.27087935800000196
BM(file): files/file_500K;2727.842161671;2728.133533102;0.29137143099978857
BM(file): files/file_500K;2729.142308163;2729.398992711;0.25668454800006657
BM(file): files/file_500K;2730.408948269;2730.609732235;0.20078396600001724
BM(file): files/file_500K;2731.628156705;2731.888114469;0.25995776399986426
BM(file): files/file_500K;2732.896183514;2733.093610537;0.19742702300027304
