Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s761d3fa6 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2107.549646705;2107.906584762;0.356938056999752
BM(file): files/file_500K;2113.468883181;2113.810971021;0.34208784000020387
BM(file): files/file_500K;2114.824472019;2115.129284079;0.30481206000013117
BM(file): files/file_500K;2116.137750603;2116.482030775;0.3442801720002535
BM(file): files/file_500K;2117.489891814;2117.80622148;0.31632966600000145
BM(file): files/file_500K;2118.822638086;2119.147320733;0.3246826469999178
BM(file): files/file_500K;2120.159316399;2120.473100242;0.3137838429997828
BM(file): files/file_500K;2121.489226487;2121.83517138;0.34594489299979614
BM(file): files/file_500K;2122.849611071;2123.186890527;0.33727945600003295
BM(file): files/file_500K;2124.197705058;2124.537560214;0.3398551560003398
BM(file): files/file_500K;2125.55154263;2125.873368194;0.321825563999937
BM(file): files/file_500K;2126.88850981;2127.208115144;0.3196053340002436
BM(file): files/file_500K;2128.220405381;2128.564155705;0.3437503239997568
BM(file): files/file_500K;2129.574117266;2129.885915655;0.31179838900015966
BM(file): files/file_500K;2130.902643517;2131.213411577;0.3107680600001004
BM(file): files/file_500K;2132.225860116;2132.552548889;0.3266887729996597
BM(file): files/file_500K;2133.56466881;2133.877958471;0.3132896609999989
BM(file): files/file_500K;2134.898671048;2135.299621052;0.40095000400015124
BM(file): files/file_500K;2136.314217081;2136.656106936;0.341889854999863
BM(file): files/file_500K;2137.665777191;2137.975450686;0.30967349499997
BM(file): files/file_500K;2138.984750947;2139.316704475;0.3319535279997581
BM(file): files/file_500K;2140.325062957;2140.627601952;0.30253899500030457
BM(file): files/file_500K;2141.635314024;2141.971268854;0.3359548299999915
BM(file): files/file_500K;2142.981926022;2143.299111084;0.31718506199968033
BM(file): files/file_500K;2144.310797825;2144.657684966;0.3468871410000247
BM(file): files/file_500K;2145.66651699;2145.977823624;0.31130663399972036
BM(file): files/file_500K;2146.987067727;2147.327245378;0.3401776509999763
BM(file): files/file_500K;2148.339189122;2148.655113254;0.3159241319999637
BM(file): files/file_500K;2149.663120372;2150.000922686;0.3378023140003279
BM(file): files/file_500K;2151.012307145;2151.329490574;0.3171834290001243
BM(file): files/file_500K;2152.34083495;2152.69217651;0.35134156000003713
BM(file): files/file_500K;2153.701142286;2154.009206026;0.30806373999985226
BM(file): files/file_500K;2155.017636432;2155.343956389;0.3263199570001234
BM(file): files/file_500K;2156.355841052;2156.666872139;0.311031087000174
BM(file): files/file_500K;2157.675532707;2157.999427616;0.323894909000046
BM(file): files/file_500K;2159.011088945;2159.326795752;0.31570680699996956
BM(file): files/file_500K;2160.339181114;2160.75024027;0.41105915600019216
BM(file): files/file_500K;2161.759897954;2162.104738122;0.3448401680002462
BM(file): files/file_500K;2163.114784094;2163.416747275;0.30196318100024655
BM(file): files/file_500K;2164.423940604;2164.757326923;0.33338631900005566
BM(file): files/file_500K;2165.764558708;2166.070634779;0.3060760710000068
BM(file): files/file_500K;2167.078911425;2167.412972716;0.33406129099967075
BM(file): files/file_500K;2168.426883309;2168.738758406;0.3118750970002111
BM(file): files/file_500K;2169.755595302;2170.10177254;0.34617723800010936
BM(file): files/file_500K;2171.109444769;2171.414305985;0.30486121599960825
BM(file): files/file_500K;2172.43122296;2172.74699593;0.3157729700001255
BM(file): files/file_500K;2173.766232214;2174.09110164;0.3248694260000775
BM(file): files/file_500K;2175.103227943;2175.422426065;0.3191981219997615
BM(file): files/file_500K;2176.434472698;2176.791037305;0.3565646070001094
BM(file): files/file_500K;2177.800476626;2178.107945571;0.30746894499998234
BM(file): files/file_500K;2179.118569252;2179.452432532;0.3338632800000596
BM(file): files/file_500K;2180.470193856;2180.785668686;0.3154748299998573
BM(file): files/file_500K;2181.802453974;2182.125326404;0.3228724300001886
BM(file): files/file_500K;2183.138528675;2183.452145284;0.3136166089998369
BM(file): files/file_500K;2184.468228068;2184.876337131;0.4081090630002109
BM(file): files/file_500K;2185.884491272;2186.215518586;0.33102731400003904
BM(file): files/file_500K;2187.22206761;2187.52640195;0.3043343399999685
BM(file): files/file_500K;2188.541427648;2188.858489699;0.3170620509999935
BM(file): files/file_500K;2189.871958364;2190.199302366;0.3273440020002454
BM(file): files/file_500K;2191.22080542;2191.54386185;0.3230564300001788
BM(file): files/file_500K;2192.551743171;2192.877454645;0.32571147399994516
BM(file): files/file_500K;2193.886535576;2194.190880371;0.3043447949999063
BM(file): files/file_500K;2195.199667171;2195.536290572;0.3366234009999971
BM(file): files/file_500K;2196.54867163;2196.894367028;0.3456953979998616
BM(file): files/file_500K;2197.907178995;2198.217867854;0.31068885900003806
BM(file): files/file_500K;2199.231376141;2199.543484548;0.31210840699986875
BM(file): files/file_500K;2200.554578345;2200.882588992;0.32801064699970084
BM(file): files/file_500K;2201.894464777;2202.201643772;0.3071789949999584
BM(file): files/file_500K;2203.218540345;2203.572391649;0.35385130400027265
BM(file): files/file_500K;2204.581238899;2204.884315129;0.30307622999998785
BM(file): files/file_500K;2205.894315153;2206.204880694;0.3105655409999599
BM(file): files/file_500K;2207.221307539;2207.547949027;0.3266414879999502
BM(file): files/file_500K;2208.561119094;2208.88207977;0.32096067600014067
BM(file): files/file_500K;2209.892985053;2210.375803081;0.48281802800011064
BM(file): files/file_500K;2211.390920378;2211.703393449;0.3124730710001131
BM(file): files/file_500K;2212.712791108;2213.040801149;0.32801004099974307
BM(file): files/file_500K;2214.057525584;2214.40240562;0.3448800360001769
BM(file): files/file_500K;2215.427185162;2215.73710936;0.30992419799986237
BM(file): files/file_500K;2216.754310941;2217.107931685;0.35362074400018173
BM(file): files/file_500K;2218.12047233;2218.438842151;0.3183698209995782
BM(file): files/file_500K;2219.45757258;2219.77534763;0.31777504999990924
BM(file): files/file_500K;2220.795215835;2221.13208076;0.3368649250000999
BM(file): files/file_500K;2222.148278146;2222.468797772;0.32051962600007755
BM(file): files/file_500K;2223.484278277;2223.803278513;0.3190002359997379
BM(file): files/file_500K;2224.813648372;2225.129896992;0.3162486199998966
BM(file): files/file_500K;2226.142925948;2226.457339179;0.3144132309998895
BM(file): files/file_500K;2227.466364771;2227.817842346;0.3514775749999899
BM(file): files/file_500K;2228.825630144;2229.129359945;0.30372980099991764
BM(file): files/file_500K;2230.134843535;2230.438142813;0.3032992779999404
BM(file): files/file_500K;2231.459867172;2231.798091395;0.33822422299999744
BM(file): files/file_500K;2232.819094125;2233.136782622;0.3176884969998355
BM(file): files/file_500K;2234.152163412;2234.471711624;0.3195482119999724
BM(file): files/file_500K;2235.489671888;2235.848138825;0.35846693700023025
BM(file): files/file_500K;2236.861835519;2237.172314454;0.3104789349999919
