Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s6f734dc2 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2272.360956307;2272.700418105;0.33946179800022946
BM(file): files/file_500K;2276.652893162;2276.97814925;0.3252560880000601
BM(file): files/file_500K;2277.989812884;2278.277338533;0.28752564900014477
BM(file): files/file_500K;2279.285084118;2279.640358898;0.35527477999994517
BM(file): files/file_500K;2280.649196504;2280.939982178;0.2907856739998351
BM(file): files/file_500K;2281.949249387;2282.2996619;0.3504125130002649
BM(file): files/file_500K;2283.310450462;2283.612702887;0.30225242500000604
BM(file): files/file_500K;2284.621433601;2284.965871715;0.3444381140002406
BM(file): files/file_500K;2285.975208369;2286.27687138;0.3016630110000733
BM(file): files/file_500K;2287.284853433;2287.743673349;0.4588199159998112
BM(file): files/file_500K;2288.761556612;2289.060952504;0.2993958920001205
BM(file): files/file_500K;2290.068326067;2290.401802675;0.33347660800018275
BM(file): files/file_500K;2291.412888042;2291.713128211;0.30024016900006245
BM(file): files/file_500K;2292.723464184;2293.048795815;0.3253316310001537
BM(file): files/file_500K;2294.057108148;2294.354587866;0.29747971799997686
BM(file): files/file_500K;2295.360674516;2295.708529501;0.34785498500014
BM(file): files/file_500K;2296.717769665;2297.008777312;0.29100764699978754
BM(file): files/file_500K;2298.01757033;2298.359255878;0.34168554799998674
BM(file): files/file_500K;2299.369972913;2299.662508171;0.29253525800004354
BM(file): files/file_500K;2300.671723562;2300.999343682;0.32762012000011964
BM(file): files/file_500K;2302.006824389;2302.295300362;0.28847597300000416
BM(file): files/file_500K;2303.303925169;2303.623264634;0.3193394649997572
BM(file): files/file_500K;2304.631358836;2304.931740235;0.3003813989998889
BM(file): files/file_500K;2305.944683781;2306.279974925;0.3352911439997115
BM(file): files/file_500K;2307.289377415;2307.592360927;0.3029835119996278
BM(file): files/file_500K;2308.603328432;2308.929468088;0.3261396559996683
BM(file): files/file_500K;2309.938329868;2310.232697561;0.29436769299991283
BM(file): files/file_500K;2311.240966235;2311.573827417;0.33286118199976045
BM(file): files/file_500K;2312.586170728;2312.974540551;0.3883698229997208
BM(file): files/file_500K;2313.985092429;2314.328646098;0.3435536689999026
BM(file): files/file_500K;2315.343642531;2315.645780779;0.3021382479996646
BM(file): files/file_500K;2316.652568534;2316.980613515;0.3280449810004029
BM(file): files/file_500K;2317.993523364;2318.291101409;0.2975780450001366
BM(file): files/file_500K;2319.299839488;2319.622889762;0.32305027399979735
BM(file): files/file_500K;2320.630873777;2320.92823773;0.29736395300005825
BM(file): files/file_500K;2321.952769784;2322.287093379;0.33432359500011444
BM(file): files/file_500K;2323.29564568;2323.596465912;0.3008202320002056
BM(file): files/file_500K;2324.606324478;2324.938832444;0.3325079660003212
BM(file): files/file_500K;2325.947695738;2326.237619604;0.2899238659997536
BM(file): files/file_500K;2327.244998665;2327.572291424;0.3272927590001018
BM(file): files/file_500K;2328.586239163;2328.894977458;0.3087382950002393
BM(file): files/file_500K;2329.903420136;2330.228128607;0.3247084710001218
BM(file): files/file_500K;2331.238688133;2331.529942812;0.29125467900030344
BM(file): files/file_500K;2332.551749011;2332.9631682;0.41141918899984375
BM(file): files/file_500K;2333.979813676;2334.27996247;0.30014879400005157
BM(file): files/file_500K;2335.289395716;2335.630916955;0.3415212390000306
BM(file): files/file_500K;2336.639880052;2336.943617959;0.3037379070001407
BM(file): files/file_500K;2337.952827197;2338.397940885;0.44511368800021955
BM(file): files/file_500K;2339.415994306;2339.730258908;0.3142646020000939
BM(file): files/file_500K;2340.737451891;2341.125046323;0.38759443199978705
BM(file): files/file_500K;2342.133583408;2342.430308265;0.29672485699984463
BM(file): files/file_500K;2343.437113239;2343.760629642;0.3235164029997577
BM(file): files/file_500K;2344.771935923;2345.05811586;0.28617993699981525
BM(file): files/file_500K;2346.067408364;2346.396657765;0.32924940099974265
BM(file): files/file_500K;2347.405964159;2347.699722496;0.29375833699987197
BM(file): files/file_500K;2348.707043112;2349.061171383;0.3541282709998086
BM(file): files/file_500K;2350.070037932;2350.369316681;0.29927874899976814
BM(file): files/file_500K;2351.377138493;2351.700587422;0.3234489289998237
BM(file): files/file_500K;2352.713674416;2353.015203783;0.3015293670000574
BM(file): files/file_500K;2354.028569874;2354.38456664;0.35599676599986196
BM(file): files/file_500K;2355.393348788;2355.688560515;0.29521172700015086
BM(file): files/file_500K;2356.696350926;2357.022299724;0.3259487979998994
BM(file): files/file_500K;2358.03318865;2358.332519623;0.29933097299999645
BM(file): files/file_500K;2359.340906686;2359.662893514;0.3219868280002629
BM(file): files/file_500K;2360.67115734;2360.961968091;0.29081075100020826
BM(file): files/file_500K;2361.968916513;2362.29457634;0.3256598269999813
BM(file): files/file_500K;2363.309183071;2363.655126256;0.3459431850001238
BM(file): files/file_500K;2364.662860621;2365.147327456;0.4844668349996937
BM(file): files/file_500K;2366.16222018;2366.46370117;0.3014809900000728
BM(file): files/file_500K;2367.472043901;2367.827388401;0.35534450000022844
BM(file): files/file_500K;2368.8399844;2369.128393249;0.28840884900000674
BM(file): files/file_500K;2370.137761049;2370.459135812;0.3213747630002217
BM(file): files/file_500K;2371.469935376;2371.762521794;0.29258641799970064
BM(file): files/file_500K;2372.770865408;2373.110648601;0.3397831929996755
BM(file): files/file_500K;2374.120484521;2374.425253987;0.30476946599992516
BM(file): files/file_500K;2375.433302125;2375.773208888;0.3399067630002719
BM(file): files/file_500K;2376.782854249;2377.074876153;0.29202190399973915
BM(file): files/file_500K;2378.084641441;2378.420821157;0.3361797160000606
BM(file): files/file_500K;2379.433837253;2379.740869407;0.3070321539998986
BM(file): files/file_500K;2380.75321793;2381.07088437;0.3176664399998117
BM(file): files/file_500K;2382.080189317;2382.36835565;0.28816633299993555
BM(file): files/file_500K;2383.376903814;2383.701938166;0.3250343520003298
BM(file): files/file_500K;2384.712857386;2385.013647476;0.3007900900001914
BM(file): files/file_500K;2386.035697848;2386.373835006;0.3381371579998813
BM(file): files/file_500K;2387.39174351;2387.682494236;0.29075072599971463
BM(file): files/file_500K;2388.691477445;2389.008104146;0.31662670099967727
BM(file): files/file_500K;2390.019908245;2390.397895729;0.37798748400018667
BM(file): files/file_500K;2391.404900999;2391.736959546;0.33205854700008786
BM(file): files/file_500K;2392.754270053;2393.058127451;0.3038573980002184
BM(file): files/file_500K;2394.071158543;2394.420343743;0.3491852000001927
BM(file): files/file_500K;2395.435214725;2395.729641048;0.29442632299969773
BM(file): files/file_500K;2396.739540864;2397.093983069;0.35444220499994117
BM(file): files/file_500K;2398.104312397;2398.401754801;0.2974424040003214
BM(file): files/file_500K;2399.410318468;2399.735554062;0.32523559400033264
BM(file): files/file_500K;2400.74359382;2401.035620329;0.2920265089996974
