Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s41a5daa5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;17993.370782264;17993.949925596;0.5791433320009673
BM(file): files/file_500K;17997.74851596;17998.289831624;0.5413156639988301
BM(file): files/file_500K;17999.310368344;17999.879371026;0.5690026820011553
BM(file): files/file_500K;18000.898715068;18001.427317218;0.5286021499996423
BM(file): files/file_500K;18002.437272408;18002.991290884;0.554018476002966
BM(file): files/file_500K;18004.005738627;18004.521794764;0.5160561370030337
BM(file): files/file_500K;18005.538744828;18006.107633265;0.5688884369992593
BM(file): files/file_500K;18007.124835168;18007.654928422;0.5300932539976202
BM(file): files/file_500K;18008.675969329;18009.24438218;0.5684128510001756
BM(file): files/file_500K;18010.254221714;18010.761488216;0.5072665020015847
BM(file): files/file_500K;18011.769713067;18012.32179353;0.5520804630032217
BM(file): files/file_500K;18013.34429821;18013.890507316;0.5462091059998784
BM(file): files/file_500K;18014.910351011;18015.440780859;0.5304298480004945
BM(file): files/file_500K;18016.475974352;18017.004105759;0.5281314069979999
BM(file): files/file_500K;18018.011359068;18018.55481348;0.5434544119998463
BM(file): files/file_500K;18019.569721293;18020.094091035;0.5243697420009994
BM(file): files/file_500K;18021.112803518;18021.691583537;0.5787800189973495
BM(file): files/file_500K;18022.709232344;18023.434566922;0.7253345779972733
BM(file): files/file_500K;18024.452947739;18025.07137108;0.6184233410021989
BM(file): files/file_500K;18026.085523436;18026.611681287;0.5261578509998799
BM(file): files/file_500K;18027.619683909;18028.135859732;0.5161758229987754
BM(file): files/file_500K;18029.152872708;18029.674076673;0.5212039649995859
BM(file): files/file_500K;18030.68372211;18031.211151311;0.5274292009999044
BM(file): files/file_500K;18032.22083671;18032.755149656;0.5343129460015916
BM(file): files/file_500K;18033.773378861;18034.284865011;0.5114861500005645
BM(file): files/file_500K;18035.307268848;18035.854132146;0.5468632980009716
BM(file): files/file_500K;18036.86134019;18037.370460525;0.5091203349984426
BM(file): files/file_500K;18038.385392616;18038.906231416;0.5208387999991828
BM(file): files/file_500K;18039.922715444;18040.480623369;0.5579079249982897
BM(file): files/file_500K;18041.488959682;18041.9970288;0.5080691180010035
BM(file): files/file_500K;18043.012444278;18043.531425353;0.5189810750016477
BM(file): files/file_500K;18044.545302357;18045.06682267;0.5215203129992005
BM(file): files/file_500K;18046.084783681;18046.605798197;0.5210145160017419
BM(file): files/file_500K;18047.618717237;18048.147622218;0.5289049809980497
BM(file): files/file_500K;18049.15867624;18049.825303102;0.6666268619992479
BM(file): files/file_500K;18050.839221908;18051.359958133;0.5207362250002916
BM(file): files/file_500K;18052.374445947;18052.934565324;0.5601193770016835
BM(file): files/file_500K;18053.950597742;18054.490296307;0.5396985650004353
BM(file): files/file_500K;18055.498526847;18056.107356899;0.608830051998666
BM(file): files/file_500K;18057.125794473;18057.683495868;0.5577013950023684
BM(file): files/file_500K;18058.716527191;18059.248149336;0.5316221449975274
BM(file): files/file_500K;18060.261900528;18060.853978771;0.5920782430002873
BM(file): files/file_500K;18061.873800325;18062.424774231;0.5509739059998537
BM(file): files/file_500K;18063.442903269;18063.984173567;0.541270298002928
BM(file): files/file_500K;18065.000748589;18065.58268943;0.5819408410025062
BM(file): files/file_500K;18066.594329316;18067.152695434;0.5583661179989576
BM(file): files/file_500K;18068.182234356;18068.683114703;0.5008803469972918
BM(file): files/file_500K;18069.704917707;18070.238998721;0.5340810140005487
BM(file): files/file_500K;18071.249628185;18071.75679873;0.5071705449990986
BM(file): files/file_500K;18072.767345487;18073.316523839;0.5491783520010358
BM(file): files/file_500K;18074.331717567;18074.844585095;0.5128675279993331
BM(file): files/file_500K;18075.861145715;18076.518376537;0.6572308219983825
BM(file): files/file_500K;18077.525303385;18078.074281113;0.5489777280017734
BM(file): files/file_500K;18079.082782439;18079.588822185;0.5060397460001695
BM(file): files/file_500K;18080.596720255;18081.147750426;0.5510301710019121
BM(file): files/file_500K;18082.167945762;18082.745622151;0.5776763889989525
BM(file): files/file_500K;18083.773344325;18084.361566959;0.5882226339999761
BM(file): files/file_500K;18085.379105894;18085.94176045;0.5626545560007798
BM(file): files/file_500K;18086.950705666;18087.488548234;0.5378425679991778
BM(file): files/file_500K;18088.502115212;18089.048138832;0.5460236200015061
BM(file): files/file_500K;18090.064935557;18090.649575281;0.5846397240020451
BM(file): files/file_500K;18091.656813067;18092.211205158;0.554392091002228
BM(file): files/file_500K;18093.224565015;18093.785663517;0.5610985019993677
BM(file): files/file_500K;18094.801850617;18095.336423237;0.5345726199993805
BM(file): files/file_500K;18096.366710206;18096.898396253;0.5316860470011306
BM(file): files/file_500K;18097.915203697;18098.453313859;0.5381101620005211
BM(file): files/file_500K;18099.474925651;18099.992454123;0.5175284719989577
BM(file): files/file_500K;18101.024189239;18101.553668473;0.5294792339991545
BM(file): files/file_500K;18102.561702532;18103.253060971;0.6913584390022152
BM(file): files/file_500K;18104.27299725;18104.835709195;0.5627119450000464
BM(file): files/file_500K;18105.850729878;18106.433130755;0.5824008769995999
BM(file): files/file_500K;18107.45947136;18107.976965338;0.5174939779972192
BM(file): files/file_500K;18108.983327302;18109.482424114;0.4990968120000616
BM(file): files/file_500K;18110.4978351;18111.02455285;0.5267177500027174
BM(file): files/file_500K;18112.042053903;18112.568341858;0.5262879550027719
BM(file): files/file_500K;18113.575838008;18114.105809005;0.5299709969985997
BM(file): files/file_500K;18115.122850348;18115.6538149;0.5309645519992046
BM(file): files/file_500K;18116.66883893;18117.200824077;0.5319851470012509
BM(file): files/file_500K;18118.208537777;18118.762893845;0.5543560679980146
BM(file): files/file_500K;18119.777766212;18120.342301729;0.5645355170017865
BM(file): files/file_500K;18121.359815002;18121.925509701;0.5656946989984135
BM(file): files/file_500K;18122.949467341;18123.478558001;0.5290906599984737
BM(file): files/file_500K;18124.49320362;18125.025488943;0.5322853229990869
BM(file): files/file_500K;18126.045391707;18126.597258335;0.5518666280004254
BM(file): files/file_500K;18127.606658774;18128.136101358;0.5294425840002077
BM(file): files/file_500K;18129.151467866;18129.668570561;0.5171026950010855
BM(file): files/file_500K;18130.676532737;18131.303554846;0.6270221089980623
BM(file): files/file_500K;18132.318738981;18132.88223587;0.5634968890008167
BM(file): files/file_500K;18133.892399367;18134.44638115;0.5539817829994718
BM(file): files/file_500K;18135.454142663;18135.996554315;0.5424116520007374
BM(file): files/file_500K;18137.012887636;18137.528590819;0.5157031830021879
BM(file): files/file_500K;18138.541947358;18139.055298182;0.5133508239996445
BM(file): files/file_500K;18140.074258328;18140.587221982;0.5129636540004867
BM(file): files/file_500K;18141.60241517;18142.118554487;0.5161393169983057
