Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sc18e80ef --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;18178.524948542;18179.086970944;0.5620224020021851
BM(file): files/file_500K;18183.856405038;18184.398150754;0.5417457160001504
BM(file): files/file_500K;18185.407833679;18185.868108426;0.4602747469980386
BM(file): files/file_500K;18186.876572422;18187.390260945;0.5136885230022017
BM(file): files/file_500K;18188.410703412;18188.87842937;0.46772595800212
BM(file): files/file_500K;18189.886169778;18190.358401996;0.4722322179986804
BM(file): files/file_500K;18191.373380947;18191.843875479;0.47049453200088465
BM(file): files/file_500K;18192.854284379;18193.332018412;0.4777340330001607
BM(file): files/file_500K;18194.344374377;18194.809446641;0.4650722639999003
BM(file): files/file_500K;18195.819560499;18196.290990752;0.47143025300101726
BM(file): files/file_500K;18197.307999565;18197.786276898;0.47827733300073305
BM(file): files/file_500K;18198.798059195;18199.325494131;0.5274349360006454
BM(file): files/file_500K;18200.333880932;18200.779414101;0.44553316900055506
BM(file): files/file_500K;18201.787084104;18202.316660525;0.5295764210022753
BM(file): files/file_500K;18203.332519664;18203.816978529;0.4844588650012156
BM(file): files/file_500K;18204.82479612;18205.353957371;0.5291612510009145
BM(file): files/file_500K;18206.366950481;18206.832987804;0.4660373229999095
BM(file): files/file_500K;18207.841770742;18208.396169408;0.5543986659977236
BM(file): files/file_500K;18209.415732888;18209.884670953;0.46893806500156643
BM(file): files/file_500K;18210.891551707;18211.358395999;0.46684429199740407
BM(file): files/file_500K;18212.371544658;18212.950870653;0.5793259950005449
BM(file): files/file_500K;18213.967837358;18214.438879492;0.47104213400234585
BM(file): files/file_500K;18215.4487137;18216.007874675;0.5591609750008502
BM(file): files/file_500K;18217.020688377;18217.471364904;0.4506765269979951
BM(file): files/file_500K;18218.47828879;18218.997293474;0.5190046839998104
BM(file): files/file_500K;18220.015556367;18220.524509103;0.5089527359996282
BM(file): files/file_500K;18221.534070481;18222.05908811;0.5250176289991941
BM(file): files/file_500K;18223.083641245;18223.565614424;0.48197317899757763
BM(file): files/file_500K;18224.573470786;18225.095315297;0.5218445110003813
BM(file): files/file_500K;18226.114915669;18226.584455666;0.4695399970005383
BM(file): files/file_500K;18227.594501556;18228.070151707;0.47565015100190067
BM(file): files/file_500K;18229.081255568;18229.587903825;0.5066482570000517
BM(file): files/file_500K;18230.599316983;18231.078377549;0.47906056600186275
BM(file): files/file_500K;18232.108230795;18232.616235735;0.508004940002138
BM(file): files/file_500K;18233.62393727;18234.162937316;0.5390000459992734
BM(file): files/file_500K;18235.182436196;18235.64663622;0.4642000240019115
BM(file): files/file_500K;18236.655172393;18237.185949471;0.5307770780018473
BM(file): files/file_500K;18238.20159831;18238.666844847;0.4652465370018035
BM(file): files/file_500K;18239.674867892;18240.188725194;0.513857301997632
BM(file): files/file_500K;18241.20517617;18241.793504743;0.5883285730014904
BM(file): files/file_500K;18242.814339522;18243.287363566;0.4730240440003399
BM(file): files/file_500K;18244.295323323;18244.77665063;0.4813273069994466
BM(file): files/file_500K;18245.795480763;18246.270923212;0.47544244899836485
BM(file): files/file_500K;18247.293642349;18247.824268306;0.5306259570024849
BM(file): files/file_500K;18248.834276632;18249.275984571;0.4417079390004801
BM(file): files/file_500K;18250.283606538;18250.764093963;0.4804874250003195
BM(file): files/file_500K;18251.772194229;18252.225969932;0.45377570299751824
BM(file): files/file_500K;18253.235567424;18253.77689034;0.5413229160003539
BM(file): files/file_500K;18254.793790585;18255.265442285;0.47165169999789214
BM(file): files/file_500K;18256.272883465;18256.797858153;0.5249746879999293
BM(file): files/file_500K;18257.812635584;18258.285300631;0.4726650470001914
BM(file): files/file_500K;18259.314177309;18259.786865191;0.472687882000173
BM(file): files/file_500K;18260.794839089;18261.306563627;0.5117245379988162
BM(file): files/file_500K;18262.32490227;18262.793105851;0.46820358100012527
BM(file): files/file_500K;18263.800270159;18264.277312426;0.47704226699715946
BM(file): files/file_500K;18265.288339988;18265.746413787;0.45807379899997613
BM(file): files/file_500K;18266.753588682;18267.326124504;0.5725358220006456
BM(file): files/file_500K;18268.343908313;18268.823322026;0.47941371300112223
BM(file): files/file_500K;18269.836690077;18270.417703498;0.5810134209968965
BM(file): files/file_500K;18271.427895098;18271.909693173;0.4817980749976414
BM(file): files/file_500K;18272.93037027;18273.383139303;0.45276903299964033
BM(file): files/file_500K;18274.390813293;18274.869377624;0.47856433099877904
BM(file): files/file_500K;18275.883467981;18276.359970913;0.47650293200058513
BM(file): files/file_500K;18277.368713585;18277.890277744;0.5215641590002633
BM(file): files/file_500K;18278.905433741;18279.368480645;0.4630469039984746
BM(file): files/file_500K;18280.375612551;18280.89866277;0.5230502189988329
BM(file): files/file_500K;18281.920601264;18282.385930862;0.4653295980024268
BM(file): files/file_500K;18283.396557853;18283.92164593;0.525088076999964
BM(file): files/file_500K;18284.951604686;18285.43239563;0.480790943998727
BM(file): files/file_500K;18286.450758713;18286.923971986;0.4732132730023295
BM(file): files/file_500K;18287.934181518;18288.401549142;0.46736762399814324
BM(file): files/file_500K;18289.41059687;18289.858443812;0.44784694200279773
BM(file): files/file_500K;18290.866129942;18291.389227791;0.5230978490035341
BM(file): files/file_500K;18292.39841519;18292.839659932;0.44124474199998076
BM(file): files/file_500K;18293.847368065;18294.321593229;0.4742251640018367
BM(file): files/file_500K;18295.338537261;18295.799928778;0.4613915170011751
BM(file): files/file_500K;18296.806335398;18297.271203247;0.4648678490011662
BM(file): files/file_500K;18298.295221822;18298.883587051;0.5883652289994643
BM(file): files/file_500K;18299.898210852;18300.36114468;0.46293382799922256
BM(file): files/file_500K;18301.369720038;18301.903831602;0.5341115640003409
BM(file): files/file_500K;18302.923116459;18303.372541216;0.449424757000088
BM(file): files/file_500K;18304.383153142;18304.915752857;0.5325997149993782
BM(file): files/file_500K;18305.938231754;18306.413644894;0.4754131400004553
BM(file): files/file_500K;18307.423406979;18307.901826405;0.47841942599916365
BM(file): files/file_500K;18308.918678448;18309.391636395;0.4729579470003955
BM(file): files/file_500K;18310.401397441;18310.878520436;0.47712299499835353
BM(file): files/file_500K;18311.900528874;18312.380817448;0.4802885739991325
BM(file): files/file_500K;18313.390702873;18313.923167091;0.5324642180021328
BM(file): files/file_500K;18314.949333038;18315.418688362;0.4693553239994799
BM(file): files/file_500K;18316.425497213;18316.913772172;0.488274958999682
BM(file): files/file_500K;18317.936270663;18318.402389784;0.46611912099979236
BM(file): files/file_500K;18319.409055177;18319.91386562;0.5048104430024978
BM(file): files/file_500K;18320.929883747;18321.388762036;0.458878288998676
BM(file): files/file_500K;18322.397563415;18322.920858905;0.5232954899984179
BM(file): files/file_500K;18323.941330419;18324.412174848;0.4708444290008629
