Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2se4e6ae2b --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;17490.830048452;17491.871411259;1.0413628069982224
BM(file): files/file_500K;17495.378921478;17496.377154172;0.9982326940007624
BM(file): files/file_500K;17497.394853021;17498.484519373;1.0896663519997674
BM(file): files/file_500K;17499.498328317;17500.454542864;0.9562145470008545
BM(file): files/file_500K;17501.462558967;17502.424968708;0.9624097410014656
BM(file): files/file_500K;17503.43849104;17504.77616991;1.3376788700006728
BM(file): files/file_500K;17505.787869692;17506.754308615;0.9664389229983499
BM(file): files/file_500K;17507.769513273;17508.763471434;0.9939581609978632
BM(file): files/file_500K;17509.785499043;17510.850499498;1.0650004550006997
BM(file): files/file_500K;17511.863470067;17512.831790615;0.9683205479996104
BM(file): files/file_500K;17513.84798835;17514.814696598;0.9667082480009412
BM(file): files/file_500K;17515.829842205;17516.805362923;0.9755207180023717
BM(file): files/file_500K;17517.820592997;17518.871148926;1.050555928999529
BM(file): files/file_500K;17519.885373749;17520.858847837;0.9734740880012396
BM(file): files/file_500K;17521.87432868;17522.838800353;0.9644716729999345
BM(file): files/file_500K;17523.855288464;17524.821993042;0.9667045779970067
BM(file): files/file_500K;17525.835991511;17526.833634362;0.9976428509980906
BM(file): files/file_500K;17527.848182511;17528.832285819;0.9841033080010675
BM(file): files/file_500K;17529.843935572;17530.814451461;0.9705158889992163
BM(file): files/file_500K;17531.83112273;17532.803321225;0.9721984950010665
BM(file): files/file_500K;17533.820605633;17534.845550039;1.02494440600276
BM(file): files/file_500K;17535.859835216;17536.833775245;0.9739400289981859
BM(file): files/file_500K;17537.844611354;17538.898268187;1.0536568329989677
BM(file): files/file_500K;17539.909422099;17540.89414275;0.9847206509984971
BM(file): files/file_500K;17541.917589293;17542.885866953;0.9682776599984209
BM(file): files/file_500K;17543.906267473;17544.887201976;0.9809345029971155
BM(file): files/file_500K;17545.900623475;17546.847516311;0.9468928360001883
BM(file): files/file_500K;17547.860836816;17548.825323377;0.964486561002559
BM(file): files/file_500K;17549.84129125;17550.847208026;1.0059167760009586
BM(file): files/file_500K;17551.86136518;17552.835140682;0.9737755019996257
BM(file): files/file_500K;17553.850563981;17554.843262597;0.992698616002599
BM(file): files/file_500K;17555.880253412;17556.852291244;0.9720378319980227
BM(file): files/file_500K;17557.869790746;17558.846703468;0.976912721998815
BM(file): files/file_500K;17559.861125863;17560.841686336;0.9805604729990591
BM(file): files/file_500K;17561.853638922;17562.910748092;1.0571091700003308
BM(file): files/file_500K;17563.925567256;17564.979398109;1.0538308530012728
BM(file): files/file_500K;17565.998214279;17566.985813096;0.9875988169987977
BM(file): files/file_500K;17568.000563691;17568.985746532;0.9851828409991867
BM(file): files/file_500K;17570.002959909;17570.977978904;0.9750189949991181
BM(file): files/file_500K;17571.993314644;17573.038705734;1.0453910899996117
BM(file): files/file_500K;17574.058812571;17575.031114636;0.9723020650017133
BM(file): files/file_500K;17576.047169023;17577.014796881;0.9676278580009239
BM(file): files/file_500K;17578.033714012;17579.005370584;0.9716565720009385
BM(file): files/file_500K;17580.016601561;17580.977653907;0.961052345999633
BM(file): files/file_500K;17581.996245925;17583.041181338;1.0449354130032589
BM(file): files/file_500K;17584.072107864;17585.04907301;0.9769651459973829
BM(file): files/file_500K;17586.061322852;17587.016964747;0.9556418949978251
BM(file): files/file_500K;17588.027239534;17589.028350065;1.0011105310004496
BM(file): files/file_500K;17590.041209885;17591.030283842;0.9890739570000733
BM(file): files/file_500K;17592.044418224;17593.048801469;1.0043832450028276
BM(file): files/file_500K;17594.058587022;17595.105190496;1.0466034740020405
BM(file): files/file_500K;17596.120331944;17597.087133527;0.9668015829993237
BM(file): files/file_500K;17598.099457995;17599.077716327;0.9782583320011327
BM(file): files/file_500K;17600.086557308;17601.142802569;1.056245260999276
BM(file): files/file_500K;17602.160669107;17603.136859014;0.9761899069999345
BM(file): files/file_500K;17604.153391087;17605.210240535;1.0568494480030495
BM(file): files/file_500K;17606.226468696;17607.619778017;1.3933093209998333
BM(file): files/file_500K;17608.636367106;17609.613957257;0.9775901510001859
BM(file): files/file_500K;17610.63089944;17611.578962419;0.9480629790014063
BM(file): files/file_500K;17612.593568834;17613.57173642;0.9781675859994721
BM(file): files/file_500K;17614.587700064;17615.557578613;0.9698785489999864
BM(file): files/file_500K;17616.572167458;17617.551362526;0.9791950679973525
BM(file): files/file_500K;17618.570214088;17619.54676601;0.9765519220018177
BM(file): files/file_500K;17620.561648705;17621.53697012;0.9753214150005078
BM(file): files/file_500K;17622.551227481;17623.536605382;0.9853779010009021
BM(file): files/file_500K;17624.551947678;17625.524627745;0.972680066999601
BM(file): files/file_500K;17626.536762764;17627.518339971;0.9815772069996456
BM(file): files/file_500K;17628.537294942;17629.537897352;1.0006024099966453
BM(file): files/file_500K;17630.556858329;17631.55081276;0.9939544310000201
BM(file): files/file_500K;17632.56539749;17633.529841039;0.9644435489972238
BM(file): files/file_500K;17634.54385477;17635.533507336;0.9896525660005864
BM(file): files/file_500K;17636.546440562;17637.604473508;1.0580329459990025
BM(file): files/file_500K;17638.618381;17639.612187913;0.9938069130002987
BM(file): files/file_500K;17640.628518437;17641.695574865;1.0670564280007966
BM(file): files/file_500K;17642.709976584;17643.699604258;0.9896276740000758
BM(file): files/file_500K;17644.722710823;17645.725675892;1.0029650690012204
BM(file): files/file_500K;17646.743408908;17647.716439047;0.9730301389972738
BM(file): files/file_500K;17648.723420208;17649.696020015;0.9725998069989146
BM(file): files/file_500K;17650.705266247;17651.659548577;0.9542823299998417
BM(file): files/file_500K;17652.679560553;17653.641740679;0.9621801260000211
BM(file): files/file_500K;17654.657379657;17655.649998523;0.9926188659992476
BM(file): files/file_500K;17656.665203835;17657.727340098;1.0621362630008662
BM(file): files/file_500K;17658.734303705;17659.697980366;0.963676660998317
BM(file): files/file_500K;17660.71719819;17661.771127422;1.0539292319990636
BM(file): files/file_500K;17662.790540838;17663.762841433;0.9723005949999788
BM(file): files/file_500K;17664.779863498;17665.747153296;0.9672897980017297
BM(file): files/file_500K;17666.756207867;17667.752798268;0.9965904009986843
BM(file): files/file_500K;17668.767789323;17669.731170592;0.9633812690008199
BM(file): files/file_500K;17670.743756962;17671.724502001;0.9807450389998849
BM(file): files/file_500K;17672.739518193;17673.708408739;0.9688905459988746
BM(file): files/file_500K;17674.715652189;17675.756848456;1.0411962670004868
BM(file): files/file_500K;17676.775998078;17677.848198426;1.0722003480004787
BM(file): files/file_500K;17678.869472076;17679.848633581;0.9791615050016844
BM(file): files/file_500K;17680.862301366;17681.849864381;0.9875630150017969
