Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sf3aa757b --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;17765.199135591;17766.071492927;0.8723573360002774
BM(file): files/file_500K;17769.784220387;17770.616607054;0.8323866669998097
BM(file): files/file_500K;17771.637089488;17772.479779144;0.842689656001312
BM(file): files/file_500K;17773.499131029;17774.348736888;0.8496058590026223
BM(file): files/file_500K;17775.363909232;17776.203884575;0.839975342998514
BM(file): files/file_500K;17777.217599575;17778.200306537;0.9827069620005204
BM(file): files/file_500K;17779.21728891;17780.196610132;0.9793212219992711
BM(file): files/file_500K;17781.21139482;17782.080089399;0.8686945790032041
BM(file): files/file_500K;17783.089280615;17783.965397612;0.8761169969984621
BM(file): files/file_500K;17784.986257707;17785.846400661;0.860142953999457
BM(file): files/file_500K;17786.855939222;17787.677353888;0.8214146659993276
BM(file): files/file_500K;17788.693975739;17789.513976768;0.8200010290020145
BM(file): files/file_500K;17790.530779667;17791.395871601;0.8650919339997927
BM(file): files/file_500K;17792.409409302;17793.244788337;0.8353790350010968
BM(file): files/file_500K;17794.253906912;17795.081439158;0.8275322459994641
BM(file): files/file_500K;17796.087853291;17796.902475401;0.8146221099996183
BM(file): files/file_500K;17797.917543632;17798.755162743;0.8376191110000946
BM(file): files/file_500K;17799.775279616;17800.634347129;0.8590675129998999
BM(file): files/file_500K;17801.648515108;17802.49960108;0.8510859719972359
BM(file): files/file_500K;17803.513391477;17804.367109356;0.853717878999305
BM(file): files/file_500K;17805.374685273;17806.214881634;0.8401963610012899
BM(file): files/file_500K;17807.235633198;17808.107615115;0.8719819170000846
BM(file): files/file_500K;17809.13182397;17809.990170618;0.8583466479976778
BM(file): files/file_500K;17811.004891458;17811.849902341;0.8450108830002137
BM(file): files/file_500K;17812.865735406;17813.83274882;0.9670134139996662
BM(file): files/file_500K;17814.847558586;17815.907874097;1.0603155110002263
BM(file): files/file_500K;17816.973708295;17817.832618172;0.8589098769989505
BM(file): files/file_500K;17818.861099804;17819.682329652;0.8212298480029858
BM(file): files/file_500K;17820.699272788;17821.607437415;0.9081646270024066
BM(file): files/file_500K;17822.622939289;17823.469427043;0.8464877539990994
BM(file): files/file_500K;17824.477541175;17825.303627253;0.8260860779992072
BM(file): files/file_500K;17826.323488349;17827.16790542;0.8444170709990431
BM(file): files/file_500K;17828.183698019;17829.021216436;0.8375184169999557
BM(file): files/file_500K;17830.034479594;17830.87626456;0.8417849659999774
BM(file): files/file_500K;17831.88961789;17832.751817206;0.8621993160013517
BM(file): files/file_500K;17833.764596159;17834.609585708;0.8449895490011841
BM(file): files/file_500K;17835.618786584;17836.459892012;0.8411054280004464
BM(file): files/file_500K;17837.482644247;17838.324718063;0.8420738159984467
BM(file): files/file_500K;17839.338375996;17840.201261791;0.8628857949988742
BM(file): files/file_500K;17841.21587053;17842.119824359;0.9039538290016935
BM(file): files/file_500K;17843.135130234;17843.988652602;0.8535223679973569
BM(file): files/file_500K;17845.005491831;17845.857277141;0.8517853099983768
BM(file): files/file_500K;17846.882950845;17847.843576635;0.9606257900013588
BM(file): files/file_500K;17848.862905691;17849.706201457;0.843295766000665
BM(file): files/file_500K;17850.715950121;17851.557561872;0.8416117509987089
BM(file): files/file_500K;17852.571475544;17853.417408512;0.8459329680008523
BM(file): files/file_500K;17854.43280537;17855.27071142;0.8379060499974003
BM(file): files/file_500K;17856.283457545;17857.210949242;0.9274916969989135
BM(file): files/file_500K;17858.235396207;17859.085531523;0.8501353159990686
BM(file): files/file_500K;17860.097922235;17860.930866783;0.832944548001251
BM(file): files/file_500K;17861.93791819;17862.745153877;0.8072356869997748
BM(file): files/file_500K;17863.754200435;17864.589732309;0.835531873999571
BM(file): files/file_500K;17865.604875979;17866.443645516;0.8387695370001893
BM(file): files/file_500K;17867.460144205;17868.317589657;0.8574454519985011
BM(file): files/file_500K;17869.332241329;17870.186265789;0.8540244600008009
BM(file): files/file_500K;17871.204091167;17872.051470808;0.8473796409998613
BM(file): files/file_500K;17873.067761547;17873.9113654;0.8436038529980578
BM(file): files/file_500K;17874.929527621;17875.780651809;0.85112418800054
BM(file): files/file_500K;17876.789069137;17877.626196591;0.8371274540004379
BM(file): files/file_500K;17878.64035136;17879.490912839;0.8505614789974061
BM(file): files/file_500K;17880.502435416;17881.882374864;1.379939447997458
BM(file): files/file_500K;17882.910208291;17883.892864767;0.9826564760005567
BM(file): files/file_500K;17884.900992691;17885.715270491;0.8142778000001272
BM(file): files/file_500K;17886.731173837;17887.574383916;0.8432100789977994
BM(file): files/file_500K;17888.589187294;17889.424656208;0.8354689139996481
BM(file): files/file_500K;17890.440448143;17891.303657405;0.8632092619991454
BM(file): files/file_500K;17892.326744966;17893.178291687;0.851546720998158
BM(file): files/file_500K;17894.185867997;17895.028932045;0.8430640480000875
BM(file): files/file_500K;17896.045682792;17896.889876772;0.8441939799995453
BM(file): files/file_500K;17897.904194414;17898.73661985;0.8324254359977203
BM(file): files/file_500K;17899.758114449;17900.600904627;0.8427901780014508
BM(file): files/file_500K;17901.626698777;17902.483572821;0.8568740439986868
BM(file): files/file_500K;17903.496076787;17904.334238878;0.8381620910004131
BM(file): files/file_500K;17905.341827918;17906.174742663;0.8329147449985612
BM(file): files/file_500K;17907.193536247;17908.053144997;0.8596087500009162
BM(file): files/file_500K;17909.073207014;17909.890497177;0.8172901629986882
BM(file): files/file_500K;17910.904834384;17911.738941359;0.8341069749985763
BM(file): files/file_500K;17912.766344173;17913.611509398;0.8451652250005282
BM(file): files/file_500K;17914.621900444;17915.57340676;0.9515063159997226
BM(file): files/file_500K;17916.585683706;17917.41806942;0.8323857140021573
BM(file): files/file_500K;17918.428196346;17919.25958401;0.831387663998612
BM(file): files/file_500K;17920.275322001;17921.132905374;0.8575833729992155
BM(file): files/file_500K;17922.157428923;17923.015324345;0.8578954219992738
BM(file): files/file_500K;17924.046383094;17924.881430933;0.8350478390020726
BM(file): files/file_500K;17925.891680957;17926.734353924;0.8426729669990891
BM(file): files/file_500K;17927.74614926;17928.575963838;0.8298145779990591
BM(file): files/file_500K;17929.586639498;17930.421377174;0.8347376759993494
BM(file): files/file_500K;17931.436502803;17932.28876751;0.8522647069985396
BM(file): files/file_500K;17933.303851475;17934.116711249;0.8128597739996621
BM(file): files/file_500K;17935.134936377;17935.979215126;0.8442787490021146
BM(file): files/file_500K;17936.999541197;17937.857389182;0.8578479850002623
BM(file): files/file_500K;17938.875560358;17939.722175221;0.8466148629995587
BM(file): files/file_500K;17940.729650199;17941.562343911;0.8326937120000366
BM(file): files/file_500K;17942.574610236;17943.410147149;0.8355369130003965
BM(file): files/file_500K;17944.423062776;17945.232176774;0.8091139979987929
BM(file): files/file_500K;17946.249343119;17947.092832833;0.8434897139995883
BM(file): files/file_500K;17948.107546195;17949.069203263;0.9616570680009318
BM(file): files/file_500K;17950.092634392;17950.920333229;0.8276988370016625
BM(file): files/file_500K;17951.928432316;17952.763115358;0.8346830420014157
BM(file): files/file_500K;17953.787565046;17954.633763384;0.8461983380002494
BM(file): files/file_500K;17955.648388467;17956.488151403;0.8397629359969869
