Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4c7e9414 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;1230.420647138;1230.786260294;0.3656131559998812
BM(file): files/file_1M;1239.661653711;1240.023970846;0.36231713500001206
BM(file): files/file_1M;1241.042630418;1241.301315205;0.25868478699999287
BM(file): files/file_1M;1242.308748337;1242.650991237;0.3422428999999738
BM(file): files/file_1M;1243.667993717;1243.919783313;0.2517895959999805
BM(file): files/file_1M;1244.929317098;1245.172141232;0.24282413400010228
BM(file): files/file_1M;1246.186842655;1246.437307531;0.25046487600002365
BM(file): files/file_1M;1247.446377735;1247.784102094;0.33772435900004893
BM(file): files/file_1M;1248.805954968;1249.152535958;0.34658099000012044
BM(file): files/file_1M;1250.167932855;1250.433107753;0.26517489800016847
BM(file): files/file_1M;1251.443524961;1251.823476353;0.37995139199983896
BM(file): files/file_1M;1252.835751404;1253.085453008;0.2497016040001654
BM(file): files/file_1M;1254.093355396;1254.422704802;0.32934940599989204
BM(file): files/file_1M;1255.432813955;1255.669303393;0.23648943800003508
BM(file): files/file_1M;1256.682547482;1256.933232121;0.2506846389999282
BM(file): files/file_1M;1257.950675779;1258.208401152;0.2577253730000848
BM(file): files/file_1M;1259.222585653;1259.474515989;0.2519303360002141
BM(file): files/file_1M;1260.481505384;1260.921793605;0.44028822099994613
BM(file): files/file_1M;1261.939661792;1262.191583896;0.25192210400018666
BM(file): files/file_1M;1263.197802856;1263.568602343;0.370799487000113
BM(file): files/file_1M;1264.581915312;1264.826693623;0.2447783109998909
BM(file): files/file_1M;1265.83464833;1266.164795509;0.33014717900005053
BM(file): files/file_1M;1267.176538446;1267.423063707;0.24652526099998795
BM(file): files/file_1M;1268.433530622;1268.779832662;0.346302039999955
BM(file): files/file_1M;1269.793184508;1270.034484737;0.24130022899998949
BM(file): files/file_1M;1271.045832345;1271.294111267;0.24827892200005408
BM(file): files/file_1M;1272.311928083;1272.658136195;0.34620811199988566
BM(file): files/file_1M;1273.676845298;1273.931897245;0.2550519470000836
BM(file): files/file_1M;1274.940417916;1275.279084944;0.33866702800014536
BM(file): files/file_1M;1276.292991897;1276.536810101;0.24381820399980825
BM(file): files/file_1M;1277.544460986;1277.876616975;0.3321559889998298
BM(file): files/file_1M;1278.887335122;1279.1347882;0.24745307800003502
BM(file): files/file_1M;1280.151842259;1280.404887684;0.25304542499998206
BM(file): files/file_1M;1281.421355179;1281.67880548;0.25745030099983524
BM(file): files/file_1M;1282.694641286;1282.94991424;0.25527295400002004
BM(file): files/file_1M;1283.960135397;1284.312690561;0.35255516400002307
BM(file): files/file_1M;1285.323902252;1285.655878124;0.3319758720001573
BM(file): files/file_1M;1286.679701863;1286.940866552;0.26116468899999745
BM(file): files/file_1M;1287.9639101;1288.238646955;0.27473685499990097
BM(file): files/file_1M;1289.258216078;1289.513805942;0.2555898640000578
BM(file): files/file_1M;1290.524168258;1290.866966668;0.342798410000114
BM(file): files/file_1M;1291.883448517;1292.131307282;0.24785876500004633
BM(file): files/file_1M;1293.14032888;1293.498851401;0.35852252099994075
BM(file): files/file_1M;1294.517463187;1294.77091276;0.2534495730001254
BM(file): files/file_1M;1295.77848147;1296.103609296;0.3251278259999708
BM(file): files/file_1M;1297.113700674;1297.469297066;0.3555963920000522
BM(file): files/file_1M;1298.483337998;1298.74623892;0.2629009219999716
BM(file): files/file_1M;1299.759328487;1300.018214294;0.2588858070000697
BM(file): files/file_1M;1301.034982578;1301.287766339;0.25278376100004607
BM(file): files/file_1M;1302.30885768;1302.713895782;0.40503810199993495
BM(file): files/file_1M;1303.731357777;1303.987681409;0.256323631999976
BM(file): files/file_1M;1304.996332011;1305.331374552;0.3350425409998934
BM(file): files/file_1M;1306.343731204;1306.585515301;0.24178409699993608
BM(file): files/file_1M;1307.595251821;1307.936526635;0.34127481400014403
BM(file): files/file_1M;1308.951692387;1309.313073137;0.3613807499998529
BM(file): files/file_1M;1310.321535805;1310.723487797;0.4019519920000221
BM(file): files/file_1M;1311.731933523;1311.967587205;0.23565368200002013
BM(file): files/file_1M;1312.975282815;1313.342124173;0.36684135800010154
BM(file): files/file_1M;1314.352997035;1314.59627821;0.2432811749999928
BM(file): files/file_1M;1315.603552555;1315.955114743;0.3515621879998889
BM(file): files/file_1M;1316.968756827;1317.213979527;0.24522269999988566
BM(file): files/file_1M;1318.220492435;1318.565385867;0.3448934319999353
BM(file): files/file_1M;1319.576147244;1319.823775097;0.24762785300003998
BM(file): files/file_1M;1320.831796004;1321.297986288;0.46619028400004936
BM(file): files/file_1M;1322.306723801;1322.562665861;0.2559420599998248
BM(file): files/file_1M;1323.57160818;1323.978737983;0.40712980299986157
BM(file): files/file_1M;1324.989715043;1325.231603774;0.2418887310000173
BM(file): files/file_1M;1326.239370567;1326.579995154;0.340624587000093
BM(file): files/file_1M;1327.589609893;1327.833227645;0.24361775200009106
BM(file): files/file_1M;1328.843985614;1329.199453719;0.3554681049999999
BM(file): files/file_1M;1330.212654848;1330.457145073;0.2444902249999359
BM(file): files/file_1M;1331.476508727;1331.842258684;0.3657499569999345
BM(file): files/file_1M;1332.853943822;1333.211333207;0.35738938500003314
BM(file): files/file_1M;1334.218126979;1334.54409204;0.32596506099980616
BM(file): files/file_1M;1335.554259104;1335.795504892;0.24124578800001473
BM(file): files/file_1M;1336.801969599;1337.145588703;0.3436191040000267
BM(file): files/file_1M;1338.155353617;1338.41585638;0.26050276299997677
BM(file): files/file_1M;1339.423293075;1339.746493457;0.3232003820000955
BM(file): files/file_1M;1340.762593741;1341.007889743;0.24529600200003188
BM(file): files/file_1M;1342.018718739;1342.35978325;0.3410645110000132
BM(file): files/file_1M;1343.380739974;1343.640687866;0.2599478919999001
BM(file): files/file_1M;1344.648275518;1345.079687658;0.43141214000002037
BM(file): files/file_1M;1346.100747487;1346.357044392;0.25629690499999924
BM(file): files/file_1M;1347.368719809;1347.625286886;0.2565670769999997
BM(file): files/file_1M;1348.639722003;1348.903375814;0.2636538109998128
BM(file): files/file_1M;1349.912558641;1350.165943568;0.2533849270000701
BM(file): files/file_1M;1351.184277405;1351.46010925;0.2758318449998569
BM(file): files/file_1M;1352.475208316;1352.731499315;0.25629099900015717
BM(file): files/file_1M;1353.748645241;1354.010385917;0.26174067599981754
BM(file): files/file_1M;1355.021191833;1355.269488096;0.24829626299992924
BM(file): files/file_1M;1356.286882206;1356.664860467;0.3779782609999529
BM(file): files/file_1M;1357.676624741;1358.020149309;0.34352456800002074
BM(file): files/file_1M;1359.032585681;1359.272794624;0.24020894299997053
BM(file): files/file_1M;1360.279457991;1360.650611571;0.37115357999982734
