Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sb5cba967 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;1408.323158642;1408.70747604;0.3843173980001211
BM(file): files/file_1M;1412.978617447;1413.309305298;0.3306878509999933
BM(file): files/file_1M;1414.330037086;1414.599399147;0.269362061000038
BM(file): files/file_1M;1415.608372325;1415.969695845;0.36132352000004175
BM(file): files/file_1M;1416.984305038;1417.245819277;0.26151423900000736
BM(file): files/file_1M;1418.25314632;1418.611479231;0.35833291099993403
BM(file): files/file_1M;1419.624938044;1419.889090267;0.2641522230001101
BM(file): files/file_1M;1420.898943299;1421.381486603;0.4825433040000462
BM(file): files/file_1M;1422.400773061;1422.661099291;0.2603262299999187
BM(file): files/file_1M;1423.669208521;1424.102126937;0.4329184160001205
BM(file): files/file_1M;1425.116516521;1425.392550277;0.27603375600006075
BM(file): files/file_1M;1426.414621645;1426.94790998;0.5332883350001794
BM(file): files/file_1M;1427.990768841;1428.264201407;0.2734325659998831
BM(file): files/file_1M;1429.27569093;1429.657947535;0.3822566049998386
BM(file): files/file_1M;1430.669788522;1430.975700274;0.30591175199992904
BM(file): files/file_1M;1431.986332585;1432.3738082;0.38747561500008487
BM(file): files/file_1M;1433.388444552;1433.657886124;0.2694415720000052
BM(file): files/file_1M;1434.669094654;1435.224548583;0.5554539289998957
BM(file): files/file_1M;1436.239224899;1436.514381486;0.27515658700008316
BM(file): files/file_1M;1437.554436129;1438.038802757;0.4843666280000889
BM(file): files/file_1M;1439.050844968;1439.305209233;0.2543642649998219
BM(file): files/file_1M;1440.313553786;1440.647086266;0.3335324800000308
BM(file): files/file_1M;1441.659237483;1441.911341476;0.25210399299999153
BM(file): files/file_1M;1442.920350415;1443.282110541;0.3617601260000356
BM(file): files/file_1M;1444.294486098;1444.563363753;0.26887765499986926
BM(file): files/file_1M;1445.572293028;1445.932368222;0.360075193999819
BM(file): files/file_1M;1446.950993884;1447.275467239;0.3244733550000092
BM(file): files/file_1M;1448.286894542;1448.777378903;0.4904843609999716
BM(file): files/file_1M;1449.790832769;1450.07080449;0.2799717210000381
BM(file): files/file_1M;1451.079590147;1451.449492855;0.36990270799992686
BM(file): files/file_1M;1452.457806259;1452.726407123;0.2686008639998363
BM(file): files/file_1M;1453.73330989;1454.119059168;0.38574927799982106
BM(file): files/file_1M;1455.127316991;1455.387069104;0.25975211299987677
BM(file): files/file_1M;1456.403983012;1456.793473494;0.3894904819999283
BM(file): files/file_1M;1457.815166533;1458.086231047;0.27106451400004516
BM(file): files/file_1M;1459.094518584;1459.444207018;0.3496884339999724
BM(file): files/file_1M;1460.457788524;1460.724834042;0.26704551800003173
BM(file): files/file_1M;1461.73876697;1462.349244072;0.6104771020000044
BM(file): files/file_1M;1463.378449231;1463.654870507;0.27642127599983723
BM(file): files/file_1M;1464.662671587;1464.988985966;0.3263143789999958
BM(file): files/file_1M;1466.000137413;1466.255852449;0.2557150360000833
BM(file): files/file_1M;1467.264979545;1467.578774472;0.31379492700011724
BM(file): files/file_1M;1468.596775363;1468.866503325;0.26972796199993354
BM(file): files/file_1M;1469.890490108;1470.245484056;0.35499394799990114
BM(file): files/file_1M;1471.256925719;1471.518283102;0.2613573829999041
BM(file): files/file_1M;1472.525207349;1472.896285202;0.3710778529998606
BM(file): files/file_1M;1473.908504959;1474.271400151;0.3628951919999963
BM(file): files/file_1M;1475.278344483;1475.614424043;0.33607956000014383
BM(file): files/file_1M;1476.621384627;1476.87151857;0.2501339430000371
BM(file): files/file_1M;1477.880544967;1478.204926457;0.32438148999995065
BM(file): files/file_1M;1479.216138375;1479.499464263;0.2833258880000358
BM(file): files/file_1M;1480.508579829;1480.8369614;0.3283815710001363
BM(file): files/file_1M;1481.847612357;1482.116206312;0.26859395500014216
BM(file): files/file_1M;1483.123430279;1483.534161683;0.4107314039999892
BM(file): files/file_1M;1484.550134777;1484.817408137;0.26727335999999013
BM(file): files/file_1M;1485.82764126;1486.168113948;0.3404726879998634
BM(file): files/file_1M;1487.183642581;1487.553390218;0.36974763700004587
BM(file): files/file_1M;1488.561707533;1488.888062419;0.32635488600021745
BM(file): files/file_1M;1489.904109143;1490.166128411;0.262019268000131
BM(file): files/file_1M;1491.174358103;1491.502653842;0.328295738999941
BM(file): files/file_1M;1492.515853248;1492.785802427;0.2699491789999229
BM(file): files/file_1M;1493.800834352;1494.162543954;0.361709602000019
BM(file): files/file_1M;1495.174491684;1495.43511319;0.2606215060000068
BM(file): files/file_1M;1496.442683753;1496.758208871;0.31552511800009597
BM(file): files/file_1M;1497.770603398;1498.024232212;0.25362881399996695
BM(file): files/file_1M;1499.032889163;1499.372645264;0.3397561010001482
BM(file): files/file_1M;1500.386128928;1500.742273937;0.35614500899987434
BM(file): files/file_1M;1501.749867796;1502.079854137;0.32998634099999435
BM(file): files/file_1M;1503.090771611;1503.352754215;0.261982603999968
BM(file): files/file_1M;1504.362511388;1504.739127803;0.376616414999944
BM(file): files/file_1M;1505.75166317;1506.013317937;0.2616547669999818
BM(file): files/file_1M;1507.020441502;1507.354447249;0.33400574699999197
BM(file): files/file_1M;1508.362344157;1508.611167275;0.24882311800001844
BM(file): files/file_1M;1509.620420247;1509.976749275;0.35632902799989097
BM(file): files/file_1M;1510.998632171;1511.262721472;0.2640893010000127
BM(file): files/file_1M;1512.270754905;1512.632602687;0.3618477819998134
BM(file): files/file_1M;1513.646797709;1514.020568597;0.3737708879998536
BM(file): files/file_1M;1515.02853788;1515.367974553;0.3394366730001366
BM(file): files/file_1M;1516.375234837;1516.623379648;0.24814481099997465
BM(file): files/file_1M;1517.631415662;1517.956868221;0.32545255899981385
BM(file): files/file_1M;1518.967948785;1519.22882062;0.260871834999989
BM(file): files/file_1M;1520.23636961;1520.563133747;0.3267641369998273
BM(file): files/file_1M;1521.577491627;1521.846190008;0.26869838099992194
BM(file): files/file_1M;1522.858965798;1523.227582413;0.3686166149998371
BM(file): files/file_1M;1524.238402855;1524.499496454;0.2610935990001053
BM(file): files/file_1M;1525.508262716;1525.865338789;0.3570760729999165
BM(file): files/file_1M;1526.882886717;1527.258844852;0.37595813500001896
BM(file): files/file_1M;1528.266797336;1528.600090916;0.3332935799999177
BM(file): files/file_1M;1529.610444818;1529.871385888;0.26094107000017175
BM(file): files/file_1M;1530.881814764;1531.254600411;0.3727856470000006
BM(file): files/file_1M;1532.283754412;1532.554350837;0.2705964249998942
BM(file): files/file_1M;1533.564318069;1533.910517819;0.3461997500000962
BM(file): files/file_1M;1534.926337222;1535.196381335;0.27004411300003994
BM(file): files/file_1M;1536.205300958;1536.530397588;0.3250966299999618
BM(file): files/file_1M;1537.540998623;1537.804992646;0.263994023000123
