Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.keepalive_timeout=0.5 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s8ef2b724 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;2495.594468419;2498.323920057;2.729451638000228
BM(file): files/file_10M;2508.258255501;2511.076270652;2.818015151000054
BM(file): files/file_10M;2553.819069524;2556.580081893;2.7610123690001274
BM(file): files/file_10M;2557.598872965;2560.276192547;2.677319582000109
BM(file): files/file_10M;2561.290423242;2563.664666316;2.374243073999878
BM(file): files/file_10M;2564.674481426;2567.037194346;2.3627129199999217
BM(file): files/file_10M;2568.06454434;2570.921407252;2.856862911999997
BM(file): files/file_10M;2571.938304226;2574.27047018;2.33216595399972
BM(file): files/file_10M;2575.286661731;2577.632616074;2.345954342999903
BM(file): files/file_10M;2578.649921095;2581.32919975;2.679278654999962
BM(file): files/file_10M;2582.351443113;2584.78476416;2.433321046999936
BM(file): files/file_10M;2585.794523775;2588.561542889;2.7670191140000497
BM(file): files/file_10M;2589.576431222;2591.958961435;2.3825302130003365
BM(file): files/file_10M;2592.971541746;2595.302492823;2.330951077000009
BM(file): files/file_10M;2596.320783191;2598.680486764;2.3597035729999334
BM(file): files/file_10M;2599.699610183;2602.065354067;2.3657438840000395
BM(file): files/file_10M;2603.076339114;2605.585058338;2.508719224000288
BM(file): files/file_10M;2606.601198728;2608.970421401;2.3692226729999675
BM(file): files/file_10M;2609.987040463;2612.302706897;2.3156664339999224
BM(file): files/file_10M;2613.311591175;2616.014999672;2.703408497000055
BM(file): files/file_10M;2617.022421519;2619.340819899;2.3183983799999623
BM(file): files/file_10M;2620.351297695;2622.782566782;2.4312690869996914
BM(file): files/file_10M;2623.805444992;2626.601605875;2.796160883000084
BM(file): files/file_10M;2627.61860932;2629.997966894;2.379357574000096
BM(file): files/file_10M;2631.009226783;2633.673902653;2.6646758699998827
BM(file): files/file_10M;2634.69194761;2637.052397624;2.36045001399998
BM(file): files/file_10M;2638.06064315;2640.724897603;2.6642544530000123
BM(file): files/file_10M;2641.745268917;2644.085467566;2.3401986489998308
BM(file): files/file_10M;2645.092998753;2647.761967215;2.668968462000066
BM(file): files/file_10M;2648.773437483;2651.114681062;2.341243578999638
BM(file): files/file_10M;2652.121475368;2654.781382534;2.6599071659998117
BM(file): files/file_10M;2655.796797468;2658.214395975;2.4175985070000934
BM(file): files/file_10M;2659.222648005;2661.85226354;2.6296155350000845
BM(file): files/file_10M;2662.86769035;2665.335845446;2.4681550959999186
BM(file): files/file_10M;2666.343044259;2668.818721223;2.475676963999831
BM(file): files/file_10M;2669.847380166;2672.190715106;2.3433349399997496
BM(file): files/file_10M;2673.208944029;2675.557519398;2.348575368999718
BM(file): files/file_10M;2676.576867499;2679.203576887;2.6267093880001084
BM(file): files/file_10M;2680.241889761;2682.60463844;2.3627486790001058
BM(file): files/file_10M;2683.6314762;2685.961703848;2.330227647999891
BM(file): files/file_10M;2686.98325614;2689.314706884;2.3314507439999943
BM(file): files/file_10M;2690.329458067;2693.027102291;2.6976442240002143
BM(file): files/file_10M;2694.041824057;2696.502387714;2.460563656999966
BM(file): files/file_10M;2697.516981688;2699.918126171;2.4011444829998254
BM(file): files/file_10M;2700.942873455;2703.657557727;2.714684271999886
BM(file): files/file_10M;2704.674570601;2707.016787125;2.342216523999923
BM(file): files/file_10M;2708.031162598;2710.505193519;2.4740309210001215
BM(file): files/file_10M;2711.522611981;2713.879220651;2.3566086700002415
BM(file): files/file_10M;2714.895487143;2717.239464063;2.343976919999932
BM(file): files/file_10M;2718.246846635;2720.868243526;2.6213968909996765
BM(file): files/file_10M;2721.875905142;2724.189898391;2.31399324899985
BM(file): files/file_10M;2725.199237232;2727.89685001;2.6976127779998933
BM(file): files/file_10M;2728.919723903;2731.321775781;2.4020518779998383
BM(file): files/file_10M;2732.329915945;2734.774920876;2.4450049310003124
BM(file): files/file_10M;2735.793557228;2738.188386327;2.3948290990001624
BM(file): files/file_10M;2739.196764077;2741.900991259;2.704227182000068
BM(file): files/file_10M;2742.916817;2745.620934973;2.7041179730003932
BM(file): files/file_10M;2746.640673921;2749.050048918;2.409374996999759
BM(file): files/file_10M;2750.065154653;2752.411130728;2.3459760750001806
BM(file): files/file_10M;2753.431434099;2756.095937847;2.664503748000243
BM(file): files/file_10M;2757.112255387;2759.549114202;2.4368588150000505
BM(file): files/file_10M;2760.563816351;2762.937678831;2.373862480000298
BM(file): files/file_10M;2763.960600438;2766.725142602;2.7645421639999768
BM(file): files/file_10M;2767.742402152;2770.116690305;2.374288152999725
BM(file): files/file_10M;2771.128400342;2773.461905006;2.3335046639999746
BM(file): files/file_10M;2774.477899587;2777.154116457;2.6762168699997346
BM(file): files/file_10M;2778.165234073;2780.497181723;2.33194764999962
BM(file): files/file_10M;2781.506076358;2784.204371742;2.6982953840001755
BM(file): files/file_10M;2785.223833733;2787.620537238;2.396703505000005
BM(file): files/file_10M;2788.62850149;2791.145480069;2.516978578999897
BM(file): files/file_10M;2792.15878025;2794.518718515;2.3599382649999825
BM(file): files/file_10M;2795.535226519;2797.883220291;2.3479937719998816
BM(file): files/file_10M;2798.893062771;2801.569428941;2.67636616999971
BM(file): files/file_10M;2802.585752778;2805.094151525;2.5083987470002285
BM(file): files/file_10M;2806.101826983;2808.587765258;2.4859382750000805
BM(file): files/file_10M;2809.599968678;2811.983420182;2.3834515039998223
BM(file): files/file_10M;2812.993239204;2815.352757303;2.35951809900007
BM(file): files/file_10M;2816.361389356;2818.880288336;2.5188989799999035
BM(file): files/file_10M;2819.897326222;2822.285361565;2.388035342999956
BM(file): files/file_10M;2823.298752749;2825.671988237;2.373235487999864
BM(file): files/file_10M;2826.683547986;2829.041565823;2.3580178369998066
BM(file): files/file_10M;2830.059885307;2832.822599012;2.7627137049998964
BM(file): files/file_10M;2833.839270937;2836.1997953;2.3605243629999677
BM(file): files/file_10M;2837.207446595;2839.951139612;2.7436930170001688
BM(file): files/file_10M;2840.966209689;2843.333760665;2.367550976000075
BM(file): files/file_10M;2844.342364053;2847.03692704;2.694562987000154
BM(file): files/file_10M;2848.05395422;2850.576113822;2.5221596020001016
BM(file): files/file_10M;2851.589660968;2854.09815456;2.5084935919999225
BM(file): files/file_10M;2855.118450815;2857.508327683;2.3898768680001012
BM(file): files/file_10M;2858.525931453;2860.915568361;2.389636908000284
BM(file): files/file_10M;2861.929120883;2864.301043823;2.3719229399998767
BM(file): files/file_10M;2865.310507305;2868.054576664;2.7440693589996954
BM(file): files/file_10M;2869.067763766;2871.437860189;2.3700964229997226
BM(file): files/file_10M;2872.448884145;2874.79130046;2.3424163149998094
BM(file): files/file_10M;2875.803412843;2878.575239648;2.7718268050002735
