Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sce154fa2 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;44857.690509005;44860.390134695;2.6996256900019944
BM(file): files/file_10M;44860.396748474;44862.837858881;2.44111040700227
BM(file): files/file_10M;44862.843985697;44865.306620711;2.4626350140024442
BM(file): files/file_10M;44865.313624662;44867.725101084;2.411476421999396
BM(file): files/file_10M;44867.731458569;44870.141418684;2.409960115001013
BM(file): files/file_10M;44870.147410831;44872.905905741;2.7584949099982623
BM(file): files/file_10M;44872.913345654;44875.332562661;2.419217007001862
BM(file): files/file_10M;44875.338166179;44877.734573691;2.3964075120020425
BM(file): files/file_10M;44877.743660539;44880.143864758;2.400204218996805
BM(file): files/file_10M;44880.150244702;44882.598928652;2.4486839499950293
BM(file): files/file_10M;44882.607784872;44885.023873555;2.4160886829995434
BM(file): files/file_10M;44885.031417344;44887.783186809;2.7517694650014164
BM(file): files/file_10M;44887.79024901;44890.275387479;2.48513846899732
BM(file): files/file_10M;44890.282331678;44892.685746517;2.4034148390055634
BM(file): files/file_10M;44892.692982845;44895.105078861;2.4120960159998504
BM(file): files/file_10M;44895.112644985;44897.550291401;2.437646416001371
BM(file): files/file_10M;44897.556397425;44899.978752886;2.4223554609998246
BM(file): files/file_10M;44899.989425209;44902.429643571;2.4402183619968127
BM(file): files/file_10M;44902.438795378;44904.922128163;2.48333278499922
BM(file): files/file_10M;44904.928725817;44907.394610581;2.465884764002112
BM(file): files/file_10M;44907.401994619;44909.80365565;2.401661030999094
BM(file): files/file_10M;44909.809925259;44912.209962564;2.4000373050002963
BM(file): files/file_10M;44912.216341508;44914.659114441;2.4427729329981958
BM(file): files/file_10M;44914.664914753;44917.066907955;2.401993202001904
BM(file): files/file_10M;44917.073257899;44919.526845199;2.453587299998617
BM(file): files/file_10M;44919.533660564;44921.962284803;2.428624239000783
BM(file): files/file_10M;44921.968887;44924.365499603;2.3966126029990846
BM(file): files/file_10M;44924.371693628;44926.780450738;2.4087571099953493
BM(file): files/file_10M;44926.78667218;44929.23021804;2.4435458599982667
BM(file): files/file_10M;44929.236554941;44931.924421391;2.6878664499963634
BM(file): files/file_10M;44931.931995848;44934.37063953;2.4386436820059316
BM(file): files/file_10M;44934.378656825;44936.792101611;2.4134447859978536
BM(file): files/file_10M;44936.798681599;44939.219685759;2.4210041600017576
BM(file): files/file_10M;44939.225751782;44941.64602906;2.4202772779972292
BM(file): files/file_10M;44941.661354267;44944.06484903;2.403494762998889
BM(file): files/file_10M;44944.072977285;44946.536086982;2.4631096969969803
BM(file): files/file_10M;44946.542617969;44948.955468876;2.4128509070069413
BM(file): files/file_10M;44948.961828778;44951.358510761;2.396681982994778
BM(file): files/file_10M;44951.364642952;44953.794804212;2.430161259995657
BM(file): files/file_10M;44953.802697381;44956.504206231;2.701508850004757
BM(file): files/file_10M;44956.511802563;44958.919907961;2.408105397997133
BM(file): files/file_10M;44958.92623503;44961.353305966;2.427070935998927
BM(file): files/file_10M;44961.360228624;44963.794353678;2.4341250540019246
BM(file): files/file_10M;44963.800807623;44966.653341852;2.8525342289940454
BM(file): files/file_10M;44966.662760412;44969.155802851;2.493042438996781
BM(file): files/file_10M;44969.163728228;44971.595450258;2.4317220299999462
BM(file): files/file_10M;44971.606661087;44974.044974563;2.438313476006442
BM(file): files/file_10M;44974.051708969;44976.779201685;2.7274927160033258
BM(file): files/file_10M;44976.786992061;44979.204743983;2.4177519219956594
BM(file): files/file_10M;44979.210481003;44981.610075354;2.399594351001724
BM(file): files/file_10M;44981.616584549;44984.015920606;2.399336056994798
BM(file): files/file_10M;44984.022298675;44986.500758627;2.478459951998957
BM(file): files/file_10M;44986.510811193;44989.021825079;2.5110138859963627
BM(file): files/file_10M;44989.032219316;44991.475841685;2.4436223689990584
BM(file): files/file_10M;44991.48253634;44993.928774904;2.446238563999941
BM(file): files/file_10M;44993.93532085;44996.388884367;2.453563516995928
BM(file): files/file_10M;44996.395201686;44998.837564791;2.4423631050012773
BM(file): files/file_10M;44998.843653274;45001.512484695;2.6688314209968667
BM(file): files/file_10M;45001.520817701;45003.968856744;2.4480390430035186
BM(file): files/file_10M;45003.975401648;45006.391920434;2.4165187859980506
BM(file): files/file_10M;45006.397815415;45008.783821248;2.386005832995579
BM(file): files/file_10M;45008.792819928;45011.211633157;2.4188132290000794
BM(file): files/file_10M;45011.218349604;45013.633595753;2.4152461490011774
BM(file): files/file_10M;45013.641526672;45016.055961437;2.4144347649998963
BM(file): files/file_10M;45016.063731937;45018.478780293;2.415048356000625
BM(file): files/file_10M;45018.484982651;45020.939664476;2.4546818249946227
BM(file): files/file_10M;45020.947553103;45023.380079647;2.4325265440056683
BM(file): files/file_10M;45023.38781248;45025.837313374;2.4495008939993568
BM(file): files/file_10M;45025.848877249;45028.276117154;2.4272399049950764
BM(file): files/file_10M;45028.282375138;45030.701251078;2.418875939998543
BM(file): files/file_10M;45030.70752752;45033.103833592;2.3963060720052454
BM(file): files/file_10M;45033.110325662;45035.568176147;2.4578504849996534
BM(file): files/file_10M;45035.577775709;45038.009633081;2.4318573719938286
BM(file): files/file_10M;45038.017542042;45040.426823379;2.4092813370007207
BM(file): files/file_10M;45040.433758037;45042.851884095;2.41812605800078
BM(file): files/file_10M;45042.85868971;45045.306748758;2.4480590479943203
BM(file): files/file_10M;45045.313383871;45047.721585073;2.4082012020007824
BM(file): files/file_10M;45047.728134185;45050.148630519;2.420496333994379
BM(file): files/file_10M;45050.156574897;45052.554901617;2.3983267199946567
BM(file): files/file_10M;45052.564983184;45054.987368039;2.422384855002747
BM(file): files/file_10M;45054.995257166;45057.467118222;2.4718610559939407
BM(file): files/file_10M;45057.47425509;45059.935629366;2.46137427600479
BM(file): files/file_10M;45059.946447024;45062.702241515;2.7557944910004153
BM(file): files/file_10M;45062.710906234;45065.12788999;2.4169837559966254
BM(file): files/file_10M;45065.134444061;45067.546824976;2.412380915004178
BM(file): files/file_10M;45067.552721415;45069.948298233;2.395576818002155
BM(file): files/file_10M;45069.954943554;45072.378426631;2.423483077000128
BM(file): files/file_10M;45072.38497041;45074.788095602;2.403125192002335
BM(file): files/file_10M;45074.795427056;45077.194715539;2.3992884830004186
BM(file): files/file_10M;45077.201071316;45079.618617039;2.41754572300124
BM(file): files/file_10M;45079.625724532;45082.026215904;2.400491371998214
BM(file): files/file_10M;45082.032179385;45084.472485728;2.4403063429999747
BM(file): files/file_10M;45084.479642763;45087.208711427;2.729068664004444
BM(file): files/file_10M;45087.216119007;45089.627176286;2.4110572790013975
BM(file): files/file_10M;45089.634108944;45092.053875441;2.4197664969979087
BM(file): files/file_10M;45092.059898339;45094.493817698;2.433919358998537
