Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s00869396 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;47066.136718531;47073.412620783;7.27590225199674
BM(file): files/file_10M;47073.423787941;47080.078166804;6.654378863000602
BM(file): files/file_10M;47080.084947375;47086.535667332;6.450719956999819
BM(file): files/file_10M;47086.543542331;47092.901393785;6.357851454005868
BM(file): files/file_10M;47092.910341795;47099.327604629;6.417262833994755
BM(file): files/file_10M;47099.335202791;47105.717405975;6.382203184002719
BM(file): files/file_10M;47105.724115045;47112.13116133;6.407046284999524
BM(file): files/file_10M;47112.138163278;47118.651737517;6.513574238997535
BM(file): files/file_10M;47118.657807497;47124.872363205;6.214555708000262
BM(file): files/file_10M;47124.879237652;47131.574531929;6.695294277000357
BM(file): files/file_10M;47131.58097458;47137.751539469;6.170564888998342
BM(file): files/file_10M;47137.75865171;47143.871376253;6.112724543003424
BM(file): files/file_10M;47143.877697611;47150.020166888;6.14246927700151
BM(file): files/file_10M;47150.027231295;47156.587376317;6.5601450220055995
BM(file): files/file_10M;47156.595581069;47162.64748354;6.051902471001085
BM(file): files/file_10M;47162.655814293;47169.097053338;6.441239045001566
BM(file): files/file_10M;47169.105280174;47175.518837145;6.413556970997888
BM(file): files/file_10M;47175.534812396;47181.976131622;6.441319226003543
BM(file): files/file_10M;47181.982299104;47188.17301701;6.190717905999918
BM(file): files/file_10M;47188.180997969;47194.82290164;6.641903670999454
BM(file): files/file_10M;47194.828660825;47201.009947063;6.18128623800294
BM(file): files/file_10M;47201.018989783;47207.067691017;6.048701234001783
BM(file): files/file_10M;47207.073780039;47213.513131779;6.4393517400021665
BM(file): files/file_10M;47213.520960195;47220.015884523;6.494924328006164
BM(file): files/file_10M;47220.025557583;47226.209417082;6.183859498996753
BM(file): files/file_10M;47226.217135496;47232.943497384;6.72636188800243
BM(file): files/file_10M;47232.949413612;47239.467670414;6.518256802002725
BM(file): files/file_10M;47239.474670612;47246.26813459;6.793463977999636
BM(file): files/file_10M;47246.274226112;47252.928156346;6.653930234002473
BM(file): files/file_10M;47252.937948907;47259.018578191;6.08062928399886
BM(file): files/file_10M;47259.02478584;47265.776431859;6.7516460189945064
BM(file): files/file_10M;47265.783872395;47272.176774542;6.392902147003042
BM(file): files/file_10M;47272.1830724;47278.408227922;6.225155521999113
BM(file): files/file_10M;47278.415990628;47284.66290205;6.246911422000267
BM(file): files/file_10M;47284.672794029;47291.086591912;6.413797882996732
BM(file): files/file_10M;47291.093869322;47297.433199931;6.3393306090001715
BM(file): files/file_10M;47297.439396371;47303.892950431;6.453554059997259
BM(file): files/file_10M;47303.900426051;47310.144787011;6.244360960001359
BM(file): files/file_10M;47310.151205411;47316.198165726;6.046960314997705
BM(file): files/file_10M;47316.205367885;47322.641067775;6.435699890003889
BM(file): files/file_10M;47322.64730734;47329.101830016;6.454522676001943
BM(file): files/file_10M;47329.108964549;47335.396933861;6.2879693119975855
BM(file): files/file_10M;47335.402912007;47341.975489014;6.572577007005748
BM(file): files/file_10M;47341.983083593;47348.350881711;6.367798118000792
BM(file): files/file_10M;47348.357111234;47354.918953972;6.561842738003179
BM(file): files/file_10M;47354.926470509;47361.393127839;6.46665732999827
BM(file): files/file_10M;47361.402161517;47368.245863678;6.843702161000692
BM(file): files/file_10M;47368.25360355;47374.632121884;6.378518334000546
BM(file): files/file_10M;47374.638349074;47381.183894787;6.545545713001047
BM(file): files/file_10M;47381.193167759;47387.412082055;6.218914296005096
BM(file): files/file_10M;47387.418789667;47393.664302412;6.245512745001179
BM(file): files/file_10M;47393.67122586;47400.390665119;6.719439258995408
BM(file): files/file_10M;47400.396960185;47406.486689348;6.08972916300263
BM(file): files/file_10M;47406.494305386;47412.908528706;6.414223320003657
BM(file): files/file_10M;47412.915382986;47419.216104995;6.30072200900031
BM(file): files/file_10M;47419.224643251;47425.514677569;6.290034318000835
BM(file): files/file_10M;47425.522148189;47432.011870729;6.4897225400054595
BM(file): files/file_10M;47432.019269557;47438.345594556;6.326324998997734
BM(file): files/file_10M;47438.353198927;47444.701118948;6.347920021005848
BM(file): files/file_10M;47444.707966978;47451.238793255;6.530826276997686
BM(file): files/file_10M;47451.248426356;47457.535909543;6.287483186999452
BM(file): files/file_10M;47457.543173369;47463.885671638;6.342498269004864
BM(file): files/file_10M;47463.892335458;47470.124821201;6.232485743006691
BM(file): files/file_10M;47470.131891775;47476.637785599;6.505893823996303
BM(file): files/file_10M;47476.644362876;47482.958800612;6.3144377360004
BM(file): files/file_10M;47482.966500943;47489.469181032;6.502680088997295
BM(file): files/file_10M;47489.475643392;47495.841186297;6.365542905004986
BM(file): files/file_10M;47495.848415497;47502.273311071;6.42489557400404
BM(file): files/file_10M;47502.27962172;47508.570052803;6.290431082998111
BM(file): files/file_10M;47508.576863999;47514.874521412;6.297657413000707
BM(file): files/file_10M;47514.882735789;47521.5198116;6.637075811006071
BM(file): files/file_10M;47521.526529212;47527.839633544;6.313104331995419
BM(file): files/file_10M;47527.845770067;47534.258887243;6.413117176001833
BM(file): files/file_10M;47534.266893244;47540.453950051;6.187056807000772
BM(file): files/file_10M;47540.460324952;47546.731577605;6.271252653001284
BM(file): files/file_10M;47546.738132465;47553.044633074;6.306500609003706
BM(file): files/file_10M;47553.052369656;47559.276369069;6.223999412999547
BM(file): files/file_10M;47559.286314424;47565.543566231;6.257251807001012
BM(file): files/file_10M;47565.550744015;47571.934876324;6.3841323089945945
BM(file): files/file_10M;47571.942429737;47578.041357139;6.098927402003028
BM(file): files/file_10M;47578.047677663;47584.158825321;6.111147657997208
BM(file): files/file_10M;47584.165988938;47590.349717861;6.183728922995215
BM(file): files/file_10M;47590.359890135;47596.499046676;6.1391565410012845
BM(file): files/file_10M;47596.506859425;47602.82452026;6.317660835004062
BM(file): files/file_10M;47602.831552126;47609.289172309;6.457620182998653
BM(file): files/file_10M;47609.296854223;47615.659968375;6.363114152001799
BM(file): files/file_10M;47615.665846437;47622.172351492;6.5065050550037995
BM(file): files/file_10M;47622.17906553;47628.511909543;6.332844012998976
BM(file): files/file_10M;47628.51771632;47634.745123212;6.227406892001454
BM(file): files/file_10M;47634.752137836;47641.098149623;6.346011786998133
BM(file): files/file_10M;47641.104106735;47647.317655712;6.213548977000755
BM(file): files/file_10M;47647.32561393;47653.698617407;6.373003476997837
BM(file): files/file_10M;47653.704987107;47660.0368496;6.3318624930034275
BM(file): files/file_10M;47660.044607524;47666.663200504;6.618592979997629
BM(file): files/file_10M;47666.669588412;47672.977617167;6.308028755003761
BM(file): files/file_10M;47672.984961794;47679.446194636;6.461232842004392
BM(file): files/file_10M;47679.453682098;47686.182075728;6.728393630000937
