Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s765a3fea --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;53106.113361317;53117.023771865;10.910410548000073
BM(file): files/file_10M;53117.032451078;53126.704692964;9.672241886000847
BM(file): files/file_10M;53126.710464939;53136.215498774;9.505033834997448
BM(file): files/file_10M;53136.222467678;53146.184704924;9.962237245999859
BM(file): files/file_10M;53146.190255314;53156.515637061;10.325381746995845
BM(file): files/file_10M;53156.52397977;53166.336713;9.81273322999914
BM(file): files/file_10M;53166.343465694;53175.506311925;9.162846230996365
BM(file): files/file_10M;53175.513392539;53185.438488949;9.925096410006518
BM(file): files/file_10M;53185.447555082;53194.769392549;9.321837467003206
BM(file): files/file_10M;53194.776933625;53204.452815165;9.675881540002592
BM(file): files/file_10M;53204.45879756;53213.788758935;9.329961374998675
BM(file): files/file_10M;53213.795445378;53224.264213139;10.468767761005438
BM(file): files/file_10M;53224.272202179;53234.774149507;10.501947327997186
BM(file): files/file_10M;53234.781590124;53244.352274626;9.570684501995856
BM(file): files/file_10M;53244.358444147;53253.297089568;8.938645420996181
BM(file): files/file_10M;53253.303557842;53263.824372792;10.520814949995838
BM(file): files/file_10M;53263.831386863;53273.072998232;9.241611368997837
BM(file): files/file_10M;53273.078959667;53283.285400119;10.206440451998787
BM(file): files/file_10M;53283.294128167;53293.298362828;10.004234660998918
BM(file): files/file_10M;53293.305534776;53303.093950631;9.788415855000494
BM(file): files/file_10M;53303.099982068;53312.372074931;9.27209286300058
BM(file): files/file_10M;53312.381081939;53321.677255687;9.296173748000001
BM(file): files/file_10M;53321.683568209;53331.635652608;9.952084398995794
BM(file): files/file_10M;53331.644883952;53340.225257935;8.580373983000754
BM(file): files/file_10M;53340.231600833;53349.736664331;9.5050634979998
BM(file): files/file_10M;53349.743574443;53360.889898178;11.146323735003534
BM(file): files/file_10M;53360.897362712;53370.887141886;9.989779174000432
BM(file): files/file_10M;53370.893292032;53379.694181936;8.800889903999632
BM(file): files/file_10M;53379.701200216;53389.55495503;9.85375481400115
BM(file): files/file_10M;53389.560757172;53398.853739073;9.292981900995073
BM(file): files/file_10M;53398.860439392;53407.97430852;9.113869127999351
BM(file): files/file_10M;53407.982849607;53417.059354657;9.076505050004926
BM(file): files/file_10M;53417.066415604;53427.039385515;9.97296991100302
BM(file): files/file_10M;53427.046750174;53436.44741926;9.4006690860042
BM(file): files/file_10M;53436.457264777;53445.612264035;9.154999258003954
BM(file): files/file_10M;53445.618866227;53455.729309451;10.110443224002665
BM(file): files/file_10M;53455.739173968;53464.82798303;9.0888090619992
BM(file): files/file_10M;53464.837391126;53473.974705735;9.137314609004534
BM(file): files/file_10M;53473.98139372;53483.039728073;9.058334353001555
BM(file): files/file_10M;53483.046300473;53492.834354742;9.788054269003624
BM(file): files/file_10M;53492.844979184;53502.370704536;9.525725351995789
BM(file): files/file_10M;53502.37946775;53511.363089953;8.983622203006234
BM(file): files/file_10M;53511.370379194;53521.597687685;10.227308491004806
BM(file): files/file_10M;53521.607807414;53531.159575727;9.551768312994682
BM(file): files/file_10M;53531.165464579;53540.872147317;9.70668273800402
BM(file): files/file_10M;53540.879595684;53550.87696465;9.997368966003705
BM(file): files/file_10M;53550.884526519;53560.149282554;9.264756034994207
BM(file): files/file_10M;53560.157727932;53569.493423117;9.335695185000077
BM(file): files/file_10M;53569.499868808;53578.915863362;9.415994554001372
BM(file): files/file_10M;53578.924337866;53589.217291138;10.29295327199361
BM(file): files/file_10M;53589.230209061;53599.059727692;9.829518630998791
BM(file): files/file_10M;53599.066134924;53608.209297758;9.143162833999668
BM(file): files/file_10M;53608.219151109;53617.873688634;9.654537524998887
BM(file): files/file_10M;53617.880962417;53627.197809458;9.316847040994617
BM(file): files/file_10M;53627.205203033;53636.780766809;9.575563776001218
BM(file): files/file_10M;53636.786554659;53646.681209496;9.894654837000417
BM(file): files/file_10M;53646.68894595;53656.759754387;10.07080843699805
BM(file): files/file_10M;53656.766883001;53665.870905938;9.104022936997353
BM(file): files/file_10M;53665.876501662;53675.65997201;9.783470347996627
BM(file): files/file_10M;53675.666682578;53685.333450698;9.666768120005145
BM(file): files/file_10M;53685.34026431;53694.942136357;9.601872047001962
BM(file): files/file_10M;53694.949306264;53704.790129344;9.84082307999779
BM(file): files/file_10M;53704.798762099;53714.758375444;9.959613344995887
BM(file): files/file_10M;53714.770740778;53724.485834962;9.715094183993642
BM(file): files/file_10M;53724.491912608;53734.067459663;9.575547054999333
BM(file): files/file_10M;53734.075078532;53743.39005447;9.314975938003045
BM(file): files/file_10M;53743.396738664;53752.173708979;8.776970314997016
BM(file): files/file_10M;53752.182287192;53763.05273326;10.870446068001911
BM(file): files/file_10M;53763.059848;53773.324168488;10.264320488000521
BM(file): files/file_10M;53773.333454749;53782.67646369;9.343008940995787
BM(file): files/file_10M;53782.685059528;53792.420419196;9.735359668004094
BM(file): files/file_10M;53792.429276829;53802.66577513;10.236498300997482
BM(file): files/file_10M;53802.672858536;53812.200374796;9.527516259993718
BM(file): files/file_10M;53812.20698478;53822.226413036;10.0194282559969
BM(file): files/file_10M;53822.23425645;53831.682754784;9.44849833400076
BM(file): files/file_10M;53831.690469572;53841.222493723;9.53202415099804
BM(file): files/file_10M;53841.232172239;53850.708131279;9.475959040006273
BM(file): files/file_10M;53850.722497885;53859.905493805;9.182995920004032
BM(file): files/file_10M;53859.914263395;53870.346140187;10.431876791997638
BM(file): files/file_10M;53870.353928975;53879.455961533;9.102032558002975
BM(file): files/file_10M;53879.463525735;53889.198136356;9.734610620995227
BM(file): files/file_10M;53889.207605369;53898.548743965;9.341138595998927
BM(file): files/file_10M;53898.556347126;53907.805214573;9.24886744700052
BM(file): files/file_10M;53907.813729577;53917.188573358;9.374843780999072
BM(file): files/file_10M;53917.194857048;53926.729429218;9.534572169999592
BM(file): files/file_10M;53926.736765001;53936.584961762;9.84819676099869
BM(file): files/file_10M;53936.597311388;53946.650233791;10.052922402996046
BM(file): files/file_10M;53946.681683196;53956.124623105;9.442939909000415
BM(file): files/file_10M;53956.130893836;53965.748568038;9.617674201996124
BM(file): files/file_10M;53965.7562227;53975.010834354;9.254611653996108
BM(file): files/file_10M;53975.016356577;53984.664296553;9.64793997599918
BM(file): files/file_10M;53984.671336542;53994.162057037;9.49072049499955
BM(file): files/file_10M;53994.16760726;54003.655792815;9.488185554997472
BM(file): files/file_10M;54003.662895721;54013.554262701;9.891366980002203
BM(file): files/file_10M;54013.560666475;54023.401735317;9.841068841997185
BM(file): files/file_10M;54023.408553428;54033.777862726;10.369309297995642
BM(file): files/file_10M;54033.785431804;54044.479346847;10.693915043004381
