Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s04afe980 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;62089.877545997;62200.698160218;110.82061422100378
BM(file): files/file_10M;62200.70426095;62331.030829153;130.32656820300326
BM(file): files/file_10M;62331.038191684;62438.763191501;107.72499981700093
BM(file): files/file_10M;62438.768432008;62546.345216449;107.5767844410002
BM(file): files/file_10M;62546.365838382;62640.323120675;93.95728229299857
BM(file): files/file_10M;62640.328255553;62753.049576376;112.72132082299504
BM(file): files/file_10M;62753.057540567;62855.942925657;102.88538508999773
BM(file): files/file_10M;62855.948234533;62968.44584369;112.4976091569988
BM(file): files/file_10M;62968.451281399;63056.554280524;88.10299912499613
BM(file): files/file_10M;63056.559625107;63154.772470861;98.21284575399477
BM(file): files/file_10M;63154.778078237;63264.305424046;109.52734580899414
BM(file): files/file_10M;63264.319285649;63360.212084124;95.89279847500438
BM(file): files/file_10M;63360.222885578;63465.983172517;105.76028693900298
BM(file): files/file_10M;63465.993704927;63567.500655565;101.50695063800231
BM(file): files/file_10M;63567.506570108;63676.771189288;109.26461918000132
BM(file): files/file_10M;63676.776579661;63788.642568257;111.86598859600053
BM(file): files/file_10M;63788.647678627;63894.799165536;106.15148690900241
BM(file): files/file_10M;63894.804474866;63987.798333544;92.9938586779972
BM(file): files/file_10M;63987.803651244;64086.854477323;99.05082607900113
BM(file): files/file_10M;64086.860164231;64190.540402025;103.68023779399664
BM(file): files/file_10M;64190.55128095;64304.440740957;113.88946000699798
BM(file): files/file_10M;64304.450690529;64408.783157943;104.33246741399489
BM(file): files/file_10M;64408.788359291;64492.897926499;84.10956720799732
BM(file): files/file_10M;64492.903169178;64607.383293924;114.48012474600546
BM(file): files/file_10M;64607.388131306;64697.91096041;90.5228291040039
BM(file): files/file_10M;64697.916224461;64792.107990366;94.19176590500138
BM(file): files/file_10M;64792.113763504;64887.612816915;95.49905341100384
BM(file): files/file_10M;64887.61793417;65008.515269318;120.89733514800173
BM(file): files/file_10M;65008.520377406;65141.435547525;132.9151701189985
BM(file): files/file_10M;65141.440501526;65243.987791179;102.54728965300455
BM(file): files/file_10M;65243.993146892;65341.049604804;97.05645791200368
BM(file): files/file_10M;65341.054842224;65484.816571433;143.7617292089999
BM(file): files/file_10M;65484.822471774;65617.753531912;132.9310601380057
BM(file): files/file_10M;65617.763062034;65711.827623991;94.06456195699866
BM(file): files/file_10M;65711.834451298;65803.649545471;91.81509417299822
BM(file): files/file_10M;65803.654735764;65901.868529267;98.21379350300413
BM(file): files/file_10M;65901.873982271;65990.700294992;88.82631272099388
BM(file): files/file_10M;65990.705338867;66099.474829356;108.76949048899405
BM(file): files/file_10M;66099.480645476;66207.925785327;108.44513985099911
BM(file): files/file_10M;66207.931256021;66321.570969997;113.63971397600835
BM(file): files/file_10M;66321.57614385;66416.068569175;94.49242532499193
BM(file): files/file_10M;66416.073880443;66534.068142882;117.99426243899507
BM(file): files/file_10M;66534.073450981;66636.874851498;102.80140051699709
BM(file): files/file_10M;66636.883820258;66748.859235839;111.97541558100784
BM(file): files/file_10M;66748.866222576;66868.471499255;119.60527667899441
BM(file): files/file_10M;66868.477176644;66982.063807252;113.58663060799881
BM(file): files/file_10M;66982.070668318;67081.050751102;98.98008278399357
BM(file): files/file_10M;67081.056280196;67179.956122287;98.89984209099202
BM(file): files/file_10M;67179.961762423;67321.188609298;141.22684687499714
BM(file): files/file_10M;67321.19386718;67418.536670236;97.3428030560026
BM(file): files/file_10M;67418.542479372;67625.73332872;207.19084934800048
BM(file): files/file_10M;67625.73788597;67723.09331117;97.35542520000308
BM(file): files/file_10M;67723.098649801;67812.977307551;89.87865774999955
BM(file): files/file_10M;67812.987345391;67920.509234701;107.52188931001001
BM(file): files/file_10M;67920.514527707;68050.07115474;129.55662703300186
BM(file): files/file_10M;68050.076405204;68141.824318152;91.7479129479907
BM(file): files/file_10M;68141.830615823;68251.805699609;109.97508378600469
BM(file): files/file_10M;68251.811689154;68347.121930284;95.31024113000603
BM(file): files/file_10M;68347.126859031;68455.79585045;108.66899141899194
BM(file): files/file_10M;68455.801136158;68574.727507879;118.92637172099785
BM(file): files/file_10M;68574.73612599;68687.961488779;113.2253627889877
BM(file): files/file_10M;68687.979605594;68797.888242513;109.9086369190045
BM(file): files/file_10M;68797.894647691;68882.609555019;84.71490732798702
BM(file): files/file_10M;68882.617980589;68979.732236055;97.11425546600367
BM(file): files/file_10M;68979.74283106;69112.118053678;132.37522261800768
BM(file): files/file_10M;69112.123162971;69211.035770768;98.91260779699951
BM(file): files/file_10M;69211.040551933;69303.406273704;92.36572177099879
BM(file): files/file_10M;69303.412593216;69409.030934228;105.61834101199929
BM(file): files/file_10M;69409.042400284;69498.074386174;89.03198589000385
BM(file): files/file_10M;69498.08077452;69745.357836491;247.27706197100633
BM(file): files/file_10M;69745.363146912;69843.074181372;97.71103445999324
BM(file): files/file_10M;69843.07960571;69943.374232824;100.29462711400993
BM(file): files/file_10M;69943.379501953;70028.727377168;85.3478752150113
BM(file): files/file_10M;70028.732426544;70130.194616892;101.46219034800015
BM(file): files/file_10M;70130.199997846;70232.732493249;102.53249540300749
BM(file): files/file_10M;70232.737637902;70351.514449404;118.77681150200078
BM(file): files/file_10M;70351.522396589;70491.748105365;140.22570877599355
BM(file): files/file_10M;70491.753784849;70588.849857245;97.09607239600155
BM(file): files/file_10M;70588.855253099;70691.242967303;102.38771420400008
BM(file): files/file_10M;70691.264850879;70836.661667025;145.3968161459925
BM(file): files/file_10M;70836.673993823;70956.685904801;120.01191097799165
BM(file): files/file_10M;70956.691825696;71065.417561742;108.72573604599165
BM(file): files/file_10M;71065.425503156;71175.434180855;110.00867769899196
BM(file): files/file_10M;71175.439365991;71281.18089544;105.74152944900561
BM(file): files/file_10M;71281.185771988;71399.999393826;118.81362183799502
BM(file): files/file_10M;71400.011434986;71500.942357952;100.93092296599934
BM(file): files/file_10M;71500.94769317;71595.525171666;94.577478495994
BM(file): files/file_10M;71595.531521977;71686.275231791;90.74370981400716
BM(file): files/file_10M;71686.28033934;71789.105600584;102.82526124399737
BM(file): files/file_10M;71789.110790633;71929.513493135;140.4027025020041
BM(file): files/file_10M;71929.518668809;72072.458624501;142.93995569199615
BM(file): files/file_10M;72072.463951802;72176.141432838;103.67748103600752
BM(file): files/file_10M;72176.146652762;72295.692880154;119.5462273919984
BM(file): files/file_10M;72295.698320747;72390.363951266;94.6656305189972
BM(file): files/file_10M;72390.369687486;72493.281656387;102.91196890099673
BM(file): files/file_10M;72493.286970854;72610.96762088;117.68065002599906
