Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sf85b681d --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;2681.762742558;2703.476742567;21.7140000090003
BM(file): files/file_10M;2703.483579748;2724.506751597;21.023171848999937
BM(file): files/file_10M;2724.513428776;2747.335866542;22.822437765999894
BM(file): files/file_10M;2747.342468761;2771.848947186;24.50647842499984
BM(file): files/file_10M;2771.855524571;2794.908081635;23.05255706400021
BM(file): files/file_10M;2794.914559851;2819.345867677;24.431307826000193
BM(file): files/file_10M;2819.354138032;2841.173575239;21.819437207000192
BM(file): files/file_10M;2841.181508174;2863.892736457;22.711228282999855
BM(file): files/file_10M;2863.89949005;2888.054660274;24.155170223999903
BM(file): files/file_10M;2888.061402574;2911.36291807;23.301515495999865
BM(file): files/file_10M;2911.36977937;2933.143322491;21.77354312100033
BM(file): files/file_10M;2933.150193958;2956.027737262;22.877543304000028
BM(file): files/file_10M;2956.034639604;2978.370750239;22.33611063499984
BM(file): files/file_10M;2978.377252411;3001.431863608;23.054611197000213
BM(file): files/file_10M;3001.438779407;3023.642679188;22.20389978100002
BM(file): files/file_10M;3023.654246103;3048.806102678;25.151856575000238
BM(file): files/file_10M;3048.812481931;3071.302449757;22.489967825999884
BM(file): files/file_10M;3071.309272429;3094.430580716;23.12130828699992
BM(file): files/file_10M;3094.437766432;3115.746120366;21.308353934000024
BM(file): files/file_10M;3115.753245124;3140.06082372;24.307578595999985
BM(file): files/file_10M;3140.067361473;3170.230498893;30.163137420000112
BM(file): files/file_10M;3170.237176356;3193.709390478;23.47221412199997
BM(file): files/file_10M;3193.716124149;3218.303392247;24.587268098000095
BM(file): files/file_10M;3218.310626671;3241.905698031;23.59507136000002
BM(file): files/file_10M;3241.914631174;3265.342553472;23.427922297999885
BM(file): files/file_10M;3265.350255732;3289.03567025;23.685414518000016
BM(file): files/file_10M;3289.042756505;3311.453752742;22.410996236999836
BM(file): files/file_10M;3311.460609204;3332.770763067;21.310153863000323
BM(file): files/file_10M;3332.777711071;3353.854677721;21.07696665000003
BM(file): files/file_10M;3353.864136283;3380.188334482;26.324198198999966
BM(file): files/file_10M;3380.19521261;3402.529484003;22.334271393000108
BM(file): files/file_10M;3402.536417923;3424.33214213;21.79572420700015
BM(file): files/file_10M;3424.339805597;3448.091181357;23.751375759999974
BM(file): files/file_10M;3448.098316486;3471.835203387;23.73688690100016
BM(file): files/file_10M;3471.848565848;3494.63654186;22.787976011999945
BM(file): files/file_10M;3494.645353292;3516.656219383;22.010866091000025
BM(file): files/file_10M;3516.662603007;3538.550625815;21.888022807999732
BM(file): files/file_10M;3538.557227232;3563.151714162;24.59448693000013
BM(file): files/file_10M;3563.158382496;3587.575304327;24.41692183100031
BM(file): files/file_10M;3587.58191966;3612.124148039;24.54222837899988
BM(file): files/file_10M;3612.13056183;3635.083913798;22.953351968000334
BM(file): files/file_10M;3635.090758424;3658.864573754;23.77381533000016
BM(file): files/file_10M;3658.871281504;3683.791418085;24.92013658099995
BM(file): files/file_10M;3683.800811102;3709.545995771;25.745184669000082
BM(file): files/file_10M;3709.552879606;3730.531457152;20.978577545999997
BM(file): files/file_10M;3730.538460571;3752.649324063;22.110863492000135
BM(file): files/file_10M;3752.656154481;3776.266560873;23.61040639199973
BM(file): files/file_10M;3776.273249998;3798.588387048;22.315137049999976
BM(file): files/file_10M;3798.59599122;3822.753350186;24.15735896599972
BM(file): files/file_10M;3822.760222186;3847.799209139;25.03898695299995
BM(file): files/file_10M;3847.807482357;3872.014190866;24.20670850899978
BM(file): files/file_10M;3872.02115695;3893.65369069;21.63253373999987
BM(file): files/file_10M;3893.660758775;3915.027083564;21.36632478899992
BM(file): files/file_10M;3915.034764319;3936.256493583;21.22172926400026
BM(file): files/file_10M;3936.262973247;3960.295148944;24.032175697000184
BM(file): files/file_10M;3960.301685317;3984.443023804;24.141338486999757
BM(file): files/file_10M;3984.450111139;4007.806152009;23.356040870000015
BM(file): files/file_10M;4007.813288552;4034.549097743;26.735809191000044
BM(file): files/file_10M;4034.55655258;4058.98217412;24.425621540000066
BM(file): files/file_10M;4058.989273497;4082.189166119;23.199892622000334
BM(file): files/file_10M;4082.195813076;4104.108913238;21.91310016200032
BM(file): files/file_10M;4104.115317455;4126.461220289;22.3459028340003
BM(file): files/file_10M;4126.467923842;4150.526999833;24.0590759910001
BM(file): files/file_10M;4150.533885385;4172.214634888;21.680749502999788
BM(file): files/file_10M;4172.221721691;4195.21693789;22.995216198999515
BM(file): files/file_10M;4195.22425636;4219.655086946;24.4308305859995
BM(file): files/file_10M;4219.661364545;4243.030502434;23.36913788899983
BM(file): files/file_10M;4243.037215624;4264.306079284;21.268863659999624
BM(file): files/file_10M;4264.313052184;4287.815184327;23.50213214299947
BM(file): files/file_10M;4287.821888672;4312.427747268;24.605858595999962
BM(file): files/file_10M;4312.434501693;4335.069295859;22.634794165999665
BM(file): files/file_10M;4335.075928152;4359.148408261;24.072480109000026
BM(file): files/file_10M;4359.15547231;4381.317879117;22.16240680700048
BM(file): files/file_10M;4381.324672738;4404.085325658;22.76065292000021
BM(file): files/file_10M;4404.092854584;4427.729718206;23.63686362200042
BM(file): files/file_10M;4427.736675115;4450.699287872;22.962612756999988
BM(file): files/file_10M;4450.706394405;4473.599188948;22.89279454300049
BM(file): files/file_10M;4473.606435939;4496.991220306;23.384784367000066
BM(file): files/file_10M;4496.9991776;4520.227347502;23.228169902000445
BM(file): files/file_10M;4520.233942305;4544.355388649;24.121446344000105
BM(file): files/file_10M;4544.362195245;4565.537071496;21.17487625099966
BM(file): files/file_10M;4565.544449309;4587.524115562;21.979666252999777
BM(file): files/file_10M;4587.531616708;4607.542454319;20.01083761100017
BM(file): files/file_10M;4607.549076529;4629.029662205;21.480585676000373
BM(file): files/file_10M;4629.038424661;4650.757837443;21.71941278200029
BM(file): files/file_10M;4650.767304909;4674.421319086;23.654014177000136
BM(file): files/file_10M;4674.428899222;4697.63614974;23.207250518000365
BM(file): files/file_10M;4697.644200424;4719.866980292;22.222779868000544
BM(file): files/file_10M;4719.874725635;4742.935356195;23.06063056000039
BM(file): files/file_10M;4742.942159103;4764.4767232;21.53456409699993
BM(file): files/file_10M;4764.483159892;4788.33974548;23.85658558799969
BM(file): files/file_10M;4788.346188503;4809.73768027;21.391491766999934
BM(file): files/file_10M;4809.744306211;4834.511323089;24.767016878000504
BM(file): files/file_10M;4834.5177569;4857.29242353;22.774666629999956
BM(file): files/file_10M;4857.298777297;4879.809348293;22.510570995999842
BM(file): files/file_10M;4879.816729616;4901.585646507;21.768916891000117
BM(file): files/file_10M;4901.593474043;4924.129826899;22.53635285600012
