Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s2ebd9eb5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;51125.845509374;51126.930923946;1.0854145720004453
BM(file): files/file_1M;51126.939443494;51128.021925577;1.0824820830021054
BM(file): files/file_1M;51128.027375384;51128.91211778;0.8847423959959997
BM(file): files/file_1M;51128.91767688;51130.01820961;1.1005327300008503
BM(file): files/file_1M;51130.022577364;51130.692233267;0.6696559030024218
BM(file): files/file_1M;51130.698555124;51131.46656897;0.7680138459982118
BM(file): files/file_1M;51131.470871431;51132.548591466;1.0777200349984923
BM(file): files/file_1M;51132.552810427;51133.585689577;1.0328791499996441
BM(file): files/file_1M;51133.589908829;51134.420487786;0.8305789570003981
BM(file): files/file_1M;51134.426720851;51135.559423209;1.132702358001552
BM(file): files/file_1M;51135.564496387;51136.374139709;0.8096433219980099
BM(file): files/file_1M;51136.379139761;51137.419203528;1.0400637670027209
BM(file): files/file_1M;51137.427330447;51138.675823347;1.2484929000056582
BM(file): files/file_1M;51138.680242726;51139.721265546;1.0410228200053098
BM(file): files/file_1M;51139.725531423;51140.720620972;0.995089549003751
BM(file): files/file_1M;51140.726815537;51141.732866325;1.0060507880043588
BM(file): files/file_1M;51141.737371747;51142.780101126;1.0427293789980467
BM(file): files/file_1M;51142.784443213;51143.601852199;0.8174089859967353
BM(file): files/file_1M;51143.606083243;51144.622171387;1.016088144002424
BM(file): files/file_1M;51144.626406931;51145.867807008;1.241400077000435
BM(file): files/file_1M;51145.871729382;51146.795557396;0.9238280139979906
BM(file): files/file_1M;51146.799833691;51147.761638476;0.961804784994456
BM(file): files/file_1M;51147.767307202;51148.871951895;1.104644693004957
BM(file): files/file_1M;51148.87617773;51149.860205914;0.9840281840006355
BM(file): files/file_1M;51149.864517751;51150.735376129;0.8708583780025947
BM(file): files/file_1M;51150.739681258;51151.714547596;0.9748663380014477
BM(file): files/file_1M;51151.718487679;51152.732370717;1.01388303800195
BM(file): files/file_1M;51152.737546729;51153.824411695;1.0868649660042138
BM(file): files/file_1M;51153.829611416;51154.687807204;0.858195788001467
BM(file): files/file_1M;51154.691926372;51155.860339023;1.1684126510008355
BM(file): files/file_1M;51155.86460765;51156.730264558;0.865656907997618
BM(file): files/file_1M;51156.734462811;51157.683175377;0.9487125660016318
BM(file): files/file_1M;51157.687289337;51158.634063925;0.9467745879956055
BM(file): files/file_1M;51158.639346646;51159.538779115;0.8994324689992936
BM(file): files/file_1M;51159.542846533;51160.421355409;0.8785088760050712
BM(file): files/file_1M;51160.425491119;51162.076398305;1.6509071859982214
BM(file): files/file_1M;51162.080353054;51162.959614313;0.8792612589968485
BM(file): files/file_1M;51162.963997609;51163.880686592;0.9166889830012224
BM(file): files/file_1M;51163.884778051;51164.797719912;0.9129418610027642
BM(file): files/file_1M;51164.802504545;51165.792480459;0.9899759140025708
BM(file): files/file_1M;51165.796623919;51166.853383239;1.0567593200030387
BM(file): files/file_1M;51166.857601367;51167.854946025;0.9973446579970187
BM(file): files/file_1M;51167.859171027;51168.699944593;0.84077356600028
BM(file): files/file_1M;51168.705164856;51169.580750494;0.8755856380012119
BM(file): files/file_1M;51169.584575451;51170.357448267;0.7728728160000173
BM(file): files/file_1M;51170.361477892;51171.457375788;1.095897895997041
BM(file): files/file_1M;51171.461523123;51172.37950237;0.9179792470022221
BM(file): files/file_1M;51172.383368868;51173.536574362;1.1532054939962109
BM(file): files/file_1M;51173.541147743;51174.47762035;0.9364726069979952
BM(file): files/file_1M;51174.481540016;51175.430684672;0.9491446559986798
BM(file): files/file_1M;51175.435179303;51176.351404907;0.9162256039999193
BM(file): files/file_1M;51176.355691077;51177.301520115;0.9458290379989194
BM(file): files/file_1M;51177.305616074;51178.324199997;1.0185839229961857
BM(file): files/file_1M;51178.328207206;51179.203708802;0.8755015959977754
BM(file): files/file_1M;51179.209967409;51180.23363376;1.0236663510004291
BM(file): files/file_1M;51180.237671552;51181.366698419;1.1290268669981742
BM(file): files/file_1M;51181.371375218;51182.370680899;0.9993056810053531
BM(file): files/file_1M;51182.375136862;51183.317330279;0.9421934170022723
BM(file): files/file_1M;51183.321750034;51184.3468774;1.0251273659960134
BM(file): files/file_1M;51184.354312603;51185.240090349;0.8857777459998033
BM(file): files/file_1M;51185.244119641;51186.114503809;0.8703841680035111
BM(file): files/file_1M;51186.120747958;51187.08590774;0.9651597820047755
BM(file): files/file_1M;51187.090079451;51188.050180347;0.960100896001677
BM(file): files/file_1M;51188.054159264;51188.875100791;0.8209415270030149
BM(file): files/file_1M;51188.87929721;51189.899338899;1.0200416890002089
BM(file): files/file_1M;51189.904388035;51190.875079876;0.9706918410010985
BM(file): files/file_1M;51190.879316212;51191.808479703;0.9291634910041466
BM(file): files/file_1M;51191.812842457;51192.707672214;0.8948297569950228
BM(file): files/file_1M;51192.71207801;51193.569719796;0.8576417860022048
BM(file): files/file_1M;51193.57359492;51194.646510328;1.0729154079963337
BM(file): files/file_1M;51194.650591079;51195.84457121;1.1939801309999893
BM(file): files/file_1M;51195.849345176;51197.152431987;1.3030868109999574
BM(file): files/file_1M;51197.157239413;51198.113321393;0.9560819800026366
BM(file): files/file_1M;51198.117443436;51199.295452234;1.1780087980005192
BM(file): files/file_1M;51199.299596069;51200.29448983;0.9948937609951827
BM(file): files/file_1M;51200.299974637;51201.06451916;0.76454452300095
BM(file): files/file_1M;51201.06893004;51202.228980608;1.1600505680034985
BM(file): files/file_1M;51202.233438488;51203.429636059;1.1961975710000843
BM(file): files/file_1M;51203.433787519;51204.275585266;0.8417977469944162
BM(file): files/file_1M;51204.282175085;51205.179292992;0.8971179069994832
BM(file): files/file_1M;51205.183237117;51205.952631774;0.7693946569997934
BM(file): files/file_1M;51205.956710608;51207.037752019;1.0810414110019337
BM(file): files/file_1M;51207.041852104;51208.084395738;1.0425436340010492
BM(file): files/file_1M;51208.089633835;51209.029312603;0.9396787680016132
BM(file): files/file_1M;51209.033328812;51209.97870664;0.9453778280003462
BM(file): files/file_1M;51209.985156333;51210.920931478;0.9357751450006617
BM(file): files/file_1M;51210.926149407;51211.758229386;0.832079979001719
BM(file): files/file_1M;51211.762222761;51212.821852908;1.0596301469995524
BM(file): files/file_1M;51212.826111744;51213.774644564;0.9485328200025833
BM(file): files/file_1M;51213.778641231;51214.685141737;0.9065005059965188
BM(file): files/file_1M;51214.689291738;51215.590403772;0.9011120340001071
BM(file): files/file_1M;51215.594292604;51216.635652685;1.0413600809988566
BM(file): files/file_1M;51216.639916396;51217.506363776;0.8664473800017731
BM(file): files/file_1M;51217.510649113;51218.393157827;0.8825087139994139
BM(file): files/file_1M;51218.396992576;51219.612989522;1.2159969459971762
