Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sab9d1be2 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;137770.155837981;137814.708409605;44.55257162399357
BM(file): files/file_1M;137814.716164083;137867.584264232;52.86810014900402
BM(file): files/file_1M;137867.594673439;137964.576212489;96.98153905000072
BM(file): files/file_1M;137964.584688014;137992.891112924;28.306424909998896
BM(file): files/file_1M;137992.898496981;138047.796407179;54.89791019799304
BM(file): files/file_1M;138047.805205164;138117.69251869;69.88731352597824
BM(file): files/file_1M;138117.697921524;138151.193457234;33.49553571001161
BM(file): files/file_1M;138151.199570781;138193.86125962;42.66168883899809
BM(file): files/file_1M;138193.870220064;138222.255921288;28.385701223975047
BM(file): files/file_1M;138222.263846599;138260.785360456;38.52151385700563
BM(file): files/file_1M;138260.79394198;138288.00930246;27.21536048001144
BM(file): files/file_1M;138288.015599092;138334.437307169;46.42170807698858
BM(file): files/file_1M;138334.444321056;138363.241785125;28.797464068979025
BM(file): files/file_1M;138363.249394683;138411.583298887;48.33390420401702
BM(file): files/file_1M;138411.592955543;138469.668933797;58.075978253997164
BM(file): files/file_1M;138469.67606006;138483.326813951;13.650753890979104
BM(file): files/file_1M;138483.341743356;138503.315552793;19.97380943701137
BM(file): files/file_1M;138503.322949808;138563.061575404;59.73862559598638
BM(file): files/file_1M;138563.067175447;138601.865250836;38.79807538900059
BM(file): files/file_1M;138601.870204456;138644.167260805;42.297056348994374
BM(file): files/file_1M;138644.17381648;138683.682506071;39.50868959099171
BM(file): files/file_1M;138683.688895577;138723.152231428;39.463335850974545
BM(file): files/file_1M;138723.163158677;138778.712666298;55.54950762100634
BM(file): files/file_1M;138778.719991145;138810.572542213;31.852551068004686
BM(file): files/file_1M;138810.580160687;138888.397994905;77.81783421800355
BM(file): files/file_1M;138888.404727789;138966.192962616;77.78823482702137
BM(file): files/file_1M;138966.199719833;138986.997695583;20.79797574999975
BM(file): files/file_1M;138987.003075332;139013.792909179;26.78983384699677
BM(file): files/file_1M;139013.799144059;139040.17394681;26.37480275100097
BM(file): files/file_1M;139040.181776452;139072.638593384;32.45681693201186
BM(file): files/file_1M;139072.646535819;139100.567724242;27.921188423002604
BM(file): files/file_1M;139100.576497349;139136.663411501;36.08691415202338
BM(file): files/file_1M;139136.669621881;139187.999146473;51.32952459200169
BM(file): files/file_1M;139188.009978137;139234.075908348;46.06593021098524
BM(file): files/file_1M;139234.083223695;139265.252441253;31.16921755799558
BM(file): files/file_1M;139265.262498162;139286.130749307;20.868251145002432
BM(file): files/file_1M;139286.142821106;139371.599376511;85.45655540499138
BM(file): files/file_1M;139371.608274369;139411.823287332;40.21501296298811
BM(file): files/file_1M;139411.828541163;139471.662500141;59.83395897800801
BM(file): files/file_1M;139471.669440276;139508.451947375;36.78250709900749
BM(file): files/file_1M;139508.459818142;139555.504471235;47.04465309300576
BM(file): files/file_1M;139555.516241281;139597.044845789;41.52860450799926
BM(file): files/file_1M;139597.054440319;139671.805343295;74.75090297599672
BM(file): files/file_1M;139671.813816525;139785.812833443;113.99901691798004
BM(file): files/file_1M;139785.820520849;139842.591423337;56.77090248800232
BM(file): files/file_1M;139842.60449475;139864.495904013;21.89140926298569
BM(file): files/file_1M;139864.503056537;139888.725905273;24.222848735982552
BM(file): files/file_1M;139888.733574885;139920.227953805;31.494378920004237
BM(file): files/file_1M;139920.237041304;139956.167499035;35.93045773098129
BM(file): files/file_1M;139956.176071736;139995.951463494;39.77539175801212
BM(file): files/file_1M;139995.960523116;140037.735147468;41.774624351994134
BM(file): files/file_1M;140037.743288248;140080.724934847;42.98164659901522
BM(file): files/file_1M;140080.739610266;140157.96027179;77.22066152401385
BM(file): files/file_1M;140157.973568279;140276.280394434;118.30682615499245
BM(file): files/file_1M;140276.285985272;140310.979877711;34.693892439012416
BM(file): files/file_1M;140310.991348432;140461.524221147;150.5328727150045
BM(file): files/file_1M;140461.532399047;140502.685096668;41.1526976210007
BM(file): files/file_1M;140502.693258401;140630.796767698;128.10350929698325
BM(file): files/file_1M;140630.803187333;140668.543341122;37.740153788996395
BM(file): files/file_1M;140668.556715479;140687.154424475;18.597708996006986
BM(file): files/file_1M;140687.161937035;140719.074509136;31.912572100991383
BM(file): files/file_1M;140719.082088655;140755.732325067;36.650236411980586
BM(file): files/file_1M;140755.740473924;140784.845764386;29.105290462000994
BM(file): files/file_1M;140784.853951617;140888.084766701;103.23081508401083
BM(file): files/file_1M;140888.096473043;140912.714415884;24.617942840995966
BM(file): files/file_1M;140912.722294946;140973.234895089;60.51260014300351
BM(file): files/file_1M;140973.24564834;141045.57548279;72.32983445000718
BM(file): files/file_1M;141045.590642992;141083.341598087;37.750955094990786
BM(file): files/file_1M;141083.354213269;141186.154636927;102.80042365801637
BM(file): files/file_1M;141186.162908992;141317.032952569;130.87004357698606
BM(file): files/file_1M;141317.040188125;141343.34222326;26.30203513498418
BM(file): files/file_1M;141343.349874278;141402.46107243;59.1111981519789
BM(file): files/file_1M;141402.468803907;141459.206679404;56.73787549699773
BM(file): files/file_1M;141459.213352622;141495.211794815;35.99844219299848
BM(file): files/file_1M;141495.223397571;141539.5001818;44.276784228975885
BM(file): files/file_1M;141539.513255568;141579.463236219;39.94998065099935
BM(file): files/file_1M;141579.469508851;141611.937310541;32.46780168998521
BM(file): files/file_1M;141611.946862156;141691.935871141;79.98900898499414
BM(file): files/file_1M;141691.943580242;141717.280185423;25.33660518101533
BM(file): files/file_1M;141717.287073476;141755.264648588;37.9775751119887
BM(file): files/file_1M;141755.271366099;141795.578376135;40.30701003599097
BM(file): files/file_1M;141795.58539819;141825.398328556;29.81293036599527
BM(file): files/file_1M;141825.404403115;141859.043600679;33.63919756398536
BM(file): files/file_1M;141859.051787934;141898.709704942;39.657917008007644
BM(file): files/file_1M;141898.716399712;141946.045358823;47.32895911100786
BM(file): files/file_1M;141946.05360132;141996.623425764;50.56982444401365
BM(file): files/file_1M;141996.629700728;142364.816604627;368.18690389901167
BM(file): files/file_1M;142364.835200547;142447.111669631;82.27646908399765
BM(file): files/file_1M;142447.126820423;142478.852911008;31.72609058499802
BM(file): files/file_1M;142478.860726176;142529.396982202;50.53625602598186
BM(file): files/file_1M;142529.404535408;142555.981888008;26.577352600026643
BM(file): files/file_1M;142555.991409858;142625.801786756;69.81037689800723
BM(file): files/file_1M;142625.813667212;142729.068325703;103.25465849100146
BM(file): files/file_1M;142729.083900484;142762.321411494;33.237511009996524
BM(file): files/file_1M;142762.328753692;142816.227592872;53.898839179979404
BM(file): files/file_1M;142816.234466647;142897.684196736;81.44973008899251
