Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2se2dd7099 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;43882.728943963;43882.933908006;0.20496404300502036
BM(file): files/file_500K;43882.941621337;43883.124252269;0.18263093200221192
BM(file): files/file_500K;43883.132520232;43883.321678316;0.1891580840019742
BM(file): files/file_500K;43883.329319605;43883.517867933;0.1885483279984328
BM(file): files/file_500K;43883.542508527;43883.741852177;0.19934364999789977
BM(file): files/file_500K;43883.752802335;43883.899060632;0.14625829699798487
BM(file): files/file_500K;43883.904316146;43884.039885538;0.13556939199770568
BM(file): files/file_500K;43884.044877216;43884.17319649;0.12831927400111454
BM(file): files/file_500K;43884.178890342;43884.31228292;0.1333925779981655
BM(file): files/file_500K;43884.316900344;43884.448681446;0.1317811020053341
BM(file): files/file_500K;43884.452814198;43884.58295695;0.13014275200112024
BM(file): files/file_500K;43884.588542759;43884.735739399;0.14719664000585908
BM(file): files/file_500K;43884.743466398;43884.901714572;0.15824817399698077
BM(file): files/file_500K;43884.905569238;43885.035286152;0.12971691400161944
BM(file): files/file_500K;43885.039283569;43885.170891711;0.13160814200091409
BM(file): files/file_500K;43885.175660887;43885.306357603;0.13069671600533184
BM(file): files/file_500K;43885.311107278;43885.44032352;0.1292162419995293
BM(file): files/file_500K;43885.444240353;43885.661960406;0.21772005300590536
BM(file): files/file_500K;43885.666214076;43885.795400193;0.12918611699569738
BM(file): files/file_500K;43885.79953057;43885.934018534;0.1344879639946157
BM(file): files/file_500K;43885.937995118;43886.068645875;0.1306507569970563
BM(file): files/file_500K;43886.072969754;43886.205625325;0.132655570996576
BM(file): files/file_500K;43886.209637159;43886.338647815;0.1290106559972628
BM(file): files/file_500K;43886.342937402;43886.473595868;0.13065846600511577
BM(file): files/file_500K;43886.478063665;43886.604131457;0.126067791999958
BM(file): files/file_500K;43886.608481295;43886.73907901;0.13059771500411443
BM(file): files/file_500K;43886.742833508;43886.882632654;0.1397991460034973
BM(file): files/file_500K;43886.887390246;43887.01662028;0.12923003399919253
BM(file): files/file_500K;43887.021630583;43887.152251756;0.13062117299705278
BM(file): files/file_500K;43887.156305007;43887.283686563;0.12738155599799938
BM(file): files/file_500K;43887.28795615;43887.42185865;0.13390249999793014
BM(file): files/file_500K;43887.42606932;43887.557250624;0.13118130400107475
BM(file): files/file_500K;43887.561725505;43887.690747412;0.1290219069996965
BM(file): files/file_500K;43887.695596755;43887.821890216;0.12629346099856775
BM(file): files/file_500K;43887.829183543;43887.955265002;0.1260814589986694
BM(file): files/file_500K;43887.960633059;43888.093108169;0.13247510999644874
BM(file): files/file_500K;43888.097503965;43888.317333416;0.21982945100171492
BM(file): files/file_500K;43888.322736598;43888.450214822;0.1274782239997876
BM(file): files/file_500K;43888.45444845;43888.584265782;0.12981733200285817
BM(file): files/file_500K;43888.589752632;43888.719492338;0.1297397060043295
BM(file): files/file_500K;43888.724119845;43888.868384371;0.14426452600309858
BM(file): files/file_500K;43888.874469436;43889.004140058;0.12967062200186774
BM(file): files/file_500K;43889.008190101;43889.138520105;0.13033000400173478
BM(file): files/file_500K;43889.143486699;43889.274409626;0.13092292699730024
BM(file): files/file_500K;43889.278942799;43889.407247906;0.12830510699859587
BM(file): files/file_500K;43889.412055832;43889.541470535;0.12941470299847424
BM(file): files/file_500K;43889.545271325;43889.676184002;0.13091267699928721
BM(file): files/file_500K;43889.682663987;43889.812991408;0.13032742100040196
BM(file): files/file_500K;43889.817383204;43889.948217755;0.13083455100422725
BM(file): files/file_500K;43889.95289818;43890.082653719;0.129755538997415
BM(file): files/file_500K;43890.087323144;43890.217641106;0.130317962000845
BM(file): files/file_500K;43890.222534991;43890.354722557;0.13218756599962944
BM(file): files/file_500K;43890.361585629;43890.494358367;0.13277273800486
BM(file): files/file_500K;43890.498431369;43890.628804832;0.13037346299825003
BM(file): files/file_500K;43890.632823832;43890.860399449;0.22757561699836515
BM(file): files/file_500K;43890.864655202;43891.001422858;0.13676765599666396
BM(file): files/file_500K;43891.00529594;43891.132752164;0.12745622399961576
BM(file): files/file_500K;43891.136880249;43891.26510144;0.12822119100019336
BM(file): files/file_500K;43891.268861521;43891.399318235;0.13045671400323045
BM(file): files/file_500K;43891.403574238;43891.534257496;0.13068325800122693
BM(file): files/file_500K;43891.540630563;43891.669180965;0.1285504019979271
BM(file): files/file_500K;43891.672963755;43891.803282843;0.13031908799894154
BM(file): files/file_500K;43891.80824427;43891.93954741;0.13130313999863574
BM(file): files/file_500K;43891.94441817;43892.075302305;0.13088413499644957
BM(file): files/file_500K;43892.080761071;43892.210300233;0.12953916199330706
BM(file): files/file_500K;43892.214308484;43892.343836188;0.12952770400443114
BM(file): files/file_500K;43892.348948992;43892.478680781;0.1297317889984697
BM(file): files/file_500K;43892.483396873;43892.614308217;0.13091134400019655
BM(file): files/file_500K;43892.618365926;43892.745949568;0.127583642002719
BM(file): files/file_500K;43892.753235145;43892.896693163;0.14345801799936453
BM(file): files/file_500K;43892.900872374;43893.033917532;0.1330451579997316
BM(file): files/file_500K;43893.038083368;43893.169898346;0.1318149779981468
BM(file): files/file_500K;43893.173945972;43893.401156877;0.22721090500272112
BM(file): files/file_500K;43893.404734165;43893.539968887;0.13523472200176911
BM(file): files/file_500K;43893.54418364;43893.67848002;0.13429637999797706
BM(file): files/file_500K;43893.682757982;43893.817481282;0.1347232999978587
BM(file): files/file_500K;43893.821756578;43893.952694255;0.13093767700047465
BM(file): files/file_500K;43893.956664255;43894.09018596;0.13352170500002103
BM(file): files/file_500K;43894.096644945;43894.22717441;0.13052946500101825
BM(file): files/file_500K;43894.231386829;43894.364569947;0.13318311799957883
BM(file): files/file_500K;43894.368665407;43894.499021495;0.1303560880041914
BM(file): files/file_500K;43894.503046371;43894.633587419;0.13054104799812194
BM(file): files/file_500K;43894.637691921;43894.765853486;0.12816156500048237
BM(file): files/file_500K;43894.770079655;43894.914804687;0.14472503200522624
BM(file): files/file_500K;43894.919796781;43895.049504237;0.12970745599886868
BM(file): files/file_500K;43895.053731407;43895.183237236;0.12950582899793517
BM(file): files/file_500K;43895.188219914;43895.318415875;0.13019596099911723
BM(file): files/file_500K;43895.324964444;43895.451210864;0.12624641999718733
BM(file): files/file_500K;43895.458302689;43895.587110719;0.1288080300000729
BM(file): files/file_500K;43895.59372308;43895.725088304;0.1313652240060037
BM(file): files/file_500K;43895.729712186;43895.862435133;0.13272294699709164
BM(file): files/file_500K;43895.868725699;43896.091701309;0.22297560999868438
BM(file): files/file_500K;43896.095830436;43896.224197961;0.1283675249942462
BM(file): files/file_500K;43896.22908443;43896.359394392;0.13030996199813671
BM(file): files/file_500K;43896.3632891;43896.493659813;0.13037071299913805
BM(file): files/file_500K;43896.498115694;43896.626405052;0.12828935799916508
BM(file): files/file_500K;43896.631245978;43896.761967028;0.1307210499944631
BM(file): files/file_500K;43896.767119208;43896.90620493;0.13908572199579794
BM(file): files/file_500K;43896.910588143;43897.042034159;0.131446015999245
BM(file): files/file_500K;43897.046749709;43897.176686334;0.1299366250023013
