Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sce154fa2 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;44657.211076622;44657.364711691;0.15363506900030188
BM(file): files/file_500K;44657.368893111;44657.5043564;0.1354632889997447
BM(file): files/file_500K;44657.510843637;44657.651306105;0.14046246799989603
BM(file): files/file_500K;44657.655201313;44657.804863297;0.14966198400361463
BM(file): files/file_500K;44657.809263178;44657.948774011;0.13951083299616585
BM(file): files/file_500K;44657.952958056;44658.09405324;0.14109518400073284
BM(file): files/file_500K;44658.131772062;44658.278314346;0.14654228399740532
BM(file): files/file_500K;44658.282946895;44658.430681359;0.1477344640006777
BM(file): files/file_500K;44658.435913873;44658.578666866;0.14275299300061306
BM(file): files/file_500K;44658.583081289;44658.720782727;0.1377014380050241
BM(file): files/file_500K;44658.727253839;44658.865141279;0.13788743999612052
BM(file): files/file_500K;44658.870753215;44659.013308497;0.14255528200010303
BM(file): files/file_500K;44659.017707003;44659.158482641;0.14077563800674397
BM(file): files/file_500K;44659.16211068;44659.29976466;0.13765397999668494
BM(file): files/file_500K;44659.304127707;44659.445692229;0.14156452199677005
BM(file): files/file_500K;44659.449596396;44659.589923821;0.14032742499693995
BM(file): files/file_500K;44659.594348744;44659.736882068;0.14253332399675855
BM(file): files/file_500K;44659.740866069;44659.881651499;0.14078543000505306
BM(file): files/file_500K;44659.88935029;44660.028313826;0.13896353599557187
BM(file): files/file_500K;44660.032819416;44660.279354233;0.24653481699351687
BM(file): files/file_500K;44660.283563945;44660.42110034;0.1375363949991879
BM(file): files/file_500K;44660.42528501;44660.562225982;0.13694097199913813
BM(file): files/file_500K;44660.566288693;44660.705956028;0.1396673350027413
BM(file): files/file_500K;44660.727621844;44660.863088259;0.1354664149985183
BM(file): files/file_500K;44660.867412097;44661.004455778;0.13704368099570274
BM(file): files/file_500K;44661.008495197;44661.14616926;0.13767406300030416
BM(file): files/file_500K;44661.149988385;44661.288099328;0.1381109430003562
BM(file): files/file_500K;44661.295265571;44661.435744165;0.14047859399579465
BM(file): files/file_500K;44661.439835459;44661.582496451;0.1426609920017654
BM(file): files/file_500K;44661.58658687;44661.732671024;0.14608415400289232
BM(file): files/file_500K;44661.73878584;44661.955588837;0.21680299699801253
BM(file): files/file_500K;44661.965827489;44662.17826694;0.21243945099558914
BM(file): files/file_500K;44662.183319285;44662.380237986;0.1969187009963207
BM(file): files/file_500K;44662.386753639;44662.575989257;0.18923561799601885
BM(file): files/file_500K;44662.583116542;44662.776771541;0.19365499899868155
BM(file): files/file_500K;44662.790945068;44662.927808623;0.13686355499521596
BM(file): files/file_500K;44662.931618997;44663.068045589;0.13642659200559137
BM(file): files/file_500K;44663.07265393;44663.211239128;0.1385851980012376
BM(file): files/file_500K;44663.215953387;44663.361510286;0.14555689899862045
BM(file): files/file_500K;44663.369706957;44663.606342501;0.2366355440026382
BM(file): files/file_500K;44663.610533588;44663.755133601;0.14460001300176373
BM(file): files/file_500K;44663.76189459;44663.905693053;0.14379846299561905
BM(file): files/file_500K;44663.910419645;44664.047794997;0.1373753520019818
BM(file): files/file_500K;44664.051972834;44664.189969526;0.1379966919994331
BM(file): files/file_500K;44664.196504804;44664.334678706;0.13817390199983492
BM(file): files/file_500K;44664.34152553;44664.481400617;0.1398750869993819
BM(file): files/file_500K;44664.485896082;44664.626440302;0.14054422000481281
BM(file): files/file_500K;44664.630581763;44664.76562784;0.13504607700451743
BM(file): files/file_500K;44664.769430297;44664.906485187;0.1370548900013091
BM(file): files/file_500K;44664.910572856;44665.049874062;0.1393012059998
BM(file): files/file_500K;44665.053951273;44665.194623493;0.1406722199972137
BM(file): files/file_500K;44665.200289763;44665.340569646;0.14027988300222205
BM(file): files/file_500K;44665.344604564;44665.482224002;0.13761943799909204
BM(file): files/file_500K;44665.488720822;44665.628119196;0.1393983739981195
BM(file): files/file_500K;44665.634688891;44665.782664149;0.1479752580053173
BM(file): files/file_500K;44665.786708151;44665.923697332;0.1369891810027184
BM(file): files/file_500K;44665.927775667;44666.067431836;0.1396561690053204
BM(file): files/file_500K;44666.071152292;44666.210364789;0.13921249700069893
BM(file): files/file_500K;44666.214242872;44666.355155596;0.1409127239967347
BM(file): files/file_500K;44666.359394058;44666.60372881;0.24433475199475652
BM(file): files/file_500K;44666.60858282;44666.748242405;0.13965958500193665
BM(file): files/file_500K;44666.751831527;44666.887171024;0.13533949699922232
BM(file): files/file_500K;44666.891483904;44667.029806557;0.13832265300152358
BM(file): files/file_500K;44667.033945769;44667.173812814;0.13986704499984626
BM(file): files/file_500K;44667.180679471;44667.319360587;0.13868111599731492
BM(file): files/file_500K;44667.323412631;44667.461114486;0.13770185500470689
BM(file): files/file_500K;44667.466711796;44667.606505716;0.13979392000328517
BM(file): files/file_500K;44667.610521884;44667.755354358;0.14483247399766697
BM(file): files/file_500K;44667.75955682;44667.967581306;0.20802448600443313
BM(file): files/file_500K;44667.979149306;44668.186125906;0.20697660000587348
BM(file): files/file_500K;44668.197362069;44668.416436799;0.2190747300046496
BM(file): files/file_500K;44668.42831901;44668.609215747;0.1808967369943275
BM(file): files/file_500K;44668.620942748;44668.824258767;0.203316019003978
BM(file): files/file_500K;44668.828551855;44668.971327223;0.14277536800364032
BM(file): files/file_500K;44668.975767063;44669.114201801;0.13843473800079664
BM(file): files/file_500K;44669.118351346;44669.258664146;0.1403128000019933
BM(file): files/file_500K;44669.262827482;44669.402891488;0.1400640059946454
BM(file): files/file_500K;44669.407244743;44669.549312687;0.14206794399797218
BM(file): files/file_500K;44669.553516899;44669.795372458;0.2418555589974858
BM(file): files/file_500K;44669.799688421;44669.946838503;0.147150081997097
BM(file): files/file_500K;44669.95056271;44670.089315243;0.13875253299920587
BM(file): files/file_500K;44670.094192171;44670.236789954;0.14259778300038306
BM(file): files/file_500K;44670.241869717;44670.383578407;0.14170869000372477
BM(file): files/file_500K;44670.387561283;44670.527911251;0.14034996800182853
BM(file): files/file_500K;44670.531914585;44670.677847904;0.14593331899959594
BM(file): files/file_500K;44670.682159534;44670.819817139;0.1376576050024596
BM(file): files/file_500K;44670.825061029;44670.966729385;0.14166835600190097
BM(file): files/file_500K;44670.973709585;44671.112328367;0.13861878200259525
BM(file): files/file_500K;44671.116553163;44671.255254654;0.1387014909996651
BM(file): files/file_500K;44671.259336156;44671.397339223;0.1380030669970438
BM(file): files/file_500K;44671.40138085;44671.539117956;0.13773710600071354
BM(file): files/file_500K;44671.542925539;44671.681823032;0.13889749300142284
BM(file): files/file_500K;44671.686374081;44671.831099762;0.14472568099881755
BM(file): files/file_500K;44671.835806771;44671.981410128;0.14560335699934512
