Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s8075757e --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;45168.514488086;45168.671493654;0.15700556799856713
BM(file): files/file_500K;45168.675633948;45168.806362649;0.13072870099858847
BM(file): files/file_500K;45168.81043611;45168.942317615;0.13188150500354823
BM(file): files/file_500K;45168.946978957;45169.306491666;0.3595127090011374
BM(file): files/file_500K;45169.310441584;45169.454767515;0.14432593100355007
BM(file): files/file_500K;45169.458873434;45169.60119426;0.1423208260021056
BM(file): files/file_500K;45169.606904447;45169.750863541;0.1439590939990012
BM(file): files/file_500K;45169.754841958;45169.886745881;0.13190392300020903
BM(file): files/file_500K;45169.891216595;45170.02321006;0.13199346499459352
BM(file): files/file_500K;45170.027465564;45170.160768002;0.13330243800010066
BM(file): files/file_500K;45170.165190216;45171.363341508;1.1981512919956003
BM(file): files/file_500K;45171.371538722;45171.613913502;0.24237477999849943
BM(file): files/file_500K;45171.617853044;45171.74887029;0.13101724599982845
BM(file): files/file_500K;45171.752890083;45171.883487741;0.13059765799698653
BM(file): files/file_500K;45171.887307657;45172.024151966;0.1368443089959328
BM(file): files/file_500K;45172.030741412;45172.160266059;0.12952464699628763
BM(file): files/file_500K;45172.164059975;45172.293651205;0.12959122999745887
BM(file): files/file_500K;45172.297972002;45172.429603462;0.13163145999715198
BM(file): files/file_500K;45172.433629173;45172.562599646;0.12897047300066333
BM(file): files/file_500K;45172.566190018;45172.699386038;0.13319602000410669
BM(file): files/file_500K;45172.703543458;45172.843392007;0.139848548998998
BM(file): files/file_500K;45172.847566469;45172.989595417;0.1420289480010979
BM(file): files/file_500K;45172.99628003;45173.125049002;0.12876897200476378
BM(file): files/file_500K;45173.129967597;45173.550836801;0.42086920399742667
BM(file): files/file_500K;45173.554651342;45173.71908749;0.16443614799936768
BM(file): files/file_500K;45173.723706665;45173.858640161;0.1349334960032138
BM(file): files/file_500K;45173.864905145;45173.995372802;0.13046765699982643
BM(file): files/file_500K;45173.999366928;45174.128767198;0.12940027000149712
BM(file): files/file_500K;45174.133423957;45174.268316911;0.1348929540035897
BM(file): files/file_500K;45174.27380372;45174.506073475;0.23226975499710534
BM(file): files/file_500K;45174.511272906;45174.968461918;0.45718901199870743
BM(file): files/file_500K;45174.972560379;45175.103178496;0.13061811700026738
BM(file): files/file_500K;45175.107324624;45175.238631164;0.13130654000269715
BM(file): files/file_500K;45175.242938252;45175.375481306;0.1325430540018715
BM(file): files/file_500K;45175.379402807;45175.553152597;0.17374979000305757
BM(file): files/file_500K;45175.561940067;45175.693042022;0.13110195500485133
BM(file): files/file_500K;45175.698764709;45175.830798507;0.13203379799961112
BM(file): files/file_500K;45175.834746925;45175.967347729;0.13260080399777507
BM(file): files/file_500K;45175.972266866;45176.672557832;0.7002909659931902
BM(file): files/file_500K;45176.679643909;45176.813347225;0.13370331599435303
BM(file): files/file_500K;45176.817555021;45176.957145776;0.1395907550031552
BM(file): files/file_500K;45176.962691252;45177.098397299;0.13570604699634714
BM(file): files/file_500K;45177.102285132;45177.439932231;0.33764709899696754
BM(file): files/file_500K;45177.444308403;45177.587186777;0.1428783739975188
BM(file): files/file_500K;45177.591573407;45177.727317204;0.13574379700003192
BM(file): files/file_500K;45177.731726168;45178.290102689;0.5583765210030833
BM(file): files/file_500K;45178.29470103;45178.437516945;0.14281591500184732
BM(file): files/file_500K;45178.44161178;45178.664479975;0.2228681950000464
BM(file): files/file_500K;45178.670337538;45178.800246689;0.12990915100090206
BM(file): files/file_500K;45178.804735362;45178.937319958;0.13258459600183414
BM(file): files/file_500K;45178.942405388;45179.076374708;0.13396931999886874
BM(file): files/file_500K;45179.080435376;45179.215576125;0.1351407490001293
BM(file): files/file_500K;45179.219466959;45179.349998033;0.1305310739990091
BM(file): files/file_500K;45179.356736814;45179.511065894;0.15432908000366297
BM(file): files/file_500K;45179.515687277;45179.658360982;0.14267370499874232
BM(file): files/file_500K;45179.665968523;45180.846629085;1.180660562000412
BM(file): files/file_500K;45180.850777213;45180.979791604;0.12901439099368872
BM(file): files/file_500K;45180.984186443;45181.114400181;0.13021373800438596
BM(file): files/file_500K;45181.118099221;45181.244923421;0.12682420000055572
BM(file): files/file_500K;45181.248905714;45181.496769595;0.2478638810061966
BM(file): files/file_500K;45181.503397583;45181.842843784;0.3394462009964627
BM(file): files/file_500K;45181.846714243;45181.978782125;0.13206788199750008
BM(file): files/file_500K;45181.982734334;45182.117729748;0.13499541400233284
BM(file): files/file_500K;45182.121775042;45182.2515939;0.1298188580040005
BM(file): files/file_500K;45182.255480233;45183.420514003;1.1650337700048112
BM(file): files/file_500K;45183.424891258;45183.674151112;0.2492598539975006
BM(file): files/file_500K;45183.678246615;45183.812503396;0.13425678099883953
BM(file): files/file_500K;45183.817271405;45184.00258632;0.18531491499743424
BM(file): files/file_500K;45184.007465206;45184.455797957;0.44833275100245373
BM(file): files/file_500K;45184.459686748;45184.593460274;0.13377352600218728
BM(file): files/file_500K;45184.598169575;45185.869274113;1.2711045379983261
BM(file): files/file_500K;45185.877030988;45186.066293362;0.18926237399864476
BM(file): files/file_500K;45186.074727953;45186.29876641;0.22403845700318925
BM(file): files/file_500K;45186.30676508;45186.508878717;0.202113637002185
BM(file): files/file_500K;45186.519762418;45186.728437085;0.20867466700292425
BM(file): files/file_500K;45186.732513295;45186.860092462;0.12757916699774796
BM(file): files/file_500K;45186.86431305;45186.99824241;0.1339293600030942
BM(file): files/file_500K;45187.001948367;45187.131510514;0.12956214700534474
BM(file): files/file_500K;45187.135284596;45187.265622918;0.1303383220001706
BM(file): files/file_500K;45187.272240864;45188.468503054;1.1962621900020167
BM(file): files/file_500K;45188.472448555;45189.638466043;1.1660174879943952
BM(file): files/file_500K;45189.643912185;45190.011537732;0.3676255470054457
BM(file): files/file_500K;45190.015446025;45190.243805278;0.22835925300023519
BM(file): files/file_500K;45190.247708404;45190.486860899;0.23915249499987112
BM(file): files/file_500K;45190.490848859;45190.62286474;0.13201588099764194
BM(file): files/file_500K;45190.627496124;45190.761112356;0.13361623200034956
BM(file): files/file_500K;45190.765176941;45192.114439614;1.3492626730003394
BM(file): files/file_500K;45192.120157217;45192.466557994;0.3464007769944146
BM(file): files/file_500K;45192.474852833;45192.925283148;0.45043031499517383
BM(file): files/file_500K;45192.929901281;45193.267163168;0.3372618869980215
BM(file): files/file_500K;45193.273199775;45193.40834019;0.135140414997295
BM(file): files/file_500K;45193.412276816;45193.550976353;0.13869953699759208
BM(file): files/file_500K;45193.555197773;45193.683419823;0.1282220499997493
BM(file): files/file_500K;45193.68815029;45193.866344378;0.17819408800278325
