Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s00869396 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;46464.453521451;46464.852369218;0.3988477669990971
BM(file): files/file_500K;46464.86190594;46465.334669877;0.47276393699576147
BM(file): files/file_500K;46465.340262309;46465.725235686;0.3849733769966406
BM(file): files/file_500K;46465.730800367;46466.034438291;0.3036379240002134
BM(file): files/file_500K;46466.038127954;46466.40667808;0.36855012599698966
BM(file): files/file_500K;46466.410637787;46466.908646606;0.49800881900591776
BM(file): files/file_500K;46466.91347253;46467.188755499;0.27528296899981797
BM(file): files/file_500K;46467.193168294;46467.496348256;0.30317996200028574
BM(file): files/file_500K;46467.500627424;46467.812386931;0.31175950699980604
BM(file): files/file_500K;46467.816193053;46468.144951775;0.3287587220038404
BM(file): files/file_500K;46468.150751834;46468.532396427;0.3816445929987822
BM(file): files/file_500K;46468.536648721;46468.841649576;0.30500085500534624
BM(file): files/file_500K;46468.845667117;46469.163892357;0.3182252400001744
BM(file): files/file_500K;46469.167778604;46469.512275153;0.344496548997995
BM(file): files/file_500K;46469.51653503;46469.86867324;0.3521382100007031
BM(file): files/file_500K;46469.873650833;46470.095938846;0.2222880130066187
BM(file): files/file_500K;46470.100888605;46470.423939685;0.3230510800058255
BM(file): files/file_500K;46470.428214271;46470.796406811;0.3681925400014734
BM(file): files/file_500K;46470.800840106;46471.301099492;0.5002593859971967
BM(file): files/file_500K;46471.305134908;46471.608688832;0.3035539240008802
BM(file): files/file_500K;46471.614341014;46471.95273596;0.338394946003973
BM(file): files/file_500K;46471.956655125;46472.240138595;0.2834834699970088
BM(file): files/file_500K;46472.244929144;46472.466136021;0.22120687700225972
BM(file): files/file_500K;46472.47037294;46472.731919186;0.26154624600167153
BM(file): files/file_500K;46472.735926019;46473.067748023;0.33182200400187867
BM(file): files/file_500K;46473.075099139;46473.361943144;0.2868440050006029
BM(file): files/file_500K;46473.367640119;46473.58417599;0.21653587099717697
BM(file): files/file_500K;46473.591395356;46473.836575061;0.24517970500164665
BM(file): files/file_500K;46473.840531934;46474.126869892;0.2863379580012406
BM(file): files/file_500K;46474.134242217;46474.490293427;0.35605121000116924
BM(file): files/file_500K;46474.497086829;46474.788374379;0.29128755000419915
BM(file): files/file_500K;46474.792608631;46475.037308081;0.24469944999873405
BM(file): files/file_500K;46475.042748845;46475.295513919;0.2527650740012177
BM(file): files/file_500K;46475.300199759;46475.765252995;0.46505323599558324
BM(file): files/file_500K;46475.769170702;46476.073626761;0.3044560589987668
BM(file): files/file_500K;46476.078248642;46476.292176363;0.21392772100080037
BM(file): files/file_500K;46476.296321405;46476.573952066;0.2776306609957828
BM(file): files/file_500K;46476.580795886;46476.862266003;0.2814701169991167
BM(file): files/file_500K;46476.866879383;46477.209579791;0.3427004080003826
BM(file): files/file_500K;46477.213512706;46477.698273269;0.4847605629984173
BM(file): files/file_500K;46477.704023286;46478.026182692;0.32215940600144677
BM(file): files/file_500K;46478.032781635;46478.358798039;0.32601640399661846
BM(file): files/file_500K;46478.363753756;46478.713648321;0.3498945649989764
BM(file): files/file_500K;46478.72079481;46479.104190716;0.3833959060066263
BM(file): files/file_500K;46479.108221049;46479.383230851;0.275009802004206
BM(file): files/file_500K;46479.387379351;46479.95128143;0.5639020790040377
BM(file): files/file_500K;46479.956775236;46480.256202245;0.29942700899846386
BM(file): files/file_500K;46480.260412579;46480.520619189;0.2602066100007505
BM(file): files/file_500K;46480.524563854;46480.871617556;0.34705370199662866
BM(file): files/file_500K;46480.875506888;46481.167554613;0.2920477250008844
BM(file): files/file_500K;46481.171960492;46481.441445279;0.26948478700069245
BM(file): files/file_500K;46481.445411861;46481.741609004;0.2961971429976984
BM(file): files/file_500K;46481.746340928;46482.022222697;0.2758817689973512
BM(file): files/file_500K;46482.02640774;46482.384902434;0.3584946940027294
BM(file): files/file_500K;46482.388675681;46482.725551281;0.33687559999816585
BM(file): files/file_500K;46482.729443195;46483.279323882;0.5498806870018598
BM(file): files/file_500K;46483.283787178;46483.796048398;0.5122612199993455
BM(file): files/file_500K;46483.800196523;46484.084877716;0.28468119299941463
BM(file): files/file_500K;46484.088882424;46484.339430811;0.25054838699725224
BM(file): files/file_500K;46484.343275725;46484.647814162;0.30453843700524885
BM(file): files/file_500K;46484.652232165;46485.029838347;0.37760618200263707
BM(file): files/file_500K;46485.03457502;46485.40574097;0.3711659500040696
BM(file): files/file_500K;46485.409755427;46485.747311618;0.33755619099974865
BM(file): files/file_500K;46485.751443868;46486.095455499;0.3440116310011945
BM(file): files/file_500K;46486.09943029;46486.414365667;0.3149353769986192
BM(file): files/file_500K;46486.418623877;46486.955345681;0.5367218040046282
BM(file): files/file_500K;46486.959383972;46487.226807031;0.2674230590055231
BM(file): files/file_500K;46487.230932906;46487.471511942;0.24057903599896235
BM(file): files/file_500K;46487.477465336;46487.786590487;0.30912515099771554
BM(file): files/file_500K;46487.791613413;46488.078377545;0.28676413200446405
BM(file): files/file_500K;46488.086626754;46488.307466714;0.22083996000583284
BM(file): files/file_500K;46488.312712142;46488.643945435;0.3312332929999684
BM(file): files/file_500K;46488.648354522;46488.94095838;0.2926038579971646
BM(file): files/file_500K;46488.944857628;46489.410104288;0.465246660001867
BM(file): files/file_500K;46489.41491692;46489.752741406;0.33782448599959025
BM(file): files/file_500K;46489.75680828;46490.022781575;0.26597329499782063
BM(file): files/file_500K;46490.028077129;46490.362842792;0.33476566299941624
BM(file): files/file_500K;46490.367720217;46490.712621859;0.344901641998149
BM(file): files/file_500K;46490.721130404;46491.220809123;0.49967871899571037
BM(file): files/file_500K;46491.224984291;46491.573075965;0.3480916740008979
BM(file): files/file_500K;46491.577223841;46492.022123794;0.444899952999549
BM(file): files/file_500K;46492.026326836;46492.350957605;0.32463076899875887
BM(file): files/file_500K;46492.354997271;46492.68978331;0.3347860389985726
BM(file): files/file_500K;46492.694079645;46492.995159424;0.3010797789975186
BM(file): files/file_500K;46492.99973047;46493.273319344;0.2735888739989605
BM(file): files/file_500K;46493.278367478;46493.631904792;0.35353731399663957
BM(file): files/file_500K;46493.638751487;46493.956569394;0.3178179070018814
BM(file): files/file_500K;46493.960301057;46494.200400131;0.24009907399886288
BM(file): files/file_500K;46494.204489048;46494.545375191;0.3408861429998069
BM(file): files/file_500K;46494.549508858;46494.900684356;0.35117549799906556
BM(file): files/file_500K;46494.904720814;46495.166800028;0.26207921400055056
BM(file): files/file_500K;46495.170823694;46495.460969778;0.2901460840002983
BM(file): files/file_500K;46495.465385907;46495.80313356;0.337747653000406
BM(file): files/file_500K;46495.807223268;46495.989780797;0.18255752899858635
BM(file): files/file_500K;46495.996776035;46496.257165482;0.26038944700121647
