Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s820f8417 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;47809.359051914;47810.979983623;1.6209317090033437
BM(file): files/file_500K;47810.984888971;47811.364967286;0.38007831499999156
BM(file): files/file_500K;47811.369861217;47811.506112696;0.13625147900165757
BM(file): files/file_500K;47811.510781291;47812.547430881;1.0366495900016162
BM(file): files/file_500K;47812.551721222;47812.968376289;0.41665506699791877
BM(file): files/file_500K;47812.972756172;47814.776876221;1.8041200490042684
BM(file): files/file_500K;47814.783471963;47814.96658477;0.18311280700436328
BM(file): files/file_500K;47814.979090288;47816.168116077;1.1890257890045177
BM(file): files/file_500K;47816.175156491;47816.453861142;0.2787046509984066
BM(file): files/file_500K;47816.458226233;47817.604907618;1.1466813849983737
BM(file): files/file_500K;47817.613389215;47819.54231218;1.9289229649948538
BM(file): files/file_500K;47819.549344261;47819.975492974;0.42614871299883816
BM(file): files/file_500K;47820.011100256;47821.82213524;1.8110349839989794
BM(file): files/file_500K;47821.826369539;47823.09271945;1.2663499109985423
BM(file): files/file_500K;47823.098397682;47823.22527205;0.12687436799751595
BM(file): files/file_500K;47823.229155261;47823.410542171;0.18138691000058316
BM(file): files/file_500K;47823.414592842;47825.116391275;1.701798433001386
BM(file): files/file_500K;47825.126345597;47825.343602708;0.2172571110058925
BM(file): files/file_500K;47825.351171878;47825.555213546;0.20404166800290113
BM(file): files/file_500K;47825.563945729;47827.240795955;1.6768502259947127
BM(file): files/file_500K;47827.246396935;47827.936883667;0.6904867319972254
BM(file): files/file_500K;47827.941567721;47828.071429123;0.12986140200519003
BM(file): files/file_500K;47828.075547503;47828.204101765;0.12855426199530484
BM(file): files/file_500K;47828.208494815;47828.392137124;0.18364230899896938
BM(file): files/file_500K;47828.395967668;47828.528180597;0.13221292899834225
BM(file): files/file_500K;47828.531903848;47828.949226162;0.4173223140023765
BM(file): files/file_500K;47828.953185749;47829.394660215;0.44147446600254625
BM(file): files/file_500K;47829.398861346;47829.607842736;0.20898138999473304
BM(file): files/file_500K;47829.611623029;47829.801309657;0.18968662800034508
BM(file): files/file_500K;47829.80639184;47829.932348988;0.12595714799681446
BM(file): files/file_500K;47829.937315379;47830.51373747;0.5764220909986761
BM(file): files/file_500K;47830.520709841;47832.719409561;2.1986997200001497
BM(file): files/file_500K;47832.724178699;47833.326572585;0.6023938860016642
BM(file): files/file_500K;47833.331836812;47834.575666361;1.2438295489992015
BM(file): files/file_500K;47834.58565185;47834.781739508;0.19608765799785033
BM(file): files/file_500K;47834.78917451;47834.985572004;0.19639749400084838
BM(file): files/file_500K;47834.992382082;47835.175766927;0.18338484500418417
BM(file): files/file_500K;47835.182868967;47837.333981587;2.1511126199984574
BM(file): files/file_500K;47837.340343493;47838.18743617;0.8470926770023652
BM(file): files/file_500K;47838.192254516;47838.640632055;0.4483775390035589
BM(file): files/file_500K;47838.645513027;47838.784947037;0.1394340100014233
BM(file): files/file_500K;47838.788723496;47839.540055369;0.7513318729979801
BM(file): files/file_500K;47839.543957081;47840.315754895;0.7717978139990009
BM(file): files/file_500K;47840.323265647;47841.651568524;1.3283028770019882
BM(file): files/file_500K;47841.656668957;47842.014612669;0.35794371199881425
BM(file): files/file_500K;47842.01862359;47842.773536375;0.7549127850070363
BM(file): files/file_500K;47842.777455295;47842.916646967;0.13919167200219817
BM(file): files/file_500K;47842.920584637;47843.050542704;0.12995806699473178
BM(file): files/file_500K;47843.054766336;47843.434760257;0.3799939210002776
BM(file): files/file_500K;47843.440947286;47843.631068206;0.19012092000048142
BM(file): files/file_500K;47843.634904958;47844.004200216;0.3692952579949633
BM(file): files/file_500K;47844.007930925;47844.435687057;0.42775613199773943
BM(file): files/file_500K;47844.439722603;47845.511763922;1.0720413189992541
BM(file): files/file_500K;47845.516289766;47848.0995232;2.5832334340011585
BM(file): files/file_500K;47848.105926982;47848.450395245;0.344468262999726
BM(file): files/file_500K;47848.454483208;47849.664587388;1.2101041799978702
BM(file): files/file_500K;47849.668733602;47850.575183899;0.9064502970068133
BM(file): files/file_500K;47850.580505376;47851.852555008;1.2720496320034727
BM(file): files/file_500K;47851.860633434;47852.268278332;0.40764489799767034
BM(file): files/file_500K;47852.274620571;47852.730306392;0.4556858209980419
BM(file): files/file_500K;47852.734263312;47853.430865921;0.6966026090012747
BM(file): files/file_500K;47853.439919483;47853.734356298;0.2944368150056107
BM(file): files/file_500K;47853.740039988;47854.279650265;0.5396102770027937
BM(file): files/file_500K;47854.284099857;47855.048681906;0.7645820489997277
BM(file): files/file_500K;47855.052516533;47855.180361699;0.1278451660036808
BM(file): files/file_500K;47855.18425341;47855.368228299;0.18397488899790915
BM(file): files/file_500K;47855.371819423;47856.191333181;0.8195137579969014
BM(file): files/file_500K;47856.196998287;47856.690871791;0.4938735039977473
BM(file): files/file_500K;47856.696445437;47858.160251493;1.4638060559955193
BM(file): files/file_500K;47858.163817909;47858.597515518;0.4336976089980453
BM(file): files/file_500K;47858.601904901;47858.845569302;0.24366440100129694
BM(file): files/file_500K;47858.849382471;47859.222080467;0.37269799599744147
BM(file): files/file_500K;47859.226051512;47859.554207251;0.3281557390000671
BM(file): files/file_500K;47859.557882001;47861.246869158;1.688987157001975
BM(file): files/file_500K;47861.253228897;47861.762833118;0.5096042209988809
BM(file): files/file_500K;47861.769157649;47861.951603226;0.1824455769965425
BM(file): files/file_500K;47861.95677291;47862.775896989;0.8191240789965377
BM(file): files/file_500K;47862.780826212;47862.926458329;0.14563211699714884
BM(file): files/file_500K;47862.931167674;47863.058413206;0.12724553199950606
BM(file): files/file_500K;47863.062384877;47863.224676475;0.16229159800423076
BM(file): files/file_500K;47863.22921661;47864.55634718;1.3271305699963705
BM(file): files/file_500K;47864.562621001;47865.017341304;0.45472030300152255
BM(file): files/file_500K;47865.021696603;47865.431784772;0.4100881690028473
BM(file): files/file_500K;47865.435681525;47865.846592328;0.41091080300247995
BM(file): files/file_500K;47865.852794815;47866.363627797;0.5108329819995561
BM(file): files/file_500K;47866.369235152;47866.671301507;0.3020663549978053
BM(file): files/file_500K;47866.675113342;47867.885628662;1.2105153200027416
BM(file): files/file_500K;47867.894864892;47868.506664938;0.611800046004646
BM(file): files/file_500K;47868.515958544;47868.702709753;0.1867512090029777
BM(file): files/file_500K;47868.708193065;47868.956845437;0.24865237199992407
BM(file): files/file_500K;47868.960554104;47869.416180955;0.4556268509986694
BM(file): files/file_500K;47869.419628411;47869.545711012;0.12608260099659674
BM(file): files/file_500K;47869.550122396;47869.794398801;0.24427640499925474
BM(file): files/file_500K;47869.79826222;47870.246348651;0.4480864310025936
BM(file): files/file_500K;47870.25162967;47870.51662581;0.2649961400020402
BM(file): files/file_500K;47870.520433103;47871.342875127;0.8224420239930623
BM(file): files/file_500K;47871.349358284;47871.480266106;0.13090782200015383
