Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s2ebd9eb5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;50981.721412353;50982.260829053;0.5394166999976733
BM(file): files/file_500K;50982.267453706;50982.944985844;0.677532137997332
BM(file): files/file_500K;50982.95181804;50983.55463565;0.602817610000784
BM(file): files/file_500K;50983.559164072;50983.974669565;0.4155054930015467
BM(file): files/file_500K;50983.980737837;50984.662617229;0.6818793919956079
BM(file): files/file_500K;50984.666593562;50985.404442161;0.737848599004792
BM(file): files/file_500K;50985.408956792;50985.969634172;0.5606773799954681
BM(file): files/file_500K;50985.974516139;50986.383967861;0.4094517220000853
BM(file): files/file_500K;50986.387984986;50986.773328999;0.38534401299693855
BM(file): files/file_500K;50986.777361416;50987.425617416;0.6482559999931254
BM(file): files/file_500K;50987.429707334;50988.037857958;0.6081506240007002
BM(file): files/file_500K;50988.042158836;50988.628723444;0.586564608005574
BM(file): files/file_500K;50988.632682986;50989.08714176;0.45445877400197787
BM(file): files/file_500K;50989.091728599;50989.483482554;0.39175395500205923
BM(file): files/file_500K;50989.48777339;50990.20075644;0.7129830499980017
BM(file): files/file_500K;50990.206573334;50990.687394507;0.4808211729978211
BM(file): files/file_500K;50990.691561134;50991.451074252;0.759513117998722
BM(file): files/file_500K;50991.455153877;50991.841629985;0.38647610799671384
BM(file): files/file_500K;50991.845872738;50992.303057957;0.4571852189983474
BM(file): files/file_500K;50992.306993332;50992.798132946;0.49113961400144035
BM(file): files/file_500K;50992.802769245;50993.271331958;0.46856271300202934
BM(file): files/file_500K;50993.275806671;50993.675874754;0.40006808299949626
BM(file): files/file_500K;50993.680308508;50994.086062442;0.40575393399922177
BM(file): files/file_500K;50994.0932016;50994.542274985;0.44907338499615435
BM(file): files/file_500K;50994.547107244;50995.121385683;0.574278439002228
BM(file): files/file_500K;50995.125711686;50995.570977281;0.4452655950008193
BM(file): files/file_500K;50995.575164908;50996.058546609;0.48338170100032585
BM(file): files/file_500K;50996.062611943;50996.450569775;0.38795783199748257
BM(file): files/file_500K;50996.454408024;50996.957493221;0.5030851970004733
BM(file): files/file_500K;50996.961821433;50997.348193374;0.38637194100010674
BM(file): files/file_500K;50997.352425001;50997.740300499;0.3878754979959922
BM(file): files/file_500K;50997.744760795;50998.189029506;0.44426871099858545
BM(file): files/file_500K;50998.192871379;50998.61990291;0.42703153100592317
BM(file): files/file_500K;50998.623984411;50999.246565103;0.6225806919974275
BM(file): files/file_500K;50999.251894575;50999.677131837;0.42523726200306555
BM(file): files/file_500K;50999.681442715;51000.112877584;0.43143486899498384
BM(file): files/file_500K;51000.116845209;51000.67113319;0.5542879810018349
BM(file): files/file_500K;51000.676436995;51001.225253086;0.5488160909953876
BM(file): files/file_500K;51001.229192627;51001.744319576;0.5151269490015693
BM(file): files/file_500K;51001.748438452;51002.343291022;0.5948525700005121
BM(file): files/file_500K;51002.347233105;51002.778937935;0.4317048299999442
BM(file): files/file_500K;51002.78299781;51003.526899892;0.7439020820020232
BM(file): files/file_500K;51003.531205562;51004.020394532;0.4891889700011234
BM(file): files/file_500K;51004.024458407;51004.553994506;0.5295360989985056
BM(file): files/file_500K;51004.557965923;51005.005502292;0.44753636899986304
BM(file): files/file_500K;51005.009685961;51005.452511615;0.4428256540049915
BM(file): files/file_500K;51005.456405531;51005.870174882;0.4137693510056124
BM(file): files/file_500K;51005.876744242;51006.558231549;0.6814873070034082
BM(file): files/file_500K;51006.562171173;51007.170843221;0.6086720480016083
BM(file): files/file_500K;51007.174957597;51007.507508978;0.3325513809977565
BM(file): files/file_500K;51007.512699282;51008.02693468;0.514235397997254
BM(file): files/file_500K;51008.030726553;51008.616352778;0.5856262250017608
BM(file): files/file_500K;51008.622749095;51009.174559217;0.551810122000461
BM(file): files/file_500K;51009.179679729;51009.550721552;0.3710418229966308
BM(file): files/file_500K;51009.554439633;51010.254635676;0.7001960429988685
BM(file): files/file_500K;51010.258601551;51010.747108931;0.48850737999600824
BM(file): files/file_500K;51010.752413695;51011.415592644;0.663178948998393
BM(file): files/file_500K;51011.419622895;51011.979143098;0.559520202994463
BM(file): files/file_500K;51011.983144223;51012.481303287;0.4981590640018112
BM(file): files/file_500K;51012.485527331;51013.222554759;0.7370274279965088
BM(file): files/file_500K;51013.226559759;51013.723404184;0.4968444249971071
BM(file): files/file_500K;51013.727530186;51014.210270465;0.4827402790033375
BM(file): files/file_500K;51014.214552426;51014.627676938;0.4131245120006497
BM(file): files/file_500K;51014.633658;51015.053988004;0.4203300040026079
BM(file): files/file_500K;51015.05791592;51015.614245298;0.5563293779996457
BM(file): files/file_500K;51015.617952212;51015.917725126;0.29977291399700334
BM(file): files/file_500K;51015.921971171;51016.435525145;0.5135539740003878
BM(file): files/file_500K;51016.439198392;51016.99686241;0.5576640180006507
BM(file): files/file_500K;51017.000735158;51017.470250175;0.4695150170009583
BM(file): files/file_500K;51017.474124507;51017.949987339;0.47586283199780155
BM(file): files/file_500K;51017.953911963;51018.6149496;0.6610376370008453
BM(file): files/file_500K;51018.619076768;51019.223461939;0.6043851709982846
BM(file): files/file_500K;51019.227338979;51019.857717047;0.6303780680027558
BM(file): files/file_500K;51019.861669254;51020.312640036;0.4509707819961477
BM(file): files/file_500K;51020.316724953;51020.806807351;0.4900823979987763
BM(file): files/file_500K;51020.812212949;51021.298784601;0.48657165199983865
BM(file): files/file_500K;51021.302646016;51021.769749674;0.4671036579966312
BM(file): files/file_500K;51021.774091761;51022.200892083;0.4268003219985985
BM(file): files/file_500K;51022.207233274;51022.80439762;0.5971643459997722
BM(file): files/file_500K;51022.808265911;51023.277164754;0.4688988429988967
BM(file): files/file_500K;51023.281380298;51023.950963191;0.6695828929950949
BM(file): files/file_500K;51023.954932815;51024.616585334;0.6616525189965614
BM(file): files/file_500K;51024.620652251;51025.047372905;0.4267206540025654
BM(file): files/file_500K;51025.051332363;51025.677291385;0.6259590219997335
BM(file): files/file_500K;51025.681652472;51026.228151166;0.5464986939987284
BM(file): files/file_500K;51026.232087415;51026.738594567;0.5065071520002675
BM(file): files/file_500K;51026.742333398;51027.147357951;0.40502455300156726
BM(file): files/file_500K;51027.151472494;51027.586803321;0.43533082700014347
BM(file): files/file_500K;51027.590720571;51028.021371849;0.43065127799491165
BM(file): files/file_500K;51028.025828979;51028.432149671;0.4063206920036464
BM(file): files/file_500K;51028.436112712;51028.946075109;0.5099623970018001
BM(file): files/file_500K;51028.949982066;51029.373344394;0.42336232800153084
BM(file): files/file_500K;51029.37729081;51029.747822796;0.370531986001879
BM(file): files/file_500K;51029.751954714;51030.181342771;0.4293880570039619
BM(file): files/file_500K;51030.185415647;51030.546563868;0.36114822100353194
