Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s04afe980 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;54198.850022457;54199.983646157;1.133623699999589
BM(file): files/file_500K;54199.988772001;54208.271984678;8.283212677000847
BM(file): files/file_500K;54208.284975853;54211.661701082;3.3767252289981116
BM(file): files/file_500K;54211.668647404;54218.929686107;7.26103870299994
BM(file): files/file_500K;54218.941943566;54228.473975711;9.532032144998084
BM(file): files/file_500K;54228.482888427;54235.557518556;7.074630128998251
BM(file): files/file_500K;54235.564777006;54238.3727237;2.8079466939962003
BM(file): files/file_500K;54238.377814252;54243.82757373;5.4497594779968495
BM(file): files/file_500K;54243.836689365;54248.490938523;4.654249157996674
BM(file): files/file_500K;54248.496440038;54250.326318084;1.8298780460027047
BM(file): files/file_500K;54250.331606888;54253.080622312;2.7490154240003903
BM(file): files/file_500K;54253.09060804;54257.938551226;4.847943185995973
BM(file): files/file_500K;54257.944135575;54259.949473169;2.0053375939969555
BM(file): files/file_500K;54259.957144373;54266.251419758;6.294275385000219
BM(file): files/file_500K;54266.25855079;54267.604901422;1.3463506319967564
BM(file): files/file_500K;54267.613350092;54271.752252263;4.138902171005611
BM(file): files/file_500K;54271.761505274;54283.173326905;11.411821631001658
BM(file): files/file_500K;54283.186859418;54289.068371451;5.881512033003673
BM(file): files/file_500K;54289.073445503;54295.69777365;6.62432814699423
BM(file): files/file_500K;54295.708490094;54300.50356995;4.795079855997756
BM(file): files/file_500K;54300.509150132;54304.835103931;4.3259537990015815
BM(file): files/file_500K;54304.843245598;54306.109721121;1.2664755229998264
BM(file): files/file_500K;54306.116615942;54307.254846358;1.1382304159997148
BM(file): files/file_500K;54307.261572552;54318.332199443;11.070626890999847
BM(file): files/file_500K;54318.337416705;54319.919908301;1.5824915960038197
BM(file): files/file_500K;54319.927612505;54328.053746883;8.126134377998824
BM(file): files/file_500K;54328.059914321;54337.177870242;9.11795592099952
BM(file): files/file_500K;54337.189767447;54343.281658559;6.09189111199521
BM(file): files/file_500K;54343.29054315;54348.544847385;5.254304235000745
BM(file): files/file_500K;54348.552235544;54350.943360388;2.3911248440053896
BM(file): files/file_500K;54350.949591577;54354.529730359;3.580138781995629
BM(file): files/file_500K;54354.541278019;54362.215876732;7.674598712997977
BM(file): files/file_500K;54362.228495486;54363.11453311;0.8860376239972538
BM(file): files/file_500K;54363.122149105;54367.733810796;4.611661691000336
BM(file): files/file_500K;54367.745653334;54371.994993477;4.249340142996516
BM(file): files/file_500K;54372.000942371;54373.861437402;1.8604950310036656
BM(file): files/file_500K;54373.869035313;54376.793541709;2.924506395997014
BM(file): files/file_500K;54376.798763471;54380.549824132;3.7510606610012474
BM(file): files/file_500K;54380.557522419;54387.939727763;7.382205343994428
BM(file): files/file_500K;54387.949165776;54392.980751773;5.031585996999638
BM(file): files/file_500K;54392.988123349;54395.635481363;2.647358014000929
BM(file): files/file_500K;54395.641769469;54398.375848164;2.7340786950007896
BM(file): files/file_500K;54398.383151614;54412.125504161;13.742352547000337
BM(file): files/file_500K;54412.135062967;54415.407902603;3.272839636003482
BM(file): files/file_500K;54415.41754991;54419.643499442;4.225949531995866
BM(file): files/file_500K;54419.647687901;54430.606054578;10.958366676997684
BM(file): files/file_500K;54430.617119983;54432.294670098;1.6775501150041237
BM(file): files/file_500K;54432.303785858;54435.10222834;2.7984424820024287
BM(file): files/file_500K;54435.110540091;54439.837087798;4.726547706995916
BM(file): files/file_500K;54439.849589635;54442.94865874;3.0990691050028545
BM(file): files/file_500K;54442.956744698;54447.002730344;4.04598564600019
BM(file): files/file_500K;54447.011433475;54451.033309917;4.0218764419987565
BM(file): files/file_500K;54451.038288468;54462.802203825;11.76391535699804
BM(file): files/file_500K;54462.809264522;54466.324710647;3.5154461249985616
BM(file): files/file_500K;54466.33419237;54470.135845512;3.80165314199985
BM(file): files/file_500K;54470.141363444;54474.78565106;4.644287615999929
BM(file): files/file_500K;54474.795149407;54480.13438519;5.339235783001641
BM(file): files/file_500K;54480.150629106;54482.896769386;2.746140280003601
BM(file): files/file_500K;54482.90310766;54488.242424944;5.339317284000572
BM(file): files/file_500K;54488.247671914;54489.004324213;0.7566522989945952
BM(file): files/file_500K;54489.00907072;54497.611388751;8.602318031000323
BM(file): files/file_500K;54497.61695485;54499.564355191;1.947400341006869
BM(file): files/file_500K;54499.569717788;54505.194223914;5.624506125997868
BM(file): files/file_500K;54505.201190194;54510.848920808;5.647730614000466
BM(file): files/file_500K;54510.85744652;54514.837864248;3.9804177280020667
BM(file): files/file_500K;54514.845284158;54516.828407366;1.983123208003235
BM(file): files/file_500K;54516.83691862;54521.973550453;5.136631833003776
BM(file): files/file_500K;54521.978586088;54525.076476018;3.097889930002566
BM(file): files/file_500K;54525.083468381;54530.146572169;5.063103787993896
BM(file): files/file_500K;54530.151817098;54535.199923607;5.048106508998899
BM(file): files/file_500K;54535.207369684;54540.270520098;5.063150413996482
BM(file): files/file_500K;54540.275656984;54540.522920227;0.24726324299990665
BM(file): files/file_500K;54540.527472232;54543.78942622;3.261953987996094
BM(file): files/file_500K;54543.796906338;54549.930306185;6.133399846999964
BM(file): files/file_500K;54549.938597895;54556.434209081;6.495611186001042
BM(file): files/file_500K;54556.441227653;54564.800860202;8.359632548999798
BM(file): files/file_500K;54564.807849982;54571.523493634;6.715643652001745
BM(file): files/file_500K;54571.527647093;54575.709610349;4.181963256000017
BM(file): files/file_500K;54575.71795931;54581.2443126;5.526353289998951
BM(file): files/file_500K;54581.250238953;54583.069122437;1.8188834840038908
BM(file): files/file_500K;54583.078809869;54585.778890139;2.7000802699985798
BM(file): files/file_500K;54585.784667531;54589.658964841;3.874297310001566
BM(file): files/file_500K;54589.668130685;54593.898471271;4.2303405860002385
BM(file): files/file_500K;54593.904679793;54602.254796623;8.350116829999024
BM(file): files/file_500K;54602.263095833;54607.664388093;5.401292260001355
BM(file): files/file_500K;54607.670505489;54609.519332406;1.8488269170047715
BM(file): files/file_500K;54609.526381353;54610.737657065;1.2112757120048627
BM(file): files/file_500K;54610.744288883;54617.254125344;6.5098364610021235
BM(file): files/file_500K;54617.263855652;54623.147078813;5.883223160999478
BM(file): files/file_500K;54623.154421305;54629.067595941;5.913174635999894
BM(file): files/file_500K;54629.077198456;54634.822239117;5.74504066100053
BM(file): files/file_500K;54634.831040999;54635.784518568;0.9534775689971866
BM(file): files/file_500K;54635.789294325;54638.144417684;2.35512335900421
BM(file): files/file_500K;54638.150789541;54643.944707996;5.793918454997765
BM(file): files/file_500K;54643.954100342;54650.762912538;6.808812195995415
