Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sab9d1be2 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;123320.766625238;123329.926159352;9.15953411400551
BM(file): files/file_500K;123329.933281569;123355.198200152;25.26491858299414
BM(file): files/file_500K;123355.20316127;123373.895549801;18.692388531009783
BM(file): files/file_500K;123373.912332045;123384.395741218;10.483409173000837
BM(file): files/file_500K;123384.402257505;123394.789703693;10.387446187989553
BM(file): files/file_500K;123394.801570167;123408.64692988;13.845359712999198
BM(file): files/file_500K;123408.657648798;123427.095182182;18.437533383999835
BM(file): files/file_500K;123427.11697681;123464.734963384;37.61798657401232
BM(file): files/file_500K;123464.742799223;123478.757139157;14.014339934001327
BM(file): files/file_500K;123478.766219967;123483.612944254;4.846724286995595
BM(file): files/file_500K;123483.619266366;123492.77660781;9.157341443991754
BM(file): files/file_500K;123492.785099321;123503.790775001;11.00567568000406
BM(file): files/file_500K;123503.810737638;123521.490847025;17.68010938698717
BM(file): files/file_500K;123521.503193202;123562.605147606;41.1019544039882
BM(file): files/file_500K;123562.614482873;123582.007979287;19.39349641399167
BM(file): files/file_500K;123582.017214593;123591.964790919;9.947576325997943
BM(file): files/file_500K;123591.969632762;123613.02743399;21.057801228002063
BM(file): files/file_500K;123613.0380711;123630.199139453;17.16106835300161
BM(file): files/file_500K;123630.208402716;123658.856969984;28.64856726799917
BM(file): files/file_500K;123658.864588728;123674.035882033;15.17129330500029
BM(file): files/file_500K;123674.042291931;123683.67815982;9.635867889010115
BM(file): files/file_500K;123683.683942545;123712.584305968;28.900363423003
BM(file): files/file_500K;123712.599207824;123741.575228814;28.97602099001233
BM(file): files/file_500K;123741.584281028;123765.192744254;23.60846322600264
BM(file): files/file_500K;123765.211385476;123780.448642165;15.237256689011701
BM(file): files/file_500K;123780.455874485;123794.9653095;14.509435015002964
BM(file): files/file_500K;123794.976498691;123806.788619889;11.812121198003297
BM(file): files/file_500K;123806.793392601;123824.196257466;17.402864864998264
BM(file): files/file_500K;123824.201786018;123843.460338273;19.258552254992537
BM(file): files/file_500K;123843.472288344;123850.244481218;6.772192874006578
BM(file): files/file_500K;123850.25260142;123864.131242076;13.878640655995696
BM(file): files/file_500K;123864.138391976;123882.057852873;17.919460896999226
BM(file): files/file_500K;123882.065064981;123936.461070019;54.396005037997384
BM(file): files/file_500K;123936.469274469;123958.680120836;22.210846367001068
BM(file): files/file_500K;123958.689426378;123968.028438474;9.339012095995713
BM(file): files/file_500K;123968.037504306;123992.307770822;24.270266515988624
BM(file): files/file_500K;123992.318103414;124046.643810082;54.32570666799438
BM(file): files/file_500K;124046.654555344;124060.270411894;13.615856550008175
BM(file): files/file_500K;124060.279223305;124075.827747101;15.548523795994697
BM(file): files/file_500K;124075.839266368;124085.319877041;9.480610672995681
BM(file): files/file_500K;124085.327118979;124154.356475315;69.02935633600282
BM(file): files/file_500K;124154.363431708;124163.693233882;9.329802174004726
BM(file): files/file_500K;124163.699852606;124209.979341695;46.279489088992705
BM(file): files/file_500K;124209.986910135;124297.233416333;87.24650619798922
BM(file): files/file_500K;124297.245165098;124316.083828835;18.83866373701312
BM(file): files/file_500K;124316.094501549;124404.782363372;88.68786182299664
BM(file): files/file_500K;124404.787403122;124449.821318068;45.0339149460051
BM(file): files/file_500K;124449.827633244;124484.323871046;34.49623780199909
BM(file): files/file_500K;124484.331519734;124547.052809057;62.721289323002566
BM(file): files/file_500K;124547.065268366;124565.885833359;18.820564993002336
BM(file): files/file_500K;124565.901241859;124593.381330579;27.480088719996274
BM(file): files/file_500K;124593.38939781;124613.737307461;20.34790965099819
BM(file): files/file_500K;124613.745320859;124621.070594588;7.32527372900222
BM(file): files/file_500K;124621.076735429;124632.513504677;11.436769248000928
BM(file): files/file_500K;124632.523400465;124647.682548258;15.159147793005104
BM(file): files/file_500K;124647.687835176;124668.147645197;20.459810020998702
BM(file): files/file_500K;124668.160161881;124676.807259187;8.64709730600589
BM(file): files/file_500K;124676.812325103;124694.167738055;17.35541295199073
BM(file): files/file_500K;124694.172732428;124709.606264272;15.433531844013487
BM(file): files/file_500K;124709.617652571;124724.121144021;14.503491449999274
BM(file): files/file_500K;124724.126171936;124731.251386855;7.1252149189967895
BM(file): files/file_500K;124731.257693322;124746.195703495;14.93801017300575
BM(file): files/file_500K;124746.203790226;124763.1819011;16.978110873998958
BM(file): files/file_500K;124763.19619663;124776.930890935;13.734694304992445
BM(file): files/file_500K;124776.94351791;124807.512160008;30.568642098005512
BM(file): files/file_500K;124807.520404406;124819.146999368;11.626594961999217
BM(file): files/file_500K;124819.154160716;124833.410083484;14.255922768003074
BM(file): files/file_500K;124833.417668419;124849.035258466;15.617590046997066
BM(file): files/file_500K;124849.04314132;124913.162155927;64.11901460700028
BM(file): files/file_500K;124913.17122179;124926.121727549;12.950505758999498
BM(file): files/file_500K;124926.126765255;124941.851428996;15.724663740998949
BM(file): files/file_500K;124941.858049881;124948.503447926;6.645398045002366
BM(file): files/file_500K;124948.510238229;124973.225677676;24.71543944699806
BM(file): files/file_500K;124973.233604822;125011.996383796;38.76277897399268
BM(file): files/file_500K;125012.006325249;125066.567150259;54.56082500999037
BM(file): files/file_500K;125066.572338341;125087.334520085;20.762181744008558
BM(file): files/file_500K;125087.346935973;125108.239638521;20.892702548007946
BM(file): files/file_500K;125108.252641581;125118.713405294;10.460763712995686
BM(file): files/file_500K;125118.718307541;125137.405752591;18.68744505000359
BM(file): files/file_500K;125137.416093463;125149.754703469;12.338610006001545
BM(file): files/file_500K;125149.762834783;125157.984470857;8.221636073998525
BM(file): files/file_500K;125157.990293402;125166.738636643;8.748343240993563
BM(file): files/file_500K;125166.74722871;125172.150319643;5.403090933003114
BM(file): files/file_500K;125172.163333786;125187.360935423;15.197601637002663
BM(file): files/file_500K;125187.366699343;125196.41398851;9.047289167006966
BM(file): files/file_500K;125196.419742971;125212.772970042;16.3532270709984
BM(file): files/file_500K;125212.782398866;125223.534563226;10.752164360004826
BM(file): files/file_500K;125223.540685899;125244.679714578;21.13902867899742
BM(file): files/file_500K;125244.690506786;125255.543528185;10.853021398987039
BM(file): files/file_500K;125255.550096736;125265.449596459;9.899499723003828
BM(file): files/file_500K;125265.458800697;125281.295401589;15.836600891998387
BM(file): files/file_500K;125281.305067414;125297.504599277;16.199531863006996
BM(file): files/file_500K;125297.514080017;125311.275427177;13.761347159990692
BM(file): files/file_500K;125311.28358499;125360.917503453;49.6339184630051
BM(file): files/file_500K;125360.924818468;125377.294823949;16.370005481003318
BM(file): files/file_500K;125377.301994588;125390.233455124;12.93146053601231
