Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sfcf9b857 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;88.422922996;91.385338103;2.962415106999998
BM(file): files/file_500K;91.395585517;93.783417753;2.387832235999994
BM(file): files/file_500K;93.787545675;96.855963289;3.0684176139999977
BM(file): files/file_500K;96.861943363;100.174250683;3.312307320000002
BM(file): files/file_500K;100.180516293;102.660089381;2.4795730880000093
BM(file): files/file_500K;102.665779768;105.900578457;3.2347986890000016
BM(file): files/file_500K;105.910412104;108.300679082;2.3902669779999997
BM(file): files/file_500K;108.312257288;110.338612307;2.0263550190000075
BM(file): files/file_500K;110.342975409;113.927370581;3.5843951720000007
BM(file): files/file_500K;113.936558989;117.074211592;3.1376526029999923
BM(file): files/file_500K;117.080777129;119.747183695;2.6664065660000063
BM(file): files/file_500K;119.754592615;122.544821087;2.7902284719999955
BM(file): files/file_500K;122.550923906;125.015370071;2.4644461650000125
BM(file): files/file_500K;125.021721766;127.764483765;2.7427619989999954
BM(file): files/file_500K;127.771968054;130.955159291;3.1831912370000026
BM(file): files/file_500K;130.960124767;133.408615729;2.448490961999994
BM(file): files/file_500K;133.414362461;135.871462145;2.4570996840000134
BM(file): files/file_500K;135.876736175;137.99666832;2.119932145000007
BM(file): files/file_500K;138.002381198;140.999337699;2.9969565009999997
BM(file): files/file_500K;141.003749863;142.871277356;1.8675274930000114
BM(file): files/file_500K;142.875332438;146.102862225;3.227529787000009
BM(file): files/file_500K;146.108211666;149.951527525;3.8433158590000005
BM(file): files/file_500K;149.966535485;156.939884127;6.973348641999991
BM(file): files/file_500K;156.945984199;159.494285884;2.548301684999984
BM(file): files/file_500K;159.498372841;164.084375668;4.586002827000016
BM(file): files/file_500K;164.089770875;167.824963734;3.7351928589999943
BM(file): files/file_500K;167.832368177;169.932317495;2.099949318
BM(file): files/file_500K;169.936300576;173.291928781;3.355628204999988
BM(file): files/file_500K;173.296620632;175.73259672;2.4359760879999897
BM(file): files/file_500K;175.736657292;177.800883195;2.064225903000022
BM(file): files/file_500K;177.809180748;180.612385098;2.8032043500000157
BM(file): files/file_500K;180.617663202;183.015264073;2.3976008710000087
BM(file): files/file_500K;183.019996567;185.446809161;2.426812594000012
BM(file): files/file_500K;185.451489191;187.418374784;1.9668855930000007
BM(file): files/file_500K;187.424788282;190.449415162;3.0246268799999996
BM(file): files/file_500K;190.454747035;192.75650104;2.3017540049999923
BM(file): files/file_500K;192.761649735;195.381631937;2.619982202000017
BM(file): files/file_500K;195.390363526;199.673885025;4.283521499000017
BM(file): files/file_500K;199.679498016;203.908994884;4.2294968680000125
BM(file): files/file_500K;203.919326618;206.960356217;3.041029598999984
BM(file): files/file_500K;206.964226734;210.409912512;3.445685778000012
BM(file): files/file_500K;210.418347893;212.461263972;2.0429160790000083
BM(file): files/file_500K;212.466698025;214.747353789;2.280655763999988
BM(file): files/file_500K;214.753044929;217.074406538;2.3213616090000073
BM(file): files/file_500K;217.078452053;220.307068507;3.22861645399999
BM(file): files/file_500K;220.312620138;223.169934758;2.857314620000011
BM(file): files/file_500K;223.174155648;226.200649663;3.0264940149999973
BM(file): files/file_500K;226.208102084;228.239198422;2.0310963379999976
BM(file): files/file_500K;228.243794693;230.811093635;2.5672989419999794
BM(file): files/file_500K;230.815534318;234.275963438;3.4604291199999864
BM(file): files/file_500K;234.283956115;236.815712925;2.5317568100000187
BM(file): files/file_500K;236.821436425;238.906708901;2.085272476
BM(file): files/file_500K;238.913129874;256.305616362;17.39248648800003
BM(file): files/file_500K;256.310944556;257.93237195;1.6214273940000226
BM(file): files/file_500K;257.936399782;260.894228647;2.9578288649999536
BM(file): files/file_500K;260.898638612;262.942779812;2.0441412000000128
BM(file): files/file_500K;262.946821478;265.211782629;2.2649611510000227
BM(file): files/file_500K;265.215784252;267.224493585;2.008709333000013
BM(file): files/file_500K;267.234870878;269.233905218;1.999034340000037
BM(file): files/file_500K;269.237919174;271.921584362;2.6836651879999636
BM(file): files/file_500K;271.925920699;274.148751996;2.2228312969999706
BM(file): files/file_500K;274.153600343;276.10783323;1.9542328869999892
BM(file): files/file_500K;276.114641491;279.288414786;3.1737732949999895
BM(file): files/file_500K;279.298329233;283.551591876;4.253262642999971
BM(file): files/file_500K;283.557492993;285.943411391;2.385918398000001
BM(file): files/file_500K;285.947437179;288.062980096;2.1155429169999707
BM(file): files/file_500K;288.069962275;290.987521039;2.9175587639999776
BM(file): files/file_500K;290.992750101;297.395853843;6.403103741999985
BM(file): files/file_500K;297.404782976;301.452480927;4.047697951000032
BM(file): files/file_500K;301.457533192;304.57440788;3.116874687999996
BM(file): files/file_500K;304.578469918;308.632792944;4.05432302600002
BM(file): files/file_500K;308.639282862;310.846807768;2.2075249060000033
BM(file): files/file_500K;310.850669093;314.186207892;3.3355387990000054
BM(file): files/file_500K;314.192726477;316.66211375;2.4693872729999953
BM(file): files/file_500K;316.669429683;319.405557715;2.7361280320000105
BM(file): files/file_500K;319.409542293;321.373696768;1.9641544749999866
BM(file): files/file_500K;321.377877599;323.578329174;2.2004515749999882
BM(file): files/file_500K;323.582312876;331.230842413;7.648529537000002
BM(file): files/file_500K;331.236567232;333.654438697;2.417871464999962
BM(file): files/file_500K;333.65863182;335.797365826;2.138734005999993
BM(file): files/file_500K;335.801578782;339.158657386;3.357078604000037
BM(file): files/file_500K;339.165237721;343.181678432;4.01644071100003
BM(file): files/file_500K;343.189737504;346.066275511;2.876538007000022
BM(file): files/file_500K;346.070080584;348.764825771;2.6947451870000236
BM(file): files/file_500K;348.769475611;351.352325998;2.5828503870000077
BM(file): files/file_500K;351.356192322;353.980750082;2.624557759999959
BM(file): files/file_500K;353.988108015;356.500677269;2.5125692539999704
BM(file): files/file_500K;356.50584241;359.969327136;3.46348472599999
BM(file): files/file_500K;359.987166813;362.482950633;2.4957838199999856
BM(file): files/file_500K;362.487199173;364.571570686;2.084371512999951
BM(file): files/file_500K;364.576853038;367.771302082;3.1944490439999527
BM(file): files/file_500K;367.776333596;369.946983171;2.170649575000027
BM(file): files/file_500K;369.951806555;372.960152162;3.008345606999967
BM(file): files/file_500K;372.96452758;375.662910213;2.6983826329999943
BM(file): files/file_500K;375.670818281;378.543724889;2.872906607999994
BM(file): files/file_500K;378.552957567;380.344971874;1.792014306999988
BM(file): files/file_500K;380.34919008;383.143607874;2.794417793999969
BM(file): files/file_500K;383.148132961;384.893524115;1.7453911540000036
BM(file): files/file_500K;384.897668153;387.164737462;2.2670693090000213
BM(file): files/file_500K;387.169957604;390.282967635;3.1130100309999875
