Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2se2dd7099 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_5M;43985.15245472;43986.741570344;1.5891156239958946
BM(file): files/file_5M;43986.748230456;43987.961088086;1.2128576299946872
BM(file): files/file_5M;43987.964952377;43989.224473877;1.259521500003757
BM(file): files/file_5M;43989.232401878;43990.688200921;1.4557990430039354
BM(file): files/file_5M;43990.694262361;43991.940640014;1.2463776529984898
BM(file): files/file_5M;43991.944605514;43993.109887224;1.1652817100039101
BM(file): files/file_5M;43993.116103415;43994.367943252;1.251839837001171
BM(file): files/file_5M;43994.374446155;43995.558150602;1.1837044470012188
BM(file): files/file_5M;43995.564889966;43996.793314181;1.2284242149980855
BM(file): files/file_5M;43996.799607581;43997.964222077;1.1646144959959202
BM(file): files/file_5M;43997.972681375;43999.216708173;1.244026797998231
BM(file): files/file_5M;43999.221506974;44000.382921395;1.1614144210034283
BM(file): files/file_5M;44000.38999522;44001.645580143;1.2555849229975138
BM(file): files/file_5M;44001.650156691;44002.881943819;1.2317871279956307
BM(file): files/file_5M;44002.887683797;44004.035806495;1.1481226979958592
BM(file): files/file_5M;44004.039753162;44005.288344636;1.248591474002751
BM(file): files/file_5M;44005.293706235;44006.484364053;1.1906578179987264
BM(file): files/file_5M;44006.492316221;44007.765593583;1.273277361993678
BM(file): files/file_5M;44007.771239518;44008.911992015;1.140752496998175
BM(file): files/file_5M;44008.916232268;44010.159623398;1.2433911300031468
BM(file): files/file_5M;44010.163719941;44011.319502515;1.1557825739946566
BM(file): files/file_5M;44011.324577694;44012.592315625;1.2677379309971002
BM(file): files/file_5M;44012.598806944;44013.75796468;1.1591577360013616
BM(file): files/file_5M;44013.762392311;44015.020640392;1.2582480810015113
BM(file): files/file_5M;44015.024469474;44016.172653594;1.1481841200002236
BM(file): files/file_5M;44016.177781315;44017.422910091;1.2451287760050036
BM(file): files/file_5M;44017.427386097;44018.671732449;1.244346352003049
BM(file): files/file_5M;44018.676836753;44019.822451931;1.1456151780002983
BM(file): files/file_5M;44019.827122605;44021.051424078;1.2243014730047435
BM(file): files/file_5M;44021.056269171;44022.213177845;1.1569086739982595
BM(file): files/file_5M;44022.217643101;44023.457357196;1.2397140949979075
BM(file): files/file_5M;44023.46219279;44024.625095694;1.1629029039977468
BM(file): files/file_5M;44024.629239905;44025.869154379;1.2399144739974872
BM(file): files/file_5M;44025.873190505;44027.016374785;1.143184280001151
BM(file): files/file_5M;44027.020355535;44028.261436565;1.2410810299988952
BM(file): files/file_5M;44028.266401617;44029.394144192;1.1277425750013208
BM(file): files/file_5M;44029.399204746;44030.669212167;1.2700074210006278
BM(file): files/file_5M;44030.672817497;44031.916534805;1.2437173080033972
BM(file): files/file_5M;44031.920867685;44033.067764589;1.1468969039997319
BM(file): files/file_5M;44033.071553796;44034.318077094;1.2465232980030123
BM(file): files/file_5M;44034.32269881;44035.543921589;1.2212227790005272
BM(file): files/file_5M;44035.551473961;44036.838565524;1.2870915629973751
BM(file): files/file_5M;44036.843127906;44038.0029997;1.1598717939996277
BM(file): files/file_5M;44038.007660625;44039.266167135;1.258506509999279
BM(file): files/file_5M;44039.271163064;44040.457718434;1.1865553700044984
BM(file): files/file_5M;44040.463329661;44041.690542297;1.2272126360039692
BM(file): files/file_5M;44041.694964761;44043.309524644;1.6145598829971277
BM(file): files/file_5M;44043.314184694;44044.607768329;1.2935836350006866
BM(file): files/file_5M;44044.61186754;44045.753660061;1.1417925209971145
BM(file): files/file_5M;44045.757377934;44047.009154084;1.2517761499984772
BM(file): files/file_5M;44047.018814104;44048.263871933;1.2450578290008707
BM(file): files/file_5M;44048.267978852;44049.406423214;1.1384443619972444
BM(file): files/file_5M;44049.410378048;44050.653184437;1.2428063889965415
BM(file): files/file_5M;44050.658344742;44051.79378349;1.1354387480023433
BM(file): files/file_5M;44051.797777491;44053.035297908;1.237520416994812
BM(file): files/file_5M;44053.039204075;44054.182082153;1.1428780779970111
BM(file): files/file_5M;44054.188117092;44055.424277496;1.2361604039979284
BM(file): files/file_5M;44055.430756607;44056.579972753;1.149216146004619
BM(file): files/file_5M;44056.58407388;44057.823918074;1.2398441939949407
BM(file): files/file_5M;44057.827836865;44058.974558027;1.1467211620038142
BM(file): files/file_5M;44058.979397871;44060.215321899;1.2359240279984078
BM(file): files/file_5M;44060.219424443;44061.345300509;1.1258760659984546
BM(file): files/file_5M;44061.35109007;44062.615256442;1.2641663719987264
BM(file): files/file_5M;44062.619295235;44063.848905406;1.2296101709944196
BM(file): files/file_5M;44063.854369089;44065.004822793;1.1504537040018477
BM(file): files/file_5M;44065.009213339;44066.247143433;1.237930094001058
BM(file): files/file_5M;44066.253151705;44067.380521414;1.1273697090000496
BM(file): files/file_5M;44067.386860857;44068.641775132;1.2549142749994644
BM(file): files/file_5M;44068.647309274;44069.797223266;1.1499139920051675
BM(file): files/file_5M;44069.801779981;44071.11612714;1.314347159001045
BM(file): files/file_5M;44071.125477823;44072.306218518;1.1807406950028962
BM(file): files/file_5M;44072.31182937;44073.582866318;1.2710369479973451
BM(file): files/file_5M;44073.58770312;44074.754901297;1.167198176997772
BM(file): files/file_5M;44074.75924401;44076.018572252;1.2593282419984462
BM(file): files/file_5M;44076.023172217;44077.281299905;1.2581276880009682
BM(file): files/file_5M;44077.287744641;44078.445989432;1.1582447910041083
BM(file): files/file_5M;44078.450612773;44079.758401532;1.3077887590043247
BM(file): files/file_5M;44079.762840621;44080.973397804;1.2105571830034023
BM(file): files/file_5M;44080.978686027;44082.227794912;1.2491088850001688
BM(file): files/file_5M;44082.232087666;44083.369189567;1.1371019009966403
BM(file): files/file_5M;44083.374649584;44084.61925063;1.2446010459971149
BM(file): files/file_5M;44084.625899284;44085.777922928;1.1520236439973814
BM(file): files/file_5M;44085.782572478;44087.039341155;1.2567686770053115
BM(file): files/file_5M;44087.043705576;44088.208546733;1.164841157005867
BM(file): files/file_5M;44088.213526869;44089.447096925;1.233570055999735
BM(file): files/file_5M;44089.45131572;44090.695519681;1.2442039610032225
BM(file): files/file_5M;44090.700271315;44091.838615316;1.1383440010031336
BM(file): files/file_5M;44091.843554868;44093.106906284;1.2633514160042978
BM(file): files/file_5M;44093.111863587;44094.269983341;1.1581197539999266
BM(file): files/file_5M;44094.275611526;44095.543150196;1.2675386699993396
BM(file): files/file_5M;44095.547667994;44096.753850344;1.206182350004383
BM(file): files/file_5M;44096.758355725;44098.394820993;1.6364652680058498
BM(file): files/file_5M;44098.400805473;44099.769177885;1.3683724119982799
BM(file): files/file_5M;44099.778112981;44101.168674838;1.3905618569988292
