Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s8075757e --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_5M;45292.264609339;45294.082382819;1.8177734799974132
BM(file): files/file_5M;45294.089148267;45296.339451828;2.250303560998873
BM(file): files/file_5M;45296.344562092;45297.497271982;1.1527098899969133
BM(file): files/file_5M;45297.503613467;45299.131468441;1.6278549740018207
BM(file): files/file_5M;45299.138187472;45301.71561402;2.5774265479994938
BM(file): files/file_5M;45301.720944619;45303.255263959;1.5343193399967276
BM(file): files/file_5M;45303.259550797;45304.430170339;1.1706195419974392
BM(file): files/file_5M;45304.437264707;45305.995631473;1.5583667660030187
BM(file): files/file_5M;45306.000627402;45308.245499155;2.2448717529987334
BM(file): files/file_5M;45308.250502043;45310.012074042;1.7615719989989884
BM(file): files/file_5M;45310.017139847;45312.380786507;2.363646660000086
BM(file): files/file_5M;45312.385101886;45314.654412154;2.2693102679986623
BM(file): files/file_5M;45314.668210344;45316.121683146;1.4534728019934846
BM(file): files/file_5M;45316.127184289;45320.13554223;4.008357940998394
BM(file): files/file_5M;45320.14060116;45321.89860233;1.758001170004718
BM(file): files/file_5M;45321.902698249;45324.653410334;2.7507120849986677
BM(file): files/file_5M;45324.662556849;45326.949158679;2.286601830004656
BM(file): files/file_5M;45326.957475769;45328.796497646;1.8390218770000502
BM(file): files/file_5M;45328.801089237;45332.046644494;3.2455552570027066
BM(file): files/file_5M;45332.051764424;45333.451357604;1.3995931799945538
BM(file): files/file_5M;45333.455716484;45336.937459664;3.481743179996556
BM(file): files/file_5M;45336.944178903;45339.347833038;2.4036541349996696
BM(file): files/file_5M;45339.352621173;45340.799176276;1.446555103000719
BM(file): files/file_5M;45340.803439947;45342.257274836;1.4538348890055204
BM(file): files/file_5M;45342.26333911;45343.867685624;1.6043465139955515
BM(file): files/file_5M;45343.871726959;45346.155690386;2.2839634269985254
BM(file): files/file_5M;45346.159684846;45347.467652788;1.307967941997049
BM(file): files/file_5M;45347.471669373;45348.940788219;1.4691188459983096
BM(file): files/file_5M;45348.951582127;45351.327872218;2.3762900909932796
BM(file): files/file_5M;45351.334125452;45353.290932767;1.956807315000333
BM(file): files/file_5M;45353.295975738;45355.424401364;2.128425625996897
BM(file): files/file_5M;45355.429233916;45357.078747042;1.6495131259944174
BM(file): files/file_5M;45357.082942129;45358.802066923;1.7191247940063477
BM(file): files/file_5M;45358.806101174;45360.932176858;2.1260756839983515
BM(file): files/file_5M;45360.936301819;45363.146547161;2.2102453420011443
BM(file): files/file_5M;45363.152064137;45365.139689994;1.9876258570002392
BM(file): files/file_5M;45365.143541994;45367.485777009;2.34223501499946
BM(file): files/file_5M;45367.490194223;45370.122626244;2.632432021004206
BM(file): files/file_5M;45370.126522328;45373.010335394;2.8838130660005845
BM(file): files/file_5M;45373.014466106;45375.994827547;2.9803614410047885
BM(file): files/file_5M;45375.999228636;45378.378691304;2.379462668002816
BM(file): files/file_5M;45378.383477313;45379.787732545;1.4042552320024697
BM(file): files/file_5M;45379.792151843;45381.648768745;1.8566169019977679
BM(file): files/file_5M;45381.652996041;45383.534279627;1.8812835860007908
BM(file): files/file_5M;45383.538988469;45385.142315723;1.6033272540007601
BM(file): files/file_5M;45385.147729531;45387.357799456;2.2100699249931495
BM(file): files/file_5M;45387.366343589;45389.226599407;1.860255817999132
BM(file): files/file_5M;45389.231924381;45391.28729572;2.0553713390036137
BM(file): files/file_5M;45391.291324472;45393.881551039;2.590226567001082
BM(file): files/file_5M;45393.885774251;45395.708849668;1.8230754169999273
BM(file): files/file_5M;45395.715739659;45397.868713259;2.1529736000011326
BM(file): files/file_5M;45397.875747793;45400.78046192;2.904714127005718
BM(file): files/file_5M;45400.78525818;45403.154457572;2.369199392000155
BM(file): files/file_5M;45403.158799744;45405.399936546;2.2411368019966176
BM(file): files/file_5M;45405.404459761;45408.604855286;3.2003955250038416
BM(file): files/file_5M;45408.609950091;45410.327336702;1.7173866110024392
BM(file): files/file_5M;45410.333223515;45412.066302837;1.7330793220025953
BM(file): files/file_5M;45412.073137494;45413.829842612;1.756705118001264
BM(file): files/file_5M;45413.834979375;45416.384799175;2.5498197999986587
BM(file): files/file_5M;45416.388710217;45417.836168999;1.4474587820004672
BM(file): files/file_5M;45417.840674797;45420.374565883;2.533891086000949
BM(file): files/file_5M;45420.380634574;45422.998464815;2.6178302409971366
BM(file): files/file_5M;45423.006080897;45424.435594111;1.4295132139959605
BM(file): files/file_5M;45424.439977117;45426.779488023;2.339510906000214
BM(file): files/file_5M;45426.784674329;45428.133374212;1.3486998829976073
BM(file): files/file_5M;45428.137735884;45431.00648425;2.868748365995998
BM(file): files/file_5M;45431.011408553;45433.158820803;2.147412250000343
BM(file): files/file_5M;45433.16331506;45435.183829025;2.020513964998827
BM(file): files/file_5M;45435.187898361;45436.81968459;1.631786229001591
BM(file): files/file_5M;45436.824167305;45439.614543868;2.7903765630035195
BM(file): files/file_5M;45439.619334044;45442.07181792;2.4524838759971317
BM(file): files/file_5M;45442.077357771;45444.526280025;2.4489222539996263
BM(file): files/file_5M;45444.532669344;45446.791977385;2.2593080410006223
BM(file): files/file_5M;45446.79730536;45448.588804646;1.791499286002363
BM(file): files/file_5M;45448.59378095;45450.104754876;1.510973926000588
BM(file): files/file_5M;45450.10870171;45452.884169154;2.775467444000242
BM(file): files/file_5M;45452.889657297;45455.43441971;2.5447624130029
BM(file): files/file_5M;45455.438216834;45457.519924669;2.081707835000998
BM(file): files/file_5M;45457.523903878;45459.127638806;1.6037349280013586
BM(file): files/file_5M;45459.131696933;45460.449374733;1.3176777999979095
BM(file): files/file_5M;45460.453630237;45462.128926478;1.6752962409955217
BM(file): files/file_5M;45462.132942355;45463.62747623;1.494533875003981
BM(file): files/file_5M;45463.632325949;45465.447711618;1.8153856689968961
BM(file): files/file_5M;45465.451456075;45467.325664921;1.8742088459985098
BM(file): files/file_5M;45467.329682173;45468.676546913;1.3468647400004556
BM(file): files/file_5M;45468.680708208;45471.545328865;2.864620657004707
BM(file): files/file_5M;45471.549486701;45473.270657563;1.7211708620015997
BM(file): files/file_5M;45473.278035101;45475.191434161;1.9133990600021207
BM(file): files/file_5M;45475.196281755;45478.340827391;3.144545636001567
BM(file): files/file_5M;45478.344819351;45481.382350082;3.0375307310023345
BM(file): files/file_5M;45481.386433085;45483.953561032;2.5671279470043373
BM(file): files/file_5M;45483.95754645;45486.284189762;2.3266433120006695
BM(file): files/file_5M;45486.290409246;45489.402828827;3.1124195809970843
BM(file): files/file_5M;45489.407157249;45491.807149227;2.399991978003527
