Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s32668d96 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;16720.220500929;16744.6162878;24.395786870998563
BM(file): files/file_10M;16744.622698147;16768.255437126;23.63273897900217
BM(file): files/file_10M;16768.260852132;16792.179737811;23.918885678998777
BM(file): files/file_10M;16792.184882774;16815.85412339;23.669240616000025
BM(file): files/file_10M;16815.860656367;16839.753604402;23.89294803500161
BM(file): files/file_10M;16839.758894743;16863.867487347;24.10859260399957
BM(file): files/file_10M;16863.87280523;16888.1784972;24.305691969999316
BM(file): files/file_10M;16888.18390921;16911.940885295;23.756976084998314
BM(file): files/file_10M;16911.946281014;16936.191994401;24.24571338700116
BM(file): files/file_10M;16936.197233619;16960.152098745;23.954865125997458
BM(file): files/file_10M;16960.1576573;16984.076986282;23.919328982003208
BM(file): files/file_10M;16984.082354961;17007.83499042;23.752635459000885
BM(file): files/file_10M;17007.840710103;17031.628749063;23.78803895999954
BM(file): files/file_10M;17031.634129827;17055.986321102;24.352191274996585
BM(file): files/file_10M;17055.991746242;17080.192159887;24.200413644997752
BM(file): files/file_10M;17080.198378076;17103.837552808;23.639174732001266
BM(file): files/file_10M;17103.843462286;17127.907732971;24.064270685001247
BM(file): files/file_10M;17127.915484595;17151.601130673;23.68564607799999
BM(file): files/file_10M;17151.607131945;17175.553805067;23.946673122001812
BM(file): files/file_10M;17175.559767173;17199.523432258;23.963665085000684
BM(file): files/file_10M;17199.529765701;17223.547134696;24.017368994998833
BM(file): files/file_10M;17223.552355753;17247.528526802;23.976171049002005
BM(file): files/file_10M;17247.534827496;17271.69731852;24.162491023998882
BM(file): files/file_10M;17271.703268669;17295.69508543;23.991816761001246
BM(file): files/file_10M;17295.700859453;17319.51820206;23.817342606998864
BM(file): files/file_10M;17319.523401826;17343.887964964;24.36456313799863
BM(file): files/file_10M;17343.89337765;17367.543872298;23.65049464799813
BM(file): files/file_10M;17367.548944397;17391.327092262;23.778147864999482
BM(file): files/file_10M;17391.332925203;17415.65838313;24.32545792699966
BM(file): files/file_10M;17415.66427303;17439.709578708;24.04530567799884
BM(file): files/file_10M;17439.715135563;17464.13679082;24.421655256999657
BM(file): files/file_10M;17464.14271518;17488.319071593;24.176356412997848
BM(file): files/file_10M;17488.324358112;17511.980462024;23.656103911998798
BM(file): files/file_10M;17511.986187048;17536.301676554;24.31548950599972
BM(file): files/file_10M;17536.316265223;17560.382479582;24.066214359001606
BM(file): files/file_10M;17560.389241869;17584.380156951;23.990915081998537
BM(file): files/file_10M;17584.385349594;17608.65013521;24.264785616000154
BM(file): files/file_10M;17608.655399397;17632.725130602;24.069731204999698
BM(file): files/file_10M;17632.730567582;17656.92136419;24.1907966079998
BM(file): files/file_10M;17656.928107019;17680.663145278;23.73503825899752
BM(file): files/file_10M;17680.668294214;17704.257522618;23.589228404001915
BM(file): files/file_10M;17704.262839597;17728.713868024;24.451028426999983
BM(file): files/file_10M;17728.719156795;17752.805885464;24.086728669000877
BM(file): files/file_10M;17752.811375904;17777.209105087;24.397729183001502
BM(file): files/file_10M;17777.21435594;17800.928589879;23.714233939001133
BM(file): files/file_10M;17800.933842983;17825.145089589;24.211246606002533
BM(file): files/file_10M;17825.151411081;17849.171648134;24.020237053002347
BM(file): files/file_10M;17849.177434703;17872.973390603;23.79595590000099
BM(file): files/file_10M;17872.979368883;17896.911425566;23.932056682999246
BM(file): files/file_10M;17896.917175468;17920.889640443;23.972464975002367
