Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s738da6c9 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;5070.012827773;5071.177898978;1.165071204999549
BM(file): files/file_1M;5071.185584128;5072.347684428;1.16210030000002
BM(file): files/file_1M;5072.358154478;5073.550230494;1.192076016000101
BM(file): files/file_1M;5073.553645858;5074.858745446;1.305099588000303
BM(file): files/file_1M;5074.861835015;5075.99177881;1.1299437950001447
BM(file): files/file_1M;5075.995183507;5077.231281479;1.2360979720006071
BM(file): files/file_1M;5077.23577981;5078.466674524;1.2308947139999873
BM(file): files/file_1M;5078.469858094;5079.618695958;1.1488378639996881
BM(file): files/file_1M;5079.62359196;5080.889407595;1.2658156349998535
BM(file): files/file_1M;5080.892519914;5082.204513033;1.3119931189994531
BM(file): files/file_1M;5082.20755806;5083.367906387;1.1603483270000652
BM(file): files/file_1M;5083.372736221;5084.578140271;1.2054040499997427
BM(file): files/file_1M;5084.581679719;5085.963422182;1.3817424629996822
BM(file): files/file_1M;5085.966816087;5087.105592212;1.1387761250007316
BM(file): files/file_1M;5087.109618748;5088.273633381;1.164014633000079
BM(file): files/file_1M;5088.276560115;5089.429962026;1.1534019109994915
BM(file): files/file_1M;5089.433964853;5090.773775263;1.3398104099997
BM(file): files/file_1M;5090.777073;5091.910706813;1.1336338129995056
BM(file): files/file_1M;5091.91357188;5093.095281692;1.1817098120000082
BM(file): files/file_1M;5093.098338677;5094.418175898;1.3198372209999434
BM(file): files/file_1M;5094.422080141;5095.563742761;1.1416626199998063
BM(file): files/file_1M;5095.567435085;5096.735511682;1.1680765969995264
BM(file): files/file_1M;5096.740594601;5098.032980652;1.292386050999994
BM(file): files/file_1M;5098.036787185;5099.188470048;1.1516828630001328
BM(file): files/file_1M;5099.191486991;5100.343583436;1.1520964450000974
BM(file): files/file_1M;5100.347187967;5101.689482438;1.3422944710000593
BM(file): files/file_1M;5101.694818234;5102.83050832;1.1356900860000678
BM(file): files/file_1M;5102.834839524;5103.976329532;1.1414900079998915
BM(file): files/file_1M;5103.97921639;5105.203322861;1.2241064709996863
BM(file): files/file_1M;5105.206322887;5106.477609888;1.2712870010000188
BM(file): files/file_1M;5106.480883209;5107.616798822;1.1359156130001793
BM(file): files/file_1M;5107.621253444;5108.824351469;1.2030980250001448
BM(file): files/file_1M;5108.827703915;5110.146397064;1.3186931489999552
BM(file): files/file_1M;5110.149585133;5111.382517242;1.232932109000103
BM(file): files/file_1M;5111.386531652;5112.760451519;1.3739198670000405
BM(file): files/file_1M;5112.76380809;5114.0865043;1.3226962100006858
BM(file): files/file_1M;5114.090462585;5115.243769156;1.15330657100003
BM(file): files/file_1M;5115.248811867;5116.455171935;1.206360068000322
BM(file): files/file_1M;5116.45782625;5117.74119573;1.2833694800001467
BM(file): files/file_1M;5117.7444928;5118.887689397;1.1431965969995872
BM(file): files/file_1M;5118.893648074;5120.078281609;1.1846335350001027
BM(file): files/file_1M;5120.082132809;5121.364578893;1.2824460840001848
BM(file): files/file_1M;5121.369016723;5122.575801607;1.2067848840006263
BM(file): files/file_1M;5122.579665474;5123.737562265;1.1578967909999847
BM(file): files/file_1M;5123.741866469;5124.938313589;1.1964471199999025
BM(file): files/file_1M;5124.942870462;5126.271606677;1.3287362149994806
BM(file): files/file_1M;5126.274593953;5127.400070911;1.1254769580000357
BM(file): files/file_1M;5127.403162896;5128.622144073;1.2189811769994776
BM(file): files/file_1M;5128.624849888;5129.889521954;1.264672065999548
BM(file): files/file_1M;5129.895718091;5131.046682882;1.1509647909997511
BM(file): files/file_1M;5131.049895618;5132.222258589;1.1723629710004388
BM(file): files/file_1M;5132.225801995;5133.536879572;1.311077576999196
BM(file): files/file_1M;5133.539994349;5134.668383267;1.128388917999473
BM(file): files/file_1M;5134.673669646;5135.848846921;1.1751772749994416
BM(file): files/file_1M;5135.852254534;5137.204897498;1.3526429639996422
BM(file): files/file_1M;5137.208384111;5138.332667691;1.1242835800003377
BM(file): files/file_1M;5138.336783934;5139.510124515;1.1733405810000477
BM(file): files/file_1M;5139.513710379;5140.708184429;1.1944740499993713
BM(file): files/file_1M;5140.711570666;5142.006846578;1.2952759119998518
BM(file): files/file_1M;5142.010073356;5143.152752453;1.1426790969999274
BM(file): files/file_1M;5143.15748366;5144.385189108;1.2277054480000515
BM(file): files/file_1M;5144.389950191;5145.65270981;1.262759618999553
BM(file): files/file_1M;5145.655639044;5146.807895378;1.1522563339995031
BM(file): files/file_1M;5146.811989663;5148.00509822;1.1931085570004143
BM(file): files/file_1M;5148.009067629;5149.307216455;1.2981488260002152
BM(file): files/file_1M;5149.310103605;5150.443158389;1.1330547839997962
BM(file): files/file_1M;5150.446243123;5151.646105225;1.1998621019993152
BM(file): files/file_1M;5151.649168085;5152.948340616;1.2991725309993853
BM(file): files/file_1M;5152.951302724;5154.09658381;1.1452810860000682
BM(file): files/file_1M;5154.100598553;5155.265844639;1.16524608599957
BM(file): files/file_1M;5155.268983624;5156.480897938;1.211914314000751
BM(file): files/file_1M;5156.485416227;5157.773295977;1.2878797499997745
BM(file): files/file_1M;5157.777740265;5158.946223451;1.1684831860002305
BM(file): files/file_1M;5158.94960848;5160.156505656;1.206897175999984
BM(file): files/file_1M;5160.159273472;5161.473920938;1.3146474660006788
BM(file): files/file_1M;5161.476511668;5162.624472042;1.147960373999922
BM(file): files/file_1M;5162.627377108;5163.82335443;1.1959773220005445
BM(file): files/file_1M;5163.825924577;5165.104783226;1.27885864900054
BM(file): files/file_1M;5165.10938839;5166.257657214;1.1482688239993877
BM(file): files/file_1M;5166.261342995;5167.457616641;1.1962736460000087
BM(file): files/file_1M;5167.46041804;5168.720633226;1.2602151860000959
BM(file): files/file_1M;5168.723185956;5169.905415391;1.1822294350004086
BM(file): files/file_1M;5169.91060331;5171.072761863;1.162158553000154
BM(file): files/file_1M;5171.075818805;5172.3472807;1.2714618949994474
BM(file): files/file_1M;5172.349873347;5173.561826815;1.2119534680005017
BM(file): files/file_1M;5173.568365496;5174.71962107;1.1512555740000607
BM(file): files/file_1M;5174.724169275;5175.914934681;1.1907654059996275
BM(file): files/file_1M;5175.918605045;5177.249713097;1.3311080519997631
BM(file): files/file_1M;5177.252993;5178.382522795;1.1295297950000531
BM(file): files/file_1M;5178.385610946;5179.6373949;1.2517839539996203
BM(file): files/file_1M;5179.640589552;5180.947859889;1.3072703369998635
BM(file): files/file_1M;5180.951041291;5182.106783673;1.1557423819995165
BM(file): files/file_1M;5182.110337453;5183.400320969;1.2899835159996655
BM(file): files/file_1M;5183.403347244;5184.711412867;1.3080656230004024
