Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sa2b9031a --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;6232.984472722;6234.197185263;1.2127125410006556
BM(file): files/file_1M;6234.205250398;6235.412800997;1.20755059899966
BM(file): files/file_1M;6235.426456076;6236.755084745;1.3286286689999542
BM(file): files/file_1M;6236.758421419;6237.94731746;1.1888960409996798
BM(file): files/file_1M;6237.95193221;6239.153408922;1.2014767119999306
BM(file): files/file_1M;6239.1597138;6240.446084752;1.2863709520006523
BM(file): files/file_1M;6240.449604639;6241.596276775;1.1466721359993244
BM(file): files/file_1M;6241.602600321;6242.816898487;1.214298165999935
BM(file): files/file_1M;6242.819783356;6244.040750281;1.220966925000539
BM(file): files/file_1M;6244.045550786;6245.409672294;1.3641215080006077
BM(file): files/file_1M;6245.413640817;6246.618423415;1.204782597999838
BM(file): files/file_1M;6246.621855632;6247.857765185;1.235909553000056
BM(file): files/file_1M;6247.864174482;6249.198074525;1.3339000430005399
BM(file): files/file_1M;6249.201692913;6250.38535247;1.1836595569993733
BM(file): files/file_1M;6250.388737477;6251.63344241;1.2447049329994115
BM(file): files/file_1M;6251.637552811;6252.938289814;1.3007370029999947
BM(file): files/file_1M;6252.941849242;6254.130932061;1.1890828189998501
BM(file): files/file_1M;6254.133755969;6255.389109414;1.2553534449998551
BM(file): files/file_1M;6255.391934197;6256.699096551;1.3071623539999564
BM(file): files/file_1M;6256.702827233;6257.876490797;1.1736635639999804
BM(file): files/file_1M;6257.882335368;6259.099653252;1.2173178840002947
BM(file): files/file_1M;6259.102453118;6260.475163342;1.3727102240000022
BM(file): files/file_1M;6260.47840676;6261.667812686;1.189405925999381
BM(file): files/file_1M;6261.670566258;6262.880933151;1.210366893000355
BM(file): files/file_1M;6262.885346684;6264.150735188;1.2653885039999295
BM(file): files/file_1M;6264.1537391;6265.500426972;1.346687872000075
BM(file): files/file_1M;6265.506128205;6266.767625587;1.261497382000016
BM(file): files/file_1M;6266.771197472;6268.059183334;1.2879858620008235
BM(file): files/file_1M;6268.063548865;6269.393583022;1.3300341570002274
BM(file): files/file_1M;6269.396738229;6270.587620247;1.1908820179996837
BM(file): files/file_1M;6270.591098671;6271.87327515;1.2821764790005545
BM(file): files/file_1M;6271.877992023;6273.211207115;1.3332150920005006
BM(file): files/file_1M;6273.215594312;6274.415603306;1.2000089940002
BM(file): files/file_1M;6274.418364836;6275.639951848;1.2215870119998726
BM(file): files/file_1M;6275.644548342;6276.979279656;1.3347313139993275
BM(file): files/file_1M;6276.982537449;6278.194458455;1.2119210060000114
BM(file): files/file_1M;6278.198296512;6279.403142288;1.2048457760001838
BM(file): files/file_1M;6279.406198033;6280.787949076;1.3817510429998947
BM(file): files/file_1M;6280.790939278;6281.974900303;1.1839610249999168
BM(file): files/file_1M;6281.978340725;6283.17855417;1.2002134450003723
BM(file): files/file_1M;6283.182578773;6284.449568926;1.2669901529998242
BM(file): files/file_1M;6284.452485459;6285.764690809;1.312205350000113
BM(file): files/file_1M;6285.767904475;6287.006662606;1.2387581309994857
BM(file): files/file_1M;6287.009695475;6288.241327213;1.2316317380000328
BM(file): files/file_1M;6288.244812385;6289.605639663;1.3608272780002153
BM(file): files/file_1M;6289.611832446;6290.777873044;1.1660405980001087
BM(file): files/file_1M;6290.781402759;6292.049101074;1.2676983149995067
BM(file): files/file_1M;6292.052640372;6293.395554756;1.3429143840003235
BM(file): files/file_1M;6293.399210932;6294.613413667;1.2142027350000717
BM(file): files/file_1M;6294.617742527;6295.82849705;1.210754523000105
BM(file): files/file_1M;6295.831649463;6297.164596246;1.3329467829998976
BM(file): files/file_1M;6297.168454177;6298.376181117;1.2077269399997022
BM(file): files/file_1M;6298.381468792;6299.655215315;1.2737465229993177
BM(file): files/file_1M;6299.659801056;6300.942501344;1.282700288000342
BM(file): files/file_1M;6300.94562684;6302.204299895;1.2586730550001448
BM(file): files/file_1M;6302.207435473;6303.418909378;1.211473904999366
BM(file): files/file_1M;6303.425708465;6304.664860941;1.2391524760005268
BM(file): files/file_1M;6304.669053879;6305.971151807;1.3020979279999665
BM(file): files/file_1M;6305.974557809;6307.173784242;1.199226433000149
BM(file): files/file_1M;6307.178679656;6308.44356106;1.2648814040003344
BM(file): files/file_1M;6308.447573118;6309.781834585;1.334261467000033
BM(file): files/file_1M;6309.78665683;6310.969949197;1.1832923669999218
BM(file): files/file_1M;6310.975349832;6312.184907064;1.2095572320004067
BM(file): files/file_1M;6312.18891583;6313.57016674;1.3812509099998351
BM(file): files/file_1M;6313.573198566;6314.758210226;1.1850116599998728
BM(file): files/file_1M;6314.761430806;6315.970692822;1.2092620160001388
BM(file): files/file_1M;6315.974427331;6317.31236853;1.3379411989999426
BM(file): files/file_1M;6317.316753139;6318.506428417;1.1896752780003226
BM(file): files/file_1M;6318.509819959;6319.734686985;1.2248670259996288
BM(file): files/file_1M;6319.738235239;6320.945424873;1.207189634000315
BM(file): files/file_1M;6320.951382186;6322.29088316;1.3395009739997477
BM(file): files/file_1M;6322.294965427;6323.501055032;1.2060896050006704
BM(file): files/file_1M;6323.506415539;6324.792703989;1.2862884500000291
BM(file): files/file_1M;6324.796553584;6326.110882346;1.3143287619996045
BM(file): files/file_1M;6326.114293554;6327.297821109;1.1835275550001825
BM(file): files/file_1M;6327.302144798;6328.551304376;1.2491595780002172
BM(file): files/file_1M;6328.55417153;6329.90684626;1.352674730000217
BM(file): files/file_1M;6329.9098445;6331.099639174;1.1897946740000407
BM(file): files/file_1M;6331.10457196;6332.414193258;1.309621297999911
BM(file): files/file_1M;6332.418606157;6333.716943678;1.2983375209996666
BM(file): files/file_1M;6333.720988068;6334.901721942;1.1807338739999977
BM(file): files/file_1M;6334.90497348;6336.131303257;1.2263297769995916
BM(file): files/file_1M;6336.135364189;6337.47885509;1.343490901000223
BM(file): files/file_1M;6337.481829995;6338.673555601;1.1917256059996362
BM(file): files/file_1M;6338.676288084;6339.907634485;1.2313464010003372
BM(file): files/file_1M;6339.911392992;6341.179131107;1.2677381149997018
BM(file): files/file_1M;6341.183166079;6342.511341851;1.3281757719996676
BM(file): files/file_1M;6342.515430033;6343.742462081;1.2270320480001828
BM(file): files/file_1M;6343.745866163;6345.010242821;1.2643766580004012
BM(file): files/file_1M;6345.013519733;6346.32759258;1.3140728469998066
BM(file): files/file_1M;6346.333056127;6347.566306536;1.233250408999993
BM(file): files/file_1M;6347.573582668;6348.8616786;1.288095932000033
BM(file): files/file_1M;6348.866832682;6350.125567247;1.2587345649999406
BM(file): files/file_1M;6350.12958301;6351.343828512;1.2142455020002672
