Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s451dd5ea --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;8603.197909836;8605.202193345;2.004283508998924
BM(file): files/file_1M;8605.208354203;8607.149364419;1.9410102159999951
BM(file): files/file_1M;8607.164073186;8609.188776359;2.0247031729995797
BM(file): files/file_1M;8609.191772788;8611.091736005;1.8999632169998222
BM(file): files/file_1M;8611.096307065;8612.942961605;1.8466545400005998
BM(file): files/file_1M;8612.946969496;8614.869395877;1.9224263809992408
BM(file): files/file_1M;8614.872595265;8616.661601101;1.789005835998978
BM(file): files/file_1M;8616.669687258;8618.50979571;1.8401084520010045
BM(file): files/file_1M;8618.512954932;8620.43756789;1.924612957998761
BM(file): files/file_1M;8620.441400697;8622.372688012;1.931287314999281
BM(file): files/file_1M;8622.375900025;8624.320107265;1.9442072400015604
BM(file): files/file_1M;8624.32330657;8626.384974921;2.061668350999753
BM(file): files/file_1M;8626.387985767;8628.34936149;1.9613757229999464
BM(file): files/file_1M;8628.354258511;8630.230760125;1.8765016139986983
BM(file): files/file_1M;8630.236859109;8632.148380573;1.9115214640005433
BM(file): files/file_1M;8632.151328543;8634.123458301;1.9721297579999373
BM(file): files/file_1M;8634.126854107;8636.082175998;1.9553218910004944
BM(file): files/file_1M;8636.086429933;8638.106778599;2.020348665999336
BM(file): files/file_1M;8638.11019478;8640.116537842;2.0063430619993596
BM(file): files/file_1M;8640.11949998;8641.974817055;1.85531707500013
BM(file): files/file_1M;8641.97949895;8643.859222457;1.8797235069996532
BM(file): files/file_1M;8643.862295262;8645.849389769;1.9870945069997106
BM(file): files/file_1M;8645.855643963;8647.692657853;1.8370138900008897
BM(file): files/file_1M;8647.695877534;8649.816185742;2.1203082079991873
BM(file): files/file_1M;8649.819658716;8651.70213446;1.8824757439997484
BM(file): files/file_1M;8651.705722017;8653.651365034;1.9456430169993837
BM(file): files/file_1M;8653.654590465;8655.64843069;1.9938402250008949
BM(file): files/file_1M;8655.651433953;8657.568582623;1.917148669999733
BM(file): files/file_1M;8657.571765096;8659.505075123;1.9333100269996066
BM(file): files/file_1M;8659.507888261;8661.440417112;1.932528851000825
BM(file): files/file_1M;8661.443468209;8663.390919704;1.9474514949997683
BM(file): files/file_1M;8663.394799055;8665.263722438;1.868923382999128
BM(file): files/file_1M;8665.26713312;8667.153641074;1.8865079539991711
BM(file): files/file_1M;8667.156971881;8669.146821257;1.9898493759992562
BM(file): files/file_1M;8669.150374232;8671.131799023;1.9814247909998812
BM(file): files/file_1M;8671.134965288;8673.111662135;1.9766968469994026
BM(file): files/file_1M;8673.114974984;8675.062132856;1.94715787199857
BM(file): files/file_1M;8675.066217583;8677.022967576;1.956749992999903
BM(file): files/file_1M;8677.02627055;8678.953933817;1.927663266998934
BM(file): files/file_1M;8678.957338749;8680.758521625;1.8011828760008939
BM(file): files/file_1M;8680.762303309;8682.702967536;1.940664227000525
BM(file): files/file_1M;8682.706126093;8684.65590323;1.9497771369988186
BM(file): files/file_1M;8684.659590122;8686.712068946;2.0524788239999907
BM(file): files/file_1M;8686.714968502;8688.550623125;1.8356546230006643
BM(file): files/file_1M;8688.553689681;8690.461182219;1.9074925379991328
BM(file): files/file_1M;8690.465168196;8692.438161621;1.9729934249990038
BM(file): files/file_1M;8692.441055052;8694.512975361;2.0719203089993243
BM(file): files/file_1M;8694.516221169;8696.358903869;1.8426827000002959
BM(file): files/file_1M;8696.362478178;8698.242398463;1.8799202850004804
BM(file): files/file_1M;8698.245432228;8700.168312878;1.9228806500013889
BM(file): files/file_1M;8700.171423851;8702.123280467;1.9518566160004411
BM(file): files/file_1M;8702.126209981;8704.069768464;1.9435584830007429
BM(file): files/file_1M;8704.072756937;8706.02939685;1.95663991299989
BM(file): files/file_1M;8706.03412004;8707.920880226;1.8867601860001741
BM(file): files/file_1M;8707.924134325;8709.813239845;1.8891055200001574
BM(file): files/file_1M;8709.816169276;8711.776695263;1.9605259870004375
BM(file): files/file_1M;8711.781705955;8713.755153748;1.9734477929996501
BM(file): files/file_1M;8713.762144199;8715.707557968;1.9454137690008793
BM(file): files/file_1M;8715.710669692;8717.510089346;1.7994196540003031
BM(file): files/file_1M;8717.514693703;8719.360559492;1.845865789000527
BM(file): files/file_1M;8719.365326391;8721.27755871;1.9122323190003954
BM(file): files/file_1M;8721.280719559;8723.412931604;2.132212045000415
BM(file): files/file_1M;8723.415829077;8725.326822579;1.910993502000565
BM(file): files/file_1M;8725.32966476;8727.209132799;1.8794680390001304
BM(file): files/file_1M;8727.212815151;8729.156856965;1.9440418140002294
BM(file): files/file_1M;8729.160115898;8731.078656072;1.918540174001464
BM(file): files/file_1M;8731.081957006;8732.954966351;1.8730093450012646
BM(file): files/file_1M;8732.95853387;8734.87721502;1.9186811500003387
BM(file): files/file_1M;8734.879951993;8736.783812264;1.9038602710006671
BM(file): files/file_1M;8736.786700445;8738.727313269;1.9406128240007092
BM(file): files/file_1M;8738.731835334;8740.699602538;1.967767203999756
BM(file): files/file_1M;8740.70291043;8742.629525534;1.926615103999211
BM(file): files/file_1M;8742.632754092;8744.475966415;1.843212323001353
BM(file): files/file_1M;8744.478980306;8746.431772105;1.9527917989998969
BM(file): files/file_1M;8746.43606392;8748.441936778;2.0058728579988383
BM(file): files/file_1M;8748.447121389;8750.479121501;2.032000111999878
BM(file): files/file_1M;8750.48460828;8752.449559736;1.9649514560005628
BM(file): files/file_1M;8752.452925046;8754.398149136;1.9452240899991011
BM(file): files/file_1M;8754.402175991;8756.407760224;2.0055842330002633
BM(file): files/file_1M;8756.411421077;8758.302247146;1.8908260690004681
BM(file): files/file_1M;8758.30638046;8760.134747514;1.8283670539985906
BM(file): files/file_1M;8760.137955907;8762.111715975;1.9737600680000469
BM(file): files/file_1M;8762.115670205;8763.946177451;1.8305072460007068
BM(file): files/file_1M;8763.949377926;8765.787496197;1.8381182709999848
BM(file): files/file_1M;8765.791303342;8767.673991088;1.8826877459996467
BM(file): files/file_1M;8767.67715148;8769.674566708;1.9974152279992268
BM(file): files/file_1M;8769.67799806;8771.648918049;1.970919989000322
BM(file): files/file_1M;8771.653690992;8773.583855039;1.9301640470002894
BM(file): files/file_1M;8773.586998181;8775.431494287;1.8444961060013156
BM(file): files/file_1M;8775.434666471;8777.234355233;1.7996887620010966
BM(file): files/file_1M;8777.238314588;8779.214332843;1.9760182549998717
BM(file): files/file_1M;8779.218245031;8781.073176565;1.8549315340005705
BM(file): files/file_1M;8781.079633475;8782.951633171;1.8719996960007848
BM(file): files/file_1M;8782.955386483;8784.895931334;1.9405448510005954
