Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4ad18ef5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;12814.222924827;12816.087445212;1.8645203850010148
BM(file): files/file_1M;12816.093289159;12817.746888507;1.6535993479992612
BM(file): files/file_1M;12817.760336054;12819.486085576;1.7257495220001147
BM(file): files/file_1M;12819.491767276;12821.105265775;1.6134984990003431
BM(file): files/file_1M;12821.110091566;12822.730377864;1.6202862979989732
BM(file): files/file_1M;12822.734187372;12824.319776783;1.5855894110009103
BM(file): files/file_1M;12824.324753697;12825.876175801;1.5514221040011762
BM(file): files/file_1M;12825.879450689;12827.770547535;1.891096845998618
BM(file): files/file_1M;12827.773983047;12829.436905357;1.6629223100007948
BM(file): files/file_1M;12829.440552201;12831.224588746;1.7840365449992532
BM(file): files/file_1M;12831.228905668;12833.009595611;1.780689942999743
BM(file): files/file_1M;12833.0148059;12834.63514003;1.6203341299988097
BM(file): files/file_1M;12834.638692458;12836.403735758;1.7650432999998884
BM(file): files/file_1M;12836.40944796;12838.115646326;1.7061983659987163
BM(file): files/file_1M;12838.119252963;12839.680203242;1.5609502789993712
BM(file): files/file_1M;12839.683368424;12841.294999625;1.6116312010017282
BM(file): files/file_1M;12841.298518596;12842.996722891;1.6982042950003233
BM(file): files/file_1M;12843.000188071;12844.595955863;1.5957677919996058
BM(file): files/file_1M;12844.599734373;12846.209837186;1.6101028129996848
BM(file): files/file_1M;12846.213353366;12848.044947845;1.83159447899925
BM(file): files/file_1M;12848.049126477;12849.556088011;1.5069615339998563
BM(file): files/file_1M;12849.559500942;12851.204993941;1.6454929990013625
BM(file): files/file_1M;12851.209380531;12852.853965812;1.6445852810011274
BM(file): files/file_1M;12852.857631699;12854.566438316;1.7088066169999365
BM(file): files/file_1M;12854.569734956;12856.279227714;1.709492758000124
BM(file): files/file_1M;12856.282627396;12857.909625212;1.6269978159998573
BM(file): files/file_1M;12857.912973936;12859.492526687;1.5795527509999374
BM(file): files/file_1M;12859.497463231;12861.080771507;1.5833082760000252
BM(file): files/file_1M;12861.086686585;12862.851043373;1.7643567880004412
BM(file): files/file_1M;12862.85441868;12864.603987027;1.7495683469987853
BM(file): files/file_1M;12864.607656749;12866.311194894;1.7035381450004934
BM(file): files/file_1M;12866.314601285;12868.111899478;1.7972981930015521
BM(file): files/file_1M;12868.115351452;12869.795640244;1.6802887920002831
BM(file): files/file_1M;12869.799087551;12871.376538107;1.577450556000258
BM(file): files/file_1M;12871.380734783;12872.987752961;1.6070181779996346
BM(file): files/file_1M;12872.991250851;12874.693042325;1.7017914739990374
BM(file): files/file_1M;12874.696615464;12876.291533847;1.594918382999822
BM(file): files/file_1M;12876.294959447;12877.939834761;1.6448753140011831
BM(file): files/file_1M;12877.943387985;12879.664339039;1.72095105399967
BM(file): files/file_1M;12879.668685506;12881.618799668;1.9501141620003182
BM(file): files/file_1M;12881.622121185;12883.453649555;1.8315283699994325
BM(file): files/file_1M;12883.457448569;12885.07315864;1.615710071000649
BM(file): files/file_1M;12885.077112778;12886.81550605;1.738393271998575
BM(file): files/file_1M;12886.818875109;12888.550105413;1.731230303999837
BM(file): files/file_1M;12888.553995676;12890.24180844;1.6878127639993181
BM(file): files/file_1M;12890.245496913;12892.102560559;1.8570636460008245
BM(file): files/file_1M;12892.106524113;12893.847471417;1.740947304000656
BM(file): files/file_1M;12893.851490096;12895.6091673;1.7576772039992647
BM(file): files/file_1M;12895.612613234;12897.191995017;1.579381782999917
BM(file): files/file_1M;12897.195421618;12898.869558203;1.67413658499936
BM(file): files/file_1M;12898.872757472;12900.709609386;1.8368519140003627
BM(file): files/file_1M;12900.712869154;12902.400176267;1.687307112999406
BM(file): files/file_1M;12902.403574409;12904.19770446;1.7941300510010478
BM(file): files/file_1M;12904.201376393;12905.918740419;1.7173640259989043
BM(file): files/file_1M;12905.922091271;12907.706304146;1.7842128749998665
BM(file): files/file_1M;12907.709798789;12909.39423262;1.6844338310002058
BM(file): files/file_1M;12909.397881803;12911.021791939;1.6239101360006316
BM(file): files/file_1M;12911.025231415;12912.806893701;1.7816622859991185
BM(file): files/file_1M;12912.810269553;12914.521679834;1.7114102810010081
BM(file): files/file_1M;12914.525764224;12916.27816537;1.7524011460009206
BM(file): files/file_1M;12916.281581056;12917.899647706;1.6180666500004008
BM(file): files/file_1M;12917.905570542;12919.49061613;1.5850455880008667
BM(file): files/file_1M;12919.493952483;12921.122126459;1.6281739759997436
BM(file): files/file_1M;12921.125538436;12922.770594024;1.6450555880001048
BM(file): files/file_1M;12922.774928412;12924.364832079;1.5899036669998168
BM(file): files/file_1M;12924.368144016;12925.980318088;1.6121740720009257
BM(file): files/file_1M;12925.984340728;12927.617367925;1.6330271970000467
BM(file): files/file_1M;12927.621587481;12929.158316016;1.536728535000293
BM(file): files/file_1M;12929.16159037;12930.848426281;1.6868359109994344
BM(file): files/file_1M;12930.853327167;12932.586903707;1.7335765400002856
BM(file): files/file_1M;12932.591505261;12934.359491557;1.7679862959994352
BM(file): files/file_1M;12934.363048367;12936.070951812;1.707903444999829
BM(file): files/file_1M;12936.074948995;12937.811087904;1.7361389090001467
BM(file): files/file_1M;12937.814681048;12939.559878206;1.7451971580012469
BM(file): files/file_1M;12939.564345053;12941.206138371;1.6417933180000546
BM(file): files/file_1M;12941.209526267;12942.842174946;1.63264867900034
BM(file): files/file_1M;12942.845517425;12944.674976398;1.8294589730012376
BM(file): files/file_1M;12944.679264871;12946.314314099;1.6350492279998434
BM(file): files/file_1M;12946.31762162;12947.972170447;1.6545488269985071
BM(file): files/file_1M;12947.975512385;12949.583122758;1.60761037300108
BM(file): files/file_1M;12949.586303905;12951.280988047;1.6946841419994598
BM(file): files/file_1M;12951.284184611;12953.021596927;1.7374123159988812
BM(file): files/file_1M;12953.02495424;12954.73334062;1.7083863799998653
BM(file): files/file_1M;12954.736625225;12956.371909551;1.6352843260010559
BM(file): files/file_1M;12956.375249448;12958.000854047;1.6256045990012353
BM(file): files/file_1M;12958.00395307;12959.761356693;1.7574036229998455
BM(file): files/file_1M;12959.764648799;12961.543655185;1.7790063859993097
BM(file): files/file_1M;12961.546956957;12963.231631032;1.6846740750006575
BM(file): files/file_1M;12963.235085637;12964.845440614;1.610354977001407
BM(file): files/file_1M;12964.848936719;12966.707271479;1.8583347599997069
BM(file): files/file_1M;12966.710795375;12968.601199681;1.8904043059992546
BM(file): files/file_1M;12968.604629536;12970.280373378;1.6757438420008839
BM(file): files/file_1M;12970.283784108;12971.812938834;1.5291547260003426
BM(file): files/file_1M;12971.816711104;12973.556217226;1.7395061219995114
BM(file): files/file_1M;12973.559548874;12975.2527551;1.6932062260002567
