Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sa2b9031a --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;6129.807091791;6130.415782988;0.6086911969996436
BM(file): files/file_500K;6130.420933443;6131.020760741;0.5998272980004913
BM(file): files/file_500K;6131.031703905;6131.629123685;0.5974197800005641
BM(file): files/file_500K;6131.6322795;6132.219264662;0.586985162000019
BM(file): files/file_500K;6132.222341768;6132.817437198;0.5950954300005833
BM(file): files/file_500K;6132.821734021;6133.459718975;0.6379849539998759
BM(file): files/file_500K;6133.46375113;6134.139744697;0.6759935670006598
BM(file): files/file_500K;6134.144456065;6134.728523455;0.5840673900002002
BM(file): files/file_500K;6134.731931813;6135.317751716;0.5858199029999014
BM(file): files/file_500K;6135.321490285;6135.919595528;0.5981052429997362
BM(file): files/file_500K;6135.922954886;6136.519084405;0.5961295189999873
BM(file): files/file_500K;6136.523167352;6137.123902156;0.6007348040002398
BM(file): files/file_500K;6137.129796449;6137.719111627;0.5893151779991967
BM(file): files/file_500K;6137.722071523;6138.490160352;0.7680888290005896
BM(file): files/file_500K;6138.493638086;6139.085280822;0.5916427359998124
BM(file): files/file_500K;6139.088348261;6139.683848067;0.5954998060005892
BM(file): files/file_500K;6139.687292384;6140.289927284;0.6026349000003393
BM(file): files/file_500K;6140.293694521;6140.90852601;0.6148314889996982
BM(file): files/file_500K;6140.913556006;6141.55462048;0.6410644739999043
BM(file): files/file_500K;6141.5584503;6142.295625817;0.7371755169997414
BM(file): files/file_500K;6142.299610096;6142.886852674;0.5872425779998593
BM(file): files/file_500K;6142.891772668;6143.469736761;0.5779640929995367
BM(file): files/file_500K;6143.472900201;6144.089325368;0.6164251669997611
BM(file): files/file_500K;6144.099137024;6144.690568257;0.5914312330005487
BM(file): files/file_500K;6144.695121166;6145.324811306;0.6296901400000934
BM(file): files/file_500K;6145.328326373;6145.935620848;0.6072944750003444
BM(file): files/file_500K;6145.93995363;6146.683159958;0.7432063280002694
BM(file): files/file_500K;6146.687170919;6147.263729618;0.5765586990000884
BM(file): files/file_500K;6147.266693375;6147.879653767;0.6129603919998772
BM(file): files/file_500K;6147.884108235;6148.516783168;0.6326749330000894
BM(file): files/file_500K;6148.519937804;6149.120648304;0.6007104999998774
BM(file): files/file_500K;6149.125418781;6149.759233132;0.6338143510001828
BM(file): files/file_500K;6149.764686546;6150.503870266;0.7391837200002556
BM(file): files/file_500K;6150.507310036;6151.094868761;0.5875587250002354
BM(file): files/file_500K;6151.102693997;6151.705362614;0.6026686169998356
BM(file): files/file_500K;6151.709744955;6152.307311578;0.5975666229996932
BM(file): files/file_500K;6152.310273375;6152.90851846;0.5982450849996894
BM(file): files/file_500K;6152.913885954;6153.557656141;0.6437701869999728
BM(file): files/file_500K;6153.562364491;6154.193960552;0.631596060999982
BM(file): files/file_500K;6154.197516075;6154.912103015;0.7145869400001175
BM(file): files/file_500K;6154.915504784;6155.49689689;0.5813921059998393
BM(file): files/file_500K;6155.499884896;6156.088324162;0.588439266000023
BM(file): files/file_500K;6156.09453889;6156.698485891;0.6039470010000514
BM(file): files/file_500K;6156.702657516;6157.303414289;0.6007567730002847
BM(file): files/file_500K;6157.306794515;6157.932452431;0.6256579159999092
BM(file): files/file_500K;6157.935687444;6158.538381994;0.6026945499997964
BM(file): files/file_500K;6158.541309165;6159.297691573;0.7563824079998085
BM(file): files/file_500K;6159.300714246;6159.872990943;0.572276697000234
BM(file): files/file_500K;6159.876143912;6160.519953975;0.6438100630002737
BM(file): files/file_500K;6160.524168809;6161.122509718;0.5983409090003988
BM(file): files/file_500K;6161.128596566;6161.746929006;0.6183324399999037
BM(file): files/file_500K;6161.75128651;6162.413212109;0.6619255989999147
BM(file): files/file_500K;6162.416514166;6163.147388127;0.7308739610007251
BM(file): files/file_500K;6163.154289623;6163.742718048;0.5884284249996199
BM(file): files/file_500K;6163.745784055;6164.337922042;0.5921379870005694
BM(file): files/file_500K;6164.341471147;6164.957206982;0.6157358349992137
BM(file): files/file_500K;6164.960335825;6165.57886977;0.6185339450003084
BM(file): files/file_500K;6165.581965278;6166.234460299;0.652495020999595
BM(file): files/file_500K;6166.238281954;6166.832305395;0.5940234409999903
BM(file): files/file_500K;6166.835919127;6167.568235592;0.7323164649997125
BM(file): files/file_500K;6167.571161678;6168.165499357;0.5943376790000912
BM(file): files/file_500K;6168.171802918;6168.799407554;0.6276046359998873
BM(file): files/file_500K;6168.802102925;6169.39550813;0.5934052049997263
BM(file): files/file_500K;6169.402952307;6170.130685614;0.727733306999653
BM(file): files/file_500K;6170.136422575;6170.772167739;0.6357451639996725
BM(file): files/file_500K;6170.777029131;6171.519982346;0.7429532149999432
BM(file): files/file_500K;6171.523302151;6172.099218537;0.575916385999335
BM(file): files/file_500K;6172.103545539;6172.695251202;0.5917056629996296
BM(file): files/file_500K;6172.700159304;6173.330618886;0.6304595819992755
BM(file): files/file_500K;6173.333637974;6173.937913273;0.6042752989997098
BM(file): files/file_500K;6173.940719438;6174.603948862;0.6632294239998373
BM(file): files/file_500K;6174.607181749;6175.202216879;0.5950351299998147
BM(file): files/file_500K;6175.206215454;6175.941224774;0.7350093200002448
BM(file): files/file_500K;6175.946900481;6176.531605236;0.58470475500053
BM(file): files/file_500K;6176.535601227;6177.147201091;0.6115998639997997
BM(file): files/file_500K;6177.15231224;6177.766891169;0.6145789289994354
BM(file): files/file_500K;6177.771614973;6178.3843858;0.6127708269996219
BM(file): files/file_500K;6178.387713938;6179.035178759;0.6474648209996303
BM(file): files/file_500K;6179.038697695;6179.726150949;0.6874532539995926
BM(file): files/file_500K;6179.730429365;6180.368125247;0.6376958819992069
BM(file): files/file_500K;6180.371702393;6180.962879535;0.5911771419996512
BM(file): files/file_500K;6180.96591979;6181.597376502;0.6314567119998173
BM(file): files/file_500K;6181.603551097;6182.200166917;0.5966158200008067
BM(file): files/file_500K;6182.204407665;6182.831520513;0.6271128480002517
BM(file): files/file_500K;6182.834591435;6183.479635666;0.6450442309997015
BM(file): files/file_500K;6183.483583489;6184.159988572;0.6764050829997359
BM(file): files/file_500K;6184.163255125;6184.769466784;0.6062116589992002
BM(file): files/file_500K;6184.773258727;6185.394596731;0.621338003999881
BM(file): files/file_500K;6185.398462051;6185.993985548;0.5955234969997036
BM(file): files/file_500K;6185.997249933;6186.674880403;0.6776304700006222
BM(file): files/file_500K;6186.678172081;6187.303831253;0.6256591719993594
BM(file): files/file_500K;6187.30710243;6187.88186958;0.574767150000298
BM(file): files/file_500K;6187.885429182;6188.656284952;0.7708557699997982
BM(file): files/file_500K;6188.660181106;6189.237020542;0.5768394360002276
BM(file): files/file_500K;6189.239917667;6189.855885666;0.6159679990005316
BM(file): files/file_500K;6189.860243291;6190.453217496;0.592974205000246
BM(file): files/file_500K;6190.459688348;6191.078874293;0.6191859450000265
BM(file): files/file_500K;6191.083500551;6191.737350719;0.6538501679997353
BM(file): files/file_500K;6191.740630021;6192.47345156;0.7328215390007244
BM(file): files/file_500K;6192.477217959;6193.052253599;0.5750356400003511
