Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sa2b9031a --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;6396.101244881;6396.754087431;0.6528425500000594
BM(file): files/file_500K;6396.759994857;6397.424741253;0.6647463960007371
BM(file): files/file_500K;6397.436051427;6398.098834769;0.6627833419997842
BM(file): files/file_500K;6398.10240135;6398.73690312;0.6345017699995879
BM(file): files/file_500K;6398.740748958;6399.356300209;0.6155512510003973
BM(file): files/file_500K;6399.362669186;6400.025259952;0.6625907659999939
BM(file): files/file_500K;6400.028188393;6400.74577635;0.7175879569995232
BM(file): files/file_500K;6400.752586588;6401.384241008;0.6316544199999043
BM(file): files/file_500K;6401.387688919;6402.019944843;0.632255924000674
BM(file): files/file_500K;6402.023379754;6402.667911819;0.6445320650000212
BM(file): files/file_500K;6402.670865261;6403.291220648;0.6203553870000178
BM(file): files/file_500K;6403.29453889;6403.932150364;0.6376114740005505
BM(file): files/file_500K;6403.934996761;6404.645578163;0.710581402000571
BM(file): files/file_500K;6404.649387124;6405.355814797;0.70642767299978
BM(file): files/file_500K;6405.359141705;6405.978609033;0.6194673279997005
BM(file): files/file_500K;6405.982122612;6406.60351539;0.6213927779999722
BM(file): files/file_500K;6406.606747671;6407.232785297;0.6260376259997429
BM(file): files/file_500K;6407.238998979;6407.873721246;0.6347222670001429
BM(file): files/file_500K;6407.877999967;6408.520159894;0.6421599270006482
BM(file): files/file_500K;6408.522891455;6409.232240299;0.7093488440004876
BM(file): files/file_500K;6409.235271908;6409.898698124;0.6634262159996069
BM(file): files/file_500K;6409.901923696;6410.606794707;0.7048710109993408
BM(file): files/file_500K;6410.611057219;6411.261959553;0.6509023340004205
BM(file): files/file_500K;6411.265390338;6411.915391265;0.650000927000292
BM(file): files/file_500K;6411.921814659;6412.561707225;0.6398925659996166
BM(file): files/file_500K;6412.564521788;6413.320764406;0.7562426180002149
BM(file): files/file_500K;6413.324890957;6413.994614169;0.6697232119995533
BM(file): files/file_500K;6413.997766615;6414.614776265;0.61700965
BM(file): files/file_500K;6414.617816999;6415.254761255;0.6369442559998788
BM(file): files/file_500K;6415.258195832;6415.88429625;0.626100418000533
BM(file): files/file_500K;6415.89012813;6416.544652466;0.6545243359996675
BM(file): files/file_500K;6416.549509449;6417.21869227;0.6691828210005042
BM(file): files/file_500K;6417.223783175;6418.015726256;0.7919430809997721
BM(file): files/file_500K;6418.01883095;6418.632990731;0.6141597810001258
BM(file): files/file_500K;6418.636158968;6419.261674954;0.6255159860002095
BM(file): files/file_500K;6419.26585088;6419.898969565;0.6331186850002268
BM(file): files/file_500K;6419.902154844;6420.526920002;0.6247651580006277
BM(file): files/file_500K;6420.529727731;6421.16871349;0.6389857590002066
BM(file): files/file_500K;6421.173321009;6421.888511652;0.7151906429999144
BM(file): files/file_500K;6421.891123959;6422.609743668;0.7186197090004498
BM(file): files/file_500K;6422.613649588;6423.23408274;0.6204331520002597
BM(file): files/file_500K;6423.237707112;6423.878823792;0.6411166799998682
BM(file): files/file_500K;6423.881943403;6424.509214686;0.6272712829995726
BM(file): files/file_500K;6424.513360195;6425.179749294;0.6663890990002983
BM(file): files/file_500K;6425.183496085;6425.800161073;0.616664987999684
BM(file): files/file_500K;6425.804441917;6426.558250048;0.753808131000369
BM(file): files/file_500K;6426.562552977;6427.190954542;0.6284015649998764
BM(file): files/file_500K;6427.194572789;6427.821294304;0.6267215150000993
BM(file): files/file_500K;6427.824343621;6428.442961952;0.618618331000107
BM(file): files/file_500K;6428.445907267;6429.067946748;0.6220394810006837
BM(file): files/file_500K;6429.072087048;6429.713648822;0.6415617740003654
BM(file): files/file_500K;6429.716730807;6430.461441007;0.7447101999996448
BM(file): files/file_500K;6430.468595206;6431.19344046;0.7248452539997743
BM(file): files/file_500K;6431.196601113;6431.819409946;0.6228088329999082
BM(file): files/file_500K;6431.823674831;6432.479819847;0.6561450159997548
BM(file): files/file_500K;6432.485840229;6433.112795348;0.626955118999831
BM(file): files/file_500K;6433.116145421;6433.757115709;0.6409702880000623
BM(file): files/file_500K;6433.759721183;6434.401567151;0.6418459679998705
BM(file): files/file_500K;6434.40437167;6435.167707745;0.7633360750005522
BM(file): files/file_500K;6435.170942524;6435.780356302;0.6094137780000892
BM(file): files/file_500K;6435.783652999;6436.409659801;0.6260068020001199
BM(file): files/file_500K;6436.414522866;6437.060625348;0.6461024820000603
BM(file): files/file_500K;6437.064271053;6437.694113336;0.6298422829995616
BM(file): files/file_500K;6437.698429971;6438.305659131;0.607229159999406
BM(file): files/file_500K;6438.308629987;6439.042564022;0.7339340349999475
BM(file): files/file_500K;6439.044900657;6439.734708593;0.6898079359998519
BM(file): files/file_500K;6439.737967206;6440.379455542;0.6414883360002932
BM(file): files/file_500K;6440.382437356;6441.022392525;0.6399551690001317
BM(file): files/file_500K;6441.028425823;6441.673454132;0.6450283089998265
BM(file): files/file_500K;6441.680850459;6442.317816046;0.6369655870003044
BM(file): files/file_500K;6442.323641339;6442.95177789;0.6281365510003525
BM(file): files/file_500K;6442.956290321;6443.707547908;0.7512575870005094
BM(file): files/file_500K;6443.712342096;6444.327269427;0.6149273310002172
BM(file): files/file_500K;6444.330233241;6444.947969582;0.617736340999727
BM(file): files/file_500K;6444.951578493;6445.602519169;0.6509406759996637
BM(file): files/file_500K;6445.605456108;6446.24714091;0.6416848019998724
BM(file): files/file_500K;6446.251325667;6446.892523656;0.6411979889999202
BM(file): files/file_500K;6446.896624953;6447.619186774;0.7225618209995446
BM(file): files/file_500K;6447.621823456;6448.285450746;0.6636272899995674
BM(file): files/file_500K;6448.288433227;6448.9019393;0.6135060730002806
BM(file): files/file_500K;6448.905876093;6449.532403397;0.6265273039998647
BM(file): files/file_500K;6449.535485088;6450.167119747;0.6316346589992463
BM(file): files/file_500K;6450.171221293;6450.818382106;0.6471608130004824
BM(file): files/file_500K;6450.821780596;6451.493166674;0.6713860780000687
BM(file): files/file_500K;6451.498225824;6452.237343309;0.7391174849999516
BM(file): files/file_500K;6452.240881427;6452.873786198;0.6329047709996303
BM(file): files/file_500K;6452.876856389;6453.514147872;0.637291482999899
BM(file): files/file_500K;6453.517269647;6454.138569906;0.6213002590002361
BM(file): files/file_500K;6454.141927853;6454.789551664;0.6476238109999031
BM(file): files/file_500K;6454.792846068;6455.421328337;0.6284822690004148
BM(file): files/file_500K;6455.424471613;6456.130514204;0.7060425910003687
BM(file): files/file_500K;6456.13409078;6456.840700036;0.7066092559998651
BM(file): files/file_500K;6456.845206466;6457.473688416;0.6284819500006051
BM(file): files/file_500K;6457.476890902;6458.118376124;0.6414852219995737
