Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4ad18ef5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;10605.923656993;10606.595032835;0.6713758420009981
BM(file): files/file_500K;10606.601575626;10607.260884606;0.6593089799989684
BM(file): files/file_500K;10607.268812039;10607.904501051;0.6356890120005119
BM(file): files/file_500K;10607.907337045;10608.560282773;0.6529457279993949
BM(file): files/file_500K;10608.56376165;10609.196874668;0.6331130179987667
BM(file): files/file_500K;10609.20017746;10609.849081007;0.6489035470003728
BM(file): files/file_500K;10609.852155463;10610.592741579;0.7405861159986671
BM(file): files/file_500K;10610.59650471;10611.243930318;0.6474256080000487
BM(file): files/file_500K;10611.247428737;10611.888326052;0.6408973149991652
BM(file): files/file_500K;10611.891689469;10612.516200701;0.6245112320011685
BM(file): files/file_500K;10612.519327532;10613.131921863;0.6125943309998547
BM(file): files/file_500K;10613.135512783;10613.787721567;0.6522087840003223
BM(file): files/file_500K;10613.790992816;10614.48746953;0.6964767139998003
BM(file): files/file_500K;10614.4969764;10615.148373712;0.6513973119999719
BM(file): files/file_500K;10615.151958674;10615.773935238;0.6219765639998514
BM(file): files/file_500K;10615.776975276;10616.415444755;0.6384694790012873
BM(file): files/file_500K;10616.418470001;10617.030560479;0.6120904780000274
BM(file): files/file_500K;10617.033652227;10617.678168443;0.644516215999829
BM(file): files/file_500K;10617.681436401;10618.288658481;0.6072220799997012
BM(file): files/file_500K;10618.292094399;10619.001769055;0.7096746560000611
BM(file): files/file_500K;10619.004619924;10619.632703636;0.6280837119993521
BM(file): files/file_500K;10619.635810133;10620.264403268;0.6285931349993916
BM(file): files/file_500K;10620.267713184;10620.882836355;0.6151231710009597
BM(file): files/file_500K;10620.885838684;10621.512582833;0.6267441489999328
BM(file): files/file_500K;10621.5166158;10622.136887116;0.6202713160000712
BM(file): files/file_500K;10622.140818915;10622.863411468;0.7225925530001405
BM(file): files/file_500K;10622.868618325;10623.513473402;0.644855077000102
BM(file): files/file_500K;10623.51675261;10624.146953294;0.6302006839996466
BM(file): files/file_500K;10624.149937623;10624.779423503;0.6294858799992653
BM(file): files/file_500K;10624.783606055;10625.420550444;0.6369443889998365
BM(file): files/file_500K;10625.423589149;10626.071967263;0.6483781139995699
BM(file): files/file_500K;10626.075388347;10626.711800183;0.6364118359997519
BM(file): files/file_500K;10626.714794387;10627.428799359;0.7140049720001116
BM(file): files/file_500K;10627.432240318;10628.065794198;0.6335538800012728
BM(file): files/file_500K;10628.068894445;10628.690749677;0.6218552320005983
BM(file): files/file_500K;10628.694673017;10629.3594137;0.6647406829997635
BM(file): files/file_500K;10629.362811034;10629.992569902;0.629758868000863
BM(file): files/file_500K;10629.995495563;10630.639394731;0.6438991680006438
BM(file): files/file_500K;10630.642384435;10631.351433081;0.7090486460001557
BM(file): files/file_500K;10631.354737622;10631.977753608;0.6230159860006097
BM(file): files/file_500K;10631.980851438;10632.611508809;0.6306573709989607
BM(file): files/file_500K;10632.615428275;10633.244610959;0.6291826840006252
BM(file): files/file_500K;10633.248111545;10633.876459508;0.6283479630001239
BM(file): files/file_500K;10633.879579755;10634.523763289;0.6441835340010584
BM(file): files/file_500K;10634.528431431;10635.15123978;0.6228083490004792
BM(file): files/file_500K;10635.157196896;10635.84376337;0.6865664739998465
BM(file): files/file_500K;10635.848260801;10636.487367932;0.6391071310008556
BM(file): files/file_500K;10636.490514597;10637.101386916;0.6108723189990997
BM(file): files/file_500K;10637.104769917;10637.721277637;0.6165077200002997
BM(file): files/file_500K;10637.725459939;10638.337747106;0.612287166999522
BM(file): files/file_500K;10638.341420277;10638.975458629;0.6340383520000614
BM(file): files/file_500K;10638.978833004;10639.70187167;0.72303866600123
BM(file): files/file_500K;10639.708820173;10640.337797083;0.6289769100003468
BM(file): files/file_500K;10640.342581184;10640.975862188;0.6332810039984906
BM(file): files/file_500K;10640.979198771;10641.603483118;0.6242843470008665
BM(file): files/file_500K;10641.606515906;10642.220961547;0.6144456410002022
BM(file): files/file_500K;10642.224295755;10642.849695321;0.6253995659990323
BM(file): files/file_500K;10642.852912236;10643.480571495;0.627659259000211
BM(file): files/file_500K;10643.483496073;10644.203169515;0.7196734419994755
BM(file): files/file_500K;10644.206268762;10644.853570885;0.6473021229994629
BM(file): files/file_500K;10644.856749717;10645.517608507;0.6608587899991107
BM(file): files/file_500K;10645.520906673;10646.154430372;0.6335236989998521
BM(file): files/file_500K;10646.157616495;10646.796744053;0.6391275579990179
BM(file): files/file_500K;10646.807880066;10647.443700123;0.6358200569993642
BM(file): files/file_500K;10647.447071748;10648.149563172;0.7024914240009821
BM(file): files/file_500K;10648.152314248;10648.799275855;0.646961607000776
BM(file): files/file_500K;10648.802335268;10649.434588691;0.632253423000293
BM(file): files/file_500K;10649.437858565;10650.067815625;0.629957060000379
BM(file): files/file_500K;10650.071319085;10650.697589013;0.6262699279996014
BM(file): files/file_500K;10650.700924721;10651.314860537;0.6139358159998665
BM(file): files/file_500K;10651.318184037;10651.952319059;0.634135022000919
BM(file): files/file_500K;10651.956321817;10652.713043772;0.7567219550001028
BM(file): files/file_500K;10652.716824402;10653.372103349;0.6552789470006246
BM(file): files/file_500K;10653.37829305;10654.022235605;0.6439425549997395
BM(file): files/file_500K;10654.025223975;10654.662372651;0.6371486759999243
BM(file): files/file_500K;10654.665590441;10655.288262687;0.6226722459996381
BM(file): files/file_500K;10655.291232057;10655.913515171;0.6222831140003109
BM(file): files/file_500K;10655.916528833;10656.649083226;0.7325543930001004
BM(file): files/file_500K;10656.652258931;10657.293768571;0.6415096399996401
BM(file): files/file_500K;10657.296960069;10657.927615155;0.6306550860008429
BM(file): files/file_500K;10657.93267126;10658.567832775;0.6351615149997087
BM(file): files/file_500K;10658.570834812;10659.195121775;0.6242869629986671
BM(file): files/file_500K;10659.198266189;10659.834844468;0.6365782789998775
BM(file): files/file_500K;10659.837805838;10660.546242002;0.7084361639990675
BM(file): files/file_500K;10660.55266929;10661.221851426;0.6691821360000176
BM(file): files/file_500K;10661.225142509;10661.836526179;0.6113836700005777
BM(file): files/file_500K;10661.840392227;10662.468492227;0.628099999999904
BM(file): files/file_500K;10662.471851143;10663.096397056;0.6245459130004747
BM(file): files/file_500K;10663.099780931;10663.750339538;0.6505586070015852
BM(file): files/file_500K;10663.753574494;10664.379809466;0.6262349720000202
BM(file): files/file_500K;10664.384429232;10665.109987426;0.7255581940007687
BM(file): files/file_500K;10665.112836253;10665.729373767;0.6165375140008109
BM(file): files/file_500K;10665.732513681;10666.383965041;0.6514513599995553
BM(file): files/file_500K;10666.387185497;10667.013858259;0.6266727620004531
BM(file): files/file_500K;10667.018843737;10667.652230495;0.6333867579996877
