Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4ad18ef5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;11449.878618337;11451.65753824;1.7789199030012242
BM(file): files/file_500K;11451.664087225;11452.443253769;0.7791665440017823
BM(file): files/file_500K;11452.451385146;11453.169522924;0.7181377779998002
BM(file): files/file_500K;11453.172871543;11453.901438097;0.728566554000281
BM(file): files/file_500K;11453.904648172;11454.607502664;0.7028544919994602
BM(file): files/file_500K;11454.610595655;11455.366413202;0.7558175470003334
BM(file): files/file_500K;11455.369619361;11456.159746308;0.7901269470003172
BM(file): files/file_500K;11456.163215511;11456.917763211;0.7545477000003302
BM(file): files/file_500K;11456.921138288;11457.729863262;0.8087249740001425
BM(file): files/file_500K;11457.733221422;11458.422996358;0.6897749359995942
BM(file): files/file_500K;11458.426352394;11459.126687023;0.700334628998462
BM(file): files/file_500K;11459.131560658;11459.840478043;0.7089173849999497
BM(file): files/file_500K;11459.844131456;11460.59824544;0.7541139839995594
BM(file): files/file_500K;11460.601267013;11461.356470133;0.7552031199993507
BM(file): files/file_500K;11461.359581665;11462.020389671;0.660808006001389
BM(file): files/file_500K;11462.028280378;11462.724606922;0.6963265440008399
BM(file): files/file_500K;11462.729685683;11463.494484443;0.764798759999394
BM(file): files/file_500K;11463.497906062;11464.331881671;0.833975608999026
BM(file): files/file_500K;11464.335290582;11465.140967019;0.8056764370012388
BM(file): files/file_500K;11465.144170969;11465.90286783;0.7586968609994074
BM(file): files/file_500K;11465.906308241;11466.582990451;0.6766822099998535
BM(file): files/file_500K;11466.586277444;11467.28190006;0.6956226160000369
BM(file): files/file_500K;11467.286388482;11468.013975308;0.7275868260003335
BM(file): files/file_500K;11468.017799848;11468.681349252;0.6635494040001504
BM(file): files/file_500K;11468.684320492;11469.421735294;0.7374148019989661
BM(file): files/file_500K;11469.42573142;11470.114528504;0.6887970839998161
BM(file): files/file_500K;11470.117837122;11470.845879325;0.728042202999859
BM(file): files/file_500K;11470.84884994;11471.551524294;0.7026743540009193
BM(file): files/file_500K;11471.554716327;11472.239684704;0.6849683769996773
BM(file): files/file_500K;11472.243068948;11472.922279347;0.6792103989992029
BM(file): files/file_500K;11472.925549923;11473.60524716;0.6796972369993455
BM(file): files/file_500K;11473.608615612;11474.36464098;0.756025368000337
BM(file): files/file_500K;11474.367940807;11475.114916497;0.7469756899990898
BM(file): files/file_500K;11475.118316157;11475.857975729;0.7396595720001642
BM(file): files/file_500K;11475.86131018;11476.585893427;0.7245832469998277
BM(file): files/file_500K;11476.589088002;11477.319676852;0.730588849999549
BM(file): files/file_500K;11477.323244348;11478.070305245;0.7470608970015746
BM(file): files/file_500K;11478.073484778;11478.915654837;0.8421700589988177
BM(file): files/file_500K;11478.920179634;11479.616574;0.6963943659993674
BM(file): files/file_500K;11479.619472572;11480.322390881;0.7029183089998696
BM(file): files/file_500K;11480.325435996;11481.048435265;0.7229992690008658
BM(file): files/file_500K;11481.051960594;11481.718615564;0.6666549699984898
BM(file): files/file_500K;11481.722119267;11482.451620353;0.7295010859998001
BM(file): files/file_500K;11482.454717385;11483.198135449;0.7434180639993428
BM(file): files/file_500K;11483.201462901;11483.902705648;0.7012427470017428
BM(file): files/file_500K;11483.905893557;11484.715371602;0.8094780450010148
BM(file): files/file_500K;11484.718446926;11485.434740413;0.7162934870011668
BM(file): files/file_500K;11485.439474962;11486.118326433;0.6788514709987794
BM(file): files/file_500K;11486.122552935;11486.856329979;0.7337770440008171
BM(file): files/file_500K;11486.85940122;11487.6493646;0.7899633800006995
BM(file): files/file_500K;11487.653538102;11488.405329417;0.751791315000446
BM(file): files/file_500K;11488.408484241;11489.13417545;0.7256912090015248
BM(file): files/file_500K;11489.138076324;11489.829289421;0.6912130970013095
BM(file): files/file_500K;11489.835603987;11490.589568656;0.7539646690001973
BM(file): files/file_500K;11490.593190735;11491.300419999;0.7072292639986699
BM(file): files/file_500K;11491.303652158;11491.992614605;0.6889624470004492
BM(file): files/file_500K;11491.99609985;11492.837295345;0.8411954950006475
BM(file): files/file_500K;11492.840311752;11493.580470483;0.7401587310014293
BM(file): files/file_500K;11493.585070489;11494.315974873;0.7309043839995866
BM(file): files/file_500K;11494.319705537;11494.984594731;0.6648891940003523
BM(file): files/file_500K;11494.987873474;11495.70165147;0.7137779960012267
BM(file): files/file_500K;11495.704780003;11496.383671342;0.6788913390009839
BM(file): files/file_500K;11496.386735749;11497.191996574;0.8052608250000048
BM(file): files/file_500K;11497.195853781;11497.988240346;0.7923865649991058
BM(file): files/file_500K;11497.991425338;11498.702255968;0.7108306300015101
BM(file): files/file_500K;11498.706659472;11499.470449238;0.7637897660006274
BM(file): files/file_500K;11499.476297965;11500.216900489;0.7406025239997689
BM(file): files/file_500K;11500.222369171;11500.89884819;0.676479018999089
BM(file): files/file_500K;11500.902165475;11501.670497162;0.768331687000682
BM(file): files/file_500K;11501.674212242;11502.346182964;0.6719707219999691
BM(file): files/file_500K;11502.34982996;11503.077758683;0.7279287230012415
BM(file): files/file_500K;11503.080826173;11503.787740175;0.7069140019993938
BM(file): files/file_500K;11503.791447506;11504.475662437;0.6842149309995875
BM(file): files/file_500K;11504.479035264;11505.152263581;0.6732283170003939
BM(file): files/file_500K;11505.155314571;11505.94041243;0.7850978589995066
BM(file): files/file_500K;11505.943514212;11506.796553779;0.8530395670004509
BM(file): files/file_500K;11506.80048082;11507.57117236;0.7706915399994614
BM(file): files/file_500K;11507.574179642;11508.30880093;0.7346212880001985
BM(file): files/file_500K;11508.313642897;11509.068776691;0.7551337940003577
BM(file): files/file_500K;11509.071979183;11509.799354978;0.7273757950006257
BM(file): files/file_500K;11509.802537428;11510.524268706;0.7217312779994245
BM(file): files/file_500K;11510.527917411;11511.306991953;0.7790745420006715
BM(file): files/file_500K;11511.310302696;11512.026994837;0.716692141000749
BM(file): files/file_500K;11512.03023837;11512.802359297;0.7721209270002873
BM(file): files/file_500K;11512.80665605;11513.538745101;0.7320890510000027
BM(file): files/file_500K;11513.541890967;11514.26568543;0.7237944629996491
BM(file): files/file_500K;11514.268648295;11514.973637395;0.7049891000006028
BM(file): files/file_500K;11514.980880929;11515.85508296;0.8742020310000953
BM(file): files/file_500K;11515.858140658;11516.609356531;0.7512158730005467
BM(file): files/file_500K;11516.612566023;11517.364472111;0.7519060879985773
BM(file): files/file_500K;11517.367872646;11518.068433574;0.7005609280004137
BM(file): files/file_500K;11518.071529731;11518.825075668;0.7535459370010358
BM(file): files/file_500K;11518.82846787;11519.595241862;0.7667739919997985
BM(file): files/file_500K;11519.598205351;11520.416461462;0.8182561110006645
BM(file): files/file_500K;11520.41945866;11521.142285317;0.7228266570000415
