Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s451dd5ea --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;8839.29725688;8841.848142992;2.5508861119997164
BM(file): files/file_500K;8841.854060277;8843.059538766;1.2054784889987786
BM(file): files/file_500K;8843.067717023;8844.226342785;1.158625762000156
BM(file): files/file_500K;8844.230313642;8845.400088855;1.169775213000321
BM(file): files/file_500K;8845.40372896;8846.675056496;1.2713275360001717
BM(file): files/file_500K;8846.679734691;8847.868377784;1.1886430929989729
BM(file): files/file_500K;8847.872532226;8849.101344069;1.2288118430005852
BM(file): files/file_500K;8849.104581713;8850.300219493;1.1956377799997426
BM(file): files/file_500K;8850.303478263;8851.529805319;1.2263270559997181
BM(file): files/file_500K;8851.532938255;8852.724279903;1.1913416479983425
BM(file): files/file_500K;8852.727360754;8853.913643047;1.1862822930015682
BM(file): files/file_500K;8853.918628494;8855.202195756;1.2835672619985417
BM(file): files/file_500K;8855.205252941;8856.358151553;1.1528986120010813
BM(file): files/file_500K;8856.361406697;8857.577069988;1.2156632909991458
BM(file): files/file_500K;8857.580497008;8858.768687892;1.1881908839986863
BM(file): files/file_500K;8858.77192337;8859.966155423;1.1942320529997232
BM(file): files/file_500K;8859.971593915;8861.166311397;1.194717482001579
BM(file): files/file_500K;8861.169412166;8862.4479145;1.2785023340002226
BM(file): files/file_500K;8862.452226109;8863.675133657;1.222907547999057
BM(file): files/file_500K;8863.678552303;8864.88426563;1.2057133270009217
BM(file): files/file_500K;8864.887733318;8866.15919893;1.2714656119987922
BM(file): files/file_500K;8866.163604082;8867.331199946;1.1675958640007593
BM(file): files/file_500K;8867.333896255;8868.521110164;1.1872139089991833
BM(file): files/file_500K;8868.524756895;8869.712711442;1.1879545470001176
BM(file): files/file_500K;8869.715820711;8870.9090623;1.193241588998717
BM(file): files/file_500K;8870.911887859;8872.128573517;1.2166856580006424
BM(file): files/file_500K;8872.131946662;8873.353718819;1.2217721569995774
BM(file): files/file_500K;8873.356862214;8874.523596042;1.1667338280003605
BM(file): files/file_500K;8874.526895687;8875.730406583;1.2035108959989884
BM(file): files/file_500K;8875.734392191;8876.927695575;1.1933033839995915
BM(file): files/file_500K;8876.931212888;8878.096121731;1.1649088430003758
BM(file): files/file_500K;8878.099628586;8879.253737537;1.1541089509992162
BM(file): files/file_500K;8879.256680388;8880.478717059;1.222036671000751
BM(file): files/file_500K;8880.481935412;8881.644195973;1.1622605609991297
BM(file): files/file_500K;8881.647230408;8882.811057903;1.1638274950000778
BM(file): files/file_500K;8882.815315721;8884.010361417;1.1950456960003066
BM(file): files/file_500K;8884.013994356;8885.209335854;1.1953414979998342
BM(file): files/file_500K;8885.213533922;8886.35678319;1.1432492679996358
BM(file): files/file_500K;8886.360085668;8887.573094711;1.2130090430000564
BM(file): files/file_500K;8887.576276939;8888.753417767;1.1771408280001197
BM(file): files/file_500K;8888.756481244;8889.969833764;1.213352520000626
BM(file): files/file_500K;8889.974277084;8891.147813989;1.1735369050002191
BM(file): files/file_500K;8891.151179468;8892.308152696;1.1569732280004246
BM(file): files/file_500K;8892.312169054;8893.511970558;1.1998015040007886
BM(file): files/file_500K;8893.514899826;8894.734261835;1.2193620090001787
BM(file): files/file_500K;8894.737426355;8895.903400205;1.1659738500002277
BM(file): files/file_500K;8895.906651559;8897.124672493;1.2180209340003785
BM(file): files/file_500K;8897.127971889;8898.313140626;1.1851687369999127
BM(file): files/file_500K;8898.316265938;8899.463159776;1.1468938380003237
BM(file): files/file_500K;8899.466207045;8900.640826899;1.1746198540004116
BM(file): files/file_500K;8900.644412338;8901.846683708;1.2022713699989254
BM(file): files/file_500K;8901.849777352;8903.059489235;1.2097118830006366
BM(file): files/file_500K;8903.063566511;8904.24798416;1.1844176489994425
BM(file): files/file_500K;8904.251769642;8905.413103737;1.1613340950007114
BM(file): files/file_500K;8905.415965213;8906.561687592;1.14572237900029
BM(file): files/file_500K;8906.564708361;8907.69194013;1.127231768999991
BM(file): files/file_500K;8907.694937816;8908.877739278;1.1828014619986789
BM(file): files/file_500K;8908.88096484;8910.050882478;1.1699176380006975
BM(file): files/file_500K;8910.054534585;8911.286060081;1.231525495999449
BM(file): files/file_500K;8911.289278477;8912.560281026;1.2710025490014232
BM(file): files/file_500K;8912.563386087;8913.659399863;1.0960137759993813
BM(file): files/file_500K;8913.662294923;8914.755302103;1.0930071799994039
BM(file): files/file_500K;8914.758272497;8915.862243254;1.1039707569998427
BM(file): files/file_500K;8915.865231148;8917.019089689;1.1538585409998632
BM(file): files/file_500K;8917.022745962;8918.201714505;1.1789685429994279
BM(file): files/file_500K;8918.205163402;8919.391766377;1.1866029749999143
BM(file): files/file_500K;8919.395275733;8920.609259058;1.2139833249984804
BM(file): files/file_500K;8920.612362703;8921.817202061;1.2048393580007541
BM(file): files/file_500K;8921.820686375;8922.944819722;1.1241333470006794
BM(file): files/file_500K;8922.947969159;8924.135978132;1.188008973000251
BM(file): files/file_500K;8924.139169361;8925.32247198;1.1833026189997327
BM(file): files/file_500K;8925.325418207;8926.498924229;1.1735060219998559
BM(file): files/file_500K;8926.502167458;8927.678615256;1.1764477979995718
BM(file): files/file_500K;8927.6816114;8928.854979769;1.1733683689999452
BM(file): files/file_500K;8928.858768586;8930.091474804;1.2327062179992936
BM(file): files/file_500K;8930.09538883;8931.282738305;1.1873494750016107
BM(file): files/file_500K;8931.285970368;8932.446102883;1.1601325149986224
BM(file): files/file_500K;8932.449841283;8933.634756716;1.1849154329993326
BM(file): files/file_500K;8933.637917695;8934.790664052;1.152746357000069
BM(file): files/file_500K;8934.793711614;8936.046191627;1.2524800129995128
BM(file): files/file_500K;8936.049177646;8937.207878974;1.1587013280004612
BM(file): files/file_500K;8937.210903285;8938.418837317;1.2079340319996845
BM(file): files/file_500K;8938.421872795;8939.593264429;1.1713916340013384
BM(file): files/file_500K;8939.597501999;8940.708222494;1.1107204950003506
BM(file): files/file_500K;8940.711469974;8941.847088764;1.1356187900000805
BM(file): files/file_500K;8941.850137284;8943.008554772;1.1584174879990314
BM(file): files/file_500K;8943.011743334;8944.233164908;1.2214215740004875
BM(file): files/file_500K;8944.236623473;8945.433983356;1.1973598830008996
BM(file): files/file_500K;8945.437219586;8946.542376539;1.1051569530009147
BM(file): files/file_500K;8946.545834853;8947.773098447;1.2272635940007603
BM(file): files/file_500K;8947.776048217;8948.954475498;1.1784272810000402
BM(file): files/file_500K;8948.957771853;8950.165740169;1.2079683160009154
BM(file): files/file_500K;8950.169060649;8951.281724013;1.1126633640014916
BM(file): files/file_500K;8951.284886409;8952.470755803;1.1858693940012017
