Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2seea4c702 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;9322.600925907;9332.212157131;9.611231224000221
BM(file): files/file_500K;9573.320628345;9574.587254492;1.266626147000352
BM(file): files/file_500K;9574.60032402;9575.878531435;1.2782074149999971
BM(file): files/file_500K;9575.881397085;9577.151099888;1.2697028029997455
BM(file): files/file_500K;9577.154289624;9578.351121727;1.196832102999906
BM(file): files/file_500K;9578.354275837;9579.688933698;1.3346578609998687
BM(file): files/file_500K;9579.692327519;9580.999967487;1.307639967999421
BM(file): files/file_500K;9581.004289232;9582.210543255;1.2062540229999286
BM(file): files/file_500K;9582.213659865;9583.517954518;1.3042946530003974
BM(file): files/file_500K;9583.521399172;9584.863624817;1.3422256450012355
BM(file): files/file_500K;9584.866772552;9586.0916297;1.2248571479995007
BM(file): files/file_500K;9586.095132646;9587.339823132;1.2446904860007635
BM(file): files/file_500K;9587.343575497;9588.727770884;1.384195386999636
BM(file): files/file_500K;9588.731218163;9589.945470602;1.21425243900012
BM(file): files/file_500K;9589.948837339;9591.228914801;1.2800774620009179
BM(file): files/file_500K;9591.232181579;9592.503820387;1.2716388080007164
BM(file): files/file_500K;9592.507543003;9593.882668489;1.375125485999888
BM(file): files/file_500K;9593.886297186;9595.288836076;1.4025388900008693
BM(file): files/file_500K;9595.292144938;9596.592163163;1.3000182250016223
BM(file): files/file_500K;9596.595360899;9597.869804867;1.2744439679991046
BM(file): files/file_500K;9597.874504907;9599.142756575;1.2682516679997207
BM(file): files/file_500K;9599.145764267;9600.261299215;1.1155349480013683
BM(file): files/file_500K;9600.264461242;9601.527433286;1.26297204399998
BM(file): files/file_500K;9601.530572396;9602.933719474;1.403147078000984
BM(file): files/file_500K;9602.936820251;9604.158419737;1.2215994859998318
BM(file): files/file_500K;9604.162323229;9605.442475427;1.2801521979999961
BM(file): files/file_500K;9605.446496711;9606.797722686;1.3512259750004887
BM(file): files/file_500K;9606.801093965;9608.071994047;1.2709000820013898
BM(file): files/file_500K;9608.075182533;9609.291209273;1.2160267399995064
BM(file): files/file_500K;9609.295284224;9610.537384856;1.2421006320000743
BM(file): files/file_500K;9610.540776177;9611.839432421;1.2986562440000853
BM(file): files/file_500K;9611.84267524;9613.204887822;1.3622125820002111
BM(file): files/file_500K;9613.210156075;9614.445149654;1.2349935790007294
BM(file): files/file_500K;9614.448420515;9615.733698485;1.2852779700006067
BM(file): files/file_500K;9615.736892095;9617.09244667;1.3555545750004967
BM(file): files/file_500K;9617.095498946;9618.285895149;1.1903962029991817
BM(file): files/file_500K;9618.289217677;9619.489549259;1.2003315820002172
BM(file): files/file_500K;9619.49276462;9620.89152353;1.3987589099997422
BM(file): files/file_500K;9620.894470222;9622.222462529;1.327992307000386
BM(file): files/file_500K;9622.225511805;9623.632699502;1.4071876970010635
BM(file): files/file_500K;9623.636447409;9625.053241816;1.4167944069995428
BM(file): files/file_500K;9625.05938541;9626.341272537;1.2818871269992087
BM(file): files/file_500K;9626.347656925;9627.657475252;1.309818326999448
BM(file): files/file_500K;9627.663334219;9628.838260849;1.1749266299993906
BM(file): files/file_500K;9628.84146496;9630.06219536;1.2207304000003205
BM(file): files/file_500K;9630.065407304;9631.226671862;1.1612645579989476
BM(file): files/file_500K;9631.229971557;9632.613520277;1.3835487199994532
BM(file): files/file_500K;9632.616872265;9633.859489443;1.242617178000728
BM(file): files/file_500K;9633.862880305;9635.035774261;1.1728939559998253
BM(file): files/file_500K;9635.038791537;9636.239744944;1.20095340700027
BM(file): files/file_500K;9636.242913805;9637.49525749;1.2523436850005965
BM(file): files/file_500K;9637.498861104;9638.845743896;1.3468827919987234
BM(file): files/file_500K;9638.849086466;9640.114905105;1.2658186389999173
BM(file): files/file_500K;9640.118353926;9641.409100073;1.290746147000391
BM(file): files/file_500K;9641.412436018;9642.686978945;1.2745429269998567
BM(file): files/file_500K;9642.691157647;9644.002300224;1.3111425770002825
BM(file): files/file_500K;9644.005546877;9645.308286551;1.3027396739998949
BM(file): files/file_500K;9645.311397911;9646.645627733;1.3342298219995428
BM(file): files/file_500K;9646.648730927;9647.98922243;1.3404915030005213
BM(file): files/file_500K;9647.992704294;9649.333164883;1.3404605890009407
BM(file): files/file_500K;9649.336567246;9650.687740513;1.3511732669994672
BM(file): files/file_500K;9650.691507504;9651.899982668;1.2084751639995375
BM(file): files/file_500K;9651.903359364;9653.146395579;1.2430362150007568
BM(file): files/file_500K;9653.149555814;9654.472091967;1.3225361530003283
BM(file): files/file_500K;9654.475223286;9655.810158714;1.3349354280016996
BM(file): files/file_500K;9655.813606244;9657.01090832;1.197302075999687
BM(file): files/file_500K;9657.014247308;9658.292111831;1.2778645230009715
BM(file): files/file_500K;9658.296474827;9659.587835595;1.2913607680002315
BM(file): files/file_500K;9659.590965914;9660.862864224;1.2718983100003243
BM(file): files/file_500K;9660.866143252;9662.020228922;1.1540856699994038
BM(file): files/file_500K;9662.023525909;9663.281367852;1.257841942999221
BM(file): files/file_500K;9663.284764339;9664.678917837;1.394153498000378
BM(file): files/file_500K;9664.682220823;9666.03917371;1.356952886999352
BM(file): files/file_500K;9666.042394238;9667.366432426;1.3240381880004861
BM(file): files/file_500K;9667.369653912;9668.638766753;1.2691128410006058
BM(file): files/file_500K;9668.64188628;9669.965899181;1.3240129009991506
BM(file): files/file_500K;9669.96875233;9671.289871958;1.3211196280008153
BM(file): files/file_500K;9671.294623041;9672.625117002;1.330493961000684
BM(file): files/file_500K;9672.628567866;9673.876109695;1.2475418289996014
BM(file): files/file_500K;9673.879137305;9675.181616236;1.3024789309984044
BM(file): files/file_500K;9675.184966974;9676.405601908;1.220634933999463
BM(file): files/file_500K;9676.410203073;9677.612598143;1.2023950700004207
BM(file): files/file_500K;9677.617091307;9679.001742539;1.384651231999669
BM(file): files/file_500K;9679.004854566;9680.329804826;1.32495026000106
BM(file): files/file_500K;9680.333201022;9681.576396827;1.2431958050001413
BM(file): files/file_500K;9681.579583938;9682.921060762;1.341476823999983
BM(file): files/file_500K;9682.92431554;9684.238350587;1.3140350470002886
BM(file): files/file_500K;9684.24154499;9685.543448101;1.301903110999774
BM(file): files/file_500K;9685.547076715;9686.868083744;1.3210070290006115
BM(file): files/file_500K;9686.872362323;9688.210523377;1.338161054000011
BM(file): files/file_500K;9688.213586153;9689.543379513;1.3297933599988028
BM(file): files/file_500K;9689.546856668;9690.919102022;1.3722453540012793
BM(file): files/file_500K;9690.922039048;9692.240412771;1.3183737229992403
BM(file): files/file_500K;9692.244807059;9693.54967;1.304862941000465
