Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4ae31fb5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;2157.410153974;2158.603036185;1.1928822109998691
BM(file): files/file_1M;2158.61063381;2159.773814146;1.1631803360000958
BM(file): files/file_1M;2159.777932191;2160.932769885;1.1548376939999798
BM(file): files/file_1M;2160.937154599;2162.197167302;1.2600127029995747
BM(file): files/file_1M;2162.201791269;2163.386599811;1.1848085420001553
BM(file): files/file_1M;2163.391124735;2164.578579505;1.1874547699999312
BM(file): files/file_1M;2164.584137441;2165.843607858;1.2594704169996476
BM(file): files/file_1M;2165.848381826;2167.022111302;1.1737294760000623
BM(file): files/file_1M;2167.029173795;2168.195648975;1.1664751799999067
BM(file): files/file_1M;2168.200486944;2169.444395661;1.2439087169996128
BM(file): files/file_1M;2169.449466758;2170.610871156;1.1614043979998314
BM(file): files/file_1M;2170.615801585;2171.806308205;1.1905066199997236
BM(file): files/file_1M;2171.810729128;2172.976687306;1.1659581779999826
BM(file): files/file_1M;2172.980949311;2174.24722748;1.2662781690000884
BM(file): files/file_1M;2174.251463984;2175.409027553;1.1575635690001036
BM(file): files/file_1M;2175.413362016;2176.575763629;1.162401612999929
BM(file): files/file_1M;2176.582100156;2177.840442793;1.258342637000169
BM(file): files/file_1M;2177.844605338;2179.017113249;1.1725079110001388
BM(file): files/file_1M;2179.021312377;2180.177921567;1.1566091899999265
BM(file): files/file_1M;2180.184640556;2181.438434655;1.2537940990000607
BM(file): files/file_1M;2181.442668826;2182.603788587;1.161119761000009
BM(file): files/file_1M;2182.609128311;2183.794132279;1.1850039680002737
BM(file): files/file_1M;2183.799207958;2185.068797864;1.2695899059999647
BM(file): files/file_1M;2185.073156536;2186.23695809;1.1638015539997468
BM(file): files/file_1M;2186.241790141;2187.401715354;1.1599252129999513
BM(file): files/file_1M;2187.406123984;2188.572831552;1.16670756800022
BM(file): files/file_1M;2188.577271475;2189.832544689;1.2552732139997715
BM(file): files/file_1M;2189.836863485;2190.987712032;1.1508485470003507
BM(file): files/file_1M;2190.994263227;2192.159531543;1.1652683160000379
BM(file): files/file_1M;2192.16433697;2193.413488339;1.2491513690001739
BM(file): files/file_1M;2193.41853456;2194.591156479;1.1726219189999938
BM(file): files/file_1M;2194.598680476;2195.775806393;1.1771259170000121
BM(file): files/file_1M;2195.780908697;2197.012147139;1.2312384419997215
BM(file): files/file_1M;2197.018663542;2198.188801616;1.1701380740000786
BM(file): files/file_1M;2198.193322789;2199.351873523;1.1585507340000731
BM(file): files/file_1M;2199.356696199;2200.534399878;1.177703678999933
BM(file): files/file_1M;2200.538624548;2201.807871982;1.2692474340001354
BM(file): files/file_1M;2201.814748221;2202.965734265;1.1509860439996373
BM(file): files/file_1M;2202.970897278;2204.136724012;1.165826733999893
BM(file): files/file_1M;2204.141605356;2205.416688364;1.2750830079999105
BM(file): files/file_1M;2205.421240954;2206.58922386;1.1679829059999065
BM(file): files/file_1M;2206.59440154;2207.761865766;1.1674642259999928
BM(file): files/file_1M;2207.766184812;2209.015740146;1.2495553339999788
BM(file): files/file_1M;2209.02199517;2210.168334405;1.1463392350001413
BM(file): files/file_1M;2210.173074497;2211.337166577;1.1640920800000458
BM(file): files/file_1M;2211.341371205;2212.495930177;1.1545589719999043
BM(file): files/file_1M;2212.50130265;2213.777635398;1.2763327479997315
BM(file): files/file_1M;2213.781532689;2214.948752235;1.1672195460000694
BM(file): files/file_1M;2214.953377575;2216.14947975;1.1961021749998508
BM(file): files/file_1M;2216.154235925;2217.446499394;1.292263468999863
BM(file): files/file_1M;2217.450559937;2218.614778009;1.1642180720000397
BM(file): files/file_1M;2218.619171805;2219.792258587;1.173086782000155
BM(file): files/file_1M;2219.799350578;2221.060562192;1.2612116139998761
BM(file): files/file_1M;2221.064753445;2222.233703957;1.168950512000265
BM(file): files/file_1M;2222.238594592;2223.396379895;1.157785302999855
BM(file): files/file_1M;2223.402122664;2224.662885289;1.2607626249996429
BM(file): files/file_1M;2224.667385002;2225.827339646;1.159954643999754
BM(file): files/file_1M;2225.831591024;2227.001694181;1.170103157000085
BM(file): files/file_1M;2227.00921226;2228.167661412;1.1584491520002302
BM(file): files/file_1M;2228.17211425;2229.448898672;1.2767844219997642
BM(file): files/file_1M;2229.455932537;2230.617457414;1.1615248769999198
BM(file): files/file_1M;2230.621613332;2231.784421048;1.162807715999861
BM(file): files/file_1M;2231.788584299;2233.035162171;1.2465778720002163
BM(file): files/file_1M;2233.042228911;2234.204085766;1.161856854999769
BM(file): files/file_1M;2234.212124349;2235.382561702;1.1704373530001249
BM(file): files/file_1M;2235.389826278;2236.629039213;1.2392129350000687
BM(file): files/file_1M;2236.633718429;2237.788923649;1.1552052199999707
BM(file): files/file_1M;2237.796174641;2238.965928587;1.1697539459996733
BM(file): files/file_1M;2238.970788137;2240.144434199;1.1736460619999889
BM(file): files/file_1M;2240.148782786;2241.409143947;1.2603611609997643
BM(file): files/file_1M;2241.413567785;2242.570223446;1.156655661000059
BM(file): files/file_1M;2242.574600116;2243.730077049;1.1554769330000454
BM(file): files/file_1M;2243.736767618;2244.993253589;1.25648597099962
BM(file): files/file_1M;2244.998957898;2246.173661763;1.1747038650000832
BM(file): files/file_1M;2246.181384717;2247.340967418;1.1595827010000903
BM(file): files/file_1M;2247.346162847;2248.593320403;1.24715755599982
BM(file): files/file_1M;2248.597449613;2249.755312072;1.1578624589997162
BM(file): files/file_1M;2249.75932053;2250.910430744;1.151110214000255
BM(file): files/file_1M;2250.914582329;2252.15618401;1.2416016809997927
BM(file): files/file_1M;2252.159993758;2253.313086144;1.1530923860000257
BM(file): files/file_1M;2253.317214061;2254.467179074;1.1499650129999281
BM(file): files/file_1M;2254.472430211;2255.639481643;1.167051432000335
BM(file): files/file_1M;2255.644467069;2256.912174236;1.267707167000026
BM(file): files/file_1M;2256.919638396;2258.090652185;1.1710137889999714
BM(file): files/file_1M;2258.097676257;2259.245541551;1.1478652939999847
BM(file): files/file_1M;2259.249768511;2260.50538632;1.2556178089998866
BM(file): files/file_1M;2260.509406986;2261.690836567;1.1814295809999749
BM(file): files/file_1M;2261.697292175;2262.855860722;1.1585685470004137
BM(file): files/file_1M;2262.859944847;2264.095924887;1.2359800399999585
BM(file): files/file_1M;2264.100306182;2265.245545035;1.1452388529996824
BM(file): files/file_1M;2265.24949795;2266.409820242;1.1603222919998188
BM(file): files/file_1M;2266.415367007;2267.582325735;1.1669587279998268
BM(file): files/file_1M;2267.587238576;2268.840632305;1.2533937289999812
BM(file): files/file_1M;2268.845685606;2270.010717923;1.1650323169997137
BM(file): files/file_1M;2270.014615838;2271.181107912;1.1664920739999616
