Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sfa94247f --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_1M;1571.964222401;1574.511807043;2.5475846420001744
BM(file): files/file_1M;1574.516779955;1577.065121468;2.5483415129999685
BM(file): files/file_1M;1577.06999092;1579.787654779;2.717663858999913
BM(file): files/file_1M;1579.796219216;1582.366721868;2.570502651999959
BM(file): files/file_1M;1582.374455174;1585.076966691;2.702511516999948
BM(file): files/file_1M;1585.082881401;1587.894773034;2.8118916330001866
BM(file): files/file_1M;1587.89859777;1590.583787888;2.685190118000037
BM(file): files/file_1M;1590.588555173;1593.421237974;2.832682800999919
BM(file): files/file_1M;1593.425663798;1596.089338779;2.6636749809999856
BM(file): files/file_1M;1596.09431544;1598.631759703;2.5374442629999976
BM(file): files/file_1M;1598.635825274;1601.155645692;2.5198204180001085
BM(file): files/file_1M;1601.161100523;1603.740456238;2.5793557150000197
BM(file): files/file_1M;1603.746751242;1606.273178147;2.52642690499988
BM(file): files/file_1M;1606.277763972;1608.897407083;2.6196431109999594
BM(file): files/file_1M;1608.902091658;1611.520076414;2.6179847559999416
BM(file): files/file_1M;1611.525429911;1614.260527545;2.7350976340001125
BM(file): files/file_1M;1614.266068085;1616.860958238;2.594890153000051
BM(file): files/file_1M;1616.866492486;1619.517253699;2.6507612130001235
BM(file): files/file_1M;1619.52369337;1622.303558212;2.779864842000052
BM(file): files/file_1M;1622.334411518;1625.05489938;2.7204878620000272
BM(file): files/file_1M;1625.05898966;1627.898112283;2.839122623000094
BM(file): files/file_1M;1627.903143986;1630.625686217;2.722542231000034
BM(file): files/file_1M;1630.630254459;1633.357289379;2.7270349199998236
BM(file): files/file_1M;1633.363194505;1636.04360683;2.680412325000134
BM(file): files/file_1M;1636.04779961;1638.705157261;2.657357650999984
BM(file): files/file_1M;1638.710968719;1641.207110077;2.4961413579999316
BM(file): files/file_1M;1641.211617817;1643.877851264;2.666233446999968
BM(file): files/file_1M;1643.883910808;1646.724096244;2.840185435999956
BM(file): files/file_1M;1646.730950126;1649.466620511;2.7356703850000486
BM(file): files/file_1M;1649.472267635;1651.940304549;2.468036914000095
BM(file): files/file_1M;1651.944465787;1654.536925544;2.5924597570001424
BM(file): files/file_1M;1654.542476917;1657.334121385;2.7916444679999586
BM(file): files/file_1M;1657.338563708;1660.099320404;2.760756696000044
BM(file): files/file_1M;1660.104442607;1662.708120752;2.6036781450000035
BM(file): files/file_1M;1662.712528367;1665.300069514;2.587541146999911
BM(file): files/file_1M;1665.30420796;1668.025424556;2.7212165959999766
BM(file): files/file_1M;1668.03003713;1670.700907857;2.670870726999965
BM(file): files/file_1M;1670.706096144;1673.350437423;2.6443412789999456
BM(file): files/file_1M;1673.354541077;1676.025764582;2.6712235049999435
BM(file): files/file_1M;1676.029952821;1678.71360849;2.683655669000018
BM(file): files/file_1M;1678.717810811;1681.406724135;2.6889133240001684
BM(file): files/file_1M;1681.412396592;1684.051218842;2.6388222499999756
BM(file): files/file_1M;1684.057653304;1686.823416327;2.765763022999863
BM(file): files/file_1M;1686.827602941;1689.495139338;2.667536397000049
BM(file): files/file_1M;1689.500160999;1692.10117554;2.6010145410000405
BM(file): files/file_1M;1692.106621037;1694.755225952;2.648604915000078
BM(file): files/file_1M;1694.75921748;1697.17688716;2.4176696800000173
BM(file): files/file_1M;1697.180613186;1699.990475402;2.8098622159998285
BM(file): files/file_1M;1699.995446562;1702.795740577;2.800294014999963
BM(file): files/file_1M;1702.802729543;1705.498531306;2.695801762999963
BM(file): files/file_1M;1705.502466168;1708.100398478;2.597932310000033
BM(file): files/file_1M;1708.106144643;1710.808311063;2.7021664199999123
BM(file): files/file_1M;1710.812247924;1713.353504568;2.5412566439999864
BM(file): files/file_1M;1713.358485645;1716.047229289;2.688743643999942
BM(file): files/file_1M;1716.05438234;1718.788462882;2.7340805419999015
BM(file): files/file_1M;1718.792357659;1721.55636149;2.764003831000082
BM(file): files/file_1M;1721.560484727;1724.314118102;2.753633375000163
BM(file): files/file_1M;1724.319501974;1726.770143359;2.4506413849999262
BM(file): files/file_1M;1726.774449973;1729.514951617;2.7405016440000054
BM(file): files/file_1M;1729.519853693;1732.236866497;2.717012803999978
BM(file): files/file_1M;1732.241750198;1734.984081633;2.742331434999869
BM(file): files/file_1M;1734.989158461;1737.760132259;2.7709737980001137
BM(file): files/file_1M;1737.765156253;1740.481183988;2.716027735000125
BM(file): files/file_1M;1740.486350983;1743.074878976;2.5885279930000706
BM(file): files/file_1M;1743.078980671;1745.68461978;2.6056391090000943
BM(file): files/file_1M;1745.690170111;1748.383412583;2.6932424720000654
BM(file): files/file_1M;1748.387387153;1751.027783495;2.640396342000031
BM(file): files/file_1M;1751.032060692;1753.64389566;2.6118349680000392
BM(file): files/file_1M;1753.648907196;1756.544227495;2.8953202990001046
BM(file): files/file_1M;1756.549547908;1759.335933139;2.78638523099994
BM(file): files/file_1M;1759.339843875;1761.904154865;2.564310989999967
BM(file): files/file_1M;1761.908261936;1764.552429234;2.644167298000184
BM(file): files/file_1M;1764.556647805;1767.244815659;2.688167854000085
BM(file): files/file_1M;1767.249817278;1769.764782195;2.514964917000043
BM(file): files/file_1M;1769.76880089;1772.325275637;2.5564747470000384
BM(file): files/file_1M;1772.330099004;1775.158436205;2.8283372010000676
BM(file): files/file_1M;1775.162728777;1777.944829271;2.7821004939999057
BM(file): files/file_1M;1777.949663805;1780.45844895;2.508785145000047
BM(file): files/file_1M;1780.462540354;1783.058231149;2.595690794999882
BM(file): files/file_1M;1783.062263594;1785.717204759;2.654941165000082
BM(file): files/file_1M;1785.72211321;1788.400310451;2.678197240999907
BM(file): files/file_1M;1788.405495987;1791.071339261;2.6658432740000535
BM(file): files/file_1M;1791.07599971;1793.748753569;2.6727538590000677
BM(file): files/file_1M;1793.752956515;1796.48815435;2.735197835000008
BM(file): files/file_1M;1796.520555161;1799.144182622;2.623627461000069
BM(file): files/file_1M;1799.148758988;1801.918431763;2.76967277499989
BM(file): files/file_1M;1801.923352423;1804.787819651;2.864467227999967
BM(file): files/file_1M;1804.791585178;1807.408602703;2.6170175249999375
BM(file): files/file_1M;1807.412799149;1810.136146333;2.7233471839999766
BM(file): files/file_1M;1810.145620025;1813.099959036;2.954339011000002
BM(file): files/file_1M;1813.116546152;1815.689086517;2.5725403650001226
BM(file): files/file_1M;1815.693232671;1818.414881496;2.7216488249998747
BM(file): files/file_1M;1818.419972115;1821.105240596;2.6852684809998664
BM(file): files/file_1M;1821.111552932;1823.89553156;2.7839786280001135
BM(file): files/file_1M;1823.899714256;1826.597113396;2.697399140000016
