Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sfa94247f --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;1173.98486404;1174.578843694;0.5939796539998952
BM(file): files/file_500K;1174.608513249;1175.186676425;0.5781631760000892
BM(file): files/file_500K;1175.193489944;1175.794338237;0.6008482929998991
BM(file): files/file_500K;1175.797978769;1176.399161228;0.6011824589998014
BM(file): files/file_500K;1176.404226689;1177.014303058;0.6100763689998985
BM(file): files/file_500K;1177.017952757;1177.659558901;0.6416061439999794
BM(file): files/file_500K;1177.664656947;1178.359297307;0.694640359999994
BM(file): files/file_500K;1178.363645929;1178.935618826;0.5719728970000233
BM(file): files/file_500K;1178.939521902;1179.526253802;0.5867318999999043
BM(file): files/file_500K;1179.53288111;1180.116265728;0.5833846179998545
BM(file): files/file_500K;1180.122389032;1180.731625417;0.6092363850000311
BM(file): files/file_500K;1180.735817996;1181.341691722;0.6058737260000271
BM(file): files/file_500K;1181.345547923;1182.058848012;0.7133000890000858
BM(file): files/file_500K;1182.06354572;1182.642609538;0.579063817999895
BM(file): files/file_500K;1182.648928469;1183.233641167;0.5847126979999757
BM(file): files/file_500K;1183.237349283;1183.834989927;0.5976406439999664
BM(file): files/file_500K;1183.83931109;1184.432552482;0.5932413919999817
BM(file): files/file_500K;1184.437694278;1185.064168919;0.6264746409999589
BM(file): files/file_500K;1185.069190213;1185.665964132;0.596773919000043
BM(file): files/file_500K;1185.673068195;1186.374951076;0.7018828809998467
BM(file): files/file_500K;1186.387561479;1186.975947276;0.5883857970000008
BM(file): files/file_500K;1186.97999002;1187.574372367;0.5943823469999643
BM(file): files/file_500K;1187.582879151;1188.171351652;0.5884725010000693
BM(file): files/file_500K;1188.179063303;1188.777763183;0.5986998799999128
BM(file): files/file_500K;1188.782203055;1189.40332867;0.6211256149999826
BM(file): files/file_500K;1189.409629309;1190.126905264;0.7172759550001047
BM(file): files/file_500K;1190.131344553;1190.720153755;0.5888092019999931
BM(file): files/file_500K;1190.724651461;1191.313772412;0.5891209510000408
BM(file): files/file_500K;1191.318797331;1191.955074234;0.6362769029999527
BM(file): files/file_500K;1191.95992986;1192.851448368;0.8915185079999901
BM(file): files/file_500K;1192.856523537;1193.736347644;0.879824107000104
BM(file): files/file_500K;1193.768889929;1194.351361558;0.5824716290001106
BM(file): files/file_500K;1194.35544101;1195.048909482;0.6934684719999495
BM(file): files/file_500K;1195.053927692;1195.638765504;0.5848378120001598
BM(file): files/file_500K;1195.645399562;1196.238748404;0.5933488420000685
BM(file): files/file_500K;1196.243181401;1196.822868038;0.5796866370001226
BM(file): files/file_500K;1196.828774882;1197.431133879;0.6023589970000103
BM(file): files/file_500K;1197.434781619;1198.044866391;0.6100847719999365
BM(file): files/file_500K;1198.05026573;1198.760784998;0.7105192679998709
BM(file): files/file_500K;1198.765915876;1199.344780661;0.5788647849999506
BM(file): files/file_500K;1199.350849589;1199.926616346;0.575766756999883
BM(file): files/file_500K;1199.932585898;1200.521644058;0.5890581599999223
BM(file): files/file_500K;1200.52948146;1201.106645974;0.5771645140000601
BM(file): files/file_500K;1201.111073845;1201.727161195;0.6160873500000434
BM(file): files/file_500K;1201.730771435;1202.334435006;0.60366357099997
BM(file): files/file_500K;1202.340899229;1203.120911786;0.780012557000191
BM(file): files/file_500K;1203.124774861;1203.739246563;0.6144717019999462
BM(file): files/file_500K;1203.748353433;1204.373532057;0.6251786240000001
BM(file): files/file_500K;1204.379020855;1204.958674125;0.579653270000108
BM(file): files/file_500K;1204.963578917;1205.58381466;0.6202357429999665
BM(file): files/file_500K;1205.593436077;1206.197157716;0.603721639000014
BM(file): files/file_500K;1206.202875682;1206.933766752;0.7308910700000979
BM(file): files/file_500K;1206.938210916;1207.520383446;0.5821725300002072
BM(file): files/file_500K;1207.524359314;1208.117841773;0.5934824589999153
BM(file): files/file_500K;1208.122642065;1208.703464246;0.5808221810000305
BM(file): files/file_500K;1208.707522489;1209.299556889;0.5920344000001023
BM(file): files/file_500K;1209.30546244;1209.933140271;0.6276778310000282
BM(file): files/file_500K;1209.937281515;1210.645775206;0.7084936910000579
BM(file): files/file_500K;1210.649471821;1211.24053833;0.5910665090000293
BM(file): files/file_500K;1211.24795056;1212.01087938;0.7629288200000701
BM(file): files/file_500K;1212.016562762;1212.638968827;0.6224060650001775
BM(file): files/file_500K;1212.64432579;1213.224729949;0.5804041589999542
BM(file): files/file_500K;1213.230860877;1213.842275968;0.6114150910000262
BM(file): files/file_500K;1213.850663207;1214.431947577;0.5812843700000485
BM(file): files/file_500K;1214.438228631;1215.20174023;0.7635115990001395
BM(file): files/file_500K;1215.225664227;1215.812368807;0.5867045800000597
BM(file): files/file_500K;1215.816430216;1216.407958208;0.5915279920000103
BM(file): files/file_500K;1216.413158294;1217.004145155;0.5909868610001467
BM(file): files/file_500K;1217.012159599;1217.610287393;0.5981277939999927
BM(file): files/file_500K;1217.615912566;1218.222880725;0.6069681590001892
BM(file): files/file_500K;1218.227295138;1218.930447868;0.7031527300000562
BM(file): files/file_500K;1218.936418128;1219.508778818;0.5723606900000959
BM(file): files/file_500K;1219.519401618;1220.13190865;0.6125070319999395
BM(file): files/file_500K;1220.140384181;1220.728161957;0.5877777760001663
BM(file): files/file_500K;1220.732111325;1221.308534501;0.5764231759999348
BM(file): files/file_500K;1221.313572461;1221.939701311;0.6261288499999864
BM(file): files/file_500K;1221.943384759;1222.524806932;0.5814221729999645
BM(file): files/file_500K;1222.529662891;1223.261576804;0.7319139129999712
BM(file): files/file_500K;1223.265413629;1223.847432095;0.5820184659999086
BM(file): files/file_500K;1223.853523105;1224.450287485;0.5967643799999678
BM(file): files/file_500K;1224.454206935;1225.024076293;0.5698693580000054
BM(file): files/file_500K;1225.029593548;1225.637592686;0.6079991379999683
BM(file): files/file_500K;1225.642131017;1226.255368405;0.6132373879997886
BM(file): files/file_500K;1226.260206321;1226.944850357;0.6846440360000088
BM(file): files/file_500K;1226.949517397;1227.531976727;0.5824593300001197
BM(file): files/file_500K;1227.535685133;1228.123974011;0.5882888779999575
BM(file): files/file_500K;1228.130888195;1228.730456499;0.5995683040000586
BM(file): files/file_500K;1228.736618718;1229.331252645;0.5946339269999044
BM(file): files/file_500K;1229.337953952;1229.968256638;0.63030268600005
BM(file): files/file_500K;1229.972300297;1230.721188487;0.7488881900001161
BM(file): files/file_500K;1230.725137104;1231.308263425;0.5831263210000088
BM(file): files/file_500K;1231.313476344;1231.911115537;0.5976391929998499
BM(file): files/file_500K;1231.917527633;1232.557695517;0.6401678839999931
BM(file): files/file_500K;1232.564469283;1233.178442859;0.6139735759998075
