Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4ae31fb5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2088.427364512;2089.045388104;0.6180235919996449
BM(file): files/file_500K;2089.052563894;2089.651936437;0.5993725430002996
BM(file): files/file_500K;2089.659402772;2090.241756576;0.5823538040003768
BM(file): files/file_500K;2090.246379671;2090.836245392;0.5898657210000238
BM(file): files/file_500K;2090.84015752;2091.422998449;0.582840928999758
BM(file): files/file_500K;2091.427085829;2091.999591722;0.5725058929997431
BM(file): files/file_500K;2092.00440686;2092.680527262;0.6761204019999241
BM(file): files/file_500K;2092.684625434;2093.260617319;0.5759918850003487
BM(file): files/file_500K;2093.264769491;2093.83836818;0.5735986889999367
BM(file): files/file_500K;2093.842388226;2094.427943589;0.5855553629999122
BM(file): files/file_500K;2094.43291852;2095.0017399;0.5688213799999176
BM(file): files/file_500K;2095.007756051;2095.600535158;0.5927791070002968
BM(file): files/file_500K;2095.605121544;2096.190695649;0.5855741049999779
BM(file): files/file_500K;2096.19514245;2096.875843049;0.6807005990003745
BM(file): files/file_500K;2096.88020039;2097.457285893;0.5770855030000348
BM(file): files/file_500K;2097.461362148;2098.04891681;0.5875546620000023
BM(file): files/file_500K;2098.056688481;2098.638801162;0.582112681000126
BM(file): files/file_500K;2098.643381047;2099.240503519;0.5971224720001373
BM(file): files/file_500K;2099.249809041;2099.842690589;0.5928815480001504
BM(file): files/file_500K;2099.846894137;2100.511394491;0.664500353999756
BM(file): files/file_500K;2100.515679415;2101.101368541;0.5856891260000339
BM(file): files/file_500K;2101.108538789;2101.688165261;0.5796264720002
BM(file): files/file_500K;2101.693373404;2102.280923504;0.587550100000044
BM(file): files/file_500K;2102.285367804;2102.870406541;0.5850387370001044
BM(file): files/file_500K;2102.876624403;2103.459416152;0.58279174900008
BM(file): files/file_500K;2103.463438531;2104.052137595;0.5886990640001386
BM(file): files/file_500K;2104.058601002;2104.720605641;0.6620046389998606
BM(file): files/file_500K;2104.724778688;2105.302376204;0.5775975160004236
BM(file): files/file_500K;2105.306536584;2105.901447919;0.5949113350002335
BM(file): files/file_500K;2105.905689758;2106.492737876;0.5870481179999842
BM(file): files/file_500K;2106.498230479;2107.083461658;0.5852311789999476
BM(file): files/file_500K;2107.092708553;2107.674187187;0.5814786339997227
BM(file): files/file_500K;2107.680637718;2108.255331147;0.5746934290000354
BM(file): files/file_500K;2108.259948782;2108.937501408;0.6775526260003062
BM(file): files/file_500K;2108.942625716;2109.525218353;0.582592637000289
BM(file): files/file_500K;2109.531660051;2110.109448965;0.5777889139999388
BM(file): files/file_500K;2110.114685107;2110.714380974;0.5996958670002641
BM(file): files/file_500K;2110.720720629;2111.314355924;0.5936352950002401
BM(file): files/file_500K;2111.318280468;2111.904562762;0.5862822939998296
BM(file): files/file_500K;2111.909170897;2112.593465622;0.6842947250001998
BM(file): files/file_500K;2112.597500917;2113.17165336;0.5741524430000027
BM(file): files/file_500K;2113.176883711;2113.757907354;0.5810236430002078
BM(file): files/file_500K;2113.764699014;2114.343495629;0.5787966149996464
BM(file): files/file_500K;2114.347755635;2114.931215759;0.5834601240003394
BM(file): files/file_500K;2114.93770104;2115.53324763;0.59554659000014
BM(file): files/file_500K;2115.537209424;2116.109950173;0.5727407489998768
BM(file): files/file_500K;2116.117247796;2116.785293318;0.6680455220002841
BM(file): files/file_500K;2116.792182687;2117.422784869;0.6306021820000751
BM(file): files/file_500K;2117.426951457;2117.999282193;0.5723307359999126
BM(file): files/file_500K;2118.004200998;2118.596753499;0.5925525009997727
BM(file): files/file_500K;2118.600723502;2119.18161087;0.5808873679998214
BM(file): files/file_500K;2119.185548872;2119.770141614;0.5845927420000407
BM(file): files/file_500K;2119.775358547;2120.380204385;0.6048458380000739
BM(file): files/file_500K;2120.384387057;2121.07964782;0.6952607630000784
BM(file): files/file_500K;2121.083922826;2121.671218963;0.5872961369996119
BM(file): files/file_500K;2121.676302603;2122.258243053;0.5819404500002747
BM(file): files/file_500K;2122.262883688;2122.842461277;0.5795775890001096
BM(file): files/file_500K;2122.846474197;2123.425923905;0.5794497080000838
BM(file): files/file_500K;2123.429825032;2124.024325615;0.5945005830003538
BM(file): files/file_500K;2124.028515953;2124.702409751;0.6738937979998809
BM(file): files/file_500K;2124.706265502;2125.28812248;0.5818569779999052
BM(file): files/file_500K;2125.296477489;2125.886869602;0.5903921129997798
BM(file): files/file_500K;2125.890925731;2126.466935846;0.5760101149999173
BM(file): files/file_500K;2126.473716797;2127.059478269;0.585761471999831
BM(file): files/file_500K;2127.063510814;2127.647503722;0.5839929079998001
BM(file): files/file_500K;2127.654732845;2128.236160097;0.5814272519996848
BM(file): files/file_500K;2128.241214736;2128.910822466;0.6696077299998251
BM(file): files/file_500K;2128.914997346;2129.493129389;0.578132043000096
BM(file): files/file_500K;2129.498293405;2130.082469513;0.5841761080000651
BM(file): files/file_500K;2130.08815691;2130.677848369;0.5896914589998232
BM(file): files/file_500K;2130.682107458;2131.271183282;0.5890758240002469
BM(file): files/file_500K;2131.275662206;2131.848812478;0.5731502720000208
BM(file): files/file_500K;2131.852709687;2132.431809062;0.579099375000169
BM(file): files/file_500K;2132.437189622;2133.125839708;0.6886500860000524
BM(file): files/file_500K;2133.129903212;2133.714536519;0.5846333069998764
BM(file): files/file_500K;2133.718841816;2134.305294223;0.5864524070002517
BM(file): files/file_500K;2134.309803898;2134.886191484;0.5763875859997825
BM(file): files/file_500K;2134.890707993;2135.472905264;0.5821972710000409
BM(file): files/file_500K;2135.477226145;2136.060258966;0.5830328210004154
BM(file): files/file_500K;2136.067388003;2136.745201036;0.677813032999893
BM(file): files/file_500K;2136.750660305;2137.327919931;0.5772596259998863
BM(file): files/file_500K;2137.332200728;2137.929943996;0.5977432680001584
BM(file): files/file_500K;2137.934200418;2138.517958611;0.5837581929999942
BM(file): files/file_500K;2138.522637496;2139.105845222;0.5832077260001824
BM(file): files/file_500K;2139.110927737;2139.68707855;0.5761508129999129
BM(file): files/file_500K;2139.692332566;2140.287927758;0.5955951920000189
BM(file): files/file_500K;2140.294622915;2140.972967433;0.6783445179999035
BM(file): files/file_500K;2140.977085478;2141.550498462;0.5734129840002424
BM(file): files/file_500K;2141.555390307;2142.140560626;0.585170319000099
BM(file): files/file_500K;2142.145361054;2142.740349396;0.5949883419998514
BM(file): files/file_500K;2142.744268647;2143.329189708;0.5849210609999318
BM(file): files/file_500K;2143.334497225;2143.92436938;0.589872154999739
BM(file): files/file_500K;2143.928692428;2144.519511799;0.5908193710001797
BM(file): files/file_500K;2144.523336258;2145.204748497;0.6814122389996555
BM(file): files/file_500K;2145.209518508;2145.792992461;0.5834739529996114
