Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sfa94247f --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;1408.422139637;1430.417547525;21.995407887999818
BM(file): files/file_500K;1430.424660246;1431.70335605;1.2786958039998808
BM(file): files/file_500K;1431.707381872;1433.042332682;1.3349508100000094
BM(file): files/file_500K;1433.048974066;1434.278588737;1.2296146710000357
BM(file): files/file_500K;1434.282729018;1435.541302822;1.2585738039999796
BM(file): files/file_500K;1435.545638063;1436.757393882;1.2117558190000182
BM(file): files/file_500K;1436.762267044;1438.084102527;1.3218354829998589
BM(file): files/file_500K;1438.088145099;1439.43021323;1.3420681309999054
BM(file): files/file_500K;1439.435023891;1440.77166806;1.3366441690000102
BM(file): files/file_500K;1440.778738363;1442.189193793;1.4104554299999563
BM(file): files/file_500K;1442.19473571;1443.548677916;1.353942206000056
BM(file): files/file_500K;1443.55302774;1444.92334894;1.3703212000000349
BM(file): files/file_500K;1444.927434679;1446.109132655;1.1816979759998958
BM(file): files/file_500K;1446.115679038;1447.517733592;1.4020545539999603
BM(file): files/file_500K;1447.521795498;1448.809377683;1.2875821850000193
BM(file): files/file_500K;1448.815993983;1450.13773442;1.3217404370000168
BM(file): files/file_500K;1450.142613999;1451.405244528;1.2626305289998072
BM(file): files/file_500K;1451.414255304;1452.867330723;1.4530754189997879
BM(file): files/file_500K;1452.87153513;1454.205510312;1.3339751819999037
BM(file): files/file_500K;1454.21143819;1455.543422061;1.3319838709999203
BM(file): files/file_500K;1455.547735093;1456.681603884;1.1338687909999408
BM(file): files/file_500K;1456.687145134;1457.99233017;1.3051850360000117
BM(file): files/file_500K;1457.996730578;1459.246186523;1.2494559449999088
BM(file): files/file_500K;1459.251838441;1460.453222062;1.2013836209998772
BM(file): files/file_500K;1460.457291717;1461.742466465;1.2851747479999176
BM(file): files/file_500K;1461.747937964;1463.083713296;1.3357753320001393
BM(file): files/file_500K;1463.087699784;1464.297136995;1.2094372110000222
BM(file): files/file_500K;1464.301104942;1465.486667553;1.185562611000023
BM(file): files/file_500K;1465.492429472;1466.851467757;1.359038284999997
BM(file): files/file_500K;1466.856328543;1468.172826421;1.3164978780000638
BM(file): files/file_500K;1468.176745409;1469.511332751;1.3345873420000771
BM(file): files/file_500K;1469.515228364;1470.878405625;1.3631772609999189
BM(file): files/file_500K;1470.883433579;1472.252367045;1.368933466000044
BM(file): files/file_500K;1472.258698592;1473.592504332;1.3338057400001162
BM(file): files/file_500K;1473.597909373;1475.018736134;1.4208267609999439
BM(file): files/file_500K;1475.023378794;1476.336280618;1.3129018239999368
BM(file): files/file_500K;1476.342643791;1477.623958542;1.2813147510000817
BM(file): files/file_500K;1477.627688736;1479.031614066;1.4039253299999928
BM(file): files/file_500K;1479.035722014;1480.417722258;1.3820002439999826
BM(file): files/file_500K;1480.421771497;1481.788916418;1.36714492100009
BM(file): files/file_500K;1481.79257182;1483.084315673;1.2917438530000709
BM(file): files/file_500K;1483.089138126;1484.400557039;1.3114189129998977
BM(file): files/file_500K;1484.404619152;1485.686913344;1.2822941920001085
BM(file): files/file_500K;1485.692818138;1487.062462352;1.3696442140001182
BM(file): files/file_500K;1487.066454048;1488.354971278;1.288517230000025
BM(file): files/file_500K;1488.361703579;1489.711335968;1.3496323889999076
BM(file): files/file_500K;1489.717697433;1491.033662651;1.315965217999974
BM(file): files/file_500K;1491.037748348;1492.313730222;1.275981874000081
BM(file): files/file_500K;1492.317431333;1493.65957028;1.3421389469999667
BM(file): files/file_500K;1493.665151738;1494.993796164;1.3286444259999826
BM(file): files/file_500K;1494.997757193;1496.396357968;1.3986007749999771
BM(file): files/file_500K;1496.40037904;1497.730060215;1.3296811750001325
BM(file): files/file_500K;1497.736261136;1498.912527543;1.1762664069999573
BM(file): files/file_500K;1498.91711166;1500.114572679;1.1974610190000021
BM(file): files/file_500K;1500.11911838;1501.379466196;1.2603478160001487
BM(file): files/file_500K;1501.383724019;1502.638481832;1.2547578129999692
BM(file): files/file_500K;1502.645478467;1504.069514907;1.424036440000009
BM(file): files/file_500K;1504.074522736;1505.490759572;1.4162368359998254
BM(file): files/file_500K;1505.494810268;1506.819975842;1.3251655740000388
BM(file): files/file_500K;1506.827777066;1508.102551429;1.274774363000006
BM(file): files/file_500K;1508.106612167;1509.395273338;1.2886611709998306
BM(file): files/file_500K;1509.400907755;1510.748458566;1.3475508110000192
BM(file): files/file_500K;1510.752451304;1512.091079004;1.338627699999961
BM(file): files/file_500K;1512.097110007;1513.390086531;1.2929765239998687
BM(file): files/file_500K;1513.394182978;1514.652859454;1.2586764760001188
BM(file): files/file_500K;1514.658598372;1515.989185584;1.3305872120001823
BM(file): files/file_500K;1515.996126927;1517.312250571;1.316123644000072
BM(file): files/file_500K;1517.316963147;1518.580912486;1.2639493389999643
BM(file): files/file_500K;1518.584800598;1519.901508447;1.3167078490000677
BM(file): files/file_500K;1519.905592477;1521.064460949;1.1588684719999947
BM(file): files/file_500K;1521.068904065;1522.403154746;1.3342506809999577
BM(file): files/file_500K;1522.40715515;1523.740621696;1.3334665459999542
BM(file): files/file_500K;1523.744901645;1525.007763458;1.2628618129999722
BM(file): files/file_500K;1525.012688911;1526.21983631;1.2071473989999504
BM(file): files/file_500K;1526.224743388;1527.607981374;1.38323798600004
BM(file): files/file_500K;1527.613239705;1528.884223485;1.270983779999824
BM(file): files/file_500K;1528.888022513;1530.20996554;1.3219430270000885
BM(file): files/file_500K;1530.214894618;1531.539724788;1.324830170000041
BM(file): files/file_500K;1531.544474489;1532.905213212;1.3607387229999404
BM(file): files/file_500K;1532.910581793;1534.240740662;1.3301588690001154
BM(file): files/file_500K;1534.24463319;1535.623351455;1.3787182649998613
BM(file): files/file_500K;1535.6283442;1536.884062056;1.2557178560000466
BM(file): files/file_500K;1536.888534797;1538.095981462;1.207446665000134
BM(file): files/file_500K;1538.100444787;1539.423475173;1.3230303860000276
BM(file): files/file_500K;1539.429541343;1540.819803012;1.3902616689999832
BM(file): files/file_500K;1540.823935584;1542.26275573;1.4388201459998982
BM(file): files/file_500K;1542.268192478;1543.484767198;1.2165747200001533
BM(file): files/file_500K;1543.488756227;1544.786471665;1.297715437999841
BM(file): files/file_500K;1544.790404277;1546.02049109;1.2300868129998435
BM(file): files/file_500K;1546.026225924;1547.269582915;1.2433569909999278
BM(file): files/file_500K;1547.273516402;1548.624851057;1.351334654999846
BM(file): files/file_500K;1548.629158755;1549.99809091;1.3689321550000386
BM(file): files/file_500K;1550.002242024;1551.266910662;1.2646686380001029
BM(file): files/file_500K;1551.271416487;1552.622384587;1.3509681000000455
