Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --plugin-config-value httpxtransport.force_close=true --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s4ae31fb5 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_500K;2306.103594061;2333.455498316;27.351904255000136
BM(file): files/file_500K;2333.461043329;2334.378707772;0.9176644429999214
BM(file): files/file_500K;2334.383483735;2335.170254131;0.7867703960000654
BM(file): files/file_500K;2335.176185565;2336.082473929;0.90628836399992
BM(file): files/file_500K;2336.086709429;2336.881053477;0.7943440479998571
BM(file): files/file_500K;2336.888182547;2337.919313843;1.0311312960002397
BM(file): files/file_500K;2337.923351258;2338.793630297;0.8702790390002519
BM(file): files/file_500K;2338.80057849;2339.564508977;0.763930486999925
BM(file): files/file_500K;2339.568717269;2340.411222193;0.842504923999968
BM(file): files/file_500K;2340.415175941;2341.266850661;0.8516747199996644
BM(file): files/file_500K;2341.271323872;2342.155432866;0.8841089940001439
BM(file): files/file_500K;2342.159419988;2343.074544576;0.9151245879997987
BM(file): files/file_500K;2343.078621741;2343.947839373;0.8692176320000726
BM(file): files/file_500K;2343.954037975;2344.84425281;0.8902148349998242
BM(file): files/file_500K;2344.848709729;2345.667396274;0.8186865450002188
BM(file): files/file_500K;2345.671366021;2346.506446432;0.8350804110000354
BM(file): files/file_500K;2346.511750525;2347.342669559;0.8309190340000896
BM(file): files/file_500K;2347.369509572;2348.301375176;0.9318656039999951
BM(file): files/file_500K;2348.307977824;2349.084498609;0.7765207850002298
BM(file): files/file_500K;2349.08974266;2350.017881012;0.9281383520001327
BM(file): files/file_500K;2350.021786592;2350.868605767;0.8468191750002916
BM(file): files/file_500K;2350.872812184;2351.625598434;0.7527862500000992
BM(file): files/file_500K;2351.629668641;2352.510731978;0.8810633369998868
BM(file): files/file_500K;2352.517684588;2353.466879256;0.9491946680000183
BM(file): files/file_500K;2353.471292591;2354.390188541;0.9188959500002056
BM(file): files/file_500K;2354.395276382;2355.281602218;0.8863258360001964
BM(file): files/file_500K;2355.285895052;2356.129193964;0.8432989120001366
BM(file): files/file_500K;2356.133198711;2356.987712438;0.8545137269998122
BM(file): files/file_500K;2356.992465901;2357.843981887;0.8515159860003223
BM(file): files/file_500K;2357.847937926;2358.71013947;0.8622015439996176
BM(file): files/file_500K;2358.713857298;2359.532286995;0.8184296969998286
BM(file): files/file_500K;2359.536406744;2360.385927491;0.8495207470000423
BM(file): files/file_500K;2360.391191709;2361.253852623;0.8626609140001165
BM(file): files/file_500K;2361.257893121;2362.145477275;0.8875841539997964
BM(file): files/file_500K;2362.151676127;2362.970117728;0.818441600999904
BM(file): files/file_500K;2363.014113074;2363.95596704;0.9418539660000533
BM(file): files/file_500K;2363.959897287;2364.725520409;0.7656231220003065
BM(file): files/file_500K;2364.732750771;2365.623563942;0.8908131709999907
BM(file): files/file_500K;2365.631113265;2366.432327186;0.8012139209999987
BM(file): files/file_500K;2366.439396879;2367.351730794;0.9123339150000902
BM(file): files/file_500K;2367.35576925;2368.241843864;0.8860746140003357
BM(file): files/file_500K;2368.24843997;2369.114450136;0.8660101659997963
BM(file): files/file_500K;2369.118547509;2370.0192178;0.9006702910000968
BM(file): files/file_500K;2370.024433392;2370.861155308;0.8367219159999877
BM(file): files/file_500K;2370.86513368;2371.755628407;0.8904947270002594
BM(file): files/file_500K;2371.760831582;2372.573328881;0.8124972990003698
BM(file): files/file_500K;2372.5786466;2373.485458602;0.9068120020001516
BM(file): files/file_500K;2373.489472683;2374.311616069;0.8221433860003344
BM(file): files/file_500K;2374.316140905;2375.07544868;0.7593077750002521
BM(file): files/file_500K;2375.081462113;2375.936783857;0.8553217440003209
BM(file): files/file_500K;2375.940675728;2376.76236556;0.8216898320001746
BM(file): files/file_500K;2376.768749288;2377.65791152;0.889162232000217
BM(file): files/file_500K;2377.661974476;2378.485797655;0.8238231790001009
BM(file): files/file_500K;2378.491632711;2379.330542491;0.8389097799999945
BM(file): files/file_500K;2379.334686073;2380.202868258;0.8681821850000233
BM(file): files/file_500K;2380.206928423;2381.032529527;0.8256011039998157
BM(file): files/file_500K;2381.036554774;2381.830153899;0.793599125000128
BM(file): files/file_500K;2381.834097062;2382.685416492;0.8513194299998759
BM(file): files/file_500K;2382.714082893;2383.564491436;0.8504085429999577
BM(file): files/file_500K;2383.571231667;2384.593745367;1.022513699999763
BM(file): files/file_500K;2384.597730989;2385.400308188;0.8025771990000976
BM(file): files/file_500K;2385.405459446;2386.239560237;0.83410079100031
BM(file): files/file_500K;2386.245612171;2387.155624358;0.9100121869996656
BM(file): files/file_500K;2387.160517738;2387.986751531;0.8262337930000285
BM(file): files/file_500K;2387.990932697;2388.86320968;0.8722769830001198
BM(file): files/file_500K;2388.867783849;2389.695966279;0.8281824300001972
BM(file): files/file_500K;2389.700064944;2390.590246051;0.8901811069999894
BM(file): files/file_500K;2390.596656529;2391.366559268;0.7699027389999173
BM(file): files/file_500K;2391.370781559;2392.158313506;0.787531946999934
BM(file): files/file_500K;2392.165229823;2393.003888676;0.8386588529997425
BM(file): files/file_500K;2393.008666138;2393.911334603;0.902668464999806
BM(file): files/file_500K;2393.915953856;2394.772160579;0.8562067229995591
BM(file): files/file_500K;2394.776570413;2395.731178161;0.954607747999944
BM(file): files/file_500K;2395.73784285;2396.623482848;0.8856399979999878
BM(file): files/file_500K;2396.628091601;2397.491791469;0.8636998679999124
BM(file): files/file_500K;2397.49585305;2398.396123432;0.9002703820001443
BM(file): files/file_500K;2398.399932594;2399.343631972;0.9436993780000194
BM(file): files/file_500K;2399.347512426;2400.255801003;0.9082885770003486
BM(file): files/file_500K;2400.259824083;2401.147322541;0.8874984580002092
BM(file): files/file_500K;2401.151657999;2402.010534347;0.8588763480001944
BM(file): files/file_500K;2402.014503635;2402.920498096;0.9059944609998638
BM(file): files/file_500K;2402.925295976;2403.751609755;0.8263137789999746
BM(file): files/file_500K;2403.755903546;2404.608388656;0.8524851100000888
BM(file): files/file_500K;2404.614640757;2405.598787456;0.9841466990001209
BM(file): files/file_500K;2405.60412334;2406.344411913;0.7402885729998161
BM(file): files/file_500K;2406.350161051;2407.191489629;0.841328577999775
BM(file): files/file_500K;2407.197795189;2407.997581367;0.7997861779999766
BM(file): files/file_500K;2408.002346454;2408.830639943;0.8282934889998614
BM(file): files/file_500K;2408.834929401;2409.644278623;0.8093492220000371
BM(file): files/file_500K;2409.649349713;2410.622779621;0.973429908000071
BM(file): files/file_500K;2410.629492144;2411.382638365;0.7531462209999518
BM(file): files/file_500K;2411.386999657;2412.217870784;0.830871126999682
BM(file): files/file_500K;2412.222176033;2412.99530094;0.7731249070002377
BM(file): files/file_500K;2412.999279562;2413.837053957;0.8377743949999967
BM(file): files/file_500K;2413.841338331;2414.78982611;0.948487779000061
