Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s83a3c2c6 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;14377.363340188;14398.673634244;21.310294056000203
BM(file): files/file_10M;14398.681907052;14419.545806099;20.863899047000814
BM(file): files/file_10M;14419.554886208;14440.341882527;20.786996319000536
BM(file): files/file_10M;14440.350408254;14461.129951275;20.77954302099897
BM(file): files/file_10M;14461.137654075;14482.035427603;20.897773527998652
BM(file): files/file_10M;14482.042589813;14502.770573753;20.72798393999983
BM(file): files/file_10M;14502.777730297;14523.499184237;20.721453939999265
BM(file): files/file_10M;14523.508283887;14544.36861807;20.860334183000305
BM(file): files/file_10M;14544.375694572;14565.111441574;20.735747001999698
BM(file): files/file_10M;14565.121136273;14585.920165593;20.799029320000045
BM(file): files/file_10M;14585.927161718;14606.697952107;20.770790389000467
BM(file): files/file_10M;14606.705865077;14627.515868512;20.810003435000908
BM(file): files/file_10M;14627.52411136;14648.440353937;20.91624257699914
BM(file): files/file_10M;14648.448518492;14669.171566566;20.723048073999962
BM(file): files/file_10M;14669.180372042;14690.041562402;20.861190360001274
BM(file): files/file_10M;14690.051465224;14712.223073646;22.171608422000645
BM(file): files/file_10M;14712.240170301;14733.777176796;21.53700649500024
BM(file): files/file_10M;14733.787191162;14754.618044826;20.830853663999733
BM(file): files/file_10M;14754.625402286;14776.126217635;21.500815348999822
BM(file): files/file_10M;14776.135361282;14797.301411762;21.166050480000195
BM(file): files/file_10M;14797.317508281;14818.732889001;21.41538072000003
BM(file): files/file_10M;14818.740876176;14839.565511243;20.82463506699969
BM(file): files/file_10M;14839.572488032;14861.202325716;21.62983768400045
BM(file): files/file_10M;14861.213278509;14882.763457107;21.550178597999547
BM(file): files/file_10M;14882.772275585;14903.617848751;20.845573165999667
BM(file): files/file_10M;14903.624381868;14925.294192455;21.66981058700003
BM(file): files/file_10M;14925.31220333;14947.123279163;21.81107583299854
BM(file): files/file_10M;14947.130137993;14967.913836104;20.783698111001286
BM(file): files/file_10M;14967.921221356;14989.899954699;21.978733342999476
BM(file): files/file_10M;14989.910450571;15011.672837774;21.76238720299989
BM(file): files/file_10M;15011.681515125;15033.102452343;21.4209372180012
BM(file): files/file_10M;15033.112647087;15053.916453135;20.803806047999387
BM(file): files/file_10M;15053.923749178;15075.510161948;21.586412769998788
BM(file): files/file_10M;15075.520171565;15097.038111217;21.517939651999768
BM(file): files/file_10M;15097.046966612;15117.930392696;20.88342608399944
BM(file): files/file_10M;15117.938183162;15139.251470264;21.313287102000686
BM(file): files/file_10M;15139.260715497;15160.854595873;21.593880376000016
BM(file): files/file_10M;15160.86347431;15182.350852308;21.48737799800074
BM(file): files/file_10M;15182.367273959;15204.100748323;21.733474364000358
BM(file): files/file_10M;15204.110733565;15225.663541467;21.552807902000495
BM(file): files/file_10M;15225.673691002;15247.033292954;21.35960195199914
BM(file): files/file_10M;15247.04257998;15267.847653451;20.80507347099956
BM(file): files/file_10M;15267.855218373;15289.276239816;21.421021442998608
BM(file): files/file_10M;15289.287785743;15311.225349332;21.937563589001
BM(file): files/file_10M;15311.237245513;15332.643474129;21.40622861599877
BM(file): files/file_10M;15332.65151414;15353.50532511;20.853810970000268
BM(file): files/file_10M;15353.513037034;15375.12123393;21.608196896000663
BM(file): files/file_10M;15375.129264233;15397.076638396;21.94737416299904
BM(file): files/file_10M;15397.094404604;15418.35162345;21.257218845999887
BM(file): files/file_10M;15418.358980953;15439.101809287;20.74282833399957
