Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2sc1e42236 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;21655.072409165;21685.557629027;30.485219861999212
BM(file): files/file_10M;21685.564733199;21715.405782031;29.841048832000524
BM(file): files/file_10M;21715.414338756;21745.745545686;30.331206930000917
BM(file): files/file_10M;21745.753152031;21775.824454259;30.071302227999695
BM(file): files/file_10M;21775.831828479;21805.627505247;29.795676768000703
BM(file): files/file_10M;21805.634653967;21835.766641477;30.131987509997998
BM(file): files/file_10M;21835.773999408;21866.119563291;30.34556388299825
BM(file): files/file_10M;21866.126772388;21896.109586449;29.98281406100068
BM(file): files/file_10M;21896.121322584;21926.232975192;30.11165260800044
BM(file): files/file_10M;21926.239733954;21956.326221533;30.086487578999368
BM(file): files/file_10M;21956.332429;21986.66060727;30.328178270003264
BM(file): files/file_10M;21986.671146024;22016.906506501;30.23536047699963
BM(file): files/file_10M;22016.914074564;22047.07043158;30.156357015999674
BM(file): files/file_10M;22047.078132813;22077.404480461;30.326347647998773
BM(file): files/file_10M;22077.412643239;22107.571547777;30.15890453799875
BM(file): files/file_10M;22107.580726357;22137.730188746;30.14946238900302
BM(file): files/file_10M;22137.738617487;22168.375478733;30.63686124599917
BM(file): files/file_10M;22168.383593722;22199.00859064;30.62499691800258
BM(file): files/file_10M;22199.015845788;22229.194339537;30.178493749001063
BM(file): files/file_10M;22229.201698603;22258.753496006;29.55179740300082
BM(file): files/file_10M;22258.760809906;22289.175140903;30.414330996998615
BM(file): files/file_10M;22289.182839932;22319.571890811;30.389050878999115
BM(file): files/file_10M;22319.58027493;22350.428263418;30.847988488003466
BM(file): files/file_10M;22350.436432327;22380.919410704;30.48297837700011
BM(file): files/file_10M;22380.938925429;22411.134738345;30.19581291600116
BM(file): files/file_10M;22411.142125206;22441.17555591;30.03343070399933
BM(file): files/file_10M;22441.182980147;22471.332631558;30.149651411000377
BM(file): files/file_10M;22471.340491882;22501.347196322;30.00670443999843
BM(file): files/file_10M;22501.354492726;22531.397491905;30.042999179000617
BM(file): files/file_10M;22531.404870476;22561.222296461;29.817425985002046
BM(file): files/file_10M;22561.229163028;22591.300719626;30.071556597999006
BM(file): files/file_10M;22591.307928904;22621.846252272;30.53832336800042
BM(file): files/file_10M;22621.854205641;22652.074979643;30.220774001998507
BM(file): files/file_10M;22652.083134264;22681.672212313;29.58907804899718
BM(file): files/file_10M;22681.680478602;22711.740135337;30.059656735000317
BM(file): files/file_10M;22711.751643075;22741.728228568;29.97658549300104
BM(file): files/file_10M;22741.735409264;22772.370065493;30.63465622899821
BM(file): files/file_10M;22772.37764186;22803.113814564;30.736172704000637
BM(file): files/file_10M;22803.120889717;22833.608819382;30.487929664999683
BM(file): files/file_10M;22833.616854295;22863.756377071;30.139522776000376
BM(file): files/file_10M;22863.763886854;22893.724856456;29.96096960199793
BM(file): files/file_10M;22893.73213682;22924.067310768;30.335173948002193
BM(file): files/file_10M;22924.07465705;22953.701409904;29.62675285399746
BM(file): files/file_10M;22953.709539235;22984.042145655;30.332606420000957
BM(file): files/file_10M;22984.049168267;23014.300302721;30.25113445399984
BM(file): files/file_10M;23014.308160884;23044.412883268;30.104722383999615
BM(file): files/file_10M;23044.420053632;23075.040371543;30.62031791100162
BM(file): files/file_10M;23075.047616616;23104.602772345;29.555155728998216
BM(file): files/file_10M;23104.6106478;23134.500256048;29.889608247998694
BM(file): files/file_10M;23134.507489746;23164.078240478;29.570750732000306
