Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s8ea82d82 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_10M;27960.14380893;27990.780905058;30.63709612800085
BM(file): files/file_10M;27990.789745148;28022.07436817;31.28462302200205
BM(file): files/file_10M;28022.084415762;28053.547492093;31.463076330997865
BM(file): files/file_10M;28053.553212787;28084.94045738;31.387244592999195
BM(file): files/file_10M;28084.945753327;28116.008665175;31.062911847999203
BM(file): files/file_10M;28116.014224042;28147.295134943;31.280910901001334
BM(file): files/file_10M;28147.300144563;28178.289273663;30.989129099998536
BM(file): files/file_10M;28178.297187743;28209.819967983;31.52278024000043
BM(file): files/file_10M;28209.825294775;28240.422602537;30.597307762000128
BM(file): files/file_10M;28240.428333831;28271.628304714;31.19997088299715
BM(file): files/file_10M;28271.634161011;28303.360298508;31.72613749700031
BM(file): files/file_10M;28303.37235319;28334.770206626;31.397853435999423
BM(file): files/file_10M;28334.783499314;28366.359862745;31.57636343100239
BM(file): files/file_10M;28366.375124525;28397.625918669;31.250794144001702
BM(file): files/file_10M;28397.630977556;28429.098714761;31.46773720499914
BM(file): files/file_10M;28429.108701079;28460.963550946;31.854849866998848
BM(file): files/file_10M;28460.98170304;28492.163269302;31.18156626199925
BM(file): files/file_10M;28492.171307369;28523.983690467;31.812383098000282
BM(file): files/file_10M;28523.99947223;28556.467314152;32.467841921999934
BM(file): files/file_10M;28556.481939748;28588.017924147;31.53598439900088
BM(file): files/file_10M;28588.03321829;28619.626623244;31.593404954001016
BM(file): files/file_10M;28619.637609914;28650.696958285;31.059348370999942
BM(file): files/file_10M;28650.701931682;28681.448387527;30.746455845001037
BM(file): files/file_10M;28681.46361222;28713.130803826;31.667191606000415
BM(file): files/file_10M;28713.137810567;28744.949864195;31.812053628000285
BM(file): files/file_10M;28744.962749174;28776.332615594;31.369866420001927
BM(file): files/file_10M;28776.342099725;28807.349216632;31.007116906999727
BM(file): files/file_10M;28807.35409574;28838.7880697;31.433973960000003
BM(file): files/file_10M;28838.805782626;28870.863358324;32.05757569799971
BM(file): files/file_10M;28870.873095043;28902.529548582;31.656453538998903
BM(file): files/file_10M;28902.537419917;28934.716858333;32.17943841599845
BM(file): files/file_10M;28934.735811107;28967.124628294;32.38881718700213
BM(file): files/file_10M;28967.130662954;28998.864669482;31.734006528000464
BM(file): files/file_10M;28998.877737433;29030.990076176;32.1123387430016
BM(file): files/file_10M;29031.015809745;29062.46327894;31.44746919499812
BM(file): files/file_10M;29062.469281684;29093.6201994;31.15091771600055
BM(file): files/file_10M;29093.626180562;29125.649657114;32.02347655199992
BM(file): files/file_10M;29125.668573398;29157.544287218;31.875713819998055
BM(file): files/file_10M;29157.549435542;29188.467734722;30.91829917999712
BM(file): files/file_10M;29188.473169923;29220.247035308;31.773865384999226
BM(file): files/file_10M;29220.26324487;29252.091767228;31.828522358002374
BM(file): files/file_10M;29252.097416765;29282.762341562;30.66492479700173
BM(file): files/file_10M;29282.770075113;29314.906370864;32.136295750999125
BM(file): files/file_10M;29314.915308507;29346.357918965;31.44261045800158
BM(file): files/file_10M;29346.376585339;29378.597745396;32.221160057000816
BM(file): files/file_10M;29378.603891979;29409.609867429;31.005975449999823
BM(file): files/file_10M;29409.615118964;29441.845225048;32.230106084
BM(file): files/file_10M;29441.856618167;29472.693664486;30.837046319000365
BM(file): files/file_10M;29472.699862362;29504.146573238;31.446710875999997
BM(file): files/file_10M;29504.152245277;29536.376390321;32.22414504399785
