Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint http3://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.http3transport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.http3transport.v1_0.outbound --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s2b713623 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_5M;9404.326228314;9414.89594183;10.569713516000775
BM(file): files/file_5M;9414.902556618;9425.810334773;10.907778154998596
BM(file): files/file_5M;9425.831466146;9436.815733134;10.984266987999945
BM(file): files/file_5M;9436.823462556;9447.755351735;10.931889179000791
BM(file): files/file_5M;9447.76027358;9458.751480567;10.991206987000623
BM(file): files/file_5M;9458.756502495;9469.728823471;10.972320975999537
BM(file): files/file_5M;9469.733151516;9480.747168387;11.014016871000422
BM(file): files/file_5M;9480.752174896;9491.477838204;10.725663307999639
BM(file): files/file_5M;9491.482535334;9502.301473694;10.818938360000175
BM(file): files/file_5M;9502.307074707;9512.91910888;10.612034173000211
BM(file): files/file_5M;9512.923800008;9523.866858087;10.943058078999456
BM(file): files/file_5M;9523.875416291;9535.021550848;11.146134556998732
BM(file): files/file_5M;9535.028696538;9545.832309007;10.803612469000655
BM(file): files/file_5M;9545.83666713;9556.537189429;10.700522299001022
BM(file): files/file_5M;9556.541476842;9567.654914577;11.113437735000844
BM(file): files/file_5M;9567.660238206;9578.707483809;11.047245603000192
BM(file): files/file_5M;9578.712413185;9589.613817128;10.901403943000332
BM(file): files/file_5M;9589.623360227;9600.92083516;11.297474932998739
BM(file): files/file_5M;9600.927804139;9612.288487807;11.360683667999183
BM(file): files/file_5M;9612.293209407;9623.000633909;10.707424501999412
BM(file): files/file_5M;9623.006980782;9634.088932644;11.081951861999187
BM(file): files/file_5M;9634.097746533;9645.034404547;10.936658013999477
BM(file): files/file_5M;9645.040244811;9655.620578816;10.580334005000623
BM(file): files/file_5M;9655.627534197;9666.884918225;11.25738402800016
BM(file): files/file_5M;9666.890370459;9678.081467469;11.191097009999794
BM(file): files/file_5M;9678.086791749;9689.24257672;11.155784971000685
BM(file): files/file_5M;9689.247210052;9700.043462408;10.796252355999968
BM(file): files/file_5M;9700.048525072;9711.788190627;11.739665555000101
BM(file): files/file_5M;9711.793429584;9722.698263356;10.90483377199962
BM(file): files/file_5M;9722.70744387;9733.742617384;11.035173513999325
BM(file): files/file_5M;9733.751599612;9744.750224092;10.998624480000217
BM(file): files/file_5M;9744.757180879;9755.106307938;10.349127059000239
BM(file): files/file_5M;9755.110851785;9765.538081642;10.427229856999475
BM(file): files/file_5M;9765.541861829;9775.948951689;10.40708986000027
BM(file): files/file_5M;9775.953978412;9786.515516658;10.561538246000055
BM(file): files/file_5M;9786.521403463;9797.658589163;11.137185699999463
BM(file): files/file_5M;9797.676160334;9808.270312338;10.594152003999625
BM(file): files/file_5M;9808.276162063;9818.991307652;10.715145588999803
BM(file): files/file_5M;9818.994922055;9829.719389623;10.724467567999454
BM(file): files/file_5M;9829.723538775;9841.098226839;11.374688063999201
BM(file): files/file_5M;9841.104292862;9851.836818868;10.732526005998807
BM(file): files/file_5M;9851.841168272;9862.434062955;10.59289468300085
BM(file): files/file_5M;9862.437856487;9873.166463899;10.728607412000201
BM(file): files/file_5M;9873.174759922;9883.87732482;10.702564897999764
BM(file): files/file_5M;9883.884260348;9894.350247696;10.465987347999544
BM(file): files/file_5M;9894.356052561;9904.811480654;10.455428093000592
BM(file): files/file_5M;9904.816725772;9915.457642421;10.640916649001156
BM(file): files/file_5M;9915.461737916;9926.118472196;10.656734279999
BM(file): files/file_5M;9926.12648423;9936.533705118;10.407220887998847
BM(file): files/file_5M;9936.53775374;9946.966975253;10.429221513000812
