Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s2e49e6d3 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_5M;2445.256429386;2457.03993351;11.783504124000046
BM(file): files/file_5M;2457.046047024;2469.538383837;12.492336812999838
BM(file): files/file_5M;2469.553700426;2482.780130548;13.226430122000238
BM(file): files/file_5M;2482.784382571;2495.72532726;12.940944688999934
BM(file): files/file_5M;2495.728492035;2508.249149931;12.520657896000102
BM(file): files/file_5M;2508.261427092;2521.01295599;12.751528898000288
BM(file): files/file_5M;2521.016316225;2533.415475237;12.399159011999927
BM(file): files/file_5M;2533.421096043;2545.659671814;12.238575770999887
BM(file): files/file_5M;2545.663856946;2558.430775794;12.766918847999932
BM(file): files/file_5M;2558.439611276;2570.524668039;12.085056763000011
BM(file): files/file_5M;2570.531985178;2582.800749817;12.268764638999983
BM(file): files/file_5M;2582.805569668;2595.546731856;12.74116218800009
BM(file): files/file_5M;2595.553487678;2607.696933452;12.143445774000156
BM(file): files/file_5M;2607.699328812;2620.057317647;12.357988835000015
BM(file): files/file_5M;2620.06093579;2632.464948869;12.404013079000379
BM(file): files/file_5M;2632.46968;2644.81931795;12.34963794999976
BM(file): files/file_5M;2644.822657457;2657.013977544;12.19132008700035
BM(file): files/file_5M;2657.016593739;2669.612438288;12.595844548999594
BM(file): files/file_5M;2669.617156911;2682.59466742;12.977510508999785
BM(file): files/file_5M;2682.60838877;2695.029334406;12.420945635999942
BM(file): files/file_5M;2695.033476635;2707.185245732;12.151769096999942
BM(file): files/file_5M;2707.187788045;2719.272658106;12.084870060999947
BM(file): files/file_5M;2719.276145399;2731.456040225;12.179894825999781
BM(file): files/file_5M;2731.459562058;2744.004884692;12.545322634000058
BM(file): files/file_5M;2744.007755009;2756.226477092;12.218722083000102
BM(file): files/file_5M;2756.229372075;2768.442136295;12.212764220000281
BM(file): files/file_5M;2768.446132844;2781.374683065;12.928550221000023
BM(file): files/file_5M;2781.377450876;2793.987500233;12.610049357000207
BM(file): files/file_5M;2793.990123581;2812.775999132;18.785875551000117
BM(file): files/file_5M;2812.785806005;2824.871357036;12.08555103100025
BM(file): files/file_5M;2824.884861774;2837.678266528;12.793404754000221
BM(file): files/file_5M;2837.683043834;2850.580342504;12.897298670000055
BM(file): files/file_5M;2850.592301702;2862.887491811;12.295190109000032
BM(file): files/file_5M;2862.891373512;2875.705152745;12.813779232999877
BM(file): files/file_5M;2875.710738561;2888.588177744;12.877439182999751
BM(file): files/file_5M;2888.591818188;2900.866050566;12.274232377999851
BM(file): files/file_5M;2900.872617022;2913.347807334;12.475190311999995
BM(file): files/file_5M;2913.351177063;2926.080946316;12.729769253000086
BM(file): files/file_5M;2926.085454855;2938.75252466;12.667069804999755
BM(file): files/file_5M;2938.755400086;2951.501554394;12.74615430799986
BM(file): files/file_5M;2951.504154564;2964.241518147;12.737363582999933
BM(file): files/file_5M;2964.244885413;2976.77750269;12.5326172770001
BM(file): files/file_5M;2976.7815413;2989.578888854;12.797347554000226
BM(file): files/file_5M;2989.588509763;3002.268208682;12.679698919000202
BM(file): files/file_5M;3002.274490993;3014.464998229;12.190507235999576
BM(file): files/file_5M;3014.468573078;3027.074529776;12.605956697999773
BM(file): files/file_5M;3027.080221824;3039.774716073;12.694494248999945
BM(file): files/file_5M;3039.777181028;3052.359604089;12.5824230610001
BM(file): files/file_5M;3052.362466091;3065.043172513;12.680706422000185
BM(file): files/file_5M;3065.047352284;3077.862591609;12.815239324999766
