Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s300ce6c2 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_5M;5900.523841509;5915.681236976;15.157395467000242
BM(file): files/file_5M;5915.688453866;5931.215756409;15.527302543000587
BM(file): files/file_5M;5931.222183709;5946.854808512;15.632624802999999
BM(file): files/file_5M;5946.86531751;5962.256601009;15.391283499000565
BM(file): files/file_5M;5962.265088367;5978.179117081;15.914028713999869
BM(file): files/file_5M;5978.193853612;5993.792508254;15.598654641999929
BM(file): files/file_5M;5993.799705726;6009.674559341;15.874853614999665
BM(file): files/file_5M;6009.685813386;6028.500733462;18.814920076000817
BM(file): files/file_5M;6028.508831774;6044.223338385;15.714506610999706
BM(file): files/file_5M;6044.231749867;6059.666126681;15.434376813999734
BM(file): files/file_5M;6059.673183027;6075.239216303;15.566033275999871
BM(file): files/file_5M;6075.248509124;6090.870466282;15.621957158000441
BM(file): files/file_5M;6090.875938032;6106.270157321;15.39421928899992
BM(file): files/file_5M;6106.280840736;6122.192835365;15.911994629000219
BM(file): files/file_5M;6122.200568674;6137.748614904;15.548046229999272
BM(file): files/file_5M;6137.759608405;6153.139422992;15.3798145869996
BM(file): files/file_5M;6153.145424829;6168.75464952;15.609224691000236
BM(file): files/file_5M;6168.759888018;6184.209791644;15.449903625999468
BM(file): files/file_5M;6184.216056025;6199.861453958;15.645397932999913
BM(file): files/file_5M;6199.872109206;6215.820447884;15.948338678000255
BM(file): files/file_5M;6215.828785031;6231.31267097;15.483885939000174
BM(file): files/file_5M;6231.323357342;6246.959595309;15.636237966999943
BM(file): files/file_5M;6246.970707977;6262.47856064;15.507852663000449
BM(file): files/file_5M;6262.488707217;6277.957113423;15.4684062059996
BM(file): files/file_5M;6277.965327735;6293.619114976;15.653787240999918
BM(file): files/file_5M;6293.636585733;6309.318963618;15.682377885000278
BM(file): files/file_5M;6309.328748442;6324.906682013;15.577933571000358
BM(file): files/file_5M;6324.914215361;6340.870934428;15.95671906699954
BM(file): files/file_5M;6340.876580845;6356.488659129;15.612078283999836
BM(file): files/file_5M;6356.494833717;6372.070678171;15.575844453999707
BM(file): files/file_5M;6372.076772217;6387.806351729;15.729579511999873
BM(file): files/file_5M;6387.829894531;6403.553447402;15.72355287099981
BM(file): files/file_5M;6403.565690411;6419.067426903;15.501736491999509
BM(file): files/file_5M;6419.077094975;6434.701967594;15.624872618999689
BM(file): files/file_5M;6434.712541006;6450.643699123;15.93115811700045
BM(file): files/file_5M;6450.652661607;6466.465533045;15.812871438000002
BM(file): files/file_5M;6466.472233053;6482.13406478;15.66183172699948
BM(file): files/file_5M;6482.143189848;6497.840728221;15.697538373000498
BM(file): files/file_5M;6497.848797573;6513.734102938;15.885305365000022
BM(file): files/file_5M;6513.74289067;6529.24961826;15.506727590000082
BM(file): files/file_5M;6529.256621979;6544.965079505;15.70845752600053
BM(file): files/file_5M;6544.97562692;6560.449403584;15.47377666400007
BM(file): files/file_5M;6560.456394276;6575.927464367;15.471070091000001
BM(file): files/file_5M;6575.937949944;6591.477839095;15.539889150999443
BM(file): files/file_5M;6591.487226444;6607.600864486;16.113638042000275
BM(file): files/file_5M;6607.608528183;6623.234264599;15.625736416000109
BM(file): files/file_5M;6623.243659528;6638.668510261;15.424850733000312
BM(file): files/file_5M;6638.674210927;6654.458087985;15.783877058000144
BM(file): files/file_5M;6654.467258408;6670.256636463;15.78937805500027
BM(file): files/file_5M;6670.262227375;6686.155397836;15.8931704609995
