Started webhook listener on port: 8022
Registering car2s ...
using ledger: http://192.168.1.2:8000/register
nym_info: {'did': '7vuCNteT74Y9pE434w6CS8', 'seed': '000000000000000000000000000car2s', 'verkey': '4n3rFjoUm2jFWkvGhKnu4vidkGsfYTJcQzteeB9YXnwZ'}
Registered DID: 7vuCNteT74Y9pE434w6CS8
Created public DID
/usr/src/app/.venv/bin/python -m aries_cloudagent start --endpoint https://192.168.3.2:8020 --label car2s --auto-respond-messages --inbound-transport acapy-plugins.httpstransport.v1_0.inbound 0.0.0.0 8020 --outbound-transport acapy-plugins.httpstransport.v1_0.outbound --ledger-keepalive 7200 --admin 0.0.0.0 8021 --admin-insecure-mode --wallet-type askar --wallet-name car2s36a2bed1 --wallet-key car2s --preserve-exchange-records --auto-provision --public-invites --emit-new-didcomm-prefix --requests-through-public-did --auto-respond-credential-offer --auto-respond-credential-request --auto-store-credential --auto-verify-presentation --max-message-size 2147483648 --plugin acapy-plugins.http3transport.v1_0 --plugin acapy-plugins.httpstransport.v1_0 --plugin acapy-plugins.serviceregistry.v1_0 --plugin acapy-plugins.videostreaming.v1_0 --plugin acapy-plugins.filesharing.v1_0 --genesis-transactions {"reqSignature":{},"txn":{"data":{"data":{"alias":"Node1","blskey":"4N8aUNHSgjQVgkpm8nhNEfDf6txHznoYREg9kirmJrkivgL4oSEimFF6nsQ6M41QvhM2Z33nves5vfSn9n1UwNFJBYtWVnHYMATn76vLuL3zU88KyeAYcHfsih3He6UHcXDxcaecHVz6jhCYz1P2UZn2bDVruL5wXpehgBfBaLKm3Ba","blskey_pop":"RahHYiCvoNCtPTrVtP7nMC5eTYrsUA8WjXbdhNc8debh1agE9bGiJxWBXYNFbnJXoXhWFMvyqhqhRoq737YQemH5ik9oL7R4NTTCz2LEZhkgLJzB3QRQqJyBNyv7acbdHrAT8nQ9UkLbaVL9NBpnWXBTw4LEMePaSHEw66RzPNdAX1","client_ip":"192.168.1.2","client_port":9702,"node_ip":"192.168.1.2","node_port":9701,"services":["VALIDATOR"]},"dest":"Gw6pDLhcBcoQesN72qfotTgFa7cbuqZpkX3Xo6pLhPhv"},"metadata":{"from":"Th7MpTaRZVRYnPiabds81Y"},"type":"0"},"txnMetadata":{"seqNo":1,"txnId":"fea82e10e894419fe2bea7d96296a6d46f50f93f9eeda954ec461b2ed2950b62"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node2","blskey":"37rAPpXVoxzKhz7d9gkUe52XuXryuLXoM6P6LbWDB7LSbG62Lsb33sfG7zqS8TK1MXwuCHj1FKNzVpsnafmqLG1vXN88rt38mNFs9TENzm4QHdBzsvCuoBnPH7rpYYDo9DZNJePaDvRvqJKByCabubJz3XXKbEeshzpz4Ma5QYpJqjk","blskey_pop":"Qr658mWZ2YC8JXGXwMDQTzuZCWF7NK9EwxphGmcBvCh6ybUuLxbG65nsX4JvD4SPNtkJ2w9ug1yLTj6fgmuDg41TgECXjLCij3RMsV8CwewBVgVN67wsA45DFWvqvLtu4rjNnE9JbdFTc1Z4WCPA3Xan44K1HoHAq9EVeaRYs8zoF5","client_ip":"192.168.1.2","client_port":9704,"node_ip":"192.168.1.2","node_port":9703,"services":["VALIDATOR"]},"dest":"8ECVSk179mjsjKRLWiQtssMLgp6EPhWXtaYyStWPSGAb"},"metadata":{"from":"EbP4aYNeTHL6q385GuVpRV"},"type":"0"},"txnMetadata":{"seqNo":2,"txnId":"1ac8aece2a18ced660fef8694b61aac3af08ba875ce3026a160acbc3a3af35fc"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node3","blskey":"3WFpdbg7C5cnLYZwFZevJqhubkFALBfCBBok15GdrKMUhUjGsk3jV6QKj6MZgEubF7oqCafxNdkm7eswgA4sdKTRc82tLGzZBd6vNqU8dupzup6uYUf32KTHTPQbuUM8Yk4QFXjEf2Usu2TJcNkdgpyeUSX42u5LqdDDpNSWUK5deC5","blskey_pop":"QwDeb2CkNSx6r8QC8vGQK3GRv7Yndn84TGNijX8YXHPiagXajyfTjoR87rXUu4G4QLk2cF8NNyqWiYMus1623dELWwx57rLCFqGh7N4ZRbGDRP4fnVcaKg1BcUxQ866Ven4gw8y4N56S5HzxXNBZtLYmhGHvDtk6PFkFwCvxYrNYjh","client_ip":"192.168.1.2","client_port":9706,"node_ip":"192.168.1.2","node_port":9705,"services":["VALIDATOR"]},"dest":"DKVxG2fXXTU8yT5N7hGEbXB3dfdAnYv1JczDUHpmDxya"},"metadata":{"from":"4cU41vWW82ArfxJxHkzXPG"},"type":"0"},"txnMetadata":{"seqNo":3,"txnId":"7e9f355dffa78ed24668f0e0e369fd8c224076571c51e2ea8be5f26479edebe4"},"ver":"1"}
{"reqSignature":{},"txn":{"data":{"data":{"alias":"Node4","blskey":"2zN3bHM1m4rLz54MJHYSwvqzPchYp8jkHswveCLAEJVcX6Mm1wHQD1SkPYMzUDTZvWvhuE6VNAkK3KxVeEmsanSmvjVkReDeBEMxeDaayjcZjFGPydyey1qxBHmTvAnBKoPydvuTAqx5f7YNNRAdeLmUi99gERUU7TD8KfAa6MpQ9bw","blskey_pop":"RPLagxaR5xdimFzwmzYnz4ZhWtYQEj8iR5ZU53T2gitPCyCHQneUn2Huc4oeLd2B2HzkGnjAff4hWTJT6C7qHYB1Mv2wU5iHHGFWkhnTX9WsEAbunJCV2qcaXScKj4tTfvdDKfLiVuU2av6hbsMztirRze7LvYBkRHV3tGwyCptsrP","client_ip":"192.168.1.2","client_port":9708,"node_ip":"192.168.1.2","node_port":9707,"services":["VALIDATOR"]},"dest":"4PS3EDQ3dW1tci1Bp6543CfuuebjFrg36kLAUcskGfaA"},"metadata":{"from":"TWwCRQRZ2ZHMJFn9TzLp7W"},"type":"0"},"txnMetadata":{"seqNo":4,"txnId":"aa5e817d7cc626170eca175822029339a444eb0ee8f0bd20d3b0b76e566fb008"},"ver":"1"}
 --seed 000000000000000000000000000car2s --debug-webhooks --monitor-revocation-notification --webhook-url http://localhost:8022/webhooks
Inserted new connection
Adding new credential to table
Adding new credential to table
Adding new credential to table
Agent initialized
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Received issue-credential-2.0 webhook ...
Inserted new connection
Connection webhook: did = PhbGmg1H53KupchWiZSyk1; state = request;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = response;
Deleted old connection from table
Inserted new connection
Connection webhook: did = did:sov:PhbGmg1H53KupchWiZSyk1; state = active;
BM(file): files/file_5M;8408.256534794;8425.741837972;17.485303178000322
BM(file): files/file_5M;8425.748233192;8442.67930683;16.93107363799936
BM(file): files/file_5M;8442.685385131;8460.099556742;17.414171610998892
BM(file): files/file_5M;8460.109675244;8477.506090935;17.396415690998765
BM(file): files/file_5M;8477.516546064;8495.114648145;17.598102080999524
BM(file): files/file_5M;8495.130486445;8512.375279995;17.244793550000395
BM(file): files/file_5M;8512.384413905;8529.980627735;17.596213830000124
BM(file): files/file_5M;8529.990746529;8547.244778223;17.254031693999423
BM(file): files/file_5M;8547.253633172;8564.724540728;17.470907556000384
BM(file): files/file_5M;8564.734924773;8582.124978844;17.390054071000122
BM(file): files/file_5M;8582.137402572;8599.789881506;17.6524789340001
BM(file): files/file_5M;8599.796244725;8617.257622093;17.461377368001195
BM(file): files/file_5M;8617.26799968;8635.102961202;17.834961521999503
BM(file): files/file_5M;8635.125342794;8652.809185413;17.683842619000643
BM(file): files/file_5M;8652.815238279;8670.436380725;17.621142445999794
BM(file): files/file_5M;8670.443939423;8687.882285097;17.43834567399972
BM(file): files/file_5M;8687.899837962;8705.322998473;17.423160510999878
BM(file): files/file_5M;8705.329999087;8722.618841413;17.288842325999212
BM(file): files/file_5M;8722.628463588;8740.097343889;17.468880300999444
BM(file): files/file_5M;8740.10464604;8756.857636252;16.75299021200044
BM(file): files/file_5M;8756.867904261;8774.178090242;17.31018598099945
BM(file): files/file_5M;8774.184577092;8791.228108136;17.043531043998883
BM(file): files/file_5M;8791.234481276;8808.430866379;17.196385102999557
BM(file): files/file_5M;8808.437197386;8825.499273461;17.062076075000732
BM(file): files/file_5M;8825.505601189;8843.091831682;17.586230493001494
BM(file): files/file_5M;8843.098163633;8860.689592893;17.59142926000095
BM(file): files/file_5M;8860.694961839;8878.583959603;17.888997763999214
BM(file): files/file_5M;8878.593855664;8897.379462276;18.785606612000265
BM(file): files/file_5M;8897.386592059;8914.760954524;17.37436246499965
BM(file): files/file_5M;8914.766260172;8931.970715826;17.204455654000412
BM(file): files/file_5M;8931.976541778;8948.908901194;16.9323594159996
BM(file): files/file_5M;8948.914924578;8966.340769472;17.425844893999965
BM(file): files/file_5M;8966.350575705;8983.882133074;17.53155736899862
BM(file): files/file_5M;8983.890104007;9001.721819204;17.83171519700045
BM(file): files/file_5M;9001.727682997;9019.277889026;17.550206029000037
BM(file): files/file_5M;9019.283789157;9036.729301243;17.445512086000235
BM(file): files/file_5M;9036.73491613;9054.36826357;17.633347439999852
BM(file): files/file_5M;9054.379630725;9072.055258778;17.675628053000764
BM(file): files/file_5M;9072.066556022;9089.427163749;17.36060772699966
BM(file): files/file_5M;9089.435652939;9107.126724281;17.691071342000214
BM(file): files/file_5M;9107.13244835;9124.422453421;17.29000507100136
BM(file): files/file_5M;9124.430211022;9142.811630151;18.381419129000278
BM(file): files/file_5M;9142.817242469;9160.095457239;17.278214769999977
BM(file): files/file_5M;9160.104624684;9177.474833845;17.370209161001185
BM(file): files/file_5M;9177.481110176;9194.624986738;17.143876561998695
BM(file): files/file_5M;9194.630593811;9212.443563213;17.812969402000817
BM(file): files/file_5M;9212.450467849;9229.930107775;17.479639926001255
BM(file): files/file_5M;9229.941856359;9247.387445639;17.445589279999695
BM(file): files/file_5M;9247.393940723;9264.698984591;17.30504386800021
BM(file): files/file_5M;9264.708804237;9282.042055931;17.333251694000865
